il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ADANA;ALADAĞ;AKÖREN;AKDERE SOKAK;sokak;566149
ADANA;ALADAĞ;AKÖREN;AKÖREN KÜME EVLERİ KÜME EVLER;sokak;714256071
ADANA;ALADAĞ;AKÖREN;ALTUNBAŞLAR SOKAK;sokak;560297
ADANA;ALADAĞ;AKÖREN;APRAŞ SOKAK;sokak;85834
ADANA;ALADAĞ;AKÖREN;ATATÜRK YENİ CADDE;cadde;93043
ADANA;ALADAĞ;AKÖREN;ATATÜRK YENİ/1 SOKAK;sokak;167855860
ADANA;ALADAĞ;AKÖREN;ATATÜRK YENİ/2 SOKAK;sokak;214257231
ADANA;ALADAĞ;AKÖREN;ATATÜRK YENİ/3 SOKAK;sokak;265178391
ADANA;ALADAĞ;AKÖREN;AYANLAR SOKAK;sokak;86471
ADANA;ALADAĞ;AKÖREN;AYANLAR/1 SOKAK;sokak;874271910
ADANA;ALADAĞ;AKÖREN;AYDINLAR KÜME EVLER;sokak;89261
ADANA;ALADAĞ;AKÖREN;BOZUK ÇEŞME SOKAK;sokak;568857
ADANA;ALADAĞ;AKÖREN;CUMHURİYET YENİ CADDE;cadde;93044
ADANA;ALADAĞ;AKÖREN;CUMHURİYET- CADDE;cadde;536831
ADANA;ALADAĞ;AKÖREN;CÜLÜKLÜ SOKAK;sokak;532962
ADANA;ALADAĞ;AKÖREN;CÜLÜKLÜ/1 SOKAK;sokak;826486271
ADANA;ALADAĞ;AKÖREN;CÜLÜKLÜ/2 SOKAK;sokak;793479770
ADANA;ALADAĞ;AKÖREN;ÇAMLIK KÜME EVLER;sokak;581701
ADANA;ALADAĞ;AKÖREN;ÇATALLAR KÜME EVLER;sokak;556538
ADANA;ALADAĞ;AKÖREN;ÇINARLI KÜME EVLER;sokak;583464
ADANA;ALADAĞ;AKÖREN;ÇOPURLU SOKAK;sokak;93048
ADANA;ALADAĞ;AKÖREN;DAİLER KÜME EVLER;sokak;93040
ADANA;ALADAĞ;AKÖREN;DEVRENT KÜME EVLER;sokak;62653829
ADANA;ALADAĞ;AKÖREN;DEVRENT/1 KÜME EVLER;sokak;84914506
ADANA;ALADAĞ;AKÖREN;DURMAZ SOKAK;sokak;550470
ADANA;ALADAĞ;AKÖREN;ELİFLİ KÜME EVLER;sokak;581697
ADANA;ALADAĞ;AKÖREN;FATİH KÜME EVLER;sokak;583018
ADANA;ALADAĞ;AKÖREN;GİRNE CADDE;cadde;536074
ADANA;ALADAĞ;AKÖREN;GİRNE TEPEBAĞ CADDE;cadde;391839
ADANA;ALADAĞ;AKÖREN;GÜL SOKAK;sokak;96809
ADANA;ALADAĞ;AKÖREN;GÜL/1 SOKAK;sokak;765249660
ADANA;ALADAĞ;AKÖREN;HARMANCIK KÜME EVLER;sokak;52895836
ADANA;ALADAĞ;AKÖREN;HASAN AĞALAR KÜME EVLER;sokak;391841
ADANA;ALADAĞ;AKÖREN;HASAN GÜNDÜZ SOKAK;sokak;93045
ADANA;ALADAĞ;AKÖREN;HASAN YÜKSEL SOKAK;sokak;568285
ADANA;ALADAĞ;AKÖREN;HENTELER SOKAK;sokak;446971
ADANA;ALADAĞ;AKÖREN;IRMAK CADDE;cadde;93041
ADANA;ALADAĞ;AKÖREN;IRMAK YENİ CADDE;cadde;534820
ADANA;ALADAĞ;AKÖREN;IRMAK/1 SOKAK;sokak;591570570
ADANA;ALADAĞ;AKÖREN;KAYALAR KÜME EVLER;sokak;581696
ADANA;ALADAĞ;AKÖREN;KERİMELER SOKAK;sokak;391838
ADANA;ALADAĞ;AKÖREN;KESER SOKAK;sokak;383164
ADANA;ALADAĞ;AKÖREN;KUŞULAR SOKAK;sokak;93035
ADANA;ALADAĞ;AKÖREN;KUŞULAR/1 SOKAK;sokak;759007611
ADANA;ALADAĞ;AKÖREN;MAHMUTLU SOKAK;sokak;93036
ADANA;ALADAĞ;AKÖREN;MENTEŞ SOKAK;sokak;539178
ADANA;ALADAĞ;AKÖREN;ORMAN İŞLETME SOKAK;sokak;93046
ADANA;ALADAĞ;AKÖREN;SEYHAN CADDE;cadde;93047
ADANA;ALADAĞ;AKÖREN;SU DEPOSU SOKAK;sokak;93038
ADANA;ALADAĞ;AKÖREN;SU DEPOSU/1 SOKAK;sokak;872695511
ADANA;ALADAĞ;AKÖREN;TELLİOĞLU SOKAK;sokak;565658
ADANA;ALADAĞ;AKÖREN;TOSSAK DİBİ KÜME EVLER;sokak;93042
ADANA;ALADAĞ;AKÖREN;VATANDAŞ SOKAK;sokak;569891
ADANA;ALADAĞ;AKÖREN;VATANDAŞ/1 SOKAK;sokak;305816490
ADANA;ALADAĞ;AKÖREN;VELİ ATAŞ SOKAK;sokak;391840
ADANA;ALADAĞ;AKÖREN;YILDIZ SOKAK;sokak;571820
ADANA;ALADAĞ;AKÖREN;YOĞURTÇULAR SOKAK;sokak;93039
ADANA;ALADAĞ;AKÖREN;YOĞURTOĞLU SOKAK;sokak;568882
ADANA;ALADAĞ;AKPINAR;101 SOKAK;sokak;640489
ADANA;ALADAĞ;AKPINAR;101/1 SOKAK;sokak;795216211
ADANA;ALADAĞ;AKPINAR;102 SOKAK;sokak;641731
ADANA;ALADAĞ;AKPINAR;105 SOKAK;sokak;643909
ADANA;ALADAĞ;AKPINAR;106 SOKAK;sokak;640903
ADANA;ALADAĞ;AKPINAR;107 SOKAK;sokak;643910
ADANA;ALADAĞ;AKPINAR;108 SOKAK;sokak;643912
ADANA;ALADAĞ;AKPINAR;109 SOKAK;sokak;643913
ADANA;ALADAĞ;AKPINAR;110 SOKAK;sokak;641407
ADANA;ALADAĞ;AKPINAR;112 SOKAK;sokak;644199
ADANA;ALADAĞ;AKPINAR;113 SOKAK;sokak;640519
ADANA;ALADAĞ;AKPINAR;114 SOKAK;sokak;640522
