il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1002 SOKAK;sokak;107112241
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1012 SOKAK;sokak;704854121
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1024 SOKAK;sokak;899523031
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1413 CADDE;cadde;290294691
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1952 SOKAK;sokak;876631261
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1992 CADDE;cadde;932918881
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;1999 SOKAK;sokak;861870931
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;2000 SOKAK;sokak;775803551
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;57 CADDE;cadde;1403737
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;729 SOKAK;sokak;967805721
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;745 SOKAK;sokak;734054661
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ABİDİN BABA SOKAK;sokak;813832340
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;AHMET SÜNGÜ SOKAK;sokak;537908461
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ALİ ERDEMOĞLU CADDE;cadde;1056078
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ARİF AĞAOĞLU BULVAR;sokak;1369181
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;BAĞCILAR CADDE;cadde;1087235
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;DERBENT SOKAK;sokak;1095817
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;GÜMÜŞDERESİ KÜME EVLER;sokak;370253191
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;İBRAHİM ERDEMOĞLU CADDE;cadde;1145372
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;İBRAHİM TUĞSUZ CADDE;cadde;874594
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;JANDARMAR SOKAK;sokak;984899
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;MAHMUT ERDEMOĞLU CADDE;cadde;1062366
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;MEHMET BABA SOKAK;sokak;999781
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;MEHMET ERDEMOĞLU BULVAR;sokak;1033258
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;MUSTAFA BABA SOKAK;sokak;178490840
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ÖĞR. ABDURRAHMAN YARDIMLI CADDE;cadde;833747
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ÖĞRETMEN İSMAIL YILDIRIM SOKAK;sokak;565946250
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;PROF. DR. HALİT ERTUĞRUL CADDE;cadde;1096095
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;PROF. DR. HAYDAR BAĞIŞ CADDE;cadde;1115108
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;PROF. DR. NAFİ ORUÇ CADDE;cadde;874249
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;SENEM AYŞE SOKAK;sokak;889410
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;SERVİ ERDEMOĞLU CADDE;cadde;544236030
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞABAN GÖĞÜŞ SOKAK;sokak;688872640
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞAİR MEHMET ÖZGER CADDE;cadde;835383
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞEHİT AHMET ORUÇ SOKAK;sokak;1424151
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞEHİT ENES SARIASLAN SOKAK;sokak;349920240
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞEHİT İMAM TAN SOKAK;sokak;832344
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞEHİT MEHMET ORUÇ SOKAK;sokak;628912391
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞEHİT ÖMER HALİSDEMİR SOKAK;sokak;141106471
ADIYAMAN;BESNİ;15 TEMMUZ ŞEHİTLER;ŞEHİT POLİS CEM TAYFUN SOKAK;sokak;1058819
