il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
AFYONKARAHİSAR;BAŞMAKÇI;AKKEÇİLİ NA;AKKEÇİLİ KÜME EVLER;sokak;504069
AFYONKARAHİSAR;BAŞMAKÇI;AKKOYUNLU NA;AKKOYUNLU KÜME EVLER;sokak;487009
AFYONKARAHİSAR;BAŞMAKÇI;AKPINAR NA;AKPINAR KÜME EVLER;sokak;487285
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;AKPINAR CADDE;cadde;129657
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;CENGİZ SOKAK;sokak;129658
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;DEPREM EVLERİ CADDE;cadde;129659
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;DÜĞÜN SALONU CADDE;cadde;394810
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;İNKILAP SOKAK;sokak;129664
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;KARACAYER KÜME EVLER;sokak;825039
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;KAYMAKAMLIK CADDE;cadde;129660
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;KONAKALTI 1 SOKAK;sokak;129662
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;KONAKALTI CADDE;cadde;129661
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;MEZARLIK-1 SOKAK;sokak;331277
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;ÜÇKAVAKLAR KÜME EVLER;sokak;826257
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;YUNUS EMRE SOKAK;sokak;394811
AFYONKARAHİSAR;BAŞMAKÇI;AŞAĞI HİLAL;ZAFER SOKAK;sokak;129663
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;AKPINAR CADDE;cadde;119803641
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;ATATÜRK-1 KÜME EVLER;sokak;129665
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;AYDOĞMUŞ SOKAK;sokak;394812
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;BARBAROS KÜME EVLER;sokak;129666
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;ÇİÇEK SOKAK;sokak;129678
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;DURAK SOKAK;sokak;394813
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;ESKİ PAZAR CADDE;cadde;129668
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;FEDAİ CADDE;cadde;129669
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;GAZİ OSMAN BİRCAN SOKAK;sokak;129667
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;KADIOĞLU CADDE;cadde;129670
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;KARACA SOKAK;sokak;394814
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;KARAKÜLAH SOKAK;sokak;129671
AFYONKARAHİSAR;BAŞMAKÇI;BARBAROS;KARANFİL SOKAK;sokak;129672
