il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
AĞRI;DİYADİN;14 NİSAN;1 SOKAK;sokak;749567231
AĞRI;DİYADİN;14 NİSAN;10 SOKAK;sokak;109629751
AĞRI;DİYADİN;14 NİSAN;11 SOKAK;sokak;253673350
AĞRI;DİYADİN;14 NİSAN;12 SOKAK;sokak;157282980
AĞRI;DİYADİN;14 NİSAN;13 SOKAK;sokak;758607261
AĞRI;DİYADİN;14 NİSAN;14 SOKAK;sokak;360022770
AĞRI;DİYADİN;14 NİSAN;15 SOKAK;sokak;200448711
AĞRI;DİYADİN;14 NİSAN;16 SOKAK;sokak;368752431
AĞRI;DİYADİN;14 NİSAN;17 SOKAK;sokak;912387900
AĞRI;DİYADİN;14 NİSAN;18 SOKAK;sokak;948157841
AĞRI;DİYADİN;14 NİSAN;19 SOKAK;sokak;192381200
AĞRI;DİYADİN;14 NİSAN;2 SOKAK;sokak;744709151
AĞRI;DİYADİN;14 NİSAN;20 SOKAK;sokak;598196800
AĞRI;DİYADİN;14 NİSAN;21 SOKAK;sokak;630084600
AĞRI;DİYADİN;14 NİSAN;22 SOKAK;sokak;126979421
AĞRI;DİYADİN;14 NİSAN;24 SOKAK;sokak;859877090
AĞRI;DİYADİN;14 NİSAN;25 SOKAK;sokak;343486151
AĞRI;DİYADİN;14 NİSAN;26 SOKAK;sokak;923107881
AĞRI;DİYADİN;14 NİSAN;27 SOKAK;sokak;669559561
AĞRI;DİYADİN;14 NİSAN;29 SOKAK;sokak;173520631
AĞRI;DİYADİN;14 NİSAN;3 SOKAK;sokak;923912341
AĞRI;DİYADİN;14 NİSAN;30 SOKAK;sokak;166929151
AĞRI;DİYADİN;14 NİSAN;31 SOKAK;sokak;845932681
AĞRI;DİYADİN;14 NİSAN;32 SOKAK;sokak;709726250
AĞRI;DİYADİN;14 NİSAN;33 SOKAK;sokak;914957051
AĞRI;DİYADİN;14 NİSAN;34 SOKAK;sokak;775891171
AĞRI;DİYADİN;14 NİSAN;35 SOKAK;sokak;402156591
AĞRI;DİYADİN;14 NİSAN;36 SOKAK;sokak;306947980
AĞRI;DİYADİN;14 NİSAN;37 SOKAK;sokak;419466740
