il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
AKSARAY;AĞAÇÖREN;ABALI NA;ABALI KÜME EVLER;sokak;477683
AKSARAY;AĞAÇÖREN;ABDİUŞAĞI NA;ABDİUŞAĞI KÜME EVLER;sokak;480636
AKSARAY;AĞAÇÖREN;AHIRLI NA;AHIRLI KÜME EVLER;sokak;485948
AKSARAY;AĞAÇÖREN;AVŞAR NA;AVŞAR KÜME EVLER;sokak;480712
AKSARAY;AĞAÇÖREN;CAMİLİ NA;1 NOLU FATİH SOKAK;sokak;484408
AKSARAY;AĞAÇÖREN;CAMİLİ NA;1 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492686
AKSARAY;AĞAÇÖREN;CAMİLİ NA;1 NOLU YILMAZLAR SOKAK;sokak;486154
AKSARAY;AĞAÇÖREN;CAMİLİ NA;1 SOKAK;sokak;284111710
AKSARAY;AĞAÇÖREN;CAMİLİ NA;1/12 SOKAK;sokak;523178150
AKSARAY;AĞAÇÖREN;CAMİLİ NA;10 NOLU CUMHURİYET SOKAK;sokak;491637
AKSARAY;AĞAÇÖREN;CAMİLİ NA;10 NOLU FATİH SOKAK;sokak;482463
AKSARAY;AĞAÇÖREN;CAMİLİ NA;10 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;497572
AKSARAY;AĞAÇÖREN;CAMİLİ NA;11 NOLU CUMHURİYET SOKAK;sokak;481872
AKSARAY;AĞAÇÖREN;CAMİLİ NA;11 NOLU FATİH SOKAK;sokak;485822
AKSARAY;AĞAÇÖREN;CAMİLİ NA;11 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492690
AKSARAY;AĞAÇÖREN;CAMİLİ NA;12 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;497573
AKSARAY;AĞAÇÖREN;CAMİLİ NA;13 NOLU FATİH SOKAK;sokak;482464
AKSARAY;AĞAÇÖREN;CAMİLİ NA;13 NOLU SOKAK;sokak;489302
AKSARAY;AĞAÇÖREN;CAMİLİ NA;13 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492712
AKSARAY;AĞAÇÖREN;CAMİLİ NA;13 NOLU YILMAZLAR SOKAK;sokak;486163
AKSARAY;AĞAÇÖREN;CAMİLİ NA;14 NOLU FATİH SOKAK;sokak;486167
AKSARAY;AĞAÇÖREN;CAMİLİ NA;14 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492701
AKSARAY;AĞAÇÖREN;CAMİLİ NA;15 NOLU CUMHURİYET SOKAK;sokak;489304
AKSARAY;AĞAÇÖREN;CAMİLİ NA;15 NOLU FATİH SOKAK;sokak;486168
AKSARAY;AĞAÇÖREN;CAMİLİ NA;15 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492702
AKSARAY;AĞAÇÖREN;CAMİLİ NA;15 NOLU YILMAZLAR SOKAK;sokak;479416
AKSARAY;AĞAÇÖREN;CAMİLİ NA;16 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492691
AKSARAY;AĞAÇÖREN;CAMİLİ NA;17 NOLU CUMHURİYET SOKAK;sokak;481860
AKSARAY;AĞAÇÖREN;CAMİLİ NA;17 NOLU FATİH SOKAK;sokak;486170
AKSARAY;AĞAÇÖREN;CAMİLİ NA;17 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492713
AKSARAY;AĞAÇÖREN;CAMİLİ NA;17 NOLU YILMAZLAR SOKAK;sokak;479417
AKSARAY;AĞAÇÖREN;CAMİLİ NA;18 NOLU CUMHURİYET 1 SOKAK;sokak;189363280
AKSARAY;AĞAÇÖREN;CAMİLİ NA;18 NOLU CUMHURİYET SOKAK;sokak;488428
AKSARAY;AĞAÇÖREN;CAMİLİ NA;18 NOLU FATİH SOKAK;sokak;482465
AKSARAY;AĞAÇÖREN;CAMİLİ NA;18 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492703
AKSARAY;AĞAÇÖREN;CAMİLİ NA;19 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492714
AKSARAY;AĞAÇÖREN;CAMİLİ NA;19 NOLU YILMAZLAR SOKAK;sokak;479418
AKSARAY;AĞAÇÖREN;CAMİLİ NA;2 NOLU FATİH SOKAK;sokak;482103
AKSARAY;AĞAÇÖREN;CAMİLİ NA;2 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492698
AKSARAY;AĞAÇÖREN;CAMİLİ NA;2 NOLU YILMAZLAR SOKAK;sokak;486155
AKSARAY;AĞAÇÖREN;CAMİLİ NA;20 NOLU CUMHURİYET SOKAK;sokak;493060
AKSARAY;AĞAÇÖREN;CAMİLİ NA;20 NOLU FATİH SOKAK;sokak;486172
AKSARAY;AĞAÇÖREN;CAMİLİ NA;20 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492715
AKSARAY;AĞAÇÖREN;CAMİLİ NA;20 NOLU YILMAZLAR SOKAK;sokak;479419
AKSARAY;AĞAÇÖREN;CAMİLİ NA;21 NOLU CUMHURİYET SOKAK;sokak;481875
AKSARAY;AĞAÇÖREN;CAMİLİ NA;21 NOLU FATİH SOKAK;sokak;482109
AKSARAY;AĞAÇÖREN;CAMİLİ NA;21 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492716
AKSARAY;AĞAÇÖREN;CAMİLİ NA;21 NOLU YILMAZLAR SOKAK;sokak;479420
AKSARAY;AĞAÇÖREN;CAMİLİ NA;22 NOLU CUMHURİYET SOKAK;sokak;481885
AKSARAY;AĞAÇÖREN;CAMİLİ NA;22 NOLU FATİH SOKAK;sokak;482478
AKSARAY;AĞAÇÖREN;CAMİLİ NA;22 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492692
AKSARAY;AĞAÇÖREN;CAMİLİ NA;22 NOLU YILMAZLAR SOKAK;sokak;479421
AKSARAY;AĞAÇÖREN;CAMİLİ NA;23 FATİH SOKAK;sokak;482114
AKSARAY;AĞAÇÖREN;CAMİLİ NA;23 NOLU CUMHURİYET SOKAK;sokak;489321
AKSARAY;AĞAÇÖREN;CAMİLİ NA;23 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492704
AKSARAY;AĞAÇÖREN;CAMİLİ NA;23 NOLU YILMAZLAR SOKAK;sokak;479428
AKSARAY;AĞAÇÖREN;CAMİLİ NA;24 NOLU FATİH SOKAK;sokak;482467
AKSARAY;AĞAÇÖREN;CAMİLİ NA;24 NOLU YILMAZLAR SOKAK;sokak;479429
AKSARAY;AĞAÇÖREN;CAMİLİ NA;25 NOLU CUMHURİYET SOKAK;sokak;481888
AKSARAY;AĞAÇÖREN;CAMİLİ NA;25 NOLU FATİH SOKAK;sokak;482468
AKSARAY;AĞAÇÖREN;CAMİLİ NA;25 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492705
AKSARAY;AĞAÇÖREN;CAMİLİ NA;25 NOLU YILMAZLAR SOKAK;sokak;479430
AKSARAY;AĞAÇÖREN;CAMİLİ NA;27 FATİH SOKAK;sokak;485803
AKSARAY;AĞAÇÖREN;CAMİLİ NA;27 NOLU CUMHURİYET SOKAK;sokak;481884
AKSARAY;AĞAÇÖREN;CAMİLİ NA;27 NOLU YILMAZLAR SOKAK;sokak;484481
AKSARAY;AĞAÇÖREN;CAMİLİ NA;28 NOLU CUMHURİYET SOKAK;sokak;489331
AKSARAY;AĞAÇÖREN;CAMİLİ NA;28 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492696
AKSARAY;AĞAÇÖREN;CAMİLİ NA;28 NOLU YILMAZLAR SOKAK;sokak;484822
AKSARAY;AĞAÇÖREN;CAMİLİ NA;29 FATİH SOKAK;sokak;485805
AKSARAY;AĞAÇÖREN;CAMİLİ NA;29 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492697
AKSARAY;AĞAÇÖREN;CAMİLİ NA;29 NOLU YILMAZLAR SOKAK;sokak;479424
AKSARAY;AĞAÇÖREN;CAMİLİ NA;3 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492699
AKSARAY;AĞAÇÖREN;CAMİLİ NA;3 SOKAK;sokak;764235990
AKSARAY;AĞAÇÖREN;CAMİLİ NA;30 FATİH SOKAK;sokak;485806
AKSARAY;AĞAÇÖREN;CAMİLİ NA;30 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492718
AKSARAY;AĞAÇÖREN;CAMİLİ NA;30 NOLU YILMAZLAR SOKAK;sokak;479425
AKSARAY;AĞAÇÖREN;CAMİLİ NA;31 NOLU CUMHURİYET SOKAK;sokak;493062
AKSARAY;AĞAÇÖREN;CAMİLİ NA;31 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492706
AKSARAY;AĞAÇÖREN;CAMİLİ NA;31 NOLU YILMAZLAR SOKAK;sokak;484476
AKSARAY;AĞAÇÖREN;CAMİLİ NA;32 NOLU FATİH SOKAK;sokak;482469
AKSARAY;AĞAÇÖREN;CAMİLİ NA;32 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492707
AKSARAY;AĞAÇÖREN;CAMİLİ NA;32 NOLU YILMAZLAR SOKAK;sokak;484477
AKSARAY;AĞAÇÖREN;CAMİLİ NA;32 NOLU YILMAZLAR/1 SOKAK;sokak;411438920
AKSARAY;AĞAÇÖREN;CAMİLİ NA;33 NOLU FATİH SOKAK;sokak;482470
AKSARAY;AĞAÇÖREN;CAMİLİ NA;33 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492708
AKSARAY;AĞAÇÖREN;CAMİLİ NA;34 CUMHURİYET SOKAK;sokak;493064
AKSARAY;AĞAÇÖREN;CAMİLİ NA;34 NOLU FATİH SOKAK;sokak;482471
AKSARAY;AĞAÇÖREN;CAMİLİ NA;34 NOLU SOKAK;sokak;507763840
AKSARAY;AĞAÇÖREN;CAMİLİ NA;35 CUMHURİYET SOKAK;sokak;493067
AKSARAY;AĞAÇÖREN;CAMİLİ NA;35 NOLU FATİH SOKAK;sokak;482472
AKSARAY;AĞAÇÖREN;CAMİLİ NA;36 NOLU FATİH SOKAK;sokak;482473
AKSARAY;AĞAÇÖREN;CAMİLİ NA;36 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492720
AKSARAY;AĞAÇÖREN;CAMİLİ NA;37 FATİH SOKAK;sokak;485807
AKSARAY;AĞAÇÖREN;CAMİLİ NA;37 NOLU CUMHURİYET SOKAK;sokak;489327
AKSARAY;AĞAÇÖREN;CAMİLİ NA;38 NOLU CUMHURİYET SOKAK;sokak;489328
AKSARAY;AĞAÇÖREN;CAMİLİ NA;38 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492722
AKSARAY;AĞAÇÖREN;CAMİLİ NA;39 NOLU CUMHURİYET SOKAK;sokak;491629
AKSARAY;AĞAÇÖREN;CAMİLİ NA;39 NOLU FATİH SOKAK;sokak;482474
AKSARAY;AĞAÇÖREN;CAMİLİ NA;39 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492723
AKSARAY;AĞAÇÖREN;CAMİLİ NA;4 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492700
AKSARAY;AĞAÇÖREN;CAMİLİ NA;4 NOLU YILMAZLAR SOKAK;sokak;486157
AKSARAY;AĞAÇÖREN;CAMİLİ NA;40 NOLU CUMHURİYET SOKAK;sokak;491630
AKSARAY;AĞAÇÖREN;CAMİLİ NA;40 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492724
AKSARAY;AĞAÇÖREN;CAMİLİ NA;41 FATİH SOKAK;sokak;485787
AKSARAY;AĞAÇÖREN;CAMİLİ NA;42 NOLU CUMHURİYET SOKAK;sokak;481862
AKSARAY;AĞAÇÖREN;CAMİLİ NA;42 NOLU FATİH SOKAK;sokak;482476
AKSARAY;AĞAÇÖREN;CAMİLİ NA;42 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492726
AKSARAY;AĞAÇÖREN;CAMİLİ NA;43 FATİH SOKAK;sokak;485789
AKSARAY;AĞAÇÖREN;CAMİLİ NA;43 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492727
AKSARAY;AĞAÇÖREN;CAMİLİ NA;44 NOLU CUMHURİYET SOKAK;sokak;481866
AKSARAY;AĞAÇÖREN;CAMİLİ NA;44 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492728
AKSARAY;AĞAÇÖREN;CAMİLİ NA;45 NOLU FATİH SOKAK;sokak;482480
AKSARAY;AĞAÇÖREN;CAMİLİ NA;46 NOLU FATİH SOKAK;sokak;482481
AKSARAY;AĞAÇÖREN;CAMİLİ NA;46 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492730
AKSARAY;AĞAÇÖREN;CAMİLİ NA;48 NOLU FATİH SOKAK;sokak;482483
AKSARAY;AĞAÇÖREN;CAMİLİ NA;49 NOLU FATİH SOKAK;sokak;482484
AKSARAY;AĞAÇÖREN;CAMİLİ NA;5 NOLU FATİH SOKAK;sokak;482119
AKSARAY;AĞAÇÖREN;CAMİLİ NA;5 NOLU ŞEHİT RASİM BOZKURT SOKAK;sokak;492687
AKSARAY;AĞAÇÖREN;CAMİLİ NA;50 NOLU CUMHURİYET SOKAK;sokak;481868
