il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
AMASYA;GÖYNÜCEK;ABACI NA;ABACI KÜME EVLER;sokak;217367
AMASYA;GÖYNÜCEK;ALANKÖY NA;ALAN KÜME EVLER;sokak;694675
AMASYA;GÖYNÜCEK;ARDIÇPINAR NA;ARDIÇPINAR KÜME EVLER;sokak;658804
AMASYA;GÖYNÜCEK;ASAR NA;ASAR KÜME EVLER;sokak;669185
AMASYA;GÖYNÜCEK;AYVALIPINAR NA;AYVALIPINAR/1 KÜME EVLER;sokak;388422
AMASYA;GÖYNÜCEK;BAŞPINAR NA;BAŞPINAR KÜME EVLER;sokak;163488
AMASYA;GÖYNÜCEK;BEKDEMİR NA;BEKDEMİR KÜME EVLER;sokak;644567
AMASYA;GÖYNÜCEK;BEŞİKTEPE NA;BEŞİKTEPE KÜME EVLER;sokak;661830
AMASYA;GÖYNÜCEK;CUMHURİYET;AKÇA SOKAK;sokak;358587
AMASYA;GÖYNÜCEK;CUMHURİYET;AKKAYA SOKAK;sokak;517588
AMASYA;GÖYNÜCEK;CUMHURİYET;ALPARSLAN TÜRKEŞ CADDE;cadde;517583
AMASYA;GÖYNÜCEK;CUMHURİYET;ARDUÇ SOKAK;sokak;358582
AMASYA;GÖYNÜCEK;CUMHURİYET;ASİL SOKAK;sokak;508622
AMASYA;GÖYNÜCEK;CUMHURİYET;ATATÜRK CADDE;cadde;95965
AMASYA;GÖYNÜCEK;CUMHURİYET;BAKIR KÜME EVLER;sokak;612976281
AMASYA;GÖYNÜCEK;CUMHURİYET;BAYINDIR SOKAK;sokak;517587
AMASYA;GÖYNÜCEK;CUMHURİYET;BİLAL KARA SOKAK;sokak;508273
AMASYA;GÖYNÜCEK;CUMHURİYET;CIBIR SOKAK;sokak;508272
AMASYA;GÖYNÜCEK;CUMHURİYET;CUMHURİYET CADDE;cadde;95966
AMASYA;GÖYNÜCEK;CUMHURİYET;ÇAĞLAR SOKAK;sokak;508627
AMASYA;GÖYNÜCEK;CUMHURİYET;ÇAPANOĞLU CADDE;cadde;388377
AMASYA;GÖYNÜCEK;CUMHURİYET;ÇELİK SOKAK;sokak;517589
AMASYA;GÖYNÜCEK;CUMHURİYET;ÇITAK SOKAK;sokak;517593
AMASYA;GÖYNÜCEK;CUMHURİYET;DİLEK SOKAK;sokak;437258860
AMASYA;GÖYNÜCEK;CUMHURİYET;ESKİ YOL SOKAK;sokak;508275
AMASYA;GÖYNÜCEK;CUMHURİYET;GARİP YUMAK SOKAK;sokak;358518
AMASYA;GÖYNÜCEK;CUMHURİYET;GÜCÜK SOKAK;sokak;517591
AMASYA;GÖYNÜCEK;CUMHURİYET;KARACA SOKAK;sokak;358580
AMASYA;GÖYNÜCEK;CUMHURİYET;KAYACIKDERE SOKAK;sokak;889833410
AMASYA;GÖYNÜCEK;CUMHURİYET;KESMEKAYA SOKAK;sokak;508629
AMASYA;GÖYNÜCEK;CUMHURİYET;KOÇ SOKAK;sokak;620475761
AMASYA;GÖYNÜCEK;CUMHURİYET;LİSE CADDE;cadde;95968
AMASYA;GÖYNÜCEK;CUMHURİYET;MENEKŞE SOKAK;sokak;508625
