il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ANKARA;AKYURT;AHMETADİL;AHMETADİL KÜME EVLER;sokak;401747
ANKARA;AKYURT;AHMETADİL;KARAYATAK KÜME EVLER;sokak;183323870
ANKARA;AKYURT;ATATÜRK;ATATÜRK8 CADDE;cadde;113565810
ANKARA;AKYURT;ATATÜRK;BABACAN SOKAK;sokak;687476
ANKARA;AKYURT;ATATÜRK;BAKIRTAŞI SOKAK;sokak;419500
ANKARA;AKYURT;ATATÜRK;BALABAN SOKAK;sokak;683463
ANKARA;AKYURT;ATATÜRK;BANDIRMA SOKAK;sokak;684538
ANKARA;AKYURT;ATATÜRK;BAŞARI CADDE;cadde;419499
ANKARA;AKYURT;ATATÜRK;BAŞÇAVUŞ SOKAK;sokak;419498
ANKARA;AKYURT;ATATÜRK;BERAT SOKAK;sokak;692184
ANKARA;AKYURT;ATATÜRK;BEYHUDE SOKAK;sokak;691312
ANKARA;AKYURT;ATATÜRK;BOSNA SOKAK;sokak;685634
ANKARA;AKYURT;ATATÜRK;CAN KURTARAN SOKAK;sokak;58499
ANKARA;AKYURT;ATATÜRK;CANFEZA SOKAK;sokak;686450
ANKARA;AKYURT;ATATÜRK;CEMRE SOKAK;sokak;375549
ANKARA;AKYURT;ATATÜRK;CENGAVER CADDE;cadde;58500
ANKARA;AKYURT;ATATÜRK;CENK SOKAK;sokak;419497
ANKARA;AKYURT;ATATÜRK;CENKER SOKAK;sokak;681399
ANKARA;AKYURT;ATATÜRK;CENNET SOKAK;sokak;752925
ANKARA;AKYURT;ATATÜRK;CEVAHİR SOKAK;sokak;58501
ANKARA;AKYURT;ATATÜRK;CEVHER SOKAK;sokak;681411
ANKARA;AKYURT;ATATÜRK;CEVİZ SOKAK;sokak;682682
ANKARA;AKYURT;ATATÜRK;CEYLAN SOKAK;sokak;58502
ANKARA;AKYURT;ATATÜRK;CİHAN SOKAK;sokak;691756
ANKARA;AKYURT;ATATÜRK;CİHANGİR CADDE;cadde;375550
ANKARA;AKYURT;ATATÜRK;COŞAR SOKAK;sokak;419494
ANKARA;AKYURT;ATATÜRK;COŞKUN SOKAK;sokak;682414
ANKARA;AKYURT;ATATÜRK;ÇAĞLAYAN SOKAK;sokak;375553
ANKARA;AKYURT;ATATÜRK;ÇAĞRI SOKAK;sokak;58513
ANKARA;AKYURT;ATATÜRK;ÇAKIR SOKAK;sokak;58507
ANKARA;AKYURT;ATATÜRK;ÇALDIRAN CADDE;cadde;58508
ANKARA;AKYURT;ATATÜRK;ÇALI KUŞU SOKAK;sokak;118131
ANKARA;AKYURT;ATATÜRK;ÇALI SOKAK;sokak;754154
ANKARA;AKYURT;ATATÜRK;ÇALIŞKAN SOKAK;sokak;58509
ANKARA;AKYURT;ATATÜRK;ÇAM CADDE;cadde;375552
ANKARA;AKYURT;ATATÜRK;ÇAMDİBİ SOKAK;sokak;685699
ANKARA;AKYURT;ATATÜRK;ÇAMLIK SOKAK;sokak;686587
ANKARA;AKYURT;ATATÜRK;ÇANKIRI BULVAR;sokak;675489
ANKARA;AKYURT;ATATÜRK;ÇAPA SOKAK;sokak;674751
ANKARA;AKYURT;ATATÜRK;ÇARDAK SOKAK;sokak;58510
ANKARA;AKYURT;ATATÜRK;ÇAVUŞ SOKAK;sokak;58511
ANKARA;AKYURT;ATATÜRK;ÇAYELİ SOKAK;sokak;403246
ANKARA;AKYURT;ATATÜRK;ÇAYIR SOKAK;sokak;58512
ANKARA;AKYURT;ATATÜRK;ÇEKİÇ SOKAK;sokak;681403
ANKARA;AKYURT;ATATÜRK;ÇEKİM SOKAK;sokak;686372
ANKARA;AKYURT;ATATÜRK;ÇEKİRDEK CADDE;cadde;118605
ANKARA;AKYURT;ATATÜRK;ÇEKİRGE SOKAK;sokak;336805
ANKARA;AKYURT;ATATÜRK;ÇELEBİ CADDE;cadde;375554
ANKARA;AKYURT;ATATÜRK;ÇELENK SOKAK;sokak;58514
ANKARA;AKYURT;ATATÜRK;ÇELİK SOKAK;sokak;58515
ANKARA;AKYURT;ATATÜRK;ÇERKEZ SOKAK;sokak;58516
ANKARA;AKYURT;ATATÜRK;ÇEŞME SOKAK;sokak;58517
ANKARA;AKYURT;ATATÜRK;ÇEVİK SOKAK;sokak;375555
ANKARA;AKYURT;ATATÜRK;ÇEVRE SOKAK;sokak;118606
ANKARA;AKYURT;ATATÜRK;ÇIKMAZ SOKAK;sokak;58518
ANKARA;AKYURT;ATATÜRK;ÇINAR CADDE;cadde;405040
ANKARA;AKYURT;ATATÜRK;ÇİÇEK SOKAK;sokak;58520
ANKARA;AKYURT;ATATÜRK;ÇİFTLİK CADDE;cadde;375556
ANKARA;AKYURT;ATATÜRK;ÇİĞDEM SOKAK;sokak;375557
ANKARA;AKYURT;ATATÜRK;ÇİLEK SOKAK;sokak;685319
ANKARA;AKYURT;ATATÜRK;ÇİMEN SOKAK;sokak;58519
ANKARA;AKYURT;ATATÜRK;ÇİTAK SOKAK;sokak;759989
ANKARA;AKYURT;ATATÜRK;ÇİTLENBİK SOKAK;sokak;691808
ANKARA;AKYURT;ATATÜRK;ÇİVİ SOKAK;sokak;681667
ANKARA;AKYURT;ATATÜRK;DEĞİRMEN ÖNÜ KÜME EVLER;sokak;104329
ANKARA;AKYURT;ATATÜRK;ERGUVAN SOKAK;sokak;686460
ANKARA;AKYURT;ATATÜRK;FESLEĞEN SOKAK;sokak;690901
ANKARA;AKYURT;ATATÜRK;FIRAT SOKAK;sokak;680713
ANKARA;AKYURT;ATATÜRK;FİDANLIK CADDE;cadde;681597
ANKARA;AKYURT;ATATÜRK;GÖKNAR SOKAK;sokak;337154
ANKARA;AKYURT;ATATÜRK;GÖKSU SOKAK;sokak;681057
ANKARA;AKYURT;ATATÜRK;GÖLBAŞI CADDE;cadde;58503
ANKARA;AKYURT;ATATÜRK;GÜÇLÜ SOKAK;sokak;690508
ANKARA;AKYURT;ATATÜRK;GÜLPEMBE SOKAK;sokak;686913
ANKARA;AKYURT;ATATÜRK;HANEDAN CADDE;cadde;681858
ANKARA;AKYURT;ATATÜRK;HARMAN SOKAK;sokak;58504
ANKARA;AKYURT;ATATÜRK;IHLAMUR SOKAK;sokak;682330
ANKARA;AKYURT;ATATÜRK;İSTİKLAL SOKAK;sokak;682469
ANKARA;AKYURT;ATATÜRK;KAAN SOKAK;sokak;682461
ANKARA;AKYURT;ATATÜRK;KAMELYA SOKAK;sokak;681936
ANKARA;AKYURT;ATATÜRK;KARACA SOKAK;sokak;686912
ANKARA;AKYURT;ATATÜRK;KIRKKIZ CADDE;cadde;58505
ANKARA;AKYURT;ATATÜRK;KIZIK CADDE;cadde;58506
ANKARA;AKYURT;ATATÜRK;LALE SOKAK;sokak;684250
ANKARA;AKYURT;ATATÜRK;LAVANTA SOKAK;sokak;682325
ANKARA;AKYURT;ATATÜRK;ŞEHİT MUSTAFA KALE CADDE;cadde;685644
ANKARA;AKYURT;ATATÜRK;ŞEHİT SATILMIŞ TAŞDELEN CADDE;cadde;118607
ANKARA;AKYURT;ATATÜRK;VATAN CADDE;cadde;684366
ANKARA;AKYURT;BALIKHİSAR;25 CADDE;cadde;1325679
ANKARA;AKYURT;BALIKHİSAR;26 CADDE;cadde;979578
ANKARA;AKYURT;BALIKHİSAR;27 CADDE;cadde;924988
ANKARA;AKYURT;BALIKHİSAR;28 CADDE;cadde;1009674
ANKARA;AKYURT;BALIKHİSAR;29 CADDE;cadde;1009676
ANKARA;AKYURT;BALIKHİSAR;30 CADDE;cadde;1009690
ANKARA;AKYURT;BALIKHİSAR;33 CADDE;cadde;980009
ANKARA;AKYURT;BALIKHİSAR;34 CADDE;cadde;1009708
ANKARA;AKYURT;BALIKHİSAR;42 CADDE;cadde;1009740
ANKARA;AKYURT;BALIKHİSAR;43 SOKAK;sokak;1009764
ANKARA;AKYURT;BALIKHİSAR;44 SOKAK;sokak;1010641
ANKARA;AKYURT;BALIKHİSAR;46 SOKAK;sokak;926423
ANKARA;AKYURT;BALIKHİSAR;47 CADDE;cadde;1009816
ANKARA;AKYURT;BALIKHİSAR;48 CADDE;cadde;928640
ANKARA;AKYURT;BALIKHİSAR;49 SOKAK;sokak;1009820
ANKARA;AKYURT;BALIKHİSAR;ANKARA BULVAR;sokak;1010685
ANKARA;AKYURT;BALIKHİSAR;BALIKHİSAR KÖY İÇİ KÜME EVLER;sokak;652667
ANKARA;AKYURT;BALIKHİSAR;ÇANKIRI BULVAR;sokak;833353
