il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ANTALYA;AKSEKİ;AKŞAHAP;AKŞAHAP KÜME EVLER;sokak;487936
ANTALYA;AKSEKİ;ALAÇEŞME;ALAÇEŞME KÜME EVLER;sokak;497507
ANTALYA;AKSEKİ;ALAÇEŞME;ANTALYA KONYA KARAYOLU BULVAR;sokak;384189920
ANTALYA;AKSEKİ;ALAÇEŞME;CENDEVE KÜME EVLER;sokak;192135860
ANTALYA;AKSEKİ;AŞAĞIAŞIKLAR;ANTALYA KONYA KARAYOLU BULVAR;sokak;145278320
ANTALYA;AKSEKİ;AŞAĞIAŞIKLAR;AŞAĞIAŞIKLAR KÜME EVLER;sokak;494760
ANTALYA;AKSEKİ;BADEMLİ;AKSEKİ SEYDİŞEHİR BULVAR;sokak;277210590
ANTALYA;AKSEKİ;BADEMLİ;AKSEKİ SEYDİŞEHİR/1 SOKAK;sokak;544613550
ANTALYA;AKSEKİ;BADEMLİ;ALBAYRAK SOKAK;sokak;397096
ANTALYA;AKSEKİ;BADEMLİ;AYDOĞDU SOKAK;sokak;397093
ANTALYA;AKSEKİ;BADEMLİ;BADEMLI/17 SOKAK;sokak;983878140
ANTALYA;AKSEKİ;BADEMLİ;BADEMLI/2 SOKAK;sokak;510638160
ANTALYA;AKSEKİ;BADEMLİ;BADEMLI/21 SOKAK;sokak;184126680
ANTALYA;AKSEKİ;BADEMLİ;BADEMLI/5 SOKAK;sokak;381475830
ANTALYA;AKSEKİ;BADEMLİ;BADEMLİ CAMİİ SOKAK;sokak;106233
ANTALYA;AKSEKİ;BADEMLİ;BADEMLİ CAMİİ/1 SOKAK;sokak;318064580
ANTALYA;AKSEKİ;BADEMLİ;BADEMLİ CAMİİ/2 SOKAK;sokak;765875910
ANTALYA;AKSEKİ;BADEMLİ;BAĞARASI SOKAK;sokak;106232
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET (FATİH) CADDE;cadde;106234
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET CADDE;cadde;106225
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/1 SOKAK;sokak;691598530
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/10 SOKAK;sokak;323626420
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/11 SOKAK;sokak;370469190
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/12 SOKAK;sokak;173210920
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/2 SOKAK;sokak;765567860
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/3 SOKAK;sokak;130754030
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/4 SOKAK;sokak;176632870
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/5 SOKAK;sokak;936858810
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/6 SOKAK;sokak;173709090
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/7 SOKAK;sokak;928970990
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/8 SOKAK;sokak;502300770
ANTALYA;AKSEKİ;BADEMLİ;CUMHURİYET/9 SOKAK;sokak;801939980
ANTALYA;AKSEKİ;BADEMLİ;ÇAKMAK SOKAK;sokak;397099
ANTALYA;AKSEKİ;BADEMLİ;ÇAM BAYIRI SOKAK;sokak;106240
ANTALYA;AKSEKİ;BADEMLİ;ÇAM BAYIRI/1 SOKAK;sokak;641159260
ANTALYA;AKSEKİ;BADEMLİ;ÇAM BAYIRI/2 SOKAK;sokak;142602440
ANTALYA;AKSEKİ;BADEMLİ;ÇAM BAYIRI/3 SOKAK;sokak;873348430
ANTALYA;AKSEKİ;BADEMLİ;ÇAM BAYIRI/4 SOKAK;sokak;457885930
ANTALYA;AKSEKİ;BADEMLİ;ÇİĞDEM SOKAK;sokak;106223
ANTALYA;AKSEKİ;BADEMLİ;DAR SOKAK;sokak;106226
ANTALYA;AKSEKİ;BADEMLİ;DERE SOKAK;sokak;106227
ANTALYA;AKSEKİ;BADEMLİ;ERDOĞAN SOKAK;sokak;397094
ANTALYA;AKSEKİ;BADEMLİ;FATİH CADDE;cadde;106228
ANTALYA;AKSEKİ;BADEMLİ;FATİH/2 SOKAK;sokak;110100140
ANTALYA;AKSEKİ;BADEMLİ;FATİH/3 SOKAK;sokak;370950980
ANTALYA;AKSEKİ;BADEMLİ;FATİH/4 SOKAK;sokak;369309720
ANTALYA;AKSEKİ;BADEMLİ;FATİH/5 SOKAK;sokak;840924360
ANTALYA;AKSEKİ;BADEMLİ;KADEME SOKAK;sokak;106229
ANTALYA;AKSEKİ;BADEMLİ;KAŞIKÇI SOKAK;sokak;397097
ANTALYA;AKSEKİ;BADEMLİ;KUYU SOKAK;sokak;397095
ANTALYA;AKSEKİ;BADEMLİ;KÜME KÜME EVLER;sokak;487715
ANTALYA;AKSEKİ;BADEMLİ;LALE SOKAK;sokak;106235
ANTALYA;AKSEKİ;BADEMLİ;MEHMET AKİF CADDE;cadde;106230
ANTALYA;AKSEKİ;BADEMLİ;MEHMET AKİF/1 SOKAK;sokak;759160150
ANTALYA;AKSEKİ;BADEMLİ;MENDERES SOKAK;sokak;106236
ANTALYA;AKSEKİ;BADEMLİ;MUHARREM DAGDELEN/1 SOKAK;sokak;218819170
ANTALYA;AKSEKİ;BADEMLİ;MUHARREM DAĞDELEN CADDE;cadde;106231
ANTALYA;AKSEKİ;BADEMLİ;MUHARREM DAĞDELEN FATİH SOKAK;sokak;397098
ANTALYA;AKSEKİ;BADEMLİ;NAMIK KEMAL BADEMLİ CADDE;cadde;106219
ANTALYA;AKSEKİ;BADEMLİ;OKUL BADEMLİ SOKAK;sokak;106237
ANTALYA;AKSEKİ;BADEMLİ;ÖZEN SOKAK;sokak;106224
ANTALYA;AKSEKİ;BADEMLİ;SÖYLEMEZ SOKAK;sokak;397091
ANTALYA;AKSEKİ;BADEMLİ;TERZİ SOKAK;sokak;106220
ANTALYA;AKSEKİ;BADEMLİ;TUĞSUZ SOKAK;sokak;106238
ANTALYA;AKSEKİ;BADEMLİ;YAKA SOKAK;sokak;106221
ANTALYA;AKSEKİ;BADEMLİ;YAYLA CADDE;cadde;106222
ANTALYA;AKSEKİ;BADEMLİ;YAYLA FATİH CADDE;cadde;106239
ANTALYA;AKSEKİ;BADEMLİ;YILDIZ SOKAK;sokak;397092
ANTALYA;AKSEKİ;BELENALAN;BELENALAN KÜME EVLER;sokak;519209
ANTALYA;AKSEKİ;BOĞAZ;1 NOLU BB SOKAK;sokak;1479159
ANTALYA;AKSEKİ;BOĞAZ;3 NOLU SOKAK;sokak;545854921
ANTALYA;AKSEKİ;BOĞAZ;A.GANİ SINIK CADDE;cadde;397670
ANTALYA;AKSEKİ;BOĞAZ;A.GANİ SINIK/1 SOKAK;sokak;894084210
ANTALYA;AKSEKİ;BOĞAZ;ABBASLI SOKAK;sokak;122816970
ANTALYA;AKSEKİ;BOĞAZ;BEYÇUKURU- KÜME EVLER;sokak;107456
ANTALYA;AKSEKİ;BOĞAZ;BOĞAZ YURT- KÜME EVLER;sokak;399007
ANTALYA;AKSEKİ;BOĞAZ;BOZYER MEVKİİ- KÜME EVLER;sokak;207280
ANTALYA;AKSEKİ;BOĞAZ;DELİOĞLANLI- KÜME EVLER;sokak;107457
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU SOKAK;sokak;126812190
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/1 SOKAK;sokak;613736190
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/10 SOKAK;sokak;959644660
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/11 SOKAK;sokak;595708380
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/12 SOKAK;sokak;313814600
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/15 SOKAK;sokak;221897160
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/2 SOKAK;sokak;208377530
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/3 SOKAK;sokak;789441540
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/4 SOKAK;sokak;103661360
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/5 SOKAK;sokak;310348460
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/6 SOKAK;sokak;727711400
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/7 SOKAK;sokak;610823760
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/8 SOKAK;sokak;234686890
ANTALYA;AKSEKİ;BOĞAZ;DEVEYOLU/9 SOKAK;sokak;362776220
ANTALYA;AKSEKİ;BOĞAZ;EMRULLAH SOKAK;sokak;105754
ANTALYA;AKSEKİ;BOĞAZ;GARİP HOCA SOKAK;sokak;105755
ANTALYA;AKSEKİ;BOĞAZ;GARİP HOCA/1 SOKAK;sokak;207494790
ANTALYA;AKSEKİ;BOĞAZ;GARİP HOCA/2 SOKAK;sokak;493657520
ANTALYA;AKSEKİ;BOĞAZ;GARİP HOCA/3 SOKAK;sokak;752704700
ANTALYA;AKSEKİ;BOĞAZ;HACI ALİ SOKAK;sokak;105756
ANTALYA;AKSEKİ;BOĞAZ;HALKALI YAZI- KÜME EVLER;sokak;107458
ANTALYA;AKSEKİ;BOĞAZ;KALAYCI SOKAK;sokak;398997
ANTALYA;AKSEKİ;BOĞAZ;KALAYCI/1 SOKAK;sokak;887785760
ANTALYA;AKSEKİ;BOĞAZ;KALKANTAŞ- KÜME EVLER;sokak;107459
ANTALYA;AKSEKİ;BOĞAZ;KIZIL İNİŞ- KÜME EVLER;sokak;207281
ANTALYA;AKSEKİ;BOĞAZ;KOVACIOĞLU SOKAK;sokak;105757
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK CADDE;cadde;137729590
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/14 SOKAK;sokak;244442910
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/29 SOKAK;sokak;986886740
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/30 SOKAK;sokak;265543940
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/31 SOKAK;sokak;268944930
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/32 SOKAK;sokak;144247410
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/33 SOKAK;sokak;235054070
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/34 SOKAK;sokak;181236610
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/35 SOKAK;sokak;204597230
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/36 SOKAK;sokak;233753300
ANTALYA;AKSEKİ;BOĞAZ;MUSTAFA DURUK/37 SOKAK;sokak;144327100
