il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ARDAHAN;ÇILDIR;AĞILLI NA;AĞILLI KÜME EVLER;sokak;532557
ARDAHAN;ÇILDIR;AKÇAKALE NA;AKÇAKALE KÜME EVLER;sokak;603404
ARDAHAN;ÇILDIR;AKÇIL NA;AKÇIL KÜME EVLER;sokak;611703
ARDAHAN;ÇILDIR;AKDARI NA;AKDARI KÜME EVLER;sokak;522599
ARDAHAN;ÇILDIR;AKKİRAZ NA;AKKİRAZ KÜME EVLER;sokak;527856
ARDAHAN;ÇILDIR;AŞAĞICAMBAZ NA;AŞAĞICAMBAZ KÜME EVLER;sokak;322735
ARDAHAN;ÇILDIR;AŞIKŞENLİK;ATATÜRK / SUHARA MAH. CADDE;cadde;557419610
ARDAHAN;ÇILDIR;AŞIKŞENLİK;ATATÜRK / YAKINSU MAH. CADDE;cadde;30612
ARDAHAN;ÇILDIR;AŞIKŞENLİK;DAĞ SOKAK;sokak;149275451
ARDAHAN;ÇILDIR;AŞIKŞENLİK;İSMET PAŞA CADDE;cadde;30616
ARDAHAN;ÇILDIR;AŞIKŞENLİK;KALAÇA SOKAK;sokak;833845521
ARDAHAN;ÇILDIR;AŞIKŞENLİK;KAYABEYİ KÜME EVLER;sokak;613082841
ARDAHAN;ÇILDIR;AŞIKŞENLİK;TÜRBE SOKAK;sokak;589174690
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ AŞIKŞENLİK 1 SOKAK;sokak;596360681
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ AŞIKŞENLİK 2 SOKAK;sokak;825172691
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ AŞIKŞENLİK 3 SOKAK;sokak;703546911
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ AŞIKŞENLİK 4 SOKAK;sokak;386023481
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ AŞIKŞENLİK 5 SOKAK;sokak;212582641
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ ATATÜRK 1 SOKAK;sokak;871853360
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ ATATÜRK 2 SOKAK;sokak;301966380
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ DAĞ 1 SOKAK;sokak;336046530
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ DAĞ 2 SOKAK;sokak;158554220
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ İSMET PAŞA 1 SOKAK;sokak;360521731
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ İSMET PAŞA 2 SOKAK;sokak;470997831
ARDAHAN;ÇILDIR;AŞIKŞENLİK;YENİ KALAÇA 1 SOKAK;sokak;383552361
ARDAHAN;ÇILDIR;BALTALI NA;BALTALI KÜME EVLER;sokak;600504
ARDAHAN;ÇILDIR;BAŞKÖY NA;BAŞKÖY KÜME EVLER;sokak;519863
ARDAHAN;ÇILDIR;ÇANKAYA;AKTAŞ SOKAK;sokak;650235251
ARDAHAN;ÇILDIR;ÇANKAYA;ERCAN ŞİRİN CADDE;cadde;106084
ARDAHAN;ÇILDIR;ÇANKAYA;KURTKALE 1 SOKAK;sokak;934347100
ARDAHAN;ÇILDIR;ÇANKAYA;KURTKALE 2 SOKAK;sokak;608818280
ARDAHAN;ÇILDIR;ÇANKAYA;KURTKALE 3 SOKAK;sokak;714785981
ARDAHAN;ÇILDIR;ÇANKAYA;PRF.ESBENDER KORKMAZ CADDE;cadde;487454000
ARDAHAN;ÇILDIR;ÇANKAYA;YENİ ÇAY YOL 1 SOKAK;sokak;365372310
ARDAHAN;ÇILDIR;ÇAY;ADEM YAVUZ SOKAK;sokak;106085
ARDAHAN;ÇILDIR;ÇAY;ATİF ABABAY CADDE;cadde;431718
ARDAHAN;ÇILDIR;ÇAY;ERCAN ŞİRİN CADDE;cadde;871789761
ARDAHAN;ÇILDIR;ÇAY;PRF.ESBENDER KORKMAZ CADDE;cadde;643158981
ARDAHAN;ÇILDIR;ÇAY;ŞEHİT ENGİN TÖRE SOKAK;sokak;1406679
ARDAHAN;ÇILDIR;ÇAY;YENİ ÇAY YOL 1 SOKAK;sokak;365372311
ARDAHAN;ÇILDIR;ÇAY;ZURZUNA 1 SOKAK;sokak;401014871
ARDAHAN;ÇILDIR;DAMLICA NA;DAMLICA KÜME EVLER;sokak;94175
ARDAHAN;ÇILDIR;DEDEKORKUT;ADİL YILMAZ CADDE;cadde;591479831
ARDAHAN;ÇILDIR;DEDEKORKUT;ARDAHAN KARS ÇEVRE YOLU/ UFUKTEPE MAH. CADDE;cadde;523445201
ARDAHAN;ÇILDIR;DEDEKORKUT;ARDAHAN KARS ÇEVRE YOLU/YENİ MAH. CADDE;cadde;567453180
ARDAHAN;ÇILDIR;DEDEKORKUT;AŞIK ŞENLİK 1 SOKAK;sokak;670014461
ARDAHAN;ÇILDIR;DEDEKORKUT;AŞIKŞENLİK SOKAK;sokak;558577
ARDAHAN;ÇILDIR;DEDEKORKUT;ATİF ABABAY CADDE;cadde;106586
ARDAHAN;ÇILDIR;DEDEKORKUT;DR. ESAT OKTAY CADDE;cadde;237913380
ARDAHAN;ÇILDIR;DEDEKORKUT;HASAN TAHSİN SOKAK;sokak;561812
ARDAHAN;ÇILDIR;DEDEKORKUT;KURU DERE KÜME EVLER;sokak;1405585
ARDAHAN;ÇILDIR;DEDEKORKUT;PRF. DR. YUSUF BAYRAKTAR 1 SOKAK;sokak;286050121
ARDAHAN;ÇILDIR;DEDEKORKUT;PRF. DR. YUSUF BAYRAKTAR 2 SOKAK;sokak;654841980
ARDAHAN;ÇILDIR;DEDEKORKUT;PRF. DR. YUSUF BAYRAKTAR 3 SOKAK;sokak;773706090
ARDAHAN;ÇILDIR;DEDEKORKUT;PRF.DR.YUSUF BAYRAKTAR CADDE;cadde;550135
ARDAHAN;ÇILDIR;DEDEKORKUT;ŞEHİT ZİYATTİN YILMAZ SOKAK;sokak;568827
ARDAHAN;ÇILDIR;DEDEKORKUT;YAYLA YOLU 1 SOKAK;sokak;127003650
ARDAHAN;ÇILDIR;DEDEKORKUT;YAYLA YOLU SOKAK;sokak;793278620
ARDAHAN;ÇILDIR;DEDEKORKUT;YENİ ŞEHİT ZİYATTİN YILMAZ 1 SOKAK;sokak;286521051
ARDAHAN;ÇILDIR;DEDEKORKUT;ZURZUNA 1 SOKAK;sokak;872144820
ARDAHAN;ÇILDIR;DEDEKORKUT;ZURZUNA SOKAK;sokak;536122710
ARDAHAN;ÇILDIR;DİRSEKKAYA NA;DİRSEKKAYA KÜME EVLER;sokak;196775
ARDAHAN;ÇILDIR;DOĞANKAYA NA;DOĞANKAYA KÜME EVLER;sokak;611069
ARDAHAN;ÇILDIR;ESKİBEYREHATUN NA;ESKİBEYREHATUN KÜME EVLER;sokak;519504
ARDAHAN;ÇILDIR;EŞMEPINAR NA;ÇILDIRLI AŞIK ŞENLİK1 SOKAK;sokak;775107740
ARDAHAN;ÇILDIR;EŞMEPINAR NA;EŞMEPINAR KÜME EVLER;sokak;42111
ARDAHAN;ÇILDIR;GÖLBELEN NA;GÖLBELEN KÜME EVLER;sokak;627624
ARDAHAN;ÇILDIR;GÖLEBAKAN NA;GÖLEBAKAN KÜME EVLER;sokak;515714
ARDAHAN;ÇILDIR;GÜVENOCAK NA;GÜVENOCAK KÜME EVLER;sokak;516321
ARDAHAN;ÇILDIR;KARAKALE NA;KARAKALE KÜME EVLER;sokak;523770
ARDAHAN;ÇILDIR;KAŞLIKAYA NA;KAŞLIKAYA KÜME EVLER;sokak;518709
ARDAHAN;ÇILDIR;KAYABEYİ NA;KAYABEYİ KÜME EVLER;sokak;531397
ARDAHAN;ÇILDIR;KENARBEL NA;KENARBEL KÜME EVLER;sokak;384016
ARDAHAN;ÇILDIR;KENARDERE - HOROZÖTTÜ;HOROZÖTTÜ KÜME EVLER;sokak;752306
ARDAHAN;ÇILDIR;KENARDERE - MERKEZ;KENARDERE KÜME EVLER;sokak;533392
ARDAHAN;ÇILDIR;KOTANLI - KOTANLI YAYLA EVLERİ;KOTANLI YAYLA EVLERİ KÜME EVLER;sokak;528488
ARDAHAN;ÇILDIR;KOTANLI NA;KOTANLI KÜME EVLER;sokak;519012
ARDAHAN;ÇILDIR;KURTKALE NA;KURTKALE KÜME EVLER;sokak;118351
ARDAHAN;ÇILDIR;KUZUKAYA;KUZUKAYA KÜME EVLER;sokak;517657
ARDAHAN;ÇILDIR;MERYEMKÖY NA;MERYEMKÖY KÜME EVLER;sokak;518113
ARDAHAN;ÇILDIR;ÖNCÜL NA;ÖNCÜL KÜME EVLER;sokak;366728
ARDAHAN;ÇILDIR;ÖVÜNDÜ NA;ÖVÜNDÜ KÜME EVLER;sokak;610703
ARDAHAN;ÇILDIR;SABAHOLDU NA;SABAHOLDU KÜME EVLER;sokak;539502
ARDAHAN;ÇILDIR;SAYMALI NA;SAYMALI KÜME EVLER;sokak;117703
ARDAHAN;ÇILDIR;SAZLISU NA;ÇILDIRLI AŞIK ŞENLİK1 SOKAK;sokak;775107741
ARDAHAN;ÇILDIR;SAZLISU NA;SAZLISU KÜME EVLER;sokak;307632
ARDAHAN;ÇILDIR;SEMİHAŞAKİR NA;SEMİHAŞAKİR KÜME EVLER;sokak;611581
ARDAHAN;ÇILDIR;SUHARA;ATATÜRK / SUHARA MAH. CADDE;cadde;30614
ARDAHAN;ÇILDIR;SUHARA;DEĞİRMEN 4 SOKAK;sokak;385409020
ARDAHAN;ÇILDIR;SUHARA;DEĞİRMEN SOKAK;sokak;910068170
ARDAHAN;ÇILDIR;SUHARA;FEVZİ ÇAKMAK 5 SOKAK;sokak;752791901
ARDAHAN;ÇILDIR;SUHARA;UĞUR MUMCU 1 SOKAK;sokak;949417390
ARDAHAN;ÇILDIR;SUHARA;UĞUR MUMCU 2 SOKAK;sokak;524800270
ARDAHAN;ÇILDIR;SUHARA;UĞUR MUMCU 3 SOKAK;sokak;286062000
ARDAHAN;ÇILDIR;SUHARA;UĞUR MUMCU CADDE;cadde;748243
ARDAHAN;ÇILDIR;SUHARA;YENİ SOKAK;sokak;30615
ARDAHAN;ÇILDIR;SUHARA;YENİ SUHARA 1 SOKAK;sokak;914314370
ARDAHAN;ÇILDIR;SUHARA;YENİ SUHARA 2 SOKAK;sokak;759803340
ARDAHAN;ÇILDIR;SUHARA;YENİ SUHARA 3 SOKAK;sokak;398582461
ARDAHAN;ÇILDIR;SUHARA;YENİ SUHARA 4 SOKAK;sokak;178095911
ARDAHAN;ÇILDIR;TAŞDEĞİRMEN NA;TAŞDEĞİRMEN KÜME EVLER;sokak;524983
ARDAHAN;ÇILDIR;UFUKTEPE;ADİL YILMAZ 1 SOKAK;sokak;314244190
ARDAHAN;ÇILDIR;UFUKTEPE;ADİL YILMAZ 2 SOKAK;sokak;161259321
ARDAHAN;ÇILDIR;UFUKTEPE;ADİL YILMAZ CADDE;cadde;106588
ARDAHAN;ÇILDIR;UFUKTEPE;AKPINAR CADDE;cadde;842523370
ARDAHAN;ÇILDIR;UFUKTEPE;AKTAŞ SOKAK;sokak;650235250
ARDAHAN;ÇILDIR;UFUKTEPE;AKTEMUR SOKAK;sokak;1406831
ARDAHAN;ÇILDIR;UFUKTEPE;ARDAHAN KARS ÇEVRE YOLU/ UFUKTEPE MAH. CADDE;cadde;1410581
ARDAHAN;ÇILDIR;UFUKTEPE;ATİF ABABAY 1 SOKAK;sokak;237778570
ARDAHAN;ÇILDIR;UFUKTEPE;ERCAN ŞİRİN CADDE;cadde;945152360
ARDAHAN;ÇILDIR;UFUKTEPE;KALE SOKAK;sokak;731887241
ARDAHAN;ÇILDIR;UFUKTEPE;YAYLA YOLU 1 SOKAK;sokak;351788470
ARDAHAN;ÇILDIR;UFUKTEPE;YAYLA YOLU SOKAK;sokak;544918
ARDAHAN;ÇILDIR;YAKINSU;ADEM YAVUZ_1 KÜME EVLER;sokak;30617
ARDAHAN;ÇILDIR;YAKINSU;ATATÜRK / YAKINSU MAH. CADDE;cadde;1410583
ARDAHAN;ÇILDIR;YAKINSU;ÇEŞME SOKAK;sokak;456227011
ARDAHAN;ÇILDIR;YAKINSU;ÇEŞME1 SOKAK;sokak;394443690
ARDAHAN;ÇILDIR;YAKINSU;DEĞİRMEN 1 SOKAK;sokak;631095160
ARDAHAN;ÇILDIR;YAKINSU;DEĞİRMEN 2 SOKAK;sokak;541631341
ARDAHAN;ÇILDIR;YAKINSU;DEĞİRMEN 3 SOKAK;sokak;234370720
ARDAHAN;ÇILDIR;YAKINSU;DEĞİRMEN SOKAK;sokak;454088201
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 1 SOKAK;sokak;299821390
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 2 SOKAK;sokak;212068910
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 3 SOKAK;sokak;324072491
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 4 SOKAK;sokak;247389161
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 5 SOKAK;sokak;949027231
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 6 SOKAK;sokak;547882291
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK 7 SOKAK;sokak;344577960
ARDAHAN;ÇILDIR;YAKINSU;FEVZİ ÇAKMAK CADDE;cadde;30613
ARDAHAN;ÇILDIR;YAKINSU;ŞİVİLLİ 1 SOKAK;sokak;497574871
ARDAHAN;ÇILDIR;YAKINSU;ŞİVİLLİ 2 SOKAK;sokak;498661551
ARDAHAN;ÇILDIR;YAKINSU;ŞİVİLLİ 3 SOKAK;sokak;202187800
ARDAHAN;ÇILDIR;YAKINSU;ŞİVİLLİ 4 SOKAK;sokak;898596560
ARDAHAN;ÇILDIR;YAKINSU;ŞİVİLLİ SOKAK;sokak;239564100
ARDAHAN;ÇILDIR;YENİ;ARDAHAN KARS ÇEVRE YOLU/YENİ MAH. CADDE;cadde;1410579
ARDAHAN;ÇILDIR;YENİ;ÇILDIR GÖLÜ 1 SOKAK;sokak;431436270
ARDAHAN;ÇILDIR;YENİ;ÇILDIR GÖLÜ CADDE;cadde;704160520
ARDAHAN;ÇILDIR;YENİ;ÇILDIRLI AŞIK ŞENLİK CADDE;cadde;106589
ARDAHAN;ÇILDIR;YENİ;DR. ESAT OKTAY 1 SOKAK;sokak;405946810
ARDAHAN;ÇILDIR;YENİ;DR. ESAT OKTAY CADDE;cadde;542773
ARDAHAN;ÇILDIR;YENİ;EVREN 1 SOKAK;sokak;455178771
ARDAHAN;ÇILDIR;YENİ;EVREN SOKAK;sokak;541947
ARDAHAN;ÇILDIR;YENİ;KORAVEL 1 SOKAK;sokak;575593121
ARDAHAN;ÇILDIR;YENİ;KORAVEL 2 SOKAK;sokak;279064780
ARDAHAN;ÇILDIR;YENİ;KORAVEL SOKAK;sokak;182395090
ARDAHAN;ÇILDIR;YENİ;KURU DERE KÜME EVLER;sokak;530530390
ARDAHAN;ÇILDIR;YENİ;PRF.ESBENDER KORKMAZ 1 SOKAK;sokak;718609281
ARDAHAN;ÇILDIR;YENİ;PRF.ESBENDER KORKMAZ CADDE;cadde;106590
ARDAHAN;ÇILDIR;YENİBEYREHATUN NA;YENİBEYREHATUN KÜME EVLER;sokak;541716
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ALPARSLAN TÜRKEŞ 1 SOKAK;sokak;771711970
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ALPARSLAN TÜRKEŞ 2 SOKAK;sokak;684855231
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ALPARSLAN TÜRKEŞ 3 SOKAK;sokak;920323330
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ALPARSLAN TÜRKEŞ 4 SOKAK;sokak;249699090
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ALPARSLAN TÜRKEŞ CADDE;cadde;1406673
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ARDAHAN KARS ÇEVRE YOLU CADDE;cadde;326087131
ARDAHAN;ÇILDIR;YILDIRIMTEPE;BÜLENT ECEVİT 1 SOKAK;sokak;603130871
ARDAHAN;ÇILDIR;YILDIRIMTEPE;BÜLENT ECEVİT 2 SOKAK;sokak;592164571
ARDAHAN;ÇILDIR;YILDIRIMTEPE;BÜLENT ECEVİT 3 SOKAK;sokak;285730040
ARDAHAN;ÇILDIR;YILDIRIMTEPE;BÜLENT ECEVİT CADDE;cadde;1406675
ARDAHAN;ÇILDIR;YILDIRIMTEPE;ÇEVRE YOLU1 SOKAK;sokak;674043010
ARDAHAN;ÇILDIR;YILDIRIMTEPE;RABAT SOKAK;sokak;878485520
ARDAHAN;ÇILDIR;YILDIRIMTEPE;SEYIR TERAS YOLU CADDE;cadde;235464350
ARDAHAN;ÇILDIR;YILDIRIMTEPE;YENİ YILDIRIM TEPE 1 SOKAK;sokak;589846421
ARDAHAN;ÇILDIR;YILDIRIMTEPE;YILDIRIMTEPE SOKAK;sokak;520931
ARDAHAN;ÇILDIR;YUKARICAMBAZ NA;YUKARICAMBAZ KÜME EVLER;sokak;614807
ARDAHAN;DAMAL;ATA;ATA KÜME EVLERİ KÜME EVLER;sokak;717381
ARDAHAN;DAMAL;ATA;ATA YAYLA EVLERİ KÜME EVLER;sokak;561306281
ARDAHAN;DAMAL;BURMADERE NA;BURMADERE KÜME EVLER;sokak;534313
ARDAHAN;DAMAL;BURMADERE NA;BURMADERE YAYLA EVLERİ KÜME EVLER;sokak;545752380
ARDAHAN;DAMAL;BURMADERE NA;ÇİMLİÇAYIR KÜME EVLER;sokak;440710661
ARDAHAN;DAMAL;CUMHURİYET;BALGÖZÜ KÜME EVLER;sokak;870148820
ARDAHAN;DAMAL;CUMHURİYET;CUMHURİYET KÜME EVLERİ KÜME EVLER;sokak;723328
ARDAHAN;DAMAL;CUMHURİYET;DERİNDERE YAYLA EVLERİ KÜME EVLER;sokak;878728830
ARDAHAN;DAMAL;CUMHURİYET;İNÖNÜ YAYLA EVLERİ KÜME EVLER;sokak;467195711
ARDAHAN;DAMAL;CUMHURİYET;KAMU KURULUŞLARI KÜME EVLER;sokak;592735401
ARDAHAN;DAMAL;CUMHURİYET;KONUKSEVER YAYLA EVLERİ KÜME EVLER;sokak;156185981
ARDAHAN;DAMAL;ÇAYBAŞI;16. SOKAK;sokak;169106140
ARDAHAN;DAMAL;ÇAYBAŞI;17. SOKAK;sokak;537048621
ARDAHAN;DAMAL;ÇAYBAŞI;18. SOKAK;sokak;710799660
ARDAHAN;DAMAL;ÇAYBAŞI;19. SOKAK;sokak;146292571
ARDAHAN;DAMAL;ÇAYBAŞI;20. CADDE;cadde;726863140
ARDAHAN;DAMAL;ÇAYBAŞI;CİHAN SOKAK;sokak;390237
ARDAHAN;DAMAL;ÇAYBAŞI;ÇAĞDAŞ SOKAK;sokak;1149917
ARDAHAN;DAMAL;ÇAYBAŞI;ÇAYBAŞI2 SOKAK;sokak;150611871
ARDAHAN;DAMAL;ÇAYBAŞI;ÇAYBAŞI3 SOKAK;sokak;264004080
ARDAHAN;DAMAL;ÇAYBAŞI;ÇAYBAŞI4 SOKAK;sokak;773358341
ARDAHAN;DAMAL;ÇAYBAŞI;ÇELEBİ SOKAK;sokak;719288
ARDAHAN;DAMAL;ÇAYBAŞI;ÇELEBİ1 SOKAK;sokak;364446850
ARDAHAN;DAMAL;ÇAYBAŞI;İSTİKLAL CADDE;cadde;724128
ARDAHAN;DAMAL;ÇAYBAŞI;İSTİKLAL1 SOKAK;sokak;526907810
ARDAHAN;DAMAL;ÇAYBAŞI;KAMU KURULUŞLARI KÜME EVLER;sokak;793997961
ARDAHAN;DAMAL;ÇAYBAŞI;KÜLTÜR SOKAK;sokak;1149919
ARDAHAN;DAMAL;ÇAYBAŞI;PULLU KÜME EVLER;sokak;716424
ARDAHAN;DAMAL;ÇAYBAŞI;SERHAT 26 SOKAK;sokak;542908791
ARDAHAN;DAMAL;ÇAYBAŞI;ZÜBEYDE HANIM CADDE;cadde;1430843
ARDAHAN;DAMAL;DEREKÖY - DEREKÖY KÖYÜ YAYLA EVLERİ;DEREKÖY YAYLA EVLERİ KÜME EVLER;sokak;579450
ARDAHAN;DAMAL;DEREKÖY NA;DEREKÖY KÜME EVLER;sokak;589195
ARDAHAN;DAMAL;ESKİKILIÇ - ESKİKILIÇ KÖYÜ YAYLA EVLERİ;ESKİKILIÇ YAYLA EVLERİ KÜME EVLER;sokak;532455
ARDAHAN;DAMAL;ESKİKILIÇ NA;ESKİKILIÇ KÜME EVLER;sokak;531139
ARDAHAN;DAMAL;İKİZDERE - İKİZDERE KÖYÜ YAYLA EVLERİ;İKİZDERE YAYLA EVLERİ KÜME EVLER;sokak;578528
ARDAHAN;DAMAL;İKİZDERE NA;İKİZDERE KÜME EVLER;sokak;278444
ARDAHAN;DAMAL;İNÖNÜ;İNÖNÜ KÜME EVLERİ KÜME EVLER;sokak;715720
ARDAHAN;DAMAL;KALENDER;KALENDER KÜME EVLERİ KÜME EVLER;sokak;717382
ARDAHAN;DAMAL;KALENDER;KALENDER YAYLA EVLERİ KÜME EVLER;sokak;620171161
ARDAHAN;DAMAL;KALENDER;KERİMLER SOKAK;sokak;362945930
ARDAHAN;DAMAL;KONUK SEVER;1. SOKAK;sokak;521515940
ARDAHAN;DAMAL;KONUK SEVER;10. SOKAK;sokak;911108660
ARDAHAN;DAMAL;KONUK SEVER;11. SOKAK;sokak;803953461
ARDAHAN;DAMAL;KONUK SEVER;12. SOKAK;sokak;135850391
ARDAHAN;DAMAL;KONUK SEVER;13. SOKAK;sokak;204729401
ARDAHAN;DAMAL;KONUK SEVER;14. SOKAK;sokak;345371910
ARDAHAN;DAMAL;KONUK SEVER;15. SOKAK;sokak;555314200
ARDAHAN;DAMAL;KONUK SEVER;2. SOKAK;sokak;128568290
ARDAHAN;DAMAL;KONUK SEVER;3. SOKAK;sokak;875235850
ARDAHAN;DAMAL;KONUK SEVER;4. SOKAK;sokak;684723311
ARDAHAN;DAMAL;KONUK SEVER;5. SOKAK;sokak;214387000
ARDAHAN;DAMAL;KONUK SEVER;6. SOKAK;sokak;832018060
ARDAHAN;DAMAL;KONUK SEVER;7. SOKAK;sokak;945478250
ARDAHAN;DAMAL;KONUK SEVER;8. SOKAK;sokak;744973061
ARDAHAN;DAMAL;KONUK SEVER;9. SOKAK;sokak;645944350
ARDAHAN;DAMAL;KONUK SEVER;ATATÜRK CADDE;cadde;106591
ARDAHAN;DAMAL;KONUK SEVER;BARIŞ SOKAK;sokak;886214460
ARDAHAN;DAMAL;KONUK SEVER;BİNALİ ÇAKMAK SOKAK;sokak;715987
ARDAHAN;DAMAL;KONUK SEVER;İSTİKLAL CADDE;cadde;715985
ARDAHAN;DAMAL;KONUK SEVER;KERİMLER SOKAK;sokak;719233
ARDAHAN;DAMAL;KONUK SEVER;KERİMLER1 SOKAK;sokak;573498881
ARDAHAN;DAMAL;KONUK SEVER;KONUK SEVER 3 SOKAK;sokak;895871250
ARDAHAN;DAMAL;KONUK SEVER;KONUK SEVER 4 SOKAK;sokak;930202530
ARDAHAN;DAMAL;KONUK SEVER;KONUK SEVER 5 SOKAK;sokak;430770640
ARDAHAN;DAMAL;KONUK SEVER;KONUK SEVER 6 SOKAK;sokak;824266280
ARDAHAN;DAMAL;KONUK SEVER;KONUKSEVER 1 SOKAK;sokak;374399731
ARDAHAN;DAMAL;KONUK SEVER;KONUKSEVER 10 SOKAK;sokak;101292030
ARDAHAN;DAMAL;KONUK SEVER;KONUKSEVER 2 SOKAK;sokak;123430911
ARDAHAN;DAMAL;KONUK SEVER;KONUKSEVER 9 SOKAK;sokak;139892150
ARDAHAN;DAMAL;KONUK SEVER;KONUKSEVER YAYLA EVLERİ KÜME EVLER;sokak;689158420
ARDAHAN;DAMAL;KONUK SEVER;KURTULUŞ SOK. SOKAK;sokak;106592
ARDAHAN;DAMAL;KONUK SEVER;OBA SOKAK;sokak;720709
ARDAHAN;DAMAL;KONUK SEVER;SERHAT 28 SOKAK;sokak;500154861
ARDAHAN;DAMAL;KONUK SEVER;SERHAT 5 SOKAK;sokak;426958411
ARDAHAN;DAMAL;KONUK SEVER;ŞEHİT CANER ÇELİK CADDE;cadde;1149719
ARDAHAN;DAMAL;KONUK SEVER;TÜTENGÜL CADDE;cadde;715989
ARDAHAN;DAMAL;KONUK SEVER;UMUT SOKAK;sokak;1313153
ARDAHAN;DAMAL;KONUK SEVER;ÜMİT KAFTANCIOĞLU CADDE;cadde;719342
ARDAHAN;DAMAL;KONUK SEVER;ÜMİT KAFTANCIOĞLU1 SOKAK;sokak;695338591
