il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ARTVİN;ARDANUÇ;AKARSU - CAMİ;CAMİ KÜME EVLER;sokak;641470
ARTVİN;ARDANUÇ;AKARSU - DERE;DERE KÜME EVLER;sokak;641469
ARTVİN;ARDANUÇ;AKARSU - HARKBAŞI;HARKBAŞI KÜME EVLER;sokak;641473
ARTVİN;ARDANUÇ;AKARSU - KONAKLI YAYLASI;KONAKLI YAYLASI. KÜME EVLER;sokak;641471
ARTVİN;ARDANUÇ;AKARSU - MERKEZ;MERKEZ KÜME EVLER;sokak;641468
ARTVİN;ARDANUÇ;AKARSU - ÜZÜMLÜ;ÜZÜMLÜ KÜME EVLER;sokak;641472
ARTVİN;ARDANUÇ;ANAÇLI NA;ANAÇLI KÜME EVLER;sokak;508572
ARTVİN;ARDANUÇ;AŞAĞIIRMAKLAR - AYVAZLAR;AYVAZLAR KÜME EVLER;sokak;672989
ARTVİN;ARDANUÇ;AŞAĞIIRMAKLAR - CAMİLİ;CAMİLİ KÜME EVLER;sokak;672987
ARTVİN;ARDANUÇ;AŞAĞIIRMAKLAR - MERKEZ;MERKEZ KÜME EVLER;sokak;672990
ARTVİN;ARDANUÇ;AŞIKLAR - AŞAĞI ŞUVAT;AŞAĞI ŞUVAT KÜME EVLER;sokak;34364
ARTVİN;ARDANUÇ;AŞIKLAR - KÜRDEVAN YAYLASI;KÜRDEVAN YAYLASI. KÜME EVLER;sokak;629606
ARTVİN;ARDANUÇ;AŞIKLAR - MERKEZ;MERKEZ KÜME EVLER;sokak;621363
ARTVİN;ARDANUÇ;AŞIKLAR - YUKARI ŞUVAT;YUKARI ŞUVAT KÜME EVLER;sokak;630761
ARTVİN;ARDANUÇ;AVCILAR - ARKİM;ARKİM KÜME EVLER;sokak;81672
ARTVİN;ARDANUÇ;AVCILAR - KIŞLA;KIŞLA KÜME EVLER;sokak;81670
ARTVİN;ARDANUÇ;AVCILAR - VARZELİ;VARZELİ KÜME EVLER;sokak;81671
ARTVİN;ARDANUÇ;AYDINKÖY - AĞAGİLİN;AĞAGİLİN KÜME EVLER;sokak;645300
ARTVİN;ARDANUÇ;AYDINKÖY - AŞAĞI CAMİ;AŞAĞI CAMİ KÜME EVLER;sokak;640108
ARTVİN;ARDANUÇ;AYDINKÖY - AŞAĞI MAĞNAR;AŞAĞI MAĞNAR KÜME EVLER;sokak;109303
ARTVİN;ARDANUÇ;AYDINKÖY - BANTALUĞ;BANTALUĞ KÜME EVLER;sokak;119586
ARTVİN;ARDANUÇ;AYDINKÖY - BORGAMA;BORGAMA KÜME EVLER;sokak;637812
ARTVİN;ARDANUÇ;AYDINKÖY - CAMANDAR;CAMANDAR KÜME EVLER;sokak;109288
ARTVİN;ARDANUÇ;AYDINKÖY - CAMANGELET;CAMANGELET KÜME EVLER;sokak;109302
ARTVİN;ARDANUÇ;AYDINKÖY - GARABAN;GARABAN KÜME EVLER;sokak;644051
ARTVİN;ARDANUÇ;AYDINKÖY - GARBELET;GARBELET KÜME EVLER;sokak;642522
ARTVİN;ARDANUÇ;AYDINKÖY - GİZELT;GİZELT KÜME EVLER;sokak;119609
ARTVİN;ARDANUÇ;AYDINKÖY - GOMOZOR YAYLASI;GOMOZOR YAYLASI KÜME EVLER;sokak;119587
ARTVİN;ARDANUÇ;AYDINKÖY - GÜLÇAYIR;GÜLÇAYIR KÜME EVLER;sokak;637811
ARTVİN;ARDANUÇ;AYDINKÖY - KADIGİL;KADIGİL KÜME EVLER;sokak;645443
ARTVİN;ARDANUÇ;AYDINKÖY - KALTDESE;KALTDESE KÜME EVLER;sokak;640621
ARTVİN;ARDANUÇ;AYDINKÖY - KANALT MEZRASI;KURALT MEZRASI KÜME EVLER;sokak;109305
ARTVİN;ARDANUÇ;AYDINKÖY - KANSALİYA;KANSALİYA KÜME EVLER;sokak;645776
ARTVİN;ARDANUÇ;AYDINKÖY - KARAGÖL YAYLASI;KARAGÖL YAYLASI KÜME EVLER;sokak;119604
ARTVİN;ARDANUÇ;AYDINKÖY - KUZEY;KUZEY KÜME EVLER;sokak;642190
ARTVİN;ARDANUÇ;AYDINKÖY - SANABET;SANABET KÜME EVLER;sokak;645785
ARTVİN;ARDANUÇ;AYDINKÖY - VARKENET;VARKENET KÜME EVLER;sokak;109289
ARTVİN;ARDANUÇ;AYDINKÖY - YUKARI CAMİ;YUKARI CAMİ KÜME EVLER;sokak;644988
ARTVİN;ARDANUÇ;AYDINKÖY - YUKARI MAĞNAR;YUKARI MAĞNAR KÜME EVLER;sokak;109306
ARTVİN;ARDANUÇ;BAĞLICA - AŞAĞI;AŞAĞI KÜME EVLER;sokak;642147
ARTVİN;ARDANUÇ;BAĞLICA - BAĞLAR;BAĞLAR KÜME EVLER;sokak;643458
ARTVİN;ARDANUÇ;BAĞLICA - ÇEVRELİK;ÇEVRELİK KÜME EVLER;sokak;642146
ARTVİN;ARDANUÇ;BAĞLICA - GOZİROT;GOZİROT KÜME EVLER;sokak;642144
ARTVİN;ARDANUÇ;BAĞLICA - İSOT;İSOT KÜME EVLER;sokak;642149
ARTVİN;ARDANUÇ;BAĞLICA - LANPUVAR;LANPUVAR KÜME EVLER;sokak;634920
ARTVİN;ARDANUÇ;BAĞLICA - NANKAR;NANKAR KÜME EVLER;sokak;643465
ARTVİN;ARDANUÇ;BAĞLICA - ORTA;ORTA KÜME EVLER;sokak;634919
ARTVİN;ARDANUÇ;BAĞLICA - OZANLI;OZANLI KÜME EVLER;sokak;643461
ARTVİN;ARDANUÇ;BAĞLICA - YAPRAKLI;YAPRAKLI KÜME EVLER;sokak;643462
ARTVİN;ARDANUÇ;BAĞLICA - YUKARI;YUKARI KÜME EVLER;sokak;642141
ARTVİN;ARDANUÇ;BALLI - AFET EVLERİ;AFET EVLERİ KÜME EVLER;sokak;615034
ARTVİN;ARDANUÇ;BALLI - DİKMEN YAYLASI;DİKMEN YAYLASI KÜME EVLER;sokak;615036
ARTVİN;ARDANUÇ;BALLI - MERKEZ;MERKEZ KÜME EVLER;sokak;606561
ARTVİN;ARDANUÇ;BALLI - TAŞPINAR YAYLASI;TAŞPINAR YAYLASI KÜME EVLER;sokak;615038
ARTVİN;ARDANUÇ;BERATLI NA;BERATLI KÜME EVLER;sokak;603386
ARTVİN;ARDANUÇ;BEREKET - BAYRAMGİL;BAYRAMGİL KÜME EVLER;sokak;270021
ARTVİN;ARDANUÇ;BEREKET - DALAHET YAYLASI;DALAHET YAYLASI KÜME EVLER;sokak;643739
ARTVİN;ARDANUÇ;BEREKET - KOCAGET;KOCAGET KÜME EVLER;sokak;642963
ARTVİN;ARDANUÇ;BEREKET - SALİHAĞA;SALİHAĞA KÜME EVLER;sokak;642965
ARTVİN;ARDANUÇ;BEREKET - ŞATIRGİL;ŞATIRGİL KÜME EVLER;sokak;633161
ARTVİN;ARDANUÇ;BEREKET - TATURGİL;TATURGİL KÜME EVLER;sokak;270030
ARTVİN;ARDANUÇ;BEREKET - TİKMANET;TİKMANET KÜME EVLER;sokak;642953
