il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
AYDIN;BOZDOĞAN;AKÇAY;272 SOKAK;sokak;192420491
AYDIN;BOZDOĞAN;AKÇAY;375 SOKAK;sokak;184462291
AYDIN;BOZDOĞAN;AKÇAY;376 SOKAK;sokak;273994761
AYDIN;BOZDOĞAN;AKÇAY;377 SOKAK;sokak;480436241
AYDIN;BOZDOĞAN;AKÇAY;378 SOKAK;sokak;626701951
AYDIN;BOZDOĞAN;AKÇAY;379 SOKAK;sokak;525081321
AYDIN;BOZDOĞAN;AKÇAY;380 SOKAK;sokak;496555820
AYDIN;BOZDOĞAN;AKÇAY;381 SOKAK;sokak;130776561
AYDIN;BOZDOĞAN;AKÇAY;382 SOKAK;sokak;966996400
AYDIN;BOZDOĞAN;AKÇAY;383 SOKAK;sokak;340180850
AYDIN;BOZDOĞAN;AKÇAY;384 SOKAK;sokak;672022261
AYDIN;BOZDOĞAN;AKÇAY;385 SOKAK;sokak;665973520
AYDIN;BOZDOĞAN;AKÇAY;386 SOKAK;sokak;621851861
AYDIN;BOZDOĞAN;AKÇAY;387 SOKAK;sokak;879964921
AYDIN;BOZDOĞAN;AKÇAY;388 SOKAK;sokak;606756831
AYDIN;BOZDOĞAN;AKÇAY;389 SOKAK;sokak;763558741
AYDIN;BOZDOĞAN;AKÇAY;390 SOKAK;sokak;772124621
AYDIN;BOZDOĞAN;AKÇAY;391 SOKAK;sokak;824841301
AYDIN;BOZDOĞAN;AKÇAY;395 SOKAK;sokak;617993180
AYDIN;BOZDOĞAN;AKÇAY;63 SOKAK;sokak;540993
AYDIN;BOZDOĞAN;AKÇAY;64 SOKAK;sokak;542659
AYDIN;BOZDOĞAN;AKÇAY;AKÇAY BİRİNCİ KÜMESİ KÜME EVLER;sokak;541882
AYDIN;BOZDOĞAN;AKÇAY;ARIKALTI KÜME EVLER;sokak;112204
AYDIN;BOZDOĞAN;AKÇAY;AŞAĞI SOGUKKUYU SOKAK;sokak;56344708
AYDIN;BOZDOĞAN;AKÇAY;DEMİRCİ KUYUSU KÜME EVLER;sokak;112205
AYDIN;BOZDOĞAN;AKÇAY;DEREAĞZI- KÜME EVLER;sokak;112206
AYDIN;BOZDOĞAN;AKÇAY;ESAT MAHMUT BOZKURT SOKAK;sokak;404017
AYDIN;BOZDOĞAN;AKÇAY;ESKİ MUHACİRLER SOKAK;sokak;112209
AYDIN;BOZDOĞAN;AKÇAY;GİRME KIRI SOKAK;sokak;755438840
AYDIN;BOZDOĞAN;AKÇAY;GÜLLER YAKASI SOKAK;sokak;831149
AYDIN;BOZDOĞAN;AKÇAY;HACIBEKTAŞI VELİ SOKAK;sokak;112210
AYDIN;BOZDOĞAN;AKÇAY;KÖPRÜ KÜMEEVLERİ SOKAK;sokak;112203
AYDIN;BOZDOĞAN;AKÇAY;NİGİZ SOKAK;sokak;112208
AYDIN;BOZDOĞAN;AKÇAY;OKULLAR CADDE;cadde;112211
AYDIN;BOZDOĞAN;AKÇAY;ŞOSE CADDE;cadde;712489670
AYDIN;BOZDOĞAN;AKÇAY;TAŞKÖPRÜ SOKAK;sokak;112214
AYDIN;BOZDOĞAN;AKÇAY;YILDIRIM SOKAK;sokak;112215
AYDIN;BOZDOĞAN;AKÇAY;ZEYTİN SOKAK;sokak;831148
AYDIN;BOZDOĞAN;AKÇAY;ZİYAGÖKALP SOKAK;sokak;404018
AYDIN;BOZDOĞAN;AKSEKİ;1306 SOKAK;sokak;152782111
AYDIN;BOZDOĞAN;AKSEKİ;1325 SOKAK;sokak;479122581
AYDIN;BOZDOĞAN;AKSEKİ;1326 SOKAK;sokak;192117880
AYDIN;BOZDOĞAN;AKSEKİ;1327 SOKAK;sokak;197059041
AYDIN;BOZDOĞAN;AKSEKİ;1328 SOKAK;sokak;715120320
AYDIN;BOZDOĞAN;AKSEKİ;1329 (AKSEKİ) SOKAK;sokak;519562
AYDIN;BOZDOĞAN;AKSEKİ;1330 SOKAK;sokak;703254021
AYDIN;BOZDOĞAN;AKSEKİ;1331 SOKAK;sokak;459256901
AYDIN;BOZDOĞAN;AKSEKİ;1332 SOKAK;sokak;106519660
AYDIN;BOZDOĞAN;AKSEKİ;1333 SOKAK;sokak;360619190
AYDIN;BOZDOĞAN;AKSEKİ;1334 SOKAK;sokak;786685891
AYDIN;BOZDOĞAN;AKSEKİ;1335 SOKAK;sokak;422035701
AYDIN;BOZDOĞAN;AKSEKİ;1336 SOKAK;sokak;811856961
AYDIN;BOZDOĞAN;AKSEKİ;1337 SOKAK;sokak;267287740
AYDIN;BOZDOĞAN;AKSEKİ;1338 SOKAK;sokak;473841850
AYDIN;BOZDOĞAN;AKYAKA;1351 SOKAK;sokak;795548461
AYDIN;BOZDOĞAN;AKYAKA;1352 SOKAK;sokak;140424101
AYDIN;BOZDOĞAN;AKYAKA;1353 SOKAK;sokak;781423381
AYDIN;BOZDOĞAN;AKYAKA;1354 SOKAK;sokak;274890951
AYDIN;BOZDOĞAN;AKYAKA;1355 SOKAK;sokak;669937181
AYDIN;BOZDOĞAN;AKYAKA;1356 SOKAK;sokak;112407691
AYDIN;BOZDOĞAN;AKYAKA;1357 SOKAK;sokak;899740421
AYDIN;BOZDOĞAN;AKYAKA;1358 SOKAK;sokak;778845421
AYDIN;BOZDOĞAN;AKYAKA;1359 SOKAK;sokak;160320621
AYDIN;BOZDOĞAN;AKYAKA;1360 SOKAK;sokak;821858771
AYDIN;BOZDOĞAN;AKYAKA;1361 SOKAK;sokak;772502231
AYDIN;BOZDOĞAN;AKYAKA;1362 SOKAK;sokak;669545531
AYDIN;BOZDOĞAN;AKYAKA;1363 SOKAK;sokak;850821701
AYDIN;BOZDOĞAN;AKYAKA;1364 SOKAK;sokak;190371341
AYDIN;BOZDOĞAN;AKYAKA;1365 SOKAK;sokak;595978491
AYDIN;BOZDOĞAN;AKYAKA;1366 SOKAK;sokak;352498951
AYDIN;BOZDOĞAN;AKYAKA;1367 SOKAK;sokak;541427651
AYDIN;BOZDOĞAN;AKYAKA;1368 SOKAK;sokak;741920971
AYDIN;BOZDOĞAN;AKYAKA;1369 (AKYAKA) SOKAK;sokak;307591
AYDIN;BOZDOĞAN;AKYAKA;1875 SOKAK;sokak;495386221
AYDIN;BOZDOĞAN;ALAMUT;950 SOKAK;sokak;641588011
AYDIN;BOZDOĞAN;ALAMUT;951 SOKAK;sokak;517953341
AYDIN;BOZDOĞAN;ALAMUT;951/1 SOKAK;sokak;336831030
AYDIN;BOZDOĞAN;ALAMUT;951/2 SOKAK;sokak;159188241
AYDIN;BOZDOĞAN;ALAMUT;952 SOKAK;sokak;789473481
AYDIN;BOZDOĞAN;ALAMUT;952/1 SOKAK;sokak;169807400
AYDIN;BOZDOĞAN;ALAMUT;952/2 SOKAK;sokak;812003620
AYDIN;BOZDOĞAN;ALAMUT;952/3 SOKAK;sokak;285244941
AYDIN;BOZDOĞAN;ALAMUT;953 SOKAK;sokak;496277971
AYDIN;BOZDOĞAN;ALAMUT;953/1 SOKAK;sokak;526325510
AYDIN;BOZDOĞAN;ALAMUT;953/2 SOKAK;sokak;669424671
AYDIN;BOZDOĞAN;ALAMUT;954 SOKAK;sokak;986164770
AYDIN;BOZDOĞAN;ALAMUT;955 SOKAK;sokak;907942981
AYDIN;BOZDOĞAN;ALAMUT;955/1 SOKAK;sokak;455533440
AYDIN;BOZDOĞAN;ALAMUT;956 SOKAK;sokak;705377331
AYDIN;BOZDOĞAN;ALAMUT;957 SOKAK;sokak;729128681
AYDIN;BOZDOĞAN;ALAMUT;958 SOKAK;sokak;733110941
AYDIN;BOZDOĞAN;ALAMUT;958/1 SOKAK;sokak;491810351
AYDIN;BOZDOĞAN;ALAMUT;958/2 SOKAK;sokak;158709421
AYDIN;BOZDOĞAN;ALAMUT;959 SOKAK;sokak;993303671
AYDIN;BOZDOĞAN;ALAMUT;960 SOKAK;sokak;963967750
AYDIN;BOZDOĞAN;ALAMUT;960/1 SOKAK;sokak;161839640
AYDIN;BOZDOĞAN;ALAMUT;961 SOKAK;sokak;729284271
AYDIN;BOZDOĞAN;ALAMUT;962 SOKAK;sokak;729703610
AYDIN;BOZDOĞAN;ALAMUT;963 SOKAK;sokak;714887200
AYDIN;BOZDOĞAN;ALAMUT;964 SOKAK;sokak;990345891
AYDIN;BOZDOĞAN;ALAMUT;965 SOKAK;sokak;181743751
AYDIN;BOZDOĞAN;ALAMUT;966 SOKAK;sokak;404892700
AYDIN;BOZDOĞAN;ALAMUT;967 SOKAK;sokak;124542371
AYDIN;BOZDOĞAN;ALAMUT;968 SOKAK;sokak;573984480
AYDIN;BOZDOĞAN;ALAMUT;969 SOKAK;sokak;119625030
AYDIN;BOZDOĞAN;ALAMUT;970 SOKAK;sokak;253107071
AYDIN;BOZDOĞAN;ALAMUT;970/1 SOKAK;sokak;204367471
AYDIN;BOZDOĞAN;ALAMUT;971 SOKAK;sokak;818264300
AYDIN;BOZDOĞAN;ALAMUT;971/2 SOKAK;sokak;983433790
AYDIN;BOZDOĞAN;ALAMUT;971/3 SOKAK;sokak;676384600
AYDIN;BOZDOĞAN;ALAMUT;971/4 SOKAK;sokak;194025931
AYDIN;BOZDOĞAN;ALAMUT;971/5 (ALAMUT) SOKAK;sokak;518575
AYDIN;BOZDOĞAN;ALAMUT;972 SOKAK;sokak;475005740
AYDIN;BOZDOĞAN;ALAMUT;973 SOKAK;sokak;602630761
AYDIN;BOZDOĞAN;ALAMUT;974 SOKAK;sokak;450807440
AYDIN;BOZDOĞAN;ALAMUT;975/1 SOKAK;sokak;346255580
AYDIN;BOZDOĞAN;ALAMUT;AYDIN DENIZLI BULVAR;sokak;135948250
AYDIN;BOZDOĞAN;ALAMUT;NAZİLLİ BOZDOĞAN YOLU CADDE;cadde;19896927
AYDIN;BOZDOĞAN;ALHİSAR;1850 SOKAK;sokak;642399160
AYDIN;BOZDOĞAN;ALHİSAR;1851 SOKAK;sokak;186810230
AYDIN;BOZDOĞAN;ALHİSAR;1852 SOKAK;sokak;365667760
AYDIN;BOZDOĞAN;ALHİSAR;1853 SOKAK;sokak;161579010
AYDIN;BOZDOĞAN;ALHİSAR;1854 (HİSARDERE) SOKAK;sokak;524800
AYDIN;BOZDOĞAN;ALHİSAR;1855 SOKAK;sokak;269932870
AYDIN;BOZDOĞAN;ALHİSAR;1856 SOKAK;sokak;733902471
AYDIN;BOZDOĞAN;ALHİSAR;1857 SOKAK;sokak;743349620
AYDIN;BOZDOĞAN;ALHİSAR;1858 SOKAK;sokak;470510081
AYDIN;BOZDOĞAN;ALHİSAR;1859 SOKAK;sokak;939190330
AYDIN;BOZDOĞAN;ALHİSAR;1860 SOKAK;sokak;357610140
AYDIN;BOZDOĞAN;ALHİSAR;1861 SOKAK;sokak;879217300
AYDIN;BOZDOĞAN;ALHİSAR;1862 SOKAK;sokak;633417050
AYDIN;BOZDOĞAN;ALHİSAR;1863 SOKAK;sokak;706890541
AYDIN;BOZDOĞAN;ALHİSAR;1864 SOKAK;sokak;562629751
AYDIN;BOZDOĞAN;ALHİSAR;1865 SOKAK;sokak;584426251
AYDIN;BOZDOĞAN;ALHİSAR;1866 SOKAK;sokak;535743800
AYDIN;BOZDOĞAN;ALHİSAR;1867 SOKAK;sokak;395427580
AYDIN;BOZDOĞAN;ALHİSAR;1867/1 (ALYÜREK) SOKAK;sokak;527971
AYDIN;BOZDOĞAN;ALHİSAR;1867/2 (MEMİŞLER) SOKAK;sokak;523695
AYDIN;BOZDOĞAN;ALHİSAR;1868 SOKAK;sokak;872204140
AYDIN;BOZDOĞAN;ALHİSAR;1869 SOKAK;sokak;908340451
AYDIN;BOZDOĞAN;ALHİSAR;1870 SOKAK;sokak;828374360
AYDIN;BOZDOĞAN;ALHİSAR;1871 SOKAK;sokak;676514221
AYDIN;BOZDOĞAN;ALHİSAR;1872 SOKAK;sokak;130196740
AYDIN;BOZDOĞAN;ALHİSAR;1873 SOKAK;sokak;330435220
AYDIN;BOZDOĞAN;ALHİSAR;1874 SOKAK;sokak;111499030
AYDIN;BOZDOĞAN;ALHİSAR;1890 SOKAK;sokak;702414501
AYDIN;BOZDOĞAN;ALHİSAR;1959 SOKAK;sokak;833620120
AYDIN;BOZDOĞAN;ALTINTAŞ;1776 SOKAK;sokak;874743260
AYDIN;BOZDOĞAN;ALTINTAŞ;1950 SOKAK;sokak;310664000
AYDIN;BOZDOĞAN;ALTINTAŞ;1950/1 SOKAK;sokak;398009171
AYDIN;BOZDOĞAN;ALTINTAŞ;1951 SOKAK;sokak;194280360
AYDIN;BOZDOĞAN;ALTINTAŞ;1951/1 SOKAK;sokak;644419670
AYDIN;BOZDOĞAN;ALTINTAŞ;1952 SOKAK;sokak;839159591
AYDIN;BOZDOĞAN;ALTINTAŞ;1953 SOKAK;sokak;550060431
AYDIN;BOZDOĞAN;ALTINTAŞ;1954 SOKAK;sokak;179804671
AYDIN;BOZDOĞAN;ALTINTAŞ;1954/1 (AŞAĞI) SOKAK;sokak;523736
AYDIN;BOZDOĞAN;ALTINTAŞ;1955 SOKAK;sokak;412740361
AYDIN;BOZDOĞAN;ALTINTAŞ;1956 SOKAK;sokak;226358171
AYDIN;BOZDOĞAN;ALTINTAŞ;1957 SOKAK;sokak;689329201
AYDIN;BOZDOĞAN;ALTINTAŞ;1958 SOKAK;sokak;663036111
AYDIN;BOZDOĞAN;ALTINTAŞ;1959 SOKAK;sokak;833620121
AYDIN;BOZDOĞAN;ALTINTAŞ;1960 SOKAK;sokak;476421781
AYDIN;BOZDOĞAN;ALTINTAŞ;1961 SOKAK;sokak;134497491
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/1 SOKAK;sokak;353136910
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/2 SOKAK;sokak;109673470
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/3 SOKAK;sokak;606158791
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/4 SOKAK;sokak;370790501
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/5 SOKAK;sokak;556740711
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/7 SOKAK;sokak;951208791
AYDIN;BOZDOĞAN;ALTINTAŞ;1961/8 SOKAK;sokak;343971331
AYDIN;BOZDOĞAN;ALTINTAŞ;1962 SOKAK;sokak;499754441
AYDIN;BOZDOĞAN;ALTINTAŞ;1963 SOKAK;sokak;277296151
AYDIN;BOZDOĞAN;ALTINTAŞ;1964 SOKAK;sokak;302754161
AYDIN;BOZDOĞAN;ALTINTAŞ;1964/1 (ORTA) SOKAK;sokak;526379
AYDIN;BOZDOĞAN;ALTINTAŞ;1965 SOKAK;sokak;803865431
AYDIN;BOZDOĞAN;ALTINTAŞ;1966 (BEYLİKDERE) SOKAK;sokak;524211
AYDIN;BOZDOĞAN;ALTINTAŞ;1967 SOKAK;sokak;514886330
