il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BARTIN;AMASRA;ACARLAR - BEŞİRLER;BEŞİRLER KÜME EVLER;sokak;501230
BARTIN;AMASRA;ACARLAR - KECİNLER;KECİNLER KÜME EVLER;sokak;501229
BARTIN;AMASRA;ACARLAR - MERKEZ;MERKEZ KÜME EVLER;sokak;501228
BARTIN;AMASRA;AHATLAR - AŞAĞI;AŞAĞI KÜME EVLER;sokak;500576
BARTIN;AMASRA;AHATLAR - YUKARI;YUKARI KÜME EVLER;sokak;500577
BARTIN;AMASRA;AKKONAK NA;AKKONAK KÜME EVLER;sokak;533609
BARTIN;AMASRA;ALİOBASI - GÖYNÜK;GÖYNÜK KÜME EVLER;sokak;501232
BARTIN;AMASRA;ALİOBASI - MERKEZ;MERKEZ KÜME EVLER;sokak;501231
BARTIN;AMASRA;BOSTANLAR NA;BOSTANLAR KÜME EVLER;sokak;496827
BARTIN;AMASRA;BOZTEPE;FENER SOKAK;sokak;407941
BARTIN;AMASRA;BOZTEPE;NÖBETHANE 1 SOKAK;sokak;38874780
BARTIN;AMASRA;BOZTEPE;NÖBETHANE 2 SOKAK;sokak;12101119
BARTIN;AMASRA;BOZTEPE;NÖBETHANE SOKAK;sokak;134725
BARTIN;AMASRA;BOZTEPE;UÇ PALAMAR SOKAK;sokak;497644
BARTIN;AMASRA;BOZTEPE;YAMA SOKAK;sokak;134726
BARTIN;AMASRA;BOZTEPE;YASSIKAYA 1. SOKAK;sokak;16119539
BARTIN;AMASRA;BOZTEPE;YASSIKAYA SOKAK;sokak;21935
BARTIN;AMASRA;CUMAYANI - DOĞANCI;DOĞANCI KÜME EVLER;sokak;533937
BARTIN;AMASRA;CUMAYANI - KONAKLAR;KONAKLAR KÜME EVLER;sokak;533939
BARTIN;AMASRA;CUMAYANI - MERKEZ;MERKEZ KÜME EVLER;sokak;536431
BARTIN;AMASRA;ÇAKRAZBOZ - KUYUPINAR;KUYUPINAR KÜME EVLER;sokak;533936
BARTIN;AMASRA;ÇAKRAZBOZ - MERKEZ;MERKEZ KÜME EVLER;sokak;536430
BARTIN;AMASRA;ÇAKRAZOVA - MERKEZ;MERKEZ KÜME EVLER;sokak;562894
BARTIN;AMASRA;ÇAKRAZOVA - YERKÖY;YERKÖY KÜME EVLER;sokak;562895
BARTIN;AMASRA;ÇAKRAZŞEYHLER - MERKEZ;MERKEZ KÜME EVLER;sokak;562893
BARTIN;AMASRA;ÇAKRAZŞEYHLER - OKULLAR;OKULLAR KÜME EVLER;sokak;387941
BARTIN;AMASRA;ÇAKRAZŞEYHLER - ORTA;ORTA KÜME EVLER;sokak;387582
BARTIN;AMASRA;ÇANAKÇILAR - AHMETLER;AHMETLER KÜME EVLER;sokak;558950
BARTIN;AMASRA;ÇANAKÇILAR - ANKULAR;ANKULAR KÜME EVLER;sokak;570522
BARTIN;AMASRA;ÇANAKÇILAR - KESTANELİK;KESTANELİK KÜME EVLER;sokak;570519
BARTIN;AMASRA;ÇANAKÇILAR - MERKEZ;MERKEZ KÜME EVLER;sokak;94381
BARTIN;AMASRA;ÇANAKÇILAR - MEŞELİ;MEŞELİ KÜME EVLER;sokak;570524
BARTIN;AMASRA;ESENLER - DADA;DADA KÜME EVLER;sokak;501236
BARTIN;AMASRA;ESENLER - FER;FER KÜME EVLER;sokak;501237
BARTIN;AMASRA;ESENLER - MERKEZ;ESENLER KÜME EVLER;sokak;501235
BARTIN;AMASRA;FATİH;A.T.İ.SİTESİ 1 SOKAK;sokak;78746906
BARTIN;AMASRA;FATİH;A.T.İ.SİTESİ 2 SOKAK;sokak;40340986
BARTIN;AMASRA;FATİH;A.T.İ.SİTESİ SOKAK;sokak;134727
BARTIN;AMASRA;FATİH;AKASYA SOKAK;sokak;490909
BARTIN;AMASRA;FATİH;BÜYÜKTEPE SOKAK;sokak;134728
BARTIN;AMASRA;FATİH;GÜL SOKAK;sokak;134729
BARTIN;AMASRA;FATİH;IHLAMUR SOKAK;sokak;407942
BARTIN;AMASRA;FATİH;KÜÇÜKTEPE SOKAK;sokak;21936
BARTIN;AMASRA;FATİH;SÖĞÜTLÜ SOKAK;sokak;134730
BARTIN;AMASRA;FATİH;YILDIZ SOKAK;sokak;490070
BARTIN;AMASRA;FATİH;ZEYTİN SOKAK;sokak;134731
BARTIN;AMASRA;FATİH;ZÜBEYDE HANIM 4 SOKAK;sokak;66825043
BARTIN;AMASRA;FATİH;ZÜBEYDE HANIM 5 SOKAK;sokak;82665019
BARTIN;AMASRA;FATİH;ZÜBEYDE HANIM 6 SOKAK;sokak;94749934
BARTIN;AMASRA;FATİH;ZÜBEYDE HANIM 7 SOKAK;sokak;84900422
BARTIN;AMASRA;FATİH;ZÜBEYDE HANIM CADDE;cadde;407943
BARTIN;AMASRA;GÖÇKÜN - AĞ;AĞ KÜME EVLER;sokak;476881
BARTIN;AMASRA;GÖÇKÜN - MERKEZ;MERKEZ KÜME EVLER;sokak;487986
BARTIN;AMASRA;GÖÇKÜNDEMİRCİ - BALDIRAN;BALDIRAN KÜME EVLER;sokak;548388
BARTIN;AMASRA;GÖÇKÜNDEMİRCİ - DEDE;DEDE KÜME EVLER;sokak;551710
BARTIN;AMASRA;GÖÇKÜNDEMİRCİ - MERKEZ;MERKEZ KÜME EVLER;sokak;308535
BARTIN;AMASRA;GÖMÜ - AŞAĞI MEYDAN;AŞAĞI MEYDAN KÜME EVLER;sokak;496079
BARTIN;AMASRA;GÖMÜ - CAVCAV;CAVCAV KÜME EVLER;sokak;496083
BARTIN;AMASRA;GÖMÜ - ÇAPAK MEVKİİ;ÇAPAK MEVKİİ KÜME EVLER;sokak;496081
BARTIN;AMASRA;GÖMÜ - ÇINAR YOLU;ÇINAR YOLU KÜME EVLER;sokak;496080
