il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BATMAN;BEŞİRİ;ALACA - KESİKTAŞ;KESİKTAŞ KÜME EVLER;sokak;567596
BATMAN;BEŞİRİ;ALACA NA;ALACA KÜME EVLER;sokak;561157
BATMAN;BEŞİRİ;ASMADERE NA;ASMADERE KÜME EVLER;sokak;563223
BATMAN;BEŞİRİ;ATBAĞI NA;ATBAĞI KÜME EVLER;sokak;548629
BATMAN;BEŞİRİ;AYRANCI NA;AYRANCI KÜME EVLER;sokak;538472
BATMAN;BEŞİRİ;AYRANCI NA;FATİH. 3 SOKAK;sokak;376296980
BATMAN;BEŞİRİ;BAĞDU;602 SOKAK;sokak;128463
BATMAN;BEŞİRİ;BAĞDU;605 SOKAK;sokak;398228
BATMAN;BEŞİRİ;BAĞDU;606 CADDE;cadde;398227
BATMAN;BEŞİRİ;BAĞDU;607 SOKAK;sokak;429562190
BATMAN;BEŞİRİ;BAĞDU;609 SOKAK;sokak;1400375
BATMAN;BEŞİRİ;BAĞDU;610 SOKAK;sokak;654485241
BATMAN;BEŞİRİ;BAĞDU;620 SOKAK;sokak;1354601
BATMAN;BEŞİRİ;BAĞDU;621 SOKAK;sokak;975831081
BATMAN;BEŞİRİ;BAĞDU;625 SOKAK;sokak;908117
BATMAN;BEŞİRİ;BAĞDU;626 SOKAK;sokak;492277881
BATMAN;BEŞİRİ;BAĞDU;630 SOKAK;sokak;274892361
BATMAN;BEŞİRİ;BAĞDU;635 SOKAK;sokak;734088330
BATMAN;BEŞİRİ;BAĞDU;640 SOKAK;sokak;205695470
BATMAN;BEŞİRİ;BAĞDU;ABDULLAH GÜL CADDE;cadde;908091
BATMAN;BEŞİRİ;BAĞDU;ATATÜRK BULVAR;sokak;398232
BATMAN;BEŞİRİ;BAĞDU;BAĞLAR CADDE;cadde;128471
BATMAN;BEŞİRİ;BAĞDU;BATMAN BULVAR;sokak;1342479
BATMAN;BEŞİRİ;BAĞDU;BÜLENT ARINÇ CADDE;cadde;908125
BATMAN;BEŞİRİ;BAĞDU;ÇİFTÇİLER CADDE;cadde;128464
BATMAN;BEŞİRİ;BAĞDU;DİYARBAKIR CADDE;cadde;922259
BATMAN;BEŞİRİ;BAĞDU;EĞİTİM CADDE;cadde;926600
BATMAN;BEŞİRİ;BAĞDU;EYÜP SULTAN SOKAK;sokak;898256
BATMAN;BEŞİRİ;BAĞDU;FATİH CADDE;cadde;128792
BATMAN;BEŞİRİ;BAĞDU;FEVZİ ÇAKMAK CADDE;cadde;128456
BATMAN;BEŞİRİ;BAĞDU;HASTANE CADDE;cadde;1355531
BATMAN;BEŞİRİ;BAĞDU;MEHMET ŞİMŞEK CADDE;cadde;908126
BATMAN;BEŞİRİ;BAĞDU;ÖZGÜN CADDE;cadde;922196
BATMAN;BEŞİRİ;BAĞDU;R.TAYIB ERDOĞAN CADDE;cadde;1400373
BATMAN;BEŞİRİ;BAĞDU;SAĞLIK SOKAK;sokak;128460
BATMAN;BEŞİRİ;BAĞDU;SAİT KARABULUT CADDE;cadde;1374617
BATMAN;BEŞİRİ;BAĞDU;SÜLEYMAN KARABULUT BULVAR;sokak;1373785
BATMAN;BEŞİRİ;BAĞDU;ŞEHİT KOMANDO ER OKTAY DEMİRYÜREK SOKAK;sokak;128459
BATMAN;BEŞİRİ;BAĞDU;ŞEHİTLİK CADDE;cadde;670196531
BATMAN;BEŞİRİ;BAĞDU;TURGUT ÖZAL CADDE;cadde;908116
BATMAN;BEŞİRİ;BAĞDU;YANGIR SOKAK;sokak;103558991
BATMAN;BEŞİRİ;BAĞDU;YUNUS EMRE CADDE;cadde;908118
BATMAN;BEŞİRİ;BAHÇELİ - KAPAKLI;KAPAKLI KÜME EVLER;sokak;541645
BATMAN;BEŞİRİ;BAHÇELİ - KAPAKLI;ÜNSALDI KÜME EVLER;sokak;469501190
BATMAN;BEŞİRİ;BAHÇELİ - YAZYURDU;YAZYURDU KÜME EVLER;sokak;542055
BATMAN;BEŞİRİ;BAHÇELİ NA;BAHÇELİ KÜME EVLER;sokak;542233
BATMAN;BEŞİRİ;BAŞARI NA;BAŞARI KÜME EVLER;sokak;551162
BATMAN;BEŞİRİ;BEHREM YOĞUN;302 SOKAK;sokak;1401071
BATMAN;BEŞİRİ;BEHREM YOĞUN;303 SOKAK;sokak;501818901
BATMAN;BEŞİRİ;BEHREM YOĞUN;304 SOKAK;sokak;818251351
BATMAN;BEŞİRİ;BEHREM YOĞUN;305 SOKAK;sokak;125346
BATMAN;BEŞİRİ;BEHREM YOĞUN;306 SOKAK;sokak;709646631
BATMAN;BEŞİRİ;BEHREM YOĞUN;310 SOKAK;sokak;1400371
BATMAN;BEŞİRİ;BEHREM YOĞUN;315 SOKAK;sokak;793735
BATMAN;BEŞİRİ;BEHREM YOĞUN;316 SOKAK;sokak;1401073
BATMAN;BEŞİRİ;BEHREM YOĞUN;319 SOKAK;sokak;1354165
BATMAN;BEŞİRİ;BEHREM YOĞUN;320 SOKAK;sokak;1354179
BATMAN;BEŞİRİ;BEHREM YOĞUN;321 SOKAK;sokak;1354181
BATMAN;BEŞİRİ;BEHREM YOĞUN;322 SOKAK;sokak;1383335
BATMAN;BEŞİRİ;BEHREM YOĞUN;323 SOKAK;sokak;577294511
BATMAN;BEŞİRİ;BEHREM YOĞUN;324 SOKAK;sokak;843642151
BATMAN;BEŞİRİ;BEHREM YOĞUN;325 SOKAK;sokak;363474410
BATMAN;BEŞİRİ;BEHREM YOĞUN;326 SOKAK;sokak;737424471
BATMAN;BEŞİRİ;BEHREM YOĞUN;327 SOKAK;sokak;845229941
BATMAN;BEŞİRİ;BEHREM YOĞUN;328 SOKAK;sokak;199220611
BATMAN;BEŞİRİ;BEHREM YOĞUN;401- SOKAK;sokak;1486859
BATMAN;BEŞİRİ;BEHREM YOĞUN;AKIN CADDE;cadde;1400369
BATMAN;BEŞİRİ;BEHREM YOĞUN;AZADİ SOKAK;sokak;1117105
BATMAN;BEŞİRİ;BEHREM YOĞUN;BELİNAY BERFİN GÖNENÇ CADDE;cadde;297973211
BATMAN;BEŞİRİ;BEHREM YOĞUN;BEYLAN SOKAK;sokak;233190491
BATMAN;BEŞİRİ;BEHREM YOĞUN;BİLİR CADDE;cadde;398217
BATMAN;BEŞİRİ;BEHREM YOĞUN;BOSNA SOKAK;sokak;793736
BATMAN;BEŞİRİ;BEHREM YOĞUN;BOTSALI CADDE;cadde;125342
BATMAN;BEŞİRİ;BEHREM YOĞUN;BOZKURT CADDE;cadde;125343
BATMAN;BEŞİRİ;BEHREM YOĞUN;ÇAY YOLU CADDE;cadde;1354183
BATMAN;BEŞİRİ;BEHREM YOĞUN;DIKTEPE SOKAK;sokak;258016971
BATMAN;BEŞİRİ;BEHREM YOĞUN;DİYARBAKIR CADDE;cadde;125344
BATMAN;BEŞİRİ;BEHREM YOĞUN;FARABİ CADDE;cadde;171511841
BATMAN;BEŞİRİ;BEHREM YOĞUN;GARZAN CADDE;cadde;444582141
BATMAN;BEŞİRİ;BEHREM YOĞUN;GAZZE CADDE;cadde;921815101
BATMAN;BEŞİRİ;BEHREM YOĞUN;HAMAM SOKAK;sokak;125345
BATMAN;BEŞİRİ;BEHREM YOĞUN;KAYMAKAM MAHMUT ŞENER CADDE;cadde;125348
BATMAN;BEŞİRİ;BEHREM YOĞUN;KIZILAY CADDE;cadde;398218
BATMAN;BEŞİRİ;BEHREM YOĞUN;KURTALAN BULVAR;sokak;1359189
BATMAN;BEŞİRİ;BEHREM YOĞUN;MİMAR SİNAN CADDE;cadde;364022
BATMAN;BEŞİRİ;BEHREM YOĞUN;NAMIK KEMAL CADDE;cadde;364021
BATMAN;BEŞİRİ;BEHREM YOĞUN;SELAHADDİN EYYUBİ CADDE;cadde;997765511
BATMAN;BEŞİRİ;BEHREM YOĞUN;SELAM SOKAK;sokak;587713381
BATMAN;BEŞİRİ;BEHREM YOĞUN;ŞEYH SAİD CADDE;cadde;384460681
BATMAN;BEŞİRİ;BEHREM YOĞUN;YOKUŞ SOKAK;sokak;125347
BATMAN;BEŞİRİ;BEHREM YOĞUN;YOLKONAK KÜME EVLER;sokak;418809151
BATMAN;BEŞİRİ;BEŞPINAR - DORUKLU;DORUKLU KÜME EVLER;sokak;536459
BATMAN;BEŞİRİ;BEŞPINAR - SÜTLÜCE;SÜTLÜCE KÜME EVLER;sokak;517078
BATMAN;BEŞİRİ;BEŞPINAR NA;BEŞPINAR KÜME EVLER;sokak;271906
BATMAN;BEŞİRİ;BEYÇAYIRI NA;BEYÇAYIRI KÜME EVLER;sokak;552908
BATMAN;BEŞİRİ;BİLEK - NURETTİN;NURETTİN KÜME EVLER;sokak;573757
BATMAN;BEŞİRİ;BİLEK - REMİKAN;REMİKAN KÜME EVLER;sokak;85546
BATMAN;BEŞİRİ;BİLEK NA;BİLEK KÜME EVLER;sokak;575710
BATMAN;BEŞİRİ;CUMHURİYET;503 SOKAK;sokak;359657551
BATMAN;BEŞİRİ;CUMHURİYET;507 SOKAK;sokak;1366853
BATMAN;BEŞİRİ;CUMHURİYET;512 SOKAK;sokak;1366859
BATMAN;BEŞİRİ;CUMHURİYET;513 SOKAK;sokak;1366861
BATMAN;BEŞİRİ;CUMHURİYET;514 SOKAK;sokak;1366857
BATMAN;BEŞİRİ;CUMHURİYET;515 SOKAK;sokak;1366855
BATMAN;BEŞİRİ;CUMHURİYET;BARIŞ BULVAR;sokak;1020950
BATMAN;BEŞİRİ;CUMHURİYET;CEZAEVI CADDE;cadde;308489721
BATMAN;BEŞİRİ;CUMHURİYET;İSTANBUL CADDE;cadde;398234
BATMAN;BEŞİRİ;CUMHURİYET;SÜLEYMAN KARABULUT BULVAR;sokak;1355533
BATMAN;BEŞİRİ;CUMHURİYET;UĞRAK CADDE;cadde;128793
BATMAN;BEŞİRİ;CUMHURİYET;UĞRAK CAMİİ CADDE;cadde;128794
BATMAN;BEŞİRİ;ÇAKILLI - YAĞLICA;YAĞLICA KÜME EVLER;sokak;564744
BATMAN;BEŞİRİ;ÇAKILLI NA;ÇAKILLI KÜME EVLER;sokak;564733
BATMAN;BEŞİRİ;ÇAVUŞBAYIRI NA;ÇAVUŞBAYIRI KÜME EVLER;sokak;592146
BATMAN;BEŞİRİ;ÇIĞIRLI NA;ÇIĞIRLI KÜME EVLER;sokak;542781
BATMAN;BEŞİRİ;DAĞYOLU NA;DAĞYOLU KÜME EVLER;sokak;542713
BATMAN;BEŞİRİ;DANALI - ORGANİZE SANAYİ BÖLGESİ;20 KÜME EVLER;sokak;885337570
BATMAN;BEŞİRİ;DANALI - ORGANİZE SANAYİ BÖLGESİ;21 CADDE;cadde;323659590
BATMAN;BEŞİRİ;DANALI - ORGANİZE SANAYİ BÖLGESİ;22 CADDE;cadde;991455420
BATMAN;BEŞİRİ;DANALI - ORGANİZE SANAYİ BÖLGESİ;23 KÜME EVLER;sokak;266574940
BATMAN;BEŞİRİ;DANALI - ORGANİZE SANAYİ BÖLGESİ;24 KÜME EVLER;sokak;733545650
BATMAN;BEŞİRİ;DANALI - ORGANİZE SANAYİ BÖLGESİ;NECAT NASIROĞLU CADDE;cadde;24301335
BATMAN;BEŞİRİ;DANALI NA;DANALI KÜME EVLER;sokak;88912
BATMAN;BEŞİRİ;DAYILAR NA;DAYILAR KÜME EVLER;sokak;563336
BATMAN;BEŞİRİ;DEĞİRMENÜSTÜ NA;DEĞİRMENÜSTÜ KÜME EVLER;sokak;568317
BATMAN;BEŞİRİ;DEVEBOYNU NA;DEVEBOYNU KÜME EVLER;sokak;307409
BATMAN;BEŞİRİ;DOĞANKAVAK NA;DOĞANKAVAK KÜME EVLER;sokak;568972
BATMAN;BEŞİRİ;DOĞANPAZARI - GÖKTAŞ;GÖKTAŞ KÜME EVLER;sokak;610425
BATMAN;BEŞİRİ;DOĞANPAZARI NA;DOĞANPAZARI KÜME EVLER;sokak;606205
BATMAN;BEŞİRİ;DURUCAK - ALİ BEY;ALİBEY KÜME EVLER;sokak;543872
BATMAN;BEŞİRİ;DURUCAK - AŞAĞI ÜRÜNLÜ;AŞAĞI ÜRÜNLÜ KÜME EVLER;sokak;543435
BATMAN;BEŞİRİ;DURUCAK - ÇAYKENARI;ÇAYKENARI KÜME EVLER;sokak;180528
BATMAN;BEŞİRİ;DURUCAK - İSLAMKÖY;İSLAMKÖY KÜME EVLER;sokak;36538
BATMAN;BEŞİRİ;DURUCAK - YOLBOYU;YOLBOYU KÜME EVLER;sokak;556220
BATMAN;BEŞİRİ;DURUCAK - YUKARI ÜRÜNLÜ;YUKARI ÜRÜNLÜ KÜME EVLER;sokak;553952
BATMAN;BEŞİRİ;DURUCAK NA;DURUCAK KÜME EVLER;sokak;309605
BATMAN;BEŞİRİ;ESENCE - AYIŞIĞI;AYIŞIĞI KÜME EVLER;sokak;540727
BATMAN;BEŞİRİ;ESENCE NA;ESENCE KÜME EVLER;sokak;531965
BATMAN;BEŞİRİ;ESKİHAMUR - BAYRAMLI;BAYRAMLI KÜME EVLER;sokak;536104
BATMAN;BEŞİRİ;ESKİHAMUR - BIGEVRA;BİGEVRA KÜME EVLER;sokak;536977
BATMAN;BEŞİRİ;ESKİHAMUR - ÇAMLITEPE;ÇAMLITEPE KÜME EVLER;sokak;205026390
BATMAN;BEŞİRİ;ESKİHAMUR - DÖŞEME;DÖŞEME KÜME EVLER;sokak;541463
BATMAN;BEŞİRİ;ESKİHAMUR - İSLAM;İSLAM KÜME EVLER;sokak;39294
BATMAN;BEŞİRİ;ESKİHAMUR - KEZİK;KEZİK KÜME EVLER;sokak;543313
BATMAN;BEŞİRİ;ESKİHAMUR - KÖKEBİ;KÖKEBİ KÜME EVLER;sokak;391684
BATMAN;BEŞİRİ;ESKİHAMUR - NEJAN;NEJAN KÜME EVLER;sokak;542670
BATMAN;BEŞİRİ;ESKİHAMUR - YUKARI BAYRAMLI;YUKARI BAYRAMLI KÜME EVLER;sokak;537159
BATMAN;BEŞİRİ;ESKİHAMUR NA;ESKİHAMUR KÜME EVLER;sokak;537875
BATMAN;BEŞİRİ;GÜVERCİNLİK NA;GÜVERCİNLİK KÜME EVLER;sokak;567797
BATMAN;BEŞİRİ;ILICA - BAŞLAMIŞ;BAŞLAMIŞ KÜME EVLER;sokak;524634
BATMAN;BEŞİRİ;ILICA - PİRİNÇLİK;PİRİNÇLİK KÜME EVLER;sokak;535619
BATMAN;BEŞİRİ;ILICA NA;ILICA KÜME EVLER;sokak;532473
BATMAN;BEŞİRİ;IŞIKVEREN - DEMİRDÖVEN;DEMİRDÖVEN KÜME EVLER;sokak;542975
BATMAN;BEŞİRİ;IŞIKVEREN - POMPALI;POMPALI KÜME EVLER;sokak;39286
BATMAN;BEŞİRİ;IŞIKVEREN NA;IŞIKVEREN KÜME EVLER;sokak;542245
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;301 SOKAK;sokak;128796
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;302 SOKAK;sokak;398235
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;304 SOKAK;sokak;128797
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;305 SOKAK;sokak;1400659
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;306 SOKAK;sokak;128798
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;307 SOKAK;sokak;128799
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;308 SOKAK;sokak;128800
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;310 SOKAK;sokak;560713
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;311 SOKAK;sokak;636702850
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;312 SOKAK;sokak;562878
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;313 SOKAK;sokak;1400665
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;314 SOKAK;sokak;534155921
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;315 SOKAK;sokak;101255650
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;316 SOKAK;sokak;262183470
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;318 SOKAK;sokak;906967
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;319 SOKAK;sokak;574835130
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;320 SOKAK;sokak;1400605
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;321 SOKAK;sokak;614093631
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;342 SOKAK;sokak;1400607
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;344 SOKAK;sokak;1400609
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;BATMAN BULVAR;sokak;1400603
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;BATMAN SİİRT CADDE;cadde;128795
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;MEVLANA CADDE;cadde;398236
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;MİMAR SİNAN CADDE;cadde;984724
BATMAN;BEŞİRİ;İKİKÖPRÜ - KARADUMAN;ZÜBEYDE HANIM CADDE;cadde;128801
BATMAN;BEŞİRİ;İKİKÖPRÜ - KIYANÇ;201 SOKAK;sokak;562881
BATMAN;BEŞİRİ;İKİKÖPRÜ - KIYANÇ;203 SOKAK;sokak;569197
BATMAN;BEŞİRİ;İKİKÖPRÜ - KIYANÇ;205 SOKAK;sokak;559520
BATMAN;BEŞİRİ;İKİKÖPRÜ - KIYANÇ;207 SOKAK;sokak;570579
BATMAN;BEŞİRİ;İKİKÖPRÜ - KIYANÇ;208 SOKAK;sokak;576619280
BATMAN;BEŞİRİ;İKİKÖPRÜ - KIYANÇ;209 SOKAK;sokak;570580
