il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BAYBURT;AYDINTEPE;AHMET YESEVİ;15 TEMMUZ SOKAK;sokak;903620540
BAYBURT;AYDINTEPE;AHMET YESEVİ;ABBASOĞLU SOKAK;sokak;113615320
BAYBURT;AYDINTEPE;AHMET YESEVİ;ACISU SOKAK;sokak;434828
BAYBURT;AYDINTEPE;AHMET YESEVİ;ADNAN MENDERES SOKAK;sokak;1312621
BAYBURT;AYDINTEPE;AHMET YESEVİ;ARAKLI SOKAK;sokak;124175
BAYBURT;AYDINTEPE;AHMET YESEVİ;AYDINKENT SOKAK;sokak;780191141
BAYBURT;AYDINTEPE;AHMET YESEVİ;AZİZ SANCAR SOKAK;sokak;651653001
BAYBURT;AYDINTEPE;AHMET YESEVİ;BABİL SOKAK;sokak;123542391
BAYBURT;AYDINTEPE;AHMET YESEVİ;BADEM SOKAK;sokak;981459311
BAYBURT;AYDINTEPE;AHMET YESEVİ;BEYZAMİ ZENGİN SOKAK;sokak;630327670
BAYBURT;AYDINTEPE;AHMET YESEVİ;BİRLİK SOKAK;sokak;456756911
BAYBURT;AYDINTEPE;AHMET YESEVİ;BİRUNİ SOKAK;sokak;548432141
BAYBURT;AYDINTEPE;AHMET YESEVİ;BUHARA SOKAK;sokak;873213780
BAYBURT;AYDINTEPE;AHMET YESEVİ;CACABEY SOKAK;sokak;952607581
BAYBURT;AYDINTEPE;AHMET YESEVİ;CANAN SERTOĞLU SOKAK;sokak;124177
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA 1. SOKAK;sokak;410792110
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA 2. SOKAK;sokak;805909790
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA 3. SOKAK;sokak;891144580
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA 4. SOKAK;sokak;180693931
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA 5. SOKAK;sokak;907047010
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA 7. SOKAK;sokak;126063560
BAYBURT;AYDINTEPE;AHMET YESEVİ;ÇAYKARA CADDE;cadde;124174
BAYBURT;AYDINTEPE;AHMET YESEVİ;DEDEKORKUT SOKAK;sokak;905630650
BAYBURT;AYDINTEPE;AHMET YESEVİ;DEFNE SOKAK;sokak;457914981
BAYBURT;AYDINTEPE;AHMET YESEVİ;DERE SOKAK;sokak;435098011
BAYBURT;AYDINTEPE;AHMET YESEVİ;DUMLU SOKAK;sokak;124179
BAYBURT;AYDINTEPE;AHMET YESEVİ;EVLİYALAR KÜME EVLER;sokak;877045320
BAYBURT;AYDINTEPE;AHMET YESEVİ;F.SULTAN MEHMET SOKAK;sokak;214861390
BAYBURT;AYDINTEPE;AHMET YESEVİ;FARUK ÖZAK SOKAK;sokak;402992401
BAYBURT;AYDINTEPE;AHMET YESEVİ;FUZULİ SOKAK;sokak;624423141
BAYBURT;AYDINTEPE;AHMET YESEVİ;HACI EŞREF SOKAK;sokak;427536
BAYBURT;AYDINTEPE;AHMET YESEVİ;HACI OSMAN SOKAK;sokak;124180
BAYBURT;AYDINTEPE;AHMET YESEVİ;IRMAK SOKAK;sokak;510660580
BAYBURT;AYDINTEPE;AHMET YESEVİ;İPEK SOKAK;sokak;568771940
BAYBURT;AYDINTEPE;AHMET YESEVİ;KESTANE SOKAK;sokak;123662171
BAYBURT;AYDINTEPE;AHMET YESEVİ;KIZIL ELMA SOKAK;sokak;488259131
BAYBURT;AYDINTEPE;AHMET YESEVİ;KÖKNAR SOKAK;sokak;758965971
BAYBURT;AYDINTEPE;AHMET YESEVİ;KÖSEOĞLU SOKAK;sokak;649269751
BAYBURT;AYDINTEPE;AHMET YESEVİ;LEVENT KÜME EVLER;sokak;947277080
BAYBURT;AYDINTEPE;AHMET YESEVİ;MELİKŞAH SOKAK;sokak;233459781
BAYBURT;AYDINTEPE;AHMET YESEVİ;MİMAR SİNAN SOKAK;sokak;790026550
BAYBURT;AYDINTEPE;AHMET YESEVİ;MUHSİN YAZICIOĞLU SOKAK;sokak;370958901
BAYBURT;AYDINTEPE;AHMET YESEVİ;NEBİOĞLU SOKAK;sokak;659356860
BAYBURT;AYDINTEPE;AHMET YESEVİ;NECMETTİN ERBAKAN SOKAK;sokak;508643960
BAYBURT;AYDINTEPE;AHMET YESEVİ;NENE HATUN SOKAK;sokak;106380210
BAYBURT;AYDINTEPE;AHMET YESEVİ;OSMANLI SOKAK;sokak;116731750
BAYBURT;AYDINTEPE;AHMET YESEVİ;PAPATYA SOKAK;sokak;147852401
BAYBURT;AYDINTEPE;AHMET YESEVİ;PİRİ REİS SOKAK;sokak;800117861
BAYBURT;AYDINTEPE;AHMET YESEVİ;RONZA SOKAK;sokak;232032010
BAYBURT;AYDINTEPE;AHMET YESEVİ;SAATÇİ SOKAK;sokak;460830770
BAYBURT;AYDINTEPE;AHMET YESEVİ;SOFUOĞLU SOKAK;sokak;125860
BAYBURT;AYDINTEPE;AHMET YESEVİ;SÜLEYMAN ZENGİN CADDE;cadde;813106661
BAYBURT;AYDINTEPE;AHMET YESEVİ;ŞEHİT OKTAY SOKAK;sokak;170794680
BAYBURT;AYDINTEPE;AHMET YESEVİ;ŞENLİK SOKAK;sokak;304742741
BAYBURT;AYDINTEPE;AHMET YESEVİ;TEPEBAŞI KÜME EVLER;sokak;197265950
BAYBURT;AYDINTEPE;AHMET YESEVİ;TOPDAĞI SOKAK;sokak;711298601
BAYBURT;AYDINTEPE;AHMET YESEVİ;TOPLU KONUT SOKAK;sokak;785836551
BAYBURT;AYDINTEPE;AHMET YESEVİ;UYGUR SOKAK;sokak;899047421
BAYBURT;AYDINTEPE;AHMET YESEVİ;UZUN SOKAK;sokak;494285500
BAYBURT;AYDINTEPE;AHMET YESEVİ;YAŞARDOĞU SOKAK;sokak;124176
BAYBURT;AYDINTEPE;AHMET YESEVİ;YAYLA SOKAK;sokak;125519
BAYBURT;AYDINTEPE;AHMET YESEVİ;YUNUS EMRE SOKAK;sokak;435441540
BAYBURT;AYDINTEPE;AHMET YESEVİ;ZEYTİNDALI SOKAK;sokak;124178
BAYBURT;AYDINTEPE;AKBULUT NA;AKBULUT KÜME EVLER;sokak;587030
