il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BİLECİK;BOZÜYÜK;4 EYLÜL;801. SOKAK;sokak;663245
BİLECİK;BOZÜYÜK;4 EYLÜL;802. SOKAK;sokak;131347
BİLECİK;BOZÜYÜK;4 EYLÜL;803. SOKAK;sokak;131348
BİLECİK;BOZÜYÜK;4 EYLÜL;804. SOKAK;sokak;410182
BİLECİK;BOZÜYÜK;4 EYLÜL;805. SOKAK;sokak;664157
BİLECİK;BOZÜYÜK;4 EYLÜL;806. SOKAK;sokak;158684
BİLECİK;BOZÜYÜK;4 EYLÜL;808. SOKAK;sokak;131349
BİLECİK;BOZÜYÜK;4 EYLÜL;809. SOKAK;sokak;400558
BİLECİK;BOZÜYÜK;4 EYLÜL;810. SOKAK;sokak;131350
BİLECİK;BOZÜYÜK;4 EYLÜL;811. SOKAK;sokak;131351
BİLECİK;BOZÜYÜK;4 EYLÜL;812. SOKAK;sokak;400559
BİLECİK;BOZÜYÜK;4 EYLÜL;813. SOKAK;sokak;131352
BİLECİK;BOZÜYÜK;4 EYLÜL;814. SOKAK;sokak;131353
BİLECİK;BOZÜYÜK;4 EYLÜL;815. SOKAK;sokak;400560
BİLECİK;BOZÜYÜK;4 EYLÜL;816. SOKAK;sokak;400538
BİLECİK;BOZÜYÜK;4 EYLÜL;817. SOKAK;sokak;171166
BİLECİK;BOZÜYÜK;4 EYLÜL;818. SOKAK;sokak;131306
BİLECİK;BOZÜYÜK;4 EYLÜL;819. SOKAK;sokak;665978
BİLECİK;BOZÜYÜK;4 EYLÜL;820 SOKAK;sokak;158690
BİLECİK;BOZÜYÜK;4 EYLÜL;821 SOKAK;sokak;176471
BİLECİK;BOZÜYÜK;4 EYLÜL;822. SOKAK;sokak;131307
BİLECİK;BOZÜYÜK;4 EYLÜL;851. SOKAK;sokak;131308
BİLECİK;BOZÜYÜK;4 EYLÜL;852. SOKAK;sokak;400539
BİLECİK;BOZÜYÜK;4 EYLÜL;853. SOKAK;sokak;131309
BİLECİK;BOZÜYÜK;4 EYLÜL;854. SOKAK;sokak;131310
BİLECİK;BOZÜYÜK;4 EYLÜL;855. SOKAK;sokak;400540
BİLECİK;BOZÜYÜK;4 EYLÜL;856 SOKAK;sokak;663247
BİLECİK;BOZÜYÜK;4 EYLÜL;857. SOKAK;sokak;131311
