il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BİNGÖL;ADAKLI;AFET KONUTLARI;702 SOKAK;sokak;626180530
BİNGÖL;ADAKLI;AFET KONUTLARI;703 SOKAK;sokak;291277350
BİNGÖL;ADAKLI;AFET KONUTLARI;704 SOKAK;sokak;783784371
BİNGÖL;ADAKLI;AFET KONUTLARI;705 SOKAK;sokak;466290281
BİNGÖL;ADAKLI;AFET KONUTLARI;706 SOKAK;sokak;494701
BİNGÖL;ADAKLI;AFET KONUTLARI;707 SOKAK;sokak;572377371
BİNGÖL;ADAKLI;AFET KONUTLARI;708 SOKAK;sokak;379260780
BİNGÖL;ADAKLI;AFET KONUTLARI;709 SOKAK;sokak;838995591
BİNGÖL;ADAKLI;AFET KONUTLARI;710 SOKAK;sokak;813393350
BİNGÖL;ADAKLI;AFET KONUTLARI;711 SOKAK;sokak;518597001
BİNGÖL;ADAKLI;AFET KONUTLARI;712 SOKAK;sokak;304028200
BİNGÖL;ADAKLI;AFET KONUTLARI;713 SOKAK;sokak;105301370
BİNGÖL;ADAKLI;AFET KONUTLARI;714 SOKAK;sokak;502226
BİNGÖL;ADAKLI;AFET KONUTLARI;715 SOKAK;sokak;609281
BİNGÖL;ADAKLI;AFET KONUTLARI;716 SOKAK;sokak;311256851
BİNGÖL;ADAKLI;AFET KONUTLARI;717 SOKAK;sokak;379371740
BİNGÖL;ADAKLI;AFET KONUTLARI;718 SOKAK;sokak;237866921
BİNGÖL;ADAKLI;AFET KONUTLARI;719 SOKAK;sokak;143084231
BİNGÖL;ADAKLI;AFET KONUTLARI;720 SOKAK;sokak;816343880
BİNGÖL;ADAKLI;AFET KONUTLARI;721 SOKAK;sokak;718518691
BİNGÖL;ADAKLI;AFET KONUTLARI;722 SOKAK;sokak;297327161
BİNGÖL;ADAKLI;AFET KONUTLARI;AFET KONUTLARI CADDE;cadde;135863
BİNGÖL;ADAKLI;AFET KONUTLARI;ŞEHİT JANDARMA TABİB ASTĞMN ATİLLA NİZAM CADDE;cadde;282462880
BİNGÖL;ADAKLI;AKBİNEK - OSMANUŞAĞI;OSMANUŞAĞI KÜME EVLER;sokak;481972
BİNGÖL;ADAKLI;AKBİNEK NA;AKBİNEK KÜME EVLER;sokak;484072
BİNGÖL;ADAKLI;AKTAŞ NA;AKTAŞ KÜME EVLER;sokak;494740
BİNGÖL;ADAKLI;ALTINEVLER - CAFERAN;CAFERAN KÜME EVLER;sokak;534997
BİNGÖL;ADAKLI;ALTINEVLER NA;ALTINEVLER KÜME EVLER;sokak;507300
BİNGÖL;ADAKLI;ARICA;501 SOKAK;sokak;278254960
BİNGÖL;ADAKLI;ARICA;502 SOKAK;sokak;363104721
BİNGÖL;ADAKLI;ARICA;503 SOKAK;sokak;107861430
BİNGÖL;ADAKLI;ARICA;504 SOKAK;sokak;206786600
BİNGÖL;ADAKLI;ARICA;506 KÜME EVLER;sokak;642410781
BİNGÖL;ADAKLI;ARICA;507 KÜME EVLER;sokak;282446300
BİNGÖL;ADAKLI;ARICA;508 KÜME EVLER;sokak;849066761
BİNGÖL;ADAKLI;ARICA;509 KÜME EVLER;sokak;513887
BİNGÖL;ADAKLI;ARICA;ARICA CADDE;cadde;356082560
BİNGÖL;ADAKLI;ARICA;YOĞURTLU KÜME EVLER;sokak;513888
BİNGÖL;ADAKLI;AYSAKLI - YAYLAKONAK;YAYLAKONAK KÜME EVLER;sokak;505641
BİNGÖL;ADAKLI;AYSAKLI NA;AYSAKLI KÜME EVLER;sokak;505614
BİNGÖL;ADAKLI;AYVADÜZÜ - DAĞDELEN;DAĞDELEN KÜME EVLER;sokak;491670
BİNGÖL;ADAKLI;AYVADÜZÜ - HARABA;HARABA KÜME EVLER;sokak;479867
BİNGÖL;ADAKLI;AYVADÜZÜ - MERGAN;MERGAN KÜME EVLER;sokak;480785
BİNGÖL;ADAKLI;AYVADÜZÜ NA;AYVADÜZÜ KÜME EVLER;sokak;479863
BİNGÖL;ADAKLI;BAĞLARPINARI - ÇAYAĞZI;ÇAYAGZI KÜME EVLER;sokak;939963
BİNGÖL;ADAKLI;BAĞLARPINARI NA;BAĞLARPINAR KÜME EVLER;sokak;483474
BİNGÖL;ADAKLI;BOYALI - AFET KONUTLARI;AFET KONUTLARI KÜME EVLER;sokak;480298
BİNGÖL;ADAKLI;CEVİZLİ - ÇEVRECİK;ÇEVRECİK KÜME EVLER;sokak;669294
BİNGÖL;ADAKLI;ÇAMLICA NA;ÇAMLICA KÜME EVLER;sokak;535000
BİNGÖL;ADAKLI;ÇATMA NA;ÇATMA KÜME EVLER;sokak;491636
BİNGÖL;ADAKLI;ÇEVRELİ - ÇÖREKLİ;ÇÖREKLİ KÜME EVLER;sokak;497484
BİNGÖL;ADAKLI;ÇEVRELİ - KORKMAZ;KORKMAZ KÜME EVLER;sokak;497490
BİNGÖL;ADAKLI;ÇEVRELİ - UZUNPAZAR;UZUNPAZAR KÜME EVLER;sokak;496694
BİNGÖL;ADAKLI;ÇEVRELİ - YONCALIK;YONCALIK KÜME EVLER;sokak;497443
BİNGÖL;ADAKLI;ÇEVRELİ NA;ÇEVRELİ KÜME EVLER;sokak;494133
BİNGÖL;ADAKLI;DEMİROLUK;DEMİROLUK CADDE;cadde;509841
BİNGÖL;ADAKLI;DOĞANKAYA - AFET KONUTLARI;AFET KONUTLARI KÜME EVLER;sokak;507807
BİNGÖL;ADAKLI;DOĞANKAYA - ÇELEBİ;ÇELEBİ KÜME EVLER;sokak;499559
BİNGÖL;ADAKLI;DOĞANKAYA NA;DOĞANKAYA KÜME EVLER;sokak;495416
BİNGÖL;ADAKLI;DOLUÇAY NA;DOLUÇAY KÜME EVLER;sokak;516763
BİNGÖL;ADAKLI;DOLUTEKNE NA;DOLUTEKNE KÜME EVLER;sokak;507846
BİNGÖL;ADAKLI;DÖŞLÜCE;301 SOKAK;sokak;725188631
BİNGÖL;ADAKLI;DÖŞLÜCE;302 SOKAK;sokak;131855660
BİNGÖL;ADAKLI;DÖŞLÜCE;303 SOKAK;sokak;425614560
BİNGÖL;ADAKLI;DÖŞLÜCE;304 SOKAK;sokak;285117150
BİNGÖL;ADAKLI;DÖŞLÜCE;305 SOKAK;sokak;708136961
BİNGÖL;ADAKLI;DÖŞLÜCE;306 SOKAK;sokak;773626630
BİNGÖL;ADAKLI;DÖŞLÜCE;307 SOKAK;sokak;332550920
BİNGÖL;ADAKLI;DÖŞLÜCE;308 KÜME EVLER;sokak;513886
BİNGÖL;ADAKLI;DÖŞLÜCE;310 SOKAK;sokak;700657351
BİNGÖL;ADAKLI;DÖŞLÜCE;311 SOKAK;sokak;717180271
BİNGÖL;ADAKLI;DÖŞLÜCE;312 KÜME EVLER;sokak;120539480
BİNGÖL;ADAKLI;DÖŞLÜCE;ÇERİBAŞ KÜME EVLER;sokak;509838
BİNGÖL;ADAKLI;DÖŞLÜCE;DÖŞLÜCE CADDE;cadde;710046260
BİNGÖL;ADAKLI;ELMAAĞAÇ NA;ELMAAĞAÇ KÜME EVLER;sokak;527109
BİNGÖL;ADAKLI;ELMADÜZÜ NA;ELMADÜZÜ KÜME EVLER;sokak;88566
BİNGÖL;ADAKLI;ERBAŞLAR NA;ERBAŞLAR KÜME EVLER;sokak;506107
BİNGÖL;ADAKLI;ERLER NA;ERLER KÜME EVLER;sokak;492601
BİNGÖL;ADAKLI;GÖKÇELİ - ÇANAKÇİ;ÇANAKÇI KÜME EVLER;sokak;532802
BİNGÖL;ADAKLI;GÖKÇELİ - ÇANAKÇİ;YAKINCA KÜME EVLER;sokak;188467900
BİNGÖL;ADAKLI;GÖKÇELİ NA;GÖKÇELİ KÜME EVLER;sokak;499772
BİNGÖL;ADAKLI;GÜNGÖRSÜN;203 SOKAK;sokak;843189220
BİNGÖL;ADAKLI;GÜNGÖRSÜN;204 SOKAK;sokak;635340930
BİNGÖL;ADAKLI;GÜNGÖRSÜN;205 SOKAK;sokak;488392451
BİNGÖL;ADAKLI;GÜNGÖRSÜN;206 SOKAK;sokak;308785081
BİNGÖL;ADAKLI;GÜNGÖRSÜN;207 KÜME EVLER;sokak;910164280
BİNGÖL;ADAKLI;GÜNGÖRSÜN;GÖLLER KÜME EVLER;sokak;839004
BİNGÖL;ADAKLI;GÜNGÖRSÜN;GÖLLER/1 KÜME EVLER;sokak;216834121
BİNGÖL;ADAKLI;GÜNGÖRSÜN;GÜNGÖRSÜN CADDE;cadde;509835
BİNGÖL;ADAKLI;GÜNGÖRSÜN;ZEYNEL KÜME EVLER;sokak;512655
BİNGÖL;ADAKLI;HASBAĞLAR - AFETKONUTLARI;AFETKONUTLARI KÜME EVLER;sokak;489374
BİNGÖL;ADAKLI;HASBAĞLAR - AFETKONUTLARI 2;AFETKONUTLARI 2 KÜME EVLER;sokak;485175
BİNGÖL;ADAKLI;HASBAĞLAR - YAKINCA;YAKINCA KÜME EVLER;sokak;483847
BİNGÖL;ADAKLI;HASBAĞLAR NA;HASBAĞLAR KÜME EVLER;sokak;28967
BİNGÖL;ADAKLI;KABAÇALI - ÇİÇEK;ÇİÇEK KÜME EVLER;sokak;518330
BİNGÖL;ADAKLI;KABAÇALI - TOSUNLU;TOSUNLU KÜME EVLER;sokak;514845
BİNGÖL;ADAKLI;KABAÇALI NA;KABAÇALI KÜME EVLER;sokak;489486
BİNGÖL;ADAKLI;KAMIŞGÖLÜ NA;KAMIŞGÖLÜ KÜME EVLER;sokak;473530
BİNGÖL;ADAKLI;KARAÇUBUK - KURİ;KURİ KÜME EVLER;sokak;496540
BİNGÖL;ADAKLI;KARAÇUBUK NA;KARAÇUBUK KÜME EVLER;sokak;485373
BİNGÖL;ADAKLI;KARAÇUBUK NA;KARAÇUBUK/1 SOKAK;sokak;100627841
BİNGÖL;ADAKLI;KARAÇUBUK NA;KARAÇUBUK/2 SOKAK;sokak;803477840
BİNGÖL;ADAKLI;KARAÇUBUK NA;KARAÇUBUK/3 SOKAK;sokak;778872300
BİNGÖL;ADAKLI;KARAÇUBUK NA;KARAÇUBUK/4 SOKAK;sokak;455766340
BİNGÖL;ADAKLI;KARAÇUBUK NA;KARAÇUBUK/5 SOKAK;sokak;629332621
BİNGÖL;ADAKLI;KAYNAKDÜZÜ - BENT;BENT KÜME EVLER;sokak;514104
BİNGÖL;ADAKLI;KAYNAKDÜZÜ - DOĞANCA;DOĞANCA KÜME EVLER;sokak;506160
BİNGÖL;ADAKLI;KAYNAKDÜZÜ - KALE;KALE KÜME EVLER;sokak;513304
BİNGÖL;ADAKLI;KAYNAKDÜZÜ - KANTAR;KANTAR KÜME EVLER;sokak;513308
BİNGÖL;ADAKLI;KAYNAKDÜZÜ - KARAKOÇ;KARAKOÇ KÜME EVLER;sokak;512691
BİNGÖL;ADAKLI;KAYNAKDÜZÜ - SIRALISÖĞÜTLER;SIRALI SÖĞÜTLER KÜME EVLER;sokak;503843
BİNGÖL;ADAKLI;KAYNAKDÜZÜ NA;KAYNAKDÜZÜ KÜME EVLER;sokak;512688
BİNGÖL;ADAKLI;KIRKPINAR NA;KIRKPINAR KÜME EVLER;sokak;524692
BİNGÖL;ADAKLI;KOZLU - BOÇ;BOÇ KÜME EVLER;sokak;1164843
BİNGÖL;ADAKLI;KOZLU - GÖZÜTEK;GÖZÜTEK KÜME EVLER;sokak;524137
BİNGÖL;ADAKLI;KOZLU NA;KOZLU KÜME EVLER;sokak;523556
BİNGÖL;ADAKLI;MALTEPE - KÖYÜN KENDİSİ;MALTEPE KÜME EVLER;sokak;358714901
BİNGÖL;ADAKLI;MERCAN - AYRANLI;AYRANLI KÜME EVLER;sokak;484550
BİNGÖL;ADAKLI;MERCAN - ÇOMAK;ÇOMAK KÜME EVLER;sokak;484566
BİNGÖL;ADAKLI;MERCAN - İKİZ;İKİZ KÜME EVLER;sokak;484575
BİNGÖL;ADAKLI;MERCAN NA;MERCAN KÜME EVLER;sokak;110144
BİNGÖL;ADAKLI;MERKEZ;102 KÜME EVLER;sokak;146155120
BİNGÖL;ADAKLI;MERKEZ;103 SOKAK;sokak;209015830
BİNGÖL;ADAKLI;MERKEZ;104 SOKAK;sokak;690604160
BİNGÖL;ADAKLI;MERKEZ;105 SOKAK;sokak;501727
BİNGÖL;ADAKLI;MERKEZ;107 SOKAK;sokak;431566600
BİNGÖL;ADAKLI;MERKEZ;108 SOKAK;sokak;293439850
BİNGÖL;ADAKLI;MERKEZ;109 SOKAK;sokak;504375
BİNGÖL;ADAKLI;MERKEZ;110 SOKAK;sokak;354687680
BİNGÖL;ADAKLI;MERKEZ;111 SOKAK;sokak;780657110
BİNGÖL;ADAKLI;MERKEZ;112 SOKAK;sokak;619079601
BİNGÖL;ADAKLI;MERKEZ;113 SOKAK;sokak;658606290
BİNGÖL;ADAKLI;MERKEZ;114 SOKAK;sokak;733649370
