il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BİTLİS;ADİLCEVAZ;AKÇIRA - GÖLBAŞI;GÖLBAŞI M. YOLU KÜME EVLER;sokak;550583
BİTLİS;ADİLCEVAZ;AKÇIRA - GÖLBAŞI;GÖLBAŞI M. YOLU/1 KÜME EVLER;sokak;423562041
BİTLİS;ADİLCEVAZ;AKÇIRA - KÖYÜN KENDİSİ;KÖYİÇİ YOLU KÜME EVLER;sokak;1482565
BİTLİS;ADİLCEVAZ;AKYAZI NA;AKYAZI KÖY YOLU KÜME EVLER;sokak;574685
BİTLİS;ADİLCEVAZ;ALACAATLI;520 SOKAK;sokak;931971920
BİTLİS;ADİLCEVAZ;ALACAATLI;6 KÜME EVLER;sokak;600852
BİTLİS;ADİLCEVAZ;ALACAATLI;601 SOKAK;sokak;1117789
BİTLİS;ADİLCEVAZ;ALACAATLI;602 SOKAK;sokak;1117715
BİTLİS;ADİLCEVAZ;ALACAATLI;603 SOKAK;sokak;1117717
BİTLİS;ADİLCEVAZ;ALACAATLI;604 SOKAK;sokak;1117719
BİTLİS;ADİLCEVAZ;ALACAATLI;605 SOKAK;sokak;1117793
BİTLİS;ADİLCEVAZ;ALACAATLI;606 SOKAK;sokak;1117721
BİTLİS;ADİLCEVAZ;ALACAATLI;607 SOKAK;sokak;1117817
BİTLİS;ADİLCEVAZ;ALACAATLI;608 SOKAK;sokak;1117819
BİTLİS;ADİLCEVAZ;ALACAATLI;609 SOKAK;sokak;1117723
BİTLİS;ADİLCEVAZ;ALACAATLI;610 SOKAK;sokak;1117725
BİTLİS;ADİLCEVAZ;ALACAATLI;611 SOKAK;sokak;1117727
BİTLİS;ADİLCEVAZ;ALACAATLI;612 SOKAK;sokak;1117729
BİTLİS;ADİLCEVAZ;ALACAATLI;613 SOKAK;sokak;1117841
BİTLİS;ADİLCEVAZ;ALACAATLI;614 SOKAK;sokak;1117843
BİTLİS;ADİLCEVAZ;ALACAATLI;615 SOKAK;sokak;1117845
BİTLİS;ADİLCEVAZ;ALACAATLI;616 SOKAK;sokak;1117847
BİTLİS;ADİLCEVAZ;ALACAATLI;617 SOKAK;sokak;1117849
BİTLİS;ADİLCEVAZ;ALACAATLI;618 SOKAK;sokak;1117837
BİTLİS;ADİLCEVAZ;ALACAATLI;619 SOKAK;sokak;1117833
BİTLİS;ADİLCEVAZ;ALACAATLI;619/1 SOKAK;sokak;515352270
BİTLİS;ADİLCEVAZ;ALACAATLI;619/2 SOKAK;sokak;597418351
BİTLİS;ADİLCEVAZ;ALACAATLI;620 SOKAK;sokak;1117851
BİTLİS;ADİLCEVAZ;ALACAATLI;621 SOKAK;sokak;1117731
BİTLİS;ADİLCEVAZ;ALACAATLI;622 SOKAK;sokak;1117799
BİTLİS;ADİLCEVAZ;ALACAATLI;623 SOKAK;sokak;1117801
BİTLİS;ADİLCEVAZ;ALACAATLI;624 SOKAK;sokak;1117803
BİTLİS;ADİLCEVAZ;ALACAATLI;625 SOKAK;sokak;1117805
BİTLİS;ADİLCEVAZ;ALACAATLI;626 SOKAK;sokak;1117821
BİTLİS;ADİLCEVAZ;ALACAATLI;627 SOKAK;sokak;1117807
BİTLİS;ADİLCEVAZ;ALACAATLI;627/1 SOKAK;sokak;617528120
BİTLİS;ADİLCEVAZ;ALACAATLI;627/2 SOKAK;sokak;178353150
BİTLİS;ADİLCEVAZ;ALACAATLI;627/3 SOKAK;sokak;154105251
BİTLİS;ADİLCEVAZ;ALACAATLI;627/4 SOKAK;sokak;146506181
BİTLİS;ADİLCEVAZ;ALACAATLI;628 SOKAK;sokak;1117809
BİTLİS;ADİLCEVAZ;ALACAATLI;629 SOKAK;sokak;1117811
BİTLİS;ADİLCEVAZ;ALACAATLI;630 SOKAK;sokak;1117823
BİTLİS;ADİLCEVAZ;ALACAATLI;631 SOKAK;sokak;1117825
BİTLİS;ADİLCEVAZ;ALACAATLI;632 SOKAK;sokak;1117827
