il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BOLU;DÖRTDİVAN;ADAKINIK;1 SOKAK;sokak;592714
BOLU;DÖRTDİVAN;ADAKINIK;1/1 SOKAK;sokak;871656841
BOLU;DÖRTDİVAN;ADAKINIK;2 SOKAK;sokak;979119
BOLU;DÖRTDİVAN;ADAKINIK;2/1 SOKAK;sokak;420675040
BOLU;DÖRTDİVAN;ADAKINIK;2/2 SOKAK;sokak;948008021
BOLU;DÖRTDİVAN;ADAKINIK;3 SOKAK;sokak;979121
BOLU;DÖRTDİVAN;ADAKINIK;3/1 SOKAK;sokak;781819890
BOLU;DÖRTDİVAN;ADAKINIK;3/2 SOKAK;sokak;348532000
BOLU;DÖRTDİVAN;ADAKINIK;4 SOKAK;sokak;979123
BOLU;DÖRTDİVAN;ADAKINIK;ADAKINIK/ISIMSIZ2 SOKAK;sokak;840535940
BOLU;DÖRTDİVAN;ADAKINIK;ADAKINIK/ISIMSIZ3 SOKAK;sokak;866316451
BOLU;DÖRTDİVAN;ADAKINIK;ADIKINIK/ISIMSIZ1 SOKAK;sokak;438506841
BOLU;DÖRTDİVAN;ADAKINIK;ÇİTLER/3 SOKAK;sokak;417161680
BOLU;DÖRTDİVAN;ADAKINIK;DEVECİLER CADDE;cadde;709090981
BOLU;DÖRTDİVAN;ADAKINIK;DÜĞER/2 SOKAK;sokak;708202380
BOLU;DÖRTDİVAN;ADAKINIK;KARŞIYAKA CADDE;cadde;634456051
BOLU;DÖRTDİVAN;ADAKINIK;ULUYOL CADDE;cadde;592285
BOLU;DÖRTDİVAN;ADAKINIK;ULUYOL/1 SOKAK;sokak;213068651
BOLU;DÖRTDİVAN;ADAKINIK;ULUYOL/2 SOKAK;sokak;599620920
BOLU;DÖRTDİVAN;ADAKINIK;ULUYOL1 SOKAK;sokak;271468361
BOLU;DÖRTDİVAN;ADAKINIK;YUSUFOĞLU 1 SOKAK;sokak;501426860
BOLU;DÖRTDİVAN;ADAKINIK;YUSUFOĞLU 2 SOKAK;sokak;176138450
BOLU;DÖRTDİVAN;ADAKINIK;YUSUFOĞLU CADDE;cadde;607606
BOLU;DÖRTDİVAN;ADAKÖY - ADAKÖY MERKEZ;ADAKÖY MERKEZ KÖY YOLU KÜME EVLER;sokak;527721
BOLU;DÖRTDİVAN;ADAKÖY - NAHÇIVAN;DÖRTDİVAN GEREDE YOLU BULVAR;sokak;109193711
BOLU;DÖRTDİVAN;ADAKÖY - NAHÇIVAN;GEREDE CADDE;cadde;429153060
BOLU;DÖRTDİVAN;ADAKÖY - NAHÇIVAN;GEREDE/4 SOKAK;sokak;880696040
BOLU;DÖRTDİVAN;ADAKÖY - NAHÇIVAN;NAHÇIVAN MAHALLE YOLU KÜME EVLER;sokak;518559
BOLU;DÖRTDİVAN;ADAKÖY - NAHÇIVAN;YAYALAR KÖY YOLU KÜME EVLER;sokak;207639260
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER MERKEZ;AŞAĞIDÜĞER MERKEZ KÖY YOLU KÜME EVLER;sokak;553927
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER MERKEZ;DÜĞER/2 SOKAK;sokak;616296551
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER MERKEZ;YUKARISAYIK MERKEZ KÖY YOLU KÜME EVLER;sokak;410135820
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER MERKEZ;YUSUFOĞLU CADDE;cadde;705510800
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER YAYLASI;AŞAĞI DÜĞER MANDIRA YOLU KÜME EVLER;sokak;488638800
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER YAYLASI;AŞAĞIDÜĞER ALADAĞ YAYLASI YOLU KÜME EVLER;sokak;257689791
BOLU;DÖRTDİVAN;AŞAĞIDÜĞER - AŞAĞIDÜĞER YAYLASI;AŞAĞIDÜĞER YAYLASI YOLU KÜME EVLER;sokak;556219
BOLU;DÖRTDİVAN;AŞAĞISAYIK - AŞAĞISAYIK MERKEZ;14 SOKAK;sokak;847425840
BOLU;DÖRTDİVAN;AŞAĞISAYIK - AŞAĞISAYIK MERKEZ;AŞAĞISAYIK MERKEZ KÖY YOLU KÜME EVLER;sokak;555016
BOLU;DÖRTDİVAN;AŞAĞISAYIK - AŞAĞISAYIK MERKEZ;DÜLGER KÖY YOLU KÜME EVLER;sokak;573189821
BOLU;DÖRTDİVAN;AŞAĞISAYIK - AŞAĞISAYIK MERKEZ;YENİ MAHALLE YOLU KÜME EVLER;sokak;336797211
BOLU;DÖRTDİVAN;AŞAĞISAYIK - AŞAĞISAYIK MERKEZ;YUKARISAYIK MERKEZ KÖY YOLU KÜME EVLER;sokak;112622840
BOLU;DÖRTDİVAN;AŞAĞISAYIK - ÇUKURCA ALADAĞI;ÇUKURCA ALADAĞI YOLU KÜME EVLER;sokak;544260
