il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BURDUR;AĞLASUN;AŞAĞIYUMRUTAŞ NA;AŞAĞIYUMRUTAŞ KÖY KÜME EVLER;sokak;482728
BURDUR;AĞLASUN;BALA;ATASOY SOKAK;sokak;134279
BURDUR;AĞLASUN;BALA;BARBAROS CADDE;cadde;405598
BURDUR;AĞLASUN;BALA;BULUT SOKAK;sokak;134280
BURDUR;AĞLASUN;BALA;BURDUR 1. CADDE;cadde;821049850
BURDUR;AĞLASUN;BALA;BURDUR CADDE;cadde;134281
BURDUR;AĞLASUN;BALA;CUMHURİYET 1. SOKAK;sokak;612805660
BURDUR;AĞLASUN;BALA;CUMHURİYET CADDE;cadde;134282
BURDUR;AĞLASUN;BALA;ÇAYIR 1. SOKAK;sokak;279053971
BURDUR;AĞLASUN;BALA;ÇAYIR SOKAK;sokak;142989
BURDUR;AĞLASUN;BALA;ÇAYİÇİ SOKAK;sokak;308306
BURDUR;AĞLASUN;BALA;ÇUKURİÇİ 1. SOKAK;sokak;921739211
BURDUR;AĞLASUN;BALA;ÇUKURİÇİ ÇIKMAZI SOKAK;sokak;413993790
BURDUR;AĞLASUN;BALA;ÇUKURİÇİ SOKAK;sokak;142990
BURDUR;AĞLASUN;BALA;DAĞLAR SOKAK;sokak;596825
BURDUR;AĞLASUN;BALA;DÜZENCİ 1. SOKAK;sokak;457172201
BURDUR;AĞLASUN;BALA;DÜZENCİ SOKAK;sokak;585398
BURDUR;AĞLASUN;BALA;ESKİ SARAY SOKAK;sokak;405599
BURDUR;AĞLASUN;BALA;FİDAN SOKAK;sokak;592227
BURDUR;AĞLASUN;BALA;GÜNDÜZ SOKAK;sokak;308260
BURDUR;AĞLASUN;BALA;GÜRLEK CADDE;cadde;405600
BURDUR;AĞLASUN;BALA;İSTİKLAL CADDE;cadde;142991
BURDUR;AĞLASUN;BALA;KAPILI HARIM 1. SOKAK;sokak;678454790
BURDUR;AĞLASUN;BALA;KAPILI HARIM SOKAK;sokak;591388
BURDUR;AĞLASUN;BALA;KÜTÜK SOKAK;sokak;592228
BURDUR;AĞLASUN;BALA;MEZARLIK SOKAK;sokak;591389
BURDUR;AĞLASUN;BALA;MİMAR SİNAN CADDE;cadde;142985
BURDUR;AĞLASUN;BALA;MİMAR SİNAN ÇIKMAZI CADDE;cadde;439151721
BURDUR;AĞLASUN;BALA;MUSTAFA YEŞİL CADDE;cadde;142984
BURDUR;AĞLASUN;BALA;POÇULU SOKAK;sokak;142986
BURDUR;AĞLASUN;BALA;SAMANCI SOKAK;sokak;596824
BURDUR;AĞLASUN;BALA;SİPAHİLER SOKAK;sokak;142987
BURDUR;AĞLASUN;BALA;TAŞLIYER SOKAK;sokak;592223
BURDUR;AĞLASUN;BALA;TOPÇULAR SOKAK;sokak;142988
BURDUR;AĞLASUN;BALA;TURGUT ÖZAL CADDE;cadde;405601
BURDUR;AĞLASUN;BALA;VAROL ÇIKMAZI 2. SOKAK;sokak;281141711
BURDUR;AĞLASUN;BALA;VAROL ÇIKMAZI SOKAK;sokak;521692081
BURDUR;AĞLASUN;BALA;VAROL SOKAK;sokak;591386
BURDUR;AĞLASUN;BALA;YUKARI SOKAK;sokak;592220
BURDUR;AĞLASUN;ÇAMLIDERE - GÖKBEL;ANTALYA ISPARTA BULVAR;sokak;738724830
BURDUR;AĞLASUN;ÇAMLIDERE - GÖKBEL;GÖKBEL KÜME EVLER;sokak;33315
BURDUR;AĞLASUN;ÇAMLIDERE - HARMANCIK;HARMANCIK KÜME EVLER;sokak;480276
BURDUR;AĞLASUN;ÇAMLIDERE - KARAGÖL;ANTALYA ISPARTA BULVAR;sokak;285462240
BURDUR;AĞLASUN;ÇAMLIDERE - KARAGÖL;KARAGÖL KÜME EVLER;sokak;22737
BURDUR;AĞLASUN;ÇAMLIDERE - SAKIZLIK;ANTALYA ISPARTA BULVAR;sokak;132034500
BURDUR;AĞLASUN;ÇAMLIDERE - SAKIZLIK;SAKIZLIK KÜME EVLER;sokak;484698
BURDUR;AĞLASUN;ÇAMLIDERE NA;ÇAMLIDERE KÜME EVLER;sokak;22321
BURDUR;AĞLASUN;ÇINAR;AKDOĞAN SOKAK;sokak;1216941
BURDUR;AĞLASUN;ÇINAR;ANTALYA YOLU BULVAR;sokak;826841
BURDUR;AĞLASUN;ÇINAR;ATATÜRK 1. SOKAK;sokak;780689470
BURDUR;AĞLASUN;ÇINAR;ATATÜRK 2. SOKAK;sokak;410086570
BURDUR;AĞLASUN;ÇINAR;ATATÜRK CADDE;cadde;143010
BURDUR;AĞLASUN;ÇINAR;BURDUR CADDE;cadde;826835
BURDUR;AĞLASUN;ÇINAR;CEMAL GÜRSEL CADDE;cadde;817007
BURDUR;AĞLASUN;ÇINAR;CUMHURİYET CADDE;cadde;826825
BURDUR;AĞLASUN;ÇINAR;FATİH CADDE;cadde;826828
BURDUR;AĞLASUN;ÇINAR;FEVZİ ÇAKMAK 1. SOKAK;sokak;904963320
BURDUR;AĞLASUN;ÇINAR;FEVZİ ÇAKMAK CADDE;cadde;826803
BURDUR;AĞLASUN;ÇINAR;HAYTA SOKAK;sokak;817006
BURDUR;AĞLASUN;ÇINAR;HAZİNE SOKAK;sokak;826822
BURDUR;AĞLASUN;ÇINAR;ISPARTA CADDE;cadde;143014
BURDUR;AĞLASUN;ÇINAR;ISPARTA YOLU BULVAR;sokak;826807
BURDUR;AĞLASUN;ÇINAR;İNÖNÜ CADDE;cadde;653338740
BURDUR;AĞLASUN;ÇINAR;KASAPLAR 1. SOKAK;sokak;663079761
BURDUR;AĞLASUN;ÇINAR;KASAPLAR SOKAK;sokak;405604
BURDUR;AĞLASUN;ÇINAR;KEMER KÖPRÜ SOKAK;sokak;587171
BURDUR;AĞLASUN;ÇINAR;KURNAZ SOKAK;sokak;142994
BURDUR;AĞLASUN;ÇINAR;MEHMETCİK 1. SOKAK;sokak;858987650
BURDUR;AĞLASUN;ÇINAR;MEHMETCİK CADDE;cadde;126710200
BURDUR;AĞLASUN;ÇINAR;MUSTAFA YEŞİL CADDE;cadde;826813
BURDUR;AĞLASUN;ÇINAR;PTT 1. SOKAK;sokak;346716360
BURDUR;AĞLASUN;ÇINAR;PTT 2. SOKAK;sokak;175671161
BURDUR;AĞLASUN;ÇINAR;PTT SOKAK;sokak;143000
BURDUR;AĞLASUN;ÇINAR;ULUDOĞAN SOKAK;sokak;595507
BURDUR;AĞLASUN;ÇINAR;VATAN 1. SOKAK;sokak;207605910
BURDUR;AĞLASUN;ÇINAR;VATAN CADDE;cadde;826816
BURDUR;AĞLASUN;ÇINAR;VEHBİ KOÇ BULVAR;sokak;597628
BURDUR;AĞLASUN;DEREKÖY NA;DEREKÖY KÖY KÜME EVLER;sokak;479586
BURDUR;AĞLASUN;HAMAM;AKDOĞAN SOKAK;sokak;142995
BURDUR;AĞLASUN;HAMAM;ANTALYA YOLU BULVAR;sokak;595510
BURDUR;AĞLASUN;HAMAM;BURDUR CADDE;cadde;142992
BURDUR;AĞLASUN;HAMAM;CANDAN SOKAK;sokak;593913
BURDUR;AĞLASUN;HAMAM;CUMHURİYET CADDE;cadde;405603
BURDUR;AĞLASUN;HAMAM;FATİH CADDE;cadde;142996
BURDUR;AĞLASUN;HAMAM;GÜNDÜZ SOKAK;sokak;924143
BURDUR;AĞLASUN;HAMAM;HAZİNE SOKAK;sokak;142993
BURDUR;AĞLASUN;HAMAM;KÖÇEK HARIM 1. SOKAK;sokak;301204630
BURDUR;AĞLASUN;HAMAM;KÖÇEK HARIM SOKAK;sokak;1216935
BURDUR;AĞLASUN;HAMAM;MERA 1 SOKAK;sokak;912420811
BURDUR;AĞLASUN;HAMAM;MERA 1. SOKAK;sokak;660486201
BURDUR;AĞLASUN;HAMAM;MERA SOKAK;sokak;142997
BURDUR;AĞLASUN;HAMAM;MUSTAFA YEŞİL CADDE;cadde;142998
BURDUR;AĞLASUN;HAMAM;SAMSUN CADDE;cadde;1216833
BURDUR;AĞLASUN;HAMAM;VATAN CADDE;cadde;142999
BURDUR;AĞLASUN;HAMAM;YEŞİL SOKAK;sokak;405605
BURDUR;AĞLASUN;HAMAM;YILDIRIM BEYAZIT CADDE;cadde;1216829
BURDUR;AĞLASUN;HİSARKÖY NA;HİSAR KÜME EVLER;sokak;480542
BURDUR;AĞLASUN;KIRAÇ;BALLICA YOLU SOKAK;sokak;337025
BURDUR;AĞLASUN;KIRAÇ;BARBAROS 1. SOKAK;sokak;148814781
BURDUR;AĞLASUN;KIRAÇ;BARBAROS CADDE;cadde;1217445
BURDUR;AĞLASUN;KIRAÇ;ÇANAKKALE 1. SOKAK;sokak;363082601
BURDUR;AĞLASUN;KIRAÇ;ÇANAKKALE CADDE;cadde;143001
BURDUR;AĞLASUN;KIRAÇ;DUMLUPINAR CADDE;cadde;1217443
BURDUR;AĞLASUN;KIRAÇ;ESKİ SARAY SOKAK;sokak;596833
BURDUR;AĞLASUN;KIRAÇ;MEHMETCİK 1. SOKAK;sokak;905423740
BURDUR;AĞLASUN;KIRAÇ;PINAR 1. SOKAK;sokak;798470671
BURDUR;AĞLASUN;KIRAÇ;PINAR SOKAK;sokak;961215
BURDUR;AĞLASUN;KIRAÇ;SORKUN KÜME EVLER;sokak;143002
BURDUR;AĞLASUN;KIRAÇ;YAYLAKENT 1. SK SOKAK;sokak;596835
BURDUR;AĞLASUN;KIRAÇ;YAYLAKENT 2. SK SOKAK;sokak;592240
BURDUR;AĞLASUN;KIRAÇ;YAYLAKENT 3. SK SOKAK;sokak;597697
BURDUR;AĞLASUN;KIRAÇ;YAYLAKENT 4. SK SOKAK;sokak;595488
BURDUR;AĞLASUN;KIRAÇ;YAYLAKENT 5. SK SOKAK;sokak;337017
BURDUR;AĞLASUN;KIRAÇ;YAYLAKENT 6. SK SOKAK;sokak;547317650
BURDUR;AĞLASUN;KİPRİT NA;KİPRİT KÜME EVLER;sokak;494900
BURDUR;AĞLASUN;KUM;ANAFARTALAR CADDE;cadde;405606
BURDUR;AĞLASUN;KUM;ANTALYA SOKAK;sokak;477737591
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 1. SOKAK;sokak;722568521
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 2. SOKAK;sokak;148192540
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 3. SOKAK;sokak;111964901
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 4. SOKAK;sokak;276658681
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 5. SOKAK;sokak;741213281
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 6. SOKAK;sokak;388198500
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 7. SOKAK;sokak;389923191
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 8. SOKAK;sokak;889514390
BURDUR;AĞLASUN;KUM;ANTALYA YOLU 9. SOKAK;sokak;478298251
BURDUR;AĞLASUN;KUM;ANTALYA YOLU BULVAR;sokak;585410
BURDUR;AĞLASUN;KUM;ASLAN SOKAK;sokak;592254
BURDUR;AĞLASUN;KUM;AYAZMANA KÜME EVLER;sokak;842410
BURDUR;AĞLASUN;KUM;BAYAR SOKAK;sokak;587205
BURDUR;AĞLASUN;KUM;BURDUR CADDE;cadde;143003
BURDUR;AĞLASUN;KUM;ÇANAKLI YOLU SOKAK;sokak;621702460
BURDUR;AĞLASUN;KUM;DAM YOKUŞU SOKAK;sokak;290048760
BURDUR;AĞLASUN;KUM;DENIZ 1. SOKAK;sokak;937961751
BURDUR;AĞLASUN;KUM;DENİZ SOKAK;sokak;143008
BURDUR;AĞLASUN;KUM;DİLEK SOKAK;sokak;143004
BURDUR;AĞLASUN;KUM;HANAY İÇİ KÜME EVLER;sokak;843422
BURDUR;AĞLASUN;KUM;KARACA SOKAK;sokak;143005
BURDUR;AĞLASUN;KUM;KÖÇEK HARIM SOKAK;sokak;541234920
BURDUR;AĞLASUN;KUM;MEHMET AKİF ERSOY CADDE;cadde;405607
BURDUR;AĞLASUN;KUM;SAMSUN 1. SOKAK;sokak;837764760
BURDUR;AĞLASUN;KUM;SAMSUN CADDE;cadde;143006
BURDUR;AĞLASUN;KUM;YARAR SOKAK;sokak;597621
BURDUR;AĞLASUN;KUM;YILDIRIM BEYAZIT 1. SOKAK;sokak;707567961
BURDUR;AĞLASUN;KUM;YILDIRIM BEYAZIT 2. SOKAK;sokak;846584911
BURDUR;AĞLASUN;KUM;YILDIRIM BEYAZIT CADDE;cadde;143007
BURDUR;AĞLASUN;MAMAK - FATİH;AĞLASUN SOKAK;sokak;607662
BURDUR;AĞLASUN;MAMAK - FATİH;ALTIN SOKAK;sokak;601234
BURDUR;AĞLASUN;MAMAK - FATİH;BAYIR SOKAK;sokak;143031
BURDUR;AĞLASUN;MAMAK - FATİH;BEDİR SOKAK;sokak;143029
BURDUR;AĞLASUN;MAMAK - FATİH;BUCAK SOKAK;sokak;849732
BURDUR;AĞLASUN;MAMAK - FATİH;ÇAĞLAR SOKAK;sokak;143028
BURDUR;AĞLASUN;MAMAK - FATİH;ÇAY SOKAK;sokak;601233
BURDUR;AĞLASUN;MAMAK - FATİH;DERE SOKAK;sokak;143023
BURDUR;AĞLASUN;MAMAK - FATİH;DİBEKTAŞ 1. SOKAK;sokak;17741646
BURDUR;AĞLASUN;MAMAK - FATİH;DİBEKTAŞ SOKAK;sokak;405614
BURDUR;AĞLASUN;MAMAK - FATİH;DOLAY SOKAK;sokak;143024
BURDUR;AĞLASUN;MAMAK - FATİH;ECE SOKAK;sokak;143025
BURDUR;AĞLASUN;MAMAK - FATİH;HİLAL SOKAK;sokak;143027
BURDUR;AĞLASUN;MAMAK - FATİH;HİSARKÖY SOKAK;sokak;607664
BURDUR;AĞLASUN;MAMAK - FATİH;İMAMLAR SOKAK;sokak;405616
BURDUR;AĞLASUN;MAMAK - FATİH;İSTİKLAL 2. SOKAK;sokak;57248486
BURDUR;AĞLASUN;MAMAK - FATİH;İSTİKLAL SOKAK;sokak;143030
BURDUR;AĞLASUN;MAMAK - FATİH;KIR SOKAK;sokak;601235
BURDUR;AĞLASUN;MAMAK - FATİH;NAYIR 1. SOKAK;sokak;76506880
BURDUR;AĞLASUN;MAMAK - FATİH;NAYIR SOKAK;sokak;143026
BURDUR;AĞLASUN;MAMAK - FATİH;ŞAHİN SOKAK;sokak;607665
BURDUR;AĞLASUN;MAMAK - FATİH;ŞEHİT MİTHAT AKÇA 1. SOKAK;sokak;36603546
BURDUR;AĞLASUN;MAMAK - FATİH;ŞEHİT MİTHAT AKÇA 2. SOKAK;sokak;10811958
BURDUR;AĞLASUN;MAMAK - FATİH;ŞEHİT MİTHAT AKÇA SOKAK;sokak;587456
BURDUR;AĞLASUN;MAMAK - FATİH;YAKA SOKAK;sokak;405615
BURDUR;AĞLASUN;MAMAK - YAVUZ;FIRIN SOKAK;sokak;342956
BURDUR;AĞLASUN;MAMAK - YAVUZ;FİDAN SOKAK;sokak;405617
BURDUR;AĞLASUN;MAMAK - YAVUZ;GÜL ÇIKMAZI SOKAK;sokak;143033
BURDUR;AĞLASUN;MAMAK - YAVUZ;HUZUR SOKAK;sokak;143034
BURDUR;AĞLASUN;MAMAK - YAVUZ;KERPİÇ SOKAK;sokak;613553
BURDUR;AĞLASUN;MAMAK - YAVUZ;OKUL SOKAK;sokak;405618
BURDUR;AĞLASUN;MAMAK - YAVUZ;SEDİR SOKAK;sokak;143035
BURDUR;AĞLASUN;MAMAK - YAVUZ;ŞEHİT MİTHAT AKÇA SOKAK;sokak;143032
BURDUR;AĞLASUN;MAMAK - YAVUZ;TESTİ SOKAK;sokak;143038
BURDUR;AĞLASUN;MAMAK - YAVUZ;TOMSUYER SOKAK;sokak;143036
BURDUR;AĞLASUN;MAMAK - YAVUZ;YÜKSEL ÇIKMAZI SOKAK;sokak;143037
BURDUR;AĞLASUN;MAMAK - YAVUZ;ZİRAAT SOKAK;sokak;405619
BURDUR;AĞLASUN;SAKARCA;ABDİL SOKAK;sokak;405608
BURDUR;AĞLASUN;SAKARCA;AĞALAR CAMİ SOKAK;sokak;587169
BURDUR;AĞLASUN;SAKARCA;AĞALAR SOKAK;sokak;143011
BURDUR;AĞLASUN;SAKARCA;AKYAMAÇ SOKAK;sokak;596328
BURDUR;AĞLASUN;SAKARCA;ALTINOK SOKAK;sokak;143009
BURDUR;AĞLASUN;SAKARCA;BAĞARASI SOKAK;sokak;587164
BURDUR;AĞLASUN;SAKARCA;BAYKA SOKAK;sokak;592194
BURDUR;AĞLASUN;SAKARCA;BEDER SOKAK;sokak;592193
BURDUR;AĞLASUN;SAKARCA;BİLGİÇ SOKAK;sokak;584992
BURDUR;AĞLASUN;SAKARCA;BÜLBÜL SOKAK;sokak;597243
BURDUR;AĞLASUN;SAKARCA;ÇAYBOYU SOKAK;sokak;592190
BURDUR;AĞLASUN;SAKARCA;DEVECİ SOKAK;sokak;595478
BURDUR;AĞLASUN;SAKARCA;DOĞAN SOKAK;sokak;596315
BURDUR;AĞLASUN;SAKARCA;DUMAN SOKAK;sokak;596310
BURDUR;AĞLASUN;SAKARCA;DUMLUPINAR CADDE;cadde;405609
BURDUR;AĞLASUN;SAKARCA;ERCAN SOKAK;sokak;589232
BURDUR;AĞLASUN;SAKARCA;FEVZİ ÇAKMAK CADDE;cadde;143012
BURDUR;AĞLASUN;SAKARCA;GAZİ CADDE;cadde;143013
BURDUR;AĞLASUN;SAKARCA;GİRİTLİ SOKAK;sokak;584995
BURDUR;AĞLASUN;SAKARCA;GÜLCÜ SOKAK;sokak;405610
BURDUR;AĞLASUN;SAKARCA;ISPARTA YOLU 1. SOKAK;sokak;633986710
BURDUR;AĞLASUN;SAKARCA;ISPARTA YOLU 2. SOKAK;sokak;699717290
BURDUR;AĞLASUN;SAKARCA;ISPARTA YOLU BULVAR;sokak;596326
BURDUR;AĞLASUN;SAKARCA;İNCİ SOKAK;sokak;143021
BURDUR;AĞLASUN;SAKARCA;İNÖNÜ CADDE;cadde;405613
BURDUR;AĞLASUN;SAKARCA;KAPLAN 1. SOKAK;sokak;400212061
BURDUR;AĞLASUN;SAKARCA;KAPLAN SOKAK;sokak;595477
BURDUR;AĞLASUN;SAKARCA;KAZIM KARABEKİR CADDE;cadde;143015
BURDUR;AĞLASUN;SAKARCA;KONOZU KÜME EVLER;sokak;801908
BURDUR;AĞLASUN;SAKARCA;KORKMAZ 1. SOKAK;sokak;149637220
BURDUR;AĞLASUN;SAKARCA;KORKMAZ SOKAK;sokak;592198
BURDUR;AĞLASUN;SAKARCA;KURTULUŞ SOKAK;sokak;143016
BURDUR;AĞLASUN;SAKARCA;MALAZGİRT CADDE;cadde;405611
BURDUR;AĞLASUN;SAKARCA;MANASIR KÜME EVLER;sokak;668411
BURDUR;AĞLASUN;SAKARCA;MEHMETCİK 1. SOKAK;sokak;905423741
BURDUR;AĞLASUN;SAKARCA;MEHMETCİK CADDE;cadde;143017
BURDUR;AĞLASUN;SAKARCA;MÜLAZİM ÇIKMAZI SOKAK;sokak;143018
BURDUR;AĞLASUN;SAKARCA;ÖZEN SOKAK;sokak;592613
BURDUR;AĞLASUN;SAKARCA;PİŞKİN SOKAK;sokak;589221
BURDUR;AĞLASUN;SAKARCA;PREVEZE CADDE;cadde;143019
BURDUR;AĞLASUN;SAKARCA;SUSAKLI CADDE;cadde;442478720
BURDUR;AĞLASUN;SAKARCA;ŞEN SOKAK;sokak;143022
BURDUR;AĞLASUN;SAKARCA;TOPRAK SOKAK;sokak;592612
BURDUR;AĞLASUN;SAKARCA;ULUDOĞAN 1 SOKAK;sokak;592611
BURDUR;AĞLASUN;SAKARCA;ÜNLÜ SOKAK;sokak;592192
BURDUR;AĞLASUN;SAKARCA;YAYLA YOLU SOKAK;sokak;592617
BURDUR;AĞLASUN;SAKARCA;YEŞİL VADİ 1. SOKAK;sokak;251160881
BURDUR;AĞLASUN;SAKARCA;YORGANCI SOKAK;sokak;587166
BURDUR;AĞLASUN;SAKARCA;YUKARI 1 SOKAK;sokak;405612
BURDUR;AĞLASUN;YAZIR - SAKARLAR;SAKARLAR KÜME EVLER;sokak;500053
BURDUR;AĞLASUN;YAZIR NA;YAZIR KÖY KÜME EVLER;sokak;491343
BURDUR;AĞLASUN;YEŞİLBAŞKÖY - DEREGÖZÜ;ATATÜRK SOKAK;sokak;600622
BURDUR;AĞLASUN;YEŞİLBAŞKÖY - DEREGÖZÜ;BURDUR SOKAK;sokak;598687
BURDUR;AĞLASUN;YEŞİLBAŞKÖY - DEREGÖZÜ;CENGİZ TOPEL SOKAK;sokak;405620
