il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
BURSA;BÜYÜKORHAN;AKÇASAZ;AKÇASAZ SOKAK;sokak;503338
BURSA;BÜYÜKORHAN;AKÇASAZ;AKÇASAZ/1 SOKAK;sokak;600816840
BURSA;BÜYÜKORHAN;AKÇASAZ;AKÇASAZ/2 SOKAK;sokak;652180830
BURSA;BÜYÜKORHAN;AKÇASAZ;AKÇASAZ/3 SOKAK;sokak;496779580
BURSA;BÜYÜKORHAN;AKÇASAZ;AKÇASAZ/4 SOKAK;sokak;551088980
BURSA;BÜYÜKORHAN;AKÇASAZ;AKÇASAZ/5 SOKAK;sokak;312125170
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ SOKAK;sokak;295757
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/1 SOKAK;sokak;438146560
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/10 SOKAK;sokak;230875540
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/2 SOKAK;sokak;469493500
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/3 SOKAK;sokak;180792280
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/4 SOKAK;sokak;425279290
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/5 SOKAK;sokak;378964950
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/6 SOKAK;sokak;262347080
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/7 SOKAK;sokak;519577930
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/8 SOKAK;sokak;352862020
BURSA;BÜYÜKORHAN;AKTAŞ;AKTAŞ/9 SOKAK;sokak;109852810
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR BULUNAMAYAN ADRESLER SOKAK;sokak;794526370
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR SOKAK;sokak;511503
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/1 SOKAK;sokak;255506330
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/10 SOKAK;sokak;365793400
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/11 SOKAK;sokak;404781740
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/12 SOKAK;sokak;241631490
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/13 SOKAK;sokak;692857400
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/14 SOKAK;sokak;182809410
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/15 SOKAK;sokak;143192060
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/16 SOKAK;sokak;537574150
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/2 SOKAK;sokak;443450310
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/3 SOKAK;sokak;743328000
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/4 SOKAK;sokak;205128850
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/5 SOKAK;sokak;697199610
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/6 SOKAK;sokak;132393220
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/7 SOKAK;sokak;147964110
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/8 SOKAK;sokak;465231970
BURSA;BÜYÜKORHAN;AKTAŞ;KOCAÇAYIR/9 SOKAK;sokak;491509800
BURSA;BÜYÜKORHAN;ARMUTÇUK;AKPINAR CADDE;cadde;525311
BURSA;BÜYÜKORHAN;ARMUTÇUK;AKPINAR/1 SOKAK;sokak;193549500
BURSA;BÜYÜKORHAN;ARMUTÇUK;AKPINAR/2 SOKAK;sokak;326840780
BURSA;BÜYÜKORHAN;ARMUTÇUK;BÜYÜKORHAN CADDE;cadde;530805
BURSA;BÜYÜKORHAN;ARMUTÇUK;BÜYÜKORHAN/1 SOKAK;sokak;785293360
BURSA;BÜYÜKORHAN;ARMUTÇUK;BÜYÜKORHAN/2 SOKAK;sokak;369266240
BURSA;BÜYÜKORHAN;ARMUTÇUK;BÜYÜKORHAN/3 SOKAK;sokak;358025290
BURSA;BÜYÜKORHAN;ARMUTÇUK;BÜYÜKORHAN/4 SOKAK;sokak;235648340
BURSA;BÜYÜKORHAN;ARMUTÇUK;CAMİ MEYDAN;sokak;531697
BURSA;BÜYÜKORHAN;ARMUTÇUK;OKUL BULUNAMAYAN ADRESLER SOKAK;sokak;631361050
BURSA;BÜYÜKORHAN;ARMUTÇUK;OKUL CADDE;cadde;542190
BURSA;BÜYÜKORHAN;ARMUTÇUK;OKUL/1 SOKAK;sokak;949230000
BURSA;BÜYÜKORHAN;ARMUTÇUK;OKUL/2 SOKAK;sokak;731366240
BURSA;BÜYÜKORHAN;ARMUTÇUK;OKUL/3 SOKAK;sokak;930951720
BURSA;BÜYÜKORHAN;ARMUTÇUK;OKUL/4 SOKAK;sokak;936486810
BURSA;BÜYÜKORHAN;ARMUTÇUK;OSMANDEDE CADDE;cadde;529257
BURSA;BÜYÜKORHAN;ARMUTÇUK;OSMANDEDE/1 SOKAK;sokak;397014120
BURSA;BÜYÜKORHAN;BADEMLİK;ÇÖKENE SOKAK;sokak;27307
BURSA;BÜYÜKORHAN;BADEMLİK;ÇÖKENE/1 SOKAK;sokak;381009700
BURSA;BÜYÜKORHAN;BADEMLİK;ÇÖKENE/2 SOKAK;sokak;163969960
BURSA;BÜYÜKORHAN;BADEMLİK;VELETLER SOKAK;sokak;497381
BURSA;BÜYÜKORHAN;BADEMLİK;VELETLER/1 SOKAK;sokak;178924490
BURSA;BÜYÜKORHAN;BADEMLİK;VELETLER/2 SOKAK;sokak;187990980
BURSA;BÜYÜKORHAN;BADEMLİK;VELETLER/3 SOKAK;sokak;765315320
BURSA;BÜYÜKORHAN;BADEMLİK;VELETLER/4 SOKAK;sokak;278184910
BURSA;BÜYÜKORHAN;BADEMLİK;VELETLER/5 SOKAK;sokak;506656520
BURSA;BÜYÜKORHAN;BALABAN;BALABAN BULUNAMAYAN ADRESLER SOKAK;sokak;399054500
BURSA;BÜYÜKORHAN;BALABAN;BALABAN SOKAK;sokak;480516
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/1 SOKAK;sokak;412910630
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/2 SOKAK;sokak;410590560
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/3 SOKAK;sokak;539151790
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/4 SOKAK;sokak;764231510
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/5 SOKAK;sokak;210690670
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/6 SOKAK;sokak;105891740
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/7 SOKAK;sokak;851093460
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/8 SOKAK;sokak;339061320
BURSA;BÜYÜKORHAN;BALABAN;BALABAN/9 SOKAK;sokak;578135780
BURSA;BÜYÜKORHAN;BAYINDIR;BAYINDIR SOKAK;sokak;491831
BURSA;BÜYÜKORHAN;BAYINDIR;BAYINDIR/1 SOKAK;sokak;661920300
BURSA;BÜYÜKORHAN;BAYINDIR;BAYINDIR/2 SOKAK;sokak;181628340
BURSA;BÜYÜKORHAN;BAYINDIR;BAYINDIR/3 SOKAK;sokak;295190970
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA BULUNAMAYAN ADRESLER SOKAK;sokak;399512150
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA SOKAK;sokak;554531
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA/1 SOKAK;sokak;316213520
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA/2 SOKAK;sokak;796580760
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA/3 SOKAK;sokak;869460680
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA/4 SOKAK;sokak;935205830
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA/5 SOKAK;sokak;805723160
BURSA;BÜYÜKORHAN;BURUNCA;BURUNCA/6 SOKAK;sokak;443085670
