il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ÇANAKKALE;AYVACIK;ADATEPE - ADATEPEBAŞI;ADATEPEBAŞI KÜME EVLER;sokak;532172
ÇANAKKALE;AYVACIK;ADATEPE - ADATEPEBAŞI ÇAMTEPE;ADATEPEBAŞI ÇAMTEPE1 KÜME EVLER;sokak;534354
ÇANAKKALE;AYVACIK;ADATEPE - ADATEPEBAŞI DEĞİRMENDERE;ADATEPEBAŞI DEĞİRMENDERE KÜME EVLER;sokak;111778
ÇANAKKALE;AYVACIK;ADATEPE - ADATEPEBAŞI PALAMUTLUK;ADATEPEBAŞI PALAMUTLUK KÜME EVLER;sokak;540526
ÇANAKKALE;AYVACIK;ADATEPE - BAŞDEĞİRMEN ŞELALE;ADATEPEBAŞI BAŞDEĞİRMEN ŞELALE KÜME EVLER;sokak;111793
ÇANAKKALE;AYVACIK;ADATEPE - PINARALTI;PINARALTI KÜME EVLER;sokak;536231
ÇANAKKALE;AYVACIK;ADATEPE NA;ADATEPE KÜME EVLER;sokak;538611
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;1 SOKAK;sokak;526191031
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE CADDE;cadde;1494501
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE MÜCAVİR 1. SOKAK;sokak;601048580
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE MÜCAVİR 2. SOKAK;sokak;836625020
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE MÜCAVİR 3. SOKAK;sokak;383826280
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE MÜCAVİR 4 SOKAK;sokak;699513170
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE MÜCAVİR/3 SOKAK;sokak;741521660
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;AHMETÇE MÜCAVİR/4 SOKAK;sokak;536448600
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE MÜCAVİR;ATATÜRK CADDE;cadde;400918940
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;AHMETÇE CADDE;cadde;1472435
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;BEYAZ YALILAR 1. SOKAK;sokak;427172310
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;BEYAZ YALILAR 2. SOKAK;sokak;818243850
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;BEYAZ YALILAR 3. SOKAK;sokak;974877891
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;BEYAZ YALILAR 4. SOKAK;sokak;780983570
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;BEYAZ YALILAR CADDE;cadde;1441729
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;SAHİL MEVKİ 1. KÜME EVLER;sokak;1441727
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;SİYAH İNCİ 1. KÜME EVLER;sokak;604280
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;SİYAH İNCİ 2. CADDE;cadde;246276630
ÇANAKKALE;AYVACIK;AHMETÇE - AHMETÇE SAHİL YOLU;SİYAH İNCİ CADDE;cadde;1441745
ÇANAKKALE;AYVACIK;AHMETÇE - ÇALTEPE;ÇALTEPE KÜME EVLER;sokak;533460
ÇANAKKALE;AYVACIK;AHMETÇE - YALI MEVKİİ;İSKELE CADDE;cadde;1441731
ÇANAKKALE;AYVACIK;AHMETÇE - YALI MEVKİİ;YALI MEVKİİ KÜME EVLER;sokak;688247
ÇANAKKALE;AYVACIK;AHMETÇE - YAYLA EVLERİ AKPINAR MEVKİİ;KARAYOLU BULVAR;sokak;420869000
ÇANAKKALE;AYVACIK;AHMETÇE - YAYLA EVLERİ AKPINAR MEVKİİ;YAYLA EVLERİ AKPINAR MEVKİİ KÜME EVLER;sokak;533463
ÇANAKKALE;AYVACIK;AHMETÇE NA;AHMETÇE KÜME EVLER;sokak;529408
ÇANAKKALE;AYVACIK;AHMETLER NA;AHMETLER KÜME EVLER;sokak;494638
ÇANAKKALE;AYVACIK;AHMETLER NA;ÇINARPINAR KÜME EVLER;sokak;817254420
ÇANAKKALE;AYVACIK;AKÇİN - BÜNGÜLDEK;BÜNGÜLDEK KÜME EVLER;sokak;376783
ÇANAKKALE;AYVACIK;AKÇİN NA;AKÇİN KÜME EVLER;sokak;40807
ÇANAKKALE;AYVACIK;ARIKLI - YALI;YALI KÜME EVLER;sokak;520043
ÇANAKKALE;AYVACIK;ARIKLI NA;ARIKLI KÜME EVLER;sokak;528543
ÇANAKKALE;AYVACIK;ARIKLI NA;KARAYOLU BULVAR;sokak;971018360
ÇANAKKALE;AYVACIK;BABADERE NA;BABADERE KÜME EVLER;sokak;504957
ÇANAKKALE;AYVACIK;BABAKALE - AKLİMAN;AKLİMAN KÜME EVLER;sokak;576536
ÇANAKKALE;AYVACIK;BABAKALE NA;BABAKALE KÜME EVLER;sokak;51324
ÇANAKKALE;AYVACIK;BADEMLİ - AKDEDE;AKDEDE KÜME EVLER;sokak;21376
ÇANAKKALE;AYVACIK;BADEMLİ - BAŞBAHÇE;BAŞBAHÇE KÜME EVLER;sokak;565892
