il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ÇANKIRI;ATKARACALAR;BUDAKPINAR NA;BUDAKPINAR KÜME EVLER;sokak;494847
ÇANKIRI;ATKARACALAR;ÇARDAKLI - BOZKUŞ;BOZKUŞ SOKAK;sokak;496225
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;ABDULHALUK RENDA CADDE;cadde;415872
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;ALİ SİNAN SOKAK;sokak;154001
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;ATATÜRK CADDE;cadde;154002
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;BEYKÖYÜ SOKAK;sokak;564288990
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;ÇAVUŞLAR SOKAK;sokak;154006
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;ERENLER CADDE;cadde;154003
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;KALAYCI OSMAN SOKAK;sokak;415873
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;KARANFİL SOKAK;sokak;154004
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;RAFET ÖZTÜRK CADDE;cadde;226433080
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;YUKARI HARMAN 1. SOKAK;sokak;614004790
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;YUKARI HARMAN 2. SOKAK;sokak;641947490
ÇANKIRI;ATKARACALAR;ÇARDAKLI - CUMHURİYET;YUKARI HARMAN 3. SOKAK;sokak;279172360
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;1. ETAP KOOPERATİF 1. SOKAK;sokak;686614460
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;1. ETAP KOOPERATİF 2. SOKAK;sokak;863437120
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;1. ETAP KOOPERATİF 3. SOKAK;sokak;751843900
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;1. ETAP KOOPERATİF 4. SOKAK;sokak;537509230
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ABDULHALUK RENDA CADDE;cadde;154011
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ALAATTİN CECELİ CADDE;cadde;154012
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ARPALIK 1. SOKAK;sokak;853017290
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ARPALIK 2. SOKAK;sokak;982892590
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ARPALIK 3. SOKAK;sokak;758505860
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ARPALIK SOKAK;sokak;639890400
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;BAŞAK CADDE;cadde;359362100
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ÇAKILLI BOSTAN CADDE;cadde;710659400
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ÇAMLICA 1. SOKAK;sokak;242379190
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ÇAMLICA 2. SOKAK;sokak;954481300
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ÇAMLICA CADDE;cadde;415875
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ÇAYIR SOKAK;sokak;370017160
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ÇİĞDEMLİK SOKAK;sokak;1399461
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;EFENDİ CADDE;cadde;980745520
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;EĞREK 1. SOKAK;sokak;567425880
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;EĞREK 2. SOKAK;sokak;998558350
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;ERENLER CADDE;cadde;415876
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;FİDANLIK SOKAK;sokak;433972640
ÇANKIRI;ATKARACALAR;ÇARDAKLI - HÜRRİYET;HACI SOFTOĞLU SOKAK;sokak;415874
