il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
DENİZLİ;ACIPAYAM;AKALAN;201_1 SOKAK;sokak;638103
DENİZLİ;ACIPAYAM;AKALAN;202 SOKAK;sokak;638066
DENİZLİ;ACIPAYAM;AKALAN;203_2 SOKAK;sokak;371537
DENİZLİ;ACIPAYAM;AKALAN;204 SOKAK;sokak;627455
DENİZLİ;ACIPAYAM;AKALAN;205_2 SOKAK;sokak;637483
DENİZLİ;ACIPAYAM;AKALAN;206 SOKAK;sokak;633444
DENİZLİ;ACIPAYAM;AKALAN;206/1 SOKAK;sokak;422179190
DENİZLİ;ACIPAYAM;AKALAN;207 SOKAK;sokak;639005
DENİZLİ;ACIPAYAM;AKALAN;208_1 SOKAK;sokak;633415
DENİZLİ;ACIPAYAM;AKALAN;209 SOKAK;sokak;318078
DENİZLİ;ACIPAYAM;AKALAN;210_5 SOKAK;sokak;638555
DENİZLİ;ACIPAYAM;AKALAN;210/2 SOKAK;sokak;880555610
DENİZLİ;ACIPAYAM;AKALAN;210/3 SOKAK;sokak;443563760
DENİZLİ;ACIPAYAM;AKALAN;211_1 SOKAK;sokak;633893
DENİZLİ;ACIPAYAM;AKALAN;212_2 SOKAK;sokak;633892
DENİZLİ;ACIPAYAM;AKALAN;213 SOKAK;sokak;343252
DENİZLİ;ACIPAYAM;AKALAN;214_2 SOKAK;sokak;634764
DENİZLİ;ACIPAYAM;AKALAN;215_2 SOKAK;sokak;632138
DENİZLİ;ACIPAYAM;AKALAN;216 SOKAK;sokak;634810
DENİZLİ;ACIPAYAM;AKALAN;217 SOKAK;sokak;635098
DENİZLİ;ACIPAYAM;AKALAN;218_1 SOKAK;sokak;633857
DENİZLİ;ACIPAYAM;AKALAN;219_1 SOKAK;sokak;632973
DENİZLİ;ACIPAYAM;AKALAN;220/1 SOKAK;sokak;461870350
DENİZLİ;ACIPAYAM;AKALAN;220/2 SOKAK;sokak;660434310
DENİZLİ;ACIPAYAM;AKALAN;221 SOKAK;sokak;634798
DENİZLİ;ACIPAYAM;AKALAN;222 SOKAK;sokak;88946
DENİZLİ;ACIPAYAM;AKALAN;223_1 SOKAK;sokak;638196
DENİZLİ;ACIPAYAM;AKALAN;224 SOKAK;sokak;91157
DENİZLİ;ACIPAYAM;AKALAN;225 SOKAK;sokak;104003
DENİZLİ;ACIPAYAM;AKALAN;226_1 SOKAK;sokak;103994
DENİZLİ;ACIPAYAM;AKALAN;227_1 SOKAK;sokak;628358
DENİZLİ;ACIPAYAM;AKALAN;228 SOKAK;sokak;636422
DENİZLİ;ACIPAYAM;AKALAN;228/1 SOKAK;sokak;955637140
DENİZLİ;ACIPAYAM;AKALAN;228/2 SOKAK;sokak;978206660
DENİZLİ;ACIPAYAM;AKALAN;228/3 SOKAK;sokak;338591090
DENİZLİ;ACIPAYAM;AKALAN;229 SOKAK;sokak;637309
DENİZLİ;ACIPAYAM;AKALAN;230 SOKAK;sokak;633042
DENİZLİ;ACIPAYAM;AKALAN;231 SOKAK;sokak;637301
DENİZLİ;ACIPAYAM;AKALAN;232_1 SOKAK;sokak;633039
DENİZLİ;ACIPAYAM;AKALAN;233 SOKAK;sokak;633218
DENİZLİ;ACIPAYAM;AKALAN;234 SOKAK;sokak;633207
DENİZLİ;ACIPAYAM;AKALAN;235 SOKAK;sokak;638444
DENİZLİ;ACIPAYAM;AKALAN;236 SOKAK;sokak;637284
DENİZLİ;ACIPAYAM;AKALAN;301 SOKAK;sokak;619475
DENİZLİ;ACIPAYAM;AKALAN;302_1 SOKAK;sokak;619473
DENİZLİ;ACIPAYAM;AKALAN;303 SOKAK;sokak;626917
DENİZLİ;ACIPAYAM;AKALAN;304_2 SOKAK;sokak;619455
DENİZLİ;ACIPAYAM;AKALAN;305 SOKAK;sokak;621668
DENİZLİ;ACIPAYAM;AKALAN;306_1 SOKAK;sokak;623282
DENİZLİ;ACIPAYAM;AKALAN;307 SOKAK;sokak;622426
DENİZLİ;ACIPAYAM;AKALAN;307/1 SOKAK;sokak;980227180
DENİZLİ;ACIPAYAM;AKALAN;308_2 SOKAK;sokak;614699
DENİZLİ;ACIPAYAM;AKALAN;308/1 SOKAK;sokak;108071050
DENİZLİ;ACIPAYAM;AKALAN;309_1 SOKAK;sokak;605730
DENİZLİ;ACIPAYAM;AKALAN;310 SOKAK;sokak;607382
DENİZLİ;ACIPAYAM;AKALAN;310/1 SOKAK;sokak;209318120
DENİZLİ;ACIPAYAM;AKALAN;310/2 SOKAK;sokak;120345670
DENİZLİ;ACIPAYAM;AKALAN;311 SOKAK;sokak;599986
DENİZLİ;ACIPAYAM;AKALAN;312_1 SOKAK;sokak;90250
DENİZLİ;ACIPAYAM;AKALAN;313_1 SOKAK;sokak;598643
DENİZLİ;ACIPAYAM;AKALAN;314_2 SOKAK;sokak;596089
DENİZLİ;ACIPAYAM;AKALAN;314/1 SOKAK;sokak;200736800
DENİZLİ;ACIPAYAM;AKALAN;315 SOKAK;sokak;573148
DENİZLİ;ACIPAYAM;AKALAN;316_1 SOKAK;sokak;576547
DENİZLİ;ACIPAYAM;AKALAN;317 SOKAK;sokak;577048
DENİZLİ;ACIPAYAM;AKALAN;318 SOKAK;sokak;572753
DENİZLİ;ACIPAYAM;AKALAN;319 SOKAK;sokak;568741
DENİZLİ;ACIPAYAM;AKALAN;3195 SOKAK;sokak;1289125
DENİZLİ;ACIPAYAM;AKALAN;320 SOKAK;sokak;562392
DENİZLİ;ACIPAYAM;AKALAN;321_1 SOKAK;sokak;560108
DENİZLİ;ACIPAYAM;AKALAN;322_1 SOKAK;sokak;295893
DENİZLİ;ACIPAYAM;AKALAN;323 SOKAK;sokak;635946
DENİZLİ;ACIPAYAM;AKALAN;323/1 SOKAK;sokak;521421630
DENİZLİ;ACIPAYAM;AKALAN;324 SOKAK;sokak;570138
DENİZLİ;ACIPAYAM;AKALAN;3240 SOKAK;sokak;143987880
DENİZLİ;ACIPAYAM;AKALAN;325 SOKAK;sokak;561794
DENİZLİ;ACIPAYAM;AKALAN;325_2 SOKAK;sokak;437201680
DENİZLİ;ACIPAYAM;AKALAN;325/1 SOKAK;sokak;295696620
DENİZLİ;ACIPAYAM;AKALAN;3400 SOKAK;sokak;1072621
DENİZLİ;ACIPAYAM;AKALAN;3401 SOKAK;sokak;1072619
DENİZLİ;ACIPAYAM;AKALAN;3402 SOKAK;sokak;1072617
DENİZLİ;ACIPAYAM;AKALAN;3403 SOKAK;sokak;1072615
DENİZLİ;ACIPAYAM;AKALAN;3404 SOKAK;sokak;1072613
DENİZLİ;ACIPAYAM;AKALAN;3405 SOKAK;sokak;1072611
DENİZLİ;ACIPAYAM;AKALAN;3406 SOKAK;sokak;1072609
DENİZLİ;ACIPAYAM;AKALAN;3407 SOKAK;sokak;1072607
DENİZLİ;ACIPAYAM;AKALAN;3408 SOKAK;sokak;1072605
DENİZLİ;ACIPAYAM;AKALAN;3409 SOKAK;sokak;1072603
DENİZLİ;ACIPAYAM;AKALAN;3410 SOKAK;sokak;1072601
DENİZLİ;ACIPAYAM;AKALAN;3411 SOKAK;sokak;1072599
DENİZLİ;ACIPAYAM;AKALAN;3412 SOKAK;sokak;1072597
DENİZLİ;ACIPAYAM;AKALAN;3412/1 SOKAK;sokak;370458460
DENİZLİ;ACIPAYAM;AKALAN;3413 SOKAK;sokak;1072595
DENİZLİ;ACIPAYAM;AKALAN;3414 SOKAK;sokak;1072593
DENİZLİ;ACIPAYAM;AKALAN;3415 SOKAK;sokak;1072591
DENİZLİ;ACIPAYAM;AKALAN;3416 SOKAK;sokak;1072589
DENİZLİ;ACIPAYAM;AKALAN;3417 SOKAK;sokak;1072587
DENİZLİ;ACIPAYAM;AKALAN;3418 SOKAK;sokak;1072585
DENİZLİ;ACIPAYAM;AKALAN;3419 SOKAK;sokak;1072583
DENİZLİ;ACIPAYAM;AKALAN;3421 SOKAK;sokak;1072579
DENİZLİ;ACIPAYAM;AKALAN;3422 SOKAK;sokak;1072577
DENİZLİ;ACIPAYAM;AKALAN;3423 SOKAK;sokak;1072575
DENİZLİ;ACIPAYAM;AKALAN;3424 SOKAK;sokak;1072573
DENİZLİ;ACIPAYAM;AKALAN;3425 SOKAK;sokak;1072571
DENİZLİ;ACIPAYAM;AKALAN;3426 SOKAK;sokak;1072569
DENİZLİ;ACIPAYAM;AKALAN;3427 SOKAK;sokak;1072567
DENİZLİ;ACIPAYAM;AKALAN;3428 SOKAK;sokak;1072565
DENİZLİ;ACIPAYAM;AKALAN;3429 SOKAK;sokak;1072563
DENİZLİ;ACIPAYAM;AKALAN;3430 SOKAK;sokak;1072561
DENİZLİ;ACIPAYAM;AKALAN;3431 SOKAK;sokak;1072559
DENİZLİ;ACIPAYAM;AKALAN;3432 SOKAK;sokak;1072557
DENİZLİ;ACIPAYAM;AKALAN;3433 SOKAK;sokak;1072555
DENİZLİ;ACIPAYAM;AKALAN;3434 SOKAK;sokak;1072553
DENİZLİ;ACIPAYAM;AKALAN;3435 SOKAK;sokak;1072551
DENİZLİ;ACIPAYAM;AKALAN;3436 SOKAK;sokak;1072549
DENİZLİ;ACIPAYAM;AKALAN;3437 SOKAK;sokak;1072547
DENİZLİ;ACIPAYAM;AKALAN;3438 SOKAK;sokak;1072545
DENİZLİ;ACIPAYAM;AKALAN;3439 SOKAK;sokak;1072543
DENİZLİ;ACIPAYAM;AKALAN;3440 SOKAK;sokak;1072541
DENİZLİ;ACIPAYAM;AKALAN;3440/1 SOKAK;sokak;681045120
DENİZLİ;ACIPAYAM;AKALAN;3441 SOKAK;sokak;1072539
DENİZLİ;ACIPAYAM;AKALAN;3442 SOKAK;sokak;1072537
DENİZLİ;ACIPAYAM;AKALAN;3443 SOKAK;sokak;1072535
DENİZLİ;ACIPAYAM;AKALAN;3444 SOKAK;sokak;1072533
DENİZLİ;ACIPAYAM;AKALAN;3445 SOKAK;sokak;1072531
DENİZLİ;ACIPAYAM;AKALAN;3446 SOKAK;sokak;1072529
DENİZLİ;ACIPAYAM;AKALAN;3447 SOKAK;sokak;1072527
DENİZLİ;ACIPAYAM;AKALAN;3448 SOKAK;sokak;1072525
DENİZLİ;ACIPAYAM;AKALAN;3449 SOKAK;sokak;1072523
DENİZLİ;ACIPAYAM;AKALAN;3450 SOKAK;sokak;1072521
DENİZLİ;ACIPAYAM;AKALAN;3451 SOKAK;sokak;1072519
DENİZLİ;ACIPAYAM;AKALAN;3452 SOKAK;sokak;1072517
DENİZLİ;ACIPAYAM;AKALAN;3453 SOKAK;sokak;1072515
DENİZLİ;ACIPAYAM;AKALAN;3454 SOKAK;sokak;1072513
DENİZLİ;ACIPAYAM;AKALAN;3455 SOKAK;sokak;1072511
DENİZLİ;ACIPAYAM;AKALAN;3456 SOKAK;sokak;1072509
DENİZLİ;ACIPAYAM;AKALAN;3457 SOKAK;sokak;1072507
DENİZLİ;ACIPAYAM;AKALAN;3458 SOKAK;sokak;1072505
DENİZLİ;ACIPAYAM;AKALAN;3459 SOKAK;sokak;1072503
DENİZLİ;ACIPAYAM;AKALAN;3460 SOKAK;sokak;1072501
DENİZLİ;ACIPAYAM;AKALAN;3461 SOKAK;sokak;1072499
DENİZLİ;ACIPAYAM;AKALAN;3462 SOKAK;sokak;1072497
DENİZLİ;ACIPAYAM;AKALAN;3463 SOKAK;sokak;1072495
DENİZLİ;ACIPAYAM;AKALAN;3464 SOKAK;sokak;1072493
DENİZLİ;ACIPAYAM;AKALAN;3465 SOKAK;sokak;1072491
DENİZLİ;ACIPAYAM;AKALAN;3466 SOKAK;sokak;1072489
DENİZLİ;ACIPAYAM;AKALAN;3467 SOKAK;sokak;1072487
DENİZLİ;ACIPAYAM;AKALAN;3468 SOKAK;sokak;1072485
DENİZLİ;ACIPAYAM;AKALAN;3469 SOKAK;sokak;1072483
DENİZLİ;ACIPAYAM;AKALAN;3470 SOKAK;sokak;1072481
DENİZLİ;ACIPAYAM;AKALAN;3471 SOKAK;sokak;1072479
DENİZLİ;ACIPAYAM;AKALAN;3472 SOKAK;sokak;1072477
DENİZLİ;ACIPAYAM;AKALAN;3473 SOKAK;sokak;1072475
DENİZLİ;ACIPAYAM;AKALAN;3474 SOKAK;sokak;1072473
DENİZLİ;ACIPAYAM;AKALAN;3475 SOKAK;sokak;1072471
DENİZLİ;ACIPAYAM;AKALAN;3476 SOKAK;sokak;1072469
DENİZLİ;ACIPAYAM;AKALAN;3477 SOKAK;sokak;1072467
DENİZLİ;ACIPAYAM;AKALAN;3478 SOKAK;sokak;1072465
DENİZLİ;ACIPAYAM;AKALAN;3479 SOKAK;sokak;1072463
DENİZLİ;ACIPAYAM;AKALAN;3480 SOKAK;sokak;1072461
DENİZLİ;ACIPAYAM;AKALAN;3481 SOKAK;sokak;1072459
DENİZLİ;ACIPAYAM;AKALAN;3482 SOKAK;sokak;1072457
DENİZLİ;ACIPAYAM;AKALAN;3483 SOKAK;sokak;1072455
DENİZLİ;ACIPAYAM;AKALAN;3484 SOKAK;sokak;1072453
DENİZLİ;ACIPAYAM;AKALAN;3485 SOKAK;sokak;1072451
DENİZLİ;ACIPAYAM;AKALAN;3486 SOKAK;sokak;1072449
DENİZLİ;ACIPAYAM;AKALAN;3487 SOKAK;sokak;1072447
DENİZLİ;ACIPAYAM;AKALAN;3488 SOKAK;sokak;1072445
DENİZLİ;ACIPAYAM;AKALAN;3489 SOKAK;sokak;1072443
DENİZLİ;ACIPAYAM;AKALAN;3490 SOKAK;sokak;1072441
DENİZLİ;ACIPAYAM;AKALAN;3491 SOKAK;sokak;1072439
DENİZLİ;ACIPAYAM;AKALAN;3492 SOKAK;sokak;1072437
DENİZLİ;ACIPAYAM;AKALAN;3493 SOKAK;sokak;1072435
DENİZLİ;ACIPAYAM;AKALAN;3494 SOKAK;sokak;1072433
DENİZLİ;ACIPAYAM;AKALAN;3495 SOKAK;sokak;1072431
DENİZLİ;ACIPAYAM;AKALAN;3496 SOKAK;sokak;1072429
DENİZLİ;ACIPAYAM;AKALAN;3496/1 SOKAK;sokak;452355950
DENİZLİ;ACIPAYAM;AKALAN;3497 SOKAK;sokak;1072427
DENİZLİ;ACIPAYAM;AKALAN;3498 SOKAK;sokak;1072425
DENİZLİ;ACIPAYAM;AKALAN;3499 SOKAK;sokak;1072423
DENİZLİ;ACIPAYAM;AKALAN;3500 SOKAK;sokak;1072421
DENİZLİ;ACIPAYAM;AKALAN;3501 SOKAK;sokak;1072419
DENİZLİ;ACIPAYAM;AKALAN;3502 SOKAK;sokak;1072417
DENİZLİ;ACIPAYAM;AKALAN;3503 SOKAK;sokak;1072415
DENİZLİ;ACIPAYAM;AKALAN;3504 SOKAK;sokak;1072413
DENİZLİ;ACIPAYAM;AKALAN;3505 SOKAK;sokak;1072411
DENİZLİ;ACIPAYAM;AKALAN;3506 SOKAK;sokak;1072409
DENİZLİ;ACIPAYAM;AKALAN;3507 SOKAK;sokak;1072407
DENİZLİ;ACIPAYAM;AKALAN;3508 SOKAK;sokak;1072405
DENİZLİ;ACIPAYAM;AKALAN;3509 SOKAK;sokak;1072403
DENİZLİ;ACIPAYAM;AKALAN;3510 SOKAK;sokak;1072401
DENİZLİ;ACIPAYAM;AKALAN;3511 SOKAK;sokak;1072399
DENİZLİ;ACIPAYAM;AKALAN;3512 SOKAK;sokak;1072397
DENİZLİ;ACIPAYAM;AKALAN;3513 SOKAK;sokak;1072395
DENİZLİ;ACIPAYAM;AKALAN;3514 SOKAK;sokak;1072393
DENİZLİ;ACIPAYAM;AKALAN;3514. SOKAK;sokak;255006460
DENİZLİ;ACIPAYAM;AKALAN;3515 SOKAK;sokak;1072391
DENİZLİ;ACIPAYAM;AKALAN;3516 SOKAK;sokak;1072389
DENİZLİ;ACIPAYAM;AKALAN;3517 SOKAK;sokak;1072387
DENİZLİ;ACIPAYAM;AKALAN;3518 SOKAK;sokak;1072385
DENİZLİ;ACIPAYAM;AKALAN;3519 SOKAK;sokak;1072383
DENİZLİ;ACIPAYAM;AKALAN;3520 SOKAK;sokak;1072381
DENİZLİ;ACIPAYAM;AKALAN;3521 SOKAK;sokak;1072379
DENİZLİ;ACIPAYAM;AKALAN;3522 SOKAK;sokak;1072377
DENİZLİ;ACIPAYAM;AKALAN;3523 SOKAK;sokak;1072375
DENİZLİ;ACIPAYAM;AKALAN;3524 SOKAK;sokak;1072373
DENİZLİ;ACIPAYAM;AKALAN;3525 SOKAK;sokak;1072371
DENİZLİ;ACIPAYAM;AKALAN;3526 SOKAK;sokak;1072369
DENİZLİ;ACIPAYAM;AKALAN;3527 SOKAK;sokak;1072367
DENİZLİ;ACIPAYAM;AKALAN;3528 SOKAK;sokak;1072365
DENİZLİ;ACIPAYAM;AKALAN;3529 SOKAK;sokak;1072363
DENİZLİ;ACIPAYAM;AKALAN;3530 SOKAK;sokak;1072361
DENİZLİ;ACIPAYAM;AKALAN;3531 SOKAK;sokak;1072359
DENİZLİ;ACIPAYAM;AKALAN;3532 SOKAK;sokak;1072357
DENİZLİ;ACIPAYAM;AKALAN;3533 SOKAK;sokak;1072355
DENİZLİ;ACIPAYAM;AKALAN;3534 SOKAK;sokak;1072353
DENİZLİ;ACIPAYAM;AKALAN;3535 SOKAK;sokak;1072351
DENİZLİ;ACIPAYAM;AKALAN;3536 SOKAK;sokak;1072349
DENİZLİ;ACIPAYAM;AKALAN;3537 SOKAK;sokak;1072347
DENİZLİ;ACIPAYAM;AKALAN;3538 SOKAK;sokak;1072345
DENİZLİ;ACIPAYAM;AKALAN;3539 SOKAK;sokak;1072343
DENİZLİ;ACIPAYAM;AKALAN;3540 SOKAK;sokak;1072341
DENİZLİ;ACIPAYAM;AKALAN;3541 SOKAK;sokak;1072339
DENİZLİ;ACIPAYAM;AKALAN;3542 SOKAK;sokak;1072337
DENİZLİ;ACIPAYAM;AKALAN;3543 SOKAK;sokak;1072335
DENİZLİ;ACIPAYAM;AKALAN;3544 SOKAK;sokak;1072333
DENİZLİ;ACIPAYAM;AKALAN;3545 SOKAK;sokak;1072331
DENİZLİ;ACIPAYAM;AKALAN;3546 SOKAK;sokak;1072329
DENİZLİ;ACIPAYAM;AKALAN;3547 SOKAK;sokak;1072327
DENİZLİ;ACIPAYAM;AKALAN;3548 SOKAK;sokak;1072325
DENİZLİ;ACIPAYAM;AKALAN;3549 SOKAK;sokak;1072323
DENİZLİ;ACIPAYAM;AKALAN;3550 SOKAK;sokak;1072321
DENİZLİ;ACIPAYAM;AKALAN;3551 SOKAK;sokak;1072319
DENİZLİ;ACIPAYAM;AKALAN;3552 SOKAK;sokak;1072317
DENİZLİ;ACIPAYAM;AKALAN;3553 SOKAK;sokak;1072315
DENİZLİ;ACIPAYAM;AKALAN;3554 SOKAK;sokak;1072313
