il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
DİYARBAKIR;BAĞLAR;5 NİSAN;671. SOKAK;sokak;635781
DİYARBAKIR;BAĞLAR;5 NİSAN;672. SOKAK;sokak;635782
DİYARBAKIR;BAĞLAR;5 NİSAN;673. SOKAK;sokak;637066
DİYARBAKIR;BAĞLAR;5 NİSAN;674. SOKAK;sokak;90643
DİYARBAKIR;BAĞLAR;5 NİSAN;675. SOKAK;sokak;90992
DİYARBAKIR;BAĞLAR;5 NİSAN;676. SOKAK;sokak;637070
DİYARBAKIR;BAĞLAR;5 NİSAN;677. SOKAK;sokak;637077
DİYARBAKIR;BAĞLAR;5 NİSAN;678. SOKAK;sokak;637084
DİYARBAKIR;BAĞLAR;5 NİSAN;680. SOKAK;sokak;635786
DİYARBAKIR;BAĞLAR;5 NİSAN;681. SOKAK;sokak;634602
DİYARBAKIR;BAĞLAR;5 NİSAN;682. SOKAK;sokak;634607
DİYARBAKIR;BAĞLAR;5 NİSAN;683. SOKAK;sokak;635788
DİYARBAKIR;BAĞLAR;5 NİSAN;684. SOKAK;sokak;635790
DİYARBAKIR;BAĞLAR;5 NİSAN;685. SOKAK;sokak;635791
DİYARBAKIR;BAĞLAR;5 NİSAN;686. SOKAK;sokak;635794
DİYARBAKIR;BAĞLAR;5 NİSAN;687. SOKAK;sokak;633347
DİYARBAKIR;BAĞLAR;5 NİSAN;688. SOKAK;sokak;633349
DİYARBAKIR;BAĞLAR;5 NİSAN;689. SOKAK;sokak;635150
DİYARBAKIR;BAĞLAR;5 NİSAN;690. SOKAK;sokak;637234
DİYARBAKIR;BAĞLAR;5 NİSAN;691. SOKAK;sokak;638384
DİYARBAKIR;BAĞLAR;5 NİSAN;692. SOKAK;sokak;633352
DİYARBAKIR;BAĞLAR;5 NİSAN;693. SOKAK;sokak;633353
DİYARBAKIR;BAĞLAR;5 NİSAN;694. SOKAK;sokak;633354
DİYARBAKIR;BAĞLAR;5 NİSAN;695. SOKAK;sokak;633700
DİYARBAKIR;BAĞLAR;5 NİSAN;696. SOKAK;sokak;638389
DİYARBAKIR;BAĞLAR;5 NİSAN;697. SOKAK;sokak;635476
DİYARBAKIR;BAĞLAR;5 NİSAN;698. SOKAK;sokak;633358
DİYARBAKIR;BAĞLAR;5 NİSAN;699. SOKAK;sokak;637240
DİYARBAKIR;BAĞLAR;5 NİSAN;700. SOKAK;sokak;637239
DİYARBAKIR;BAĞLAR;5 NİSAN;701. SOKAK;sokak;638467
