il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
DÜZCE;AKÇAKOCA;AKKAYA - MÜCAVİR;1026 SOKAK;sokak;1325797
DÜZCE;AKÇAKOCA;AKKAYA - MÜCAVİR;1027 SOKAK;sokak;1397805
DÜZCE;AKÇAKOCA;AKKAYA - MÜCAVİR;1028 SOKAK;sokak;1325787
DÜZCE;AKÇAKOCA;AKKAYA - MÜCAVİR;1029 SOKAK;sokak;1325789
DÜZCE;AKÇAKOCA;AKKAYA - MÜCAVİR;5 NOLU SOKAK;sokak;970295
DÜZCE;AKÇAKOCA;AKKAYA NA;AKKAYA KÜME EVLER;sokak;503699
DÜZCE;AKÇAKOCA;AKTAŞ NA;AKTAŞ KÜME EVLER;sokak;515419
DÜZCE;AKÇAKOCA;AKTAŞ NA;HEMŞİN KÜME EVLER;sokak;702070220
DÜZCE;AKÇAKOCA;ALTINÇAY NA;AKKAYA KÜME EVLER;sokak;768184671
DÜZCE;AKÇAKOCA;ALTINÇAY NA;ALTUNÇAY KÜME EVLER;sokak;512275
DÜZCE;AKÇAKOCA;ALTINÇAY NA;DİBEKTAŞ MERKEZ KÜME EVLER;sokak;907395171
DÜZCE;AKÇAKOCA;ALTINÇAY NA;ELMAS KÜME EVLER;sokak;938985421
DÜZCE;AKÇAKOCA;ALTINÇAY NA;KURUCA KÜME EVLER;sokak;537887090
DÜZCE;AKÇAKOCA;ALTINÇAY NA;KUZEY KÜME EVLER;sokak;238603151
DÜZCE;AKÇAKOCA;ALTINÇAY NA;TONYALI KÜME EVLER;sokak;696645480
DÜZCE;AKÇAKOCA;ALTINÇAY NA;YENİYER MERKEZ KÜME EVLER;sokak;569928780
DÜZCE;AKÇAKOCA;ARABACI NA;ARABACI KÜME EVLER;sokak;512610
DÜZCE;AKÇAKOCA;ARABACI NA;KOÇULLU KÜME EVLER;sokak;491803751
DÜZCE;AKÇAKOCA;AYAZLI;1000 SOKAK;sokak;1295179
DÜZCE;AKÇAKOCA;AYAZLI;1002 SOKAK;sokak;1295183
DÜZCE;AKÇAKOCA;AYAZLI;1003 SOKAK;sokak;1295215
DÜZCE;AKÇAKOCA;AYAZLI;1004 SOKAK;sokak;1295185
DÜZCE;AKÇAKOCA;AYAZLI;1005 SOKAK;sokak;1295187
DÜZCE;AKÇAKOCA;AYAZLI;1010 SOKAK;sokak;1295197
DÜZCE;AKÇAKOCA;AYAZLI;1020 SOKAK;sokak;1304377
DÜZCE;AKÇAKOCA;AYAZLI;1021 SOKAK;sokak;1304317
DÜZCE;AKÇAKOCA;AYAZLI;1033 SOKAK;sokak;1334611
DÜZCE;AKÇAKOCA;AYAZLI;1034 SOKAK;sokak;1379613
DÜZCE;AKÇAKOCA;AYAZLI;ADA SOKAK;sokak;882143
DÜZCE;AKÇAKOCA;AYAZLI;AĞIR SOKAK;sokak;879710
DÜZCE;AKÇAKOCA;AYAZLI;AKAR SOKAK;sokak;410132
DÜZCE;AKÇAKOCA;AYAZLI;AKÇAKOCABEY BULVAR;sokak;879924
DÜZCE;AKÇAKOCA;AYAZLI;ARYA SOKAK;sokak;882142
DÜZCE;AKÇAKOCA;AYAZLI;ASLI SOKAK;sokak;867458
DÜZCE;AKÇAKOCA;AYAZLI;AŞİNA SOKAK;sokak;425431571
DÜZCE;AKÇAKOCA;AYAZLI;ATA SOKAK;sokak;882137
DÜZCE;AKÇAKOCA;AYAZLI;ATAR SOKAK;sokak;260633701
DÜZCE;AKÇAKOCA;AYAZLI;AZRA SOKAK;sokak;772749831
DÜZCE;AKÇAKOCA;AYAZLI;BADEM 2 SOKAK;sokak;161737
DÜZCE;AKÇAKOCA;AYAZLI;BAĞLAR SOKAK;sokak;652800
DÜZCE;AKÇAKOCA;AYAZLI;BAHAR SOKAK;sokak;161738
DÜZCE;AKÇAKOCA;AYAZLI;BAHÇE SOKAK;sokak;1263359
DÜZCE;AKÇAKOCA;AYAZLI;BAŞARAN SOKAK;sokak;1051958
DÜZCE;AKÇAKOCA;AYAZLI;BAYRAK SOKAK;sokak;867459
DÜZCE;AKÇAKOCA;AYAZLI;BEŞEVLER SOKAK;sokak;161739
DÜZCE;AKÇAKOCA;AYAZLI;BİRLİK SOKAK;sokak;879715
DÜZCE;AKÇAKOCA;AYAZLI;BORA SOKAK;sokak;881370
DÜZCE;AKÇAKOCA;AYAZLI;BUKET SOKAK;sokak;888474
DÜZCE;AKÇAKOCA;AYAZLI;BURÇAK SOKAK;sokak;161740
DÜZCE;AKÇAKOCA;AYAZLI;CANSU SOKAK;sokak;882141
