il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ELAZIĞ;AĞIN;AKPINAR;APUŞMA SOKAK;sokak;711813741
ELAZIĞ;AĞIN;AKPINAR;AŞAĞI ANDIRI KÜME EVLER;sokak;495458171
ELAZIĞ;AĞIN;AKPINAR;ATATÜRK CADDE;cadde;274647341
ELAZIĞ;AĞIN;AKPINAR;BEL. BAŞKANI ISMET YAPICIOĞLU CADDE;cadde;338647521
ELAZIĞ;AĞIN;AKPINAR;FAIK ÖZTÜRK CADDE;cadde;414588781
ELAZIĞ;AĞIN;AKPINAR;HAKIM ALBAY MUSTAFA GÜZEL CADDE;cadde;492500121
ELAZIĞ;AĞIN;AKPINAR;PROF.DR.MUSTAFA GÜL CADDE;cadde;307465071
ELAZIĞ;AĞIN;AKPINAR;ŞEHIT MUSTAFA BALTACI CADDE;cadde;527154301
ELAZIĞ;AĞIN;AKPINAR;YUKARI ANDRI KÜME EVLER;sokak;904026861
ELAZIĞ;AĞIN;ALTINAYVA NA;ALTINAYVA KÜME EVLER;sokak;22713
ELAZIĞ;AĞIN;AŞAĞIYABANLI - ORTAYABANLI;ORTAYABANLI KÜME EVLER;sokak;485442
ELAZIĞ;AĞIN;AŞAĞIYABANLI NA;AŞAĞIYABANLI KÜME EVLER;sokak;348161
ELAZIĞ;AĞIN;BADEMLİ NA;BADEMLİ KÜME EVLER;sokak;477249
ELAZIĞ;AĞIN;BAHADIRLAR NA;BAHADIRLAR KÜME EVLER;sokak;482296
ELAZIĞ;AĞIN;BALKAYASI NA;BALKAYASI KÜME EVLER;sokak;486021
ELAZIĞ;AĞIN;BAŞPINAR;ATATÜRK CADDE;cadde;429457171
ELAZIĞ;AĞIN;BAŞPINAR;BEL. BAŞKANI ISMET YAPICIOĞLU CADDE;cadde;198831491
ELAZIĞ;AĞIN;BAŞPINAR;EKIREK KÜME EVLER;sokak;347583001
ELAZIĞ;AĞIN;BEYELMASI NA;BEYELMASI KÜME EVLER;sokak;473440
ELAZIĞ;AĞIN;DEMİRÇARIK - AFET EVLERİ(YENİ YERLEŞİM YERİ);AFET EVLERİ(YENİ YERLEŞİM YERİ) KÜME EVLER;sokak;477987
ELAZIĞ;AĞIN;DEMİRÇARIK NA;DEMİRÇARIK KÜME EVLER;sokak;478997
ELAZIĞ;AĞIN;DİBEKLİ NA;DİBEKLİ KÜME EVLER;sokak;21816
ELAZIĞ;AĞIN;KAŞPINAR NA;KAŞPINAR KÜME EVLER;sokak;483770
ELAZIĞ;AĞIN;MERKEZ;AĞAR CADDE;cadde;470939501
ELAZIĞ;AĞIN;MERKEZ;AKSOY SOKAK;sokak;634135461
ELAZIĞ;AĞIN;MERKEZ;ALİ BABA SOKAK;sokak;275405411
ELAZIĞ;AĞIN;MERKEZ;ALİUŞAĞI SOKAK;sokak;662878
ELAZIĞ;AĞIN;MERKEZ;APUŞMA SOKAK;sokak;596800821
