il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ERZİNCAN;ÇAYIRLI;AŞAĞIKARTALLI NA;AŞAĞIKARTALLI KÜME EVLER;sokak;570690
ERZİNCAN;ÇAYIRLI;ATATÜRK;1 SOKAK;sokak;55756
ERZİNCAN;ÇAYIRLI;ATATÜRK;15 TEMMUZ SOKAK;sokak;615699920
ERZİNCAN;ÇAYIRLI;ATATÜRK;2 SOKAK;sokak;765398
ERZİNCAN;ÇAYIRLI;ATATÜRK;3 SOKAK;sokak;767058
ERZİNCAN;ÇAYIRLI;ATATÜRK;90 KONUTLAR 2 SOKAK;sokak;316324900
ERZİNCAN;ÇAYIRLI;ATATÜRK;90 KONUTLAR SOKAK;sokak;765399
ERZİNCAN;ÇAYIRLI;ATATÜRK;90 KONUTLAR1 SOKAK;sokak;665226571
ERZİNCAN;ÇAYIRLI;ATATÜRK;90 KONUTLAR2 SOKAK;sokak;936301010
ERZİNCAN;ÇAYIRLI;ATATÜRK;ALP SOKAK;sokak;320058521
ERZİNCAN;ÇAYIRLI;ATATÜRK;ASLI SOKAK;sokak;273205221
ERZİNCAN;ÇAYIRLI;ATATÜRK;ASMALI SOKAK;sokak;571586691
ERZİNCAN;ÇAYIRLI;ATATÜRK;BİNALİ YILDIRIM CADDE;cadde;203676
ERZİNCAN;ÇAYIRLI;ATATÜRK;ÇELİKLİ KÜME EVLER;sokak;341539
ERZİNCAN;ÇAYIRLI;ATATÜRK;DENİZGÜLÜ SOKAK;sokak;768163960
ERZİNCAN;ÇAYIRLI;ATATÜRK;DOĞA SOKAK;sokak;443902760
ERZİNCAN;ÇAYIRLI;ATATÜRK;ESKİ CEZA EVİ YOLU SOKAK;sokak;765111
ERZİNCAN;ÇAYIRLI;ATATÜRK;IHLAMUR SOKAK;sokak;150842210
ERZİNCAN;ÇAYIRLI;ATATÜRK;IŞIL SOKAK;sokak;267831420
ERZİNCAN;ÇAYIRLI;ATATÜRK;İLKE SOKAK;sokak;371404151
ERZİNCAN;ÇAYIRLI;ATATÜRK;KARADENİZ CADDE;cadde;56138
ERZİNCAN;ÇAYIRLI;ATATÜRK;KARÇİÇEĞİ SOKAK;sokak;103353961
ERZİNCAN;ÇAYIRLI;ATATÜRK;KAZİM KARABEKİR CADDE;cadde;766773
ERZİNCAN;ÇAYIRLI;ATATÜRK;LEYLAK SOKAK;sokak;574123221
ERZİNCAN;ÇAYIRLI;ATATÜRK;OKYANUS SOKAK;sokak;127356271
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT AHMET ACAR CADDE;cadde;766771
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN 1 SOKAK;sokak;182129770
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN 2 SOKAK;sokak;661304441
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN 3 SOKAK;sokak;421254841
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN 4 SOKAK;sokak;875855501
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN 5 SOKAK;sokak;488977890
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN 6 SOKAK;sokak;862146811
ERZİNCAN;ÇAYIRLI;ATATÜRK;ŞEHİT SAMET DEMİRDÖGEN CADDE;cadde;766772
ERZİNCAN;ÇAYIRLI;ATATÜRK;YAĞMUR SOKAK;sokak;801156111
ERZİNCAN;ÇAYIRLI;ATATÜRK;YAVUZ SELİM 1 SOKAK;sokak;321938721
ERZİNCAN;ÇAYIRLI;ATATÜRK;YAVUZ SELİM 2 SOKAK;sokak;915182170
ERZİNCAN;ÇAYIRLI;ATATÜRK;YAVUZ SELİM CADDE;cadde;866389
ERZİNCAN;ÇAYIRLI;BALIKLI NA;BALIKLI KÜME EVLER;sokak;581264
ERZİNCAN;ÇAYIRLI;BARBAROS;ALPEREN SOKAK;sokak;131029421
ERZİNCAN;ÇAYIRLI;BARBAROS;ASUDE SOKAK;sokak;112742060
ERZİNCAN;ÇAYIRLI;BARBAROS;BİLGİN SOKAK;sokak;819901601
ERZİNCAN;ÇAYIRLI;BARBAROS;BİLLUR SOKAK;sokak;814615191
ERZİNCAN;ÇAYIRLI;BARBAROS;CANKOŞ SOKAK;sokak;784650511
ERZİNCAN;ÇAYIRLI;BARBAROS;CUMHURİYET MEYDAN;sokak;762931
ERZİNCAN;ÇAYIRLI;BARBAROS;ÇEŞME SOKAK;sokak;551952751
ERZİNCAN;ÇAYIRLI;BARBAROS;DOĞUŞ SOKAK;sokak;390309110
ERZİNCAN;ÇAYIRLI;BARBAROS;GÖKTUĞ SOKAK;sokak;782664181
ERZİNCAN;ÇAYIRLI;BARBAROS;GÜMÜŞ SOKAK;sokak;937203651
ERZİNCAN;ÇAYIRLI;BARBAROS;GÜNEŞLİ SOKAK;sokak;561099601
ERZİNCAN;ÇAYIRLI;BARBAROS;HARMAN SOKAK;sokak;733475930
ERZİNCAN;ÇAYIRLI;BARBAROS;İLHAN SOKAK;sokak;400565330
ERZİNCAN;ÇAYIRLI;BARBAROS;İNCİ SOKAK;sokak;349878831
ERZİNCAN;ÇAYIRLI;BARBAROS;KUMRU SOKAK;sokak;545279650
ERZİNCAN;ÇAYIRLI;BARBAROS;LALE SOKAK;sokak;240288130
ERZİNCAN;ÇAYIRLI;BARBAROS;LAVANTA SOKAK;sokak;930772201
ERZİNCAN;ÇAYIRLI;BARBAROS;MÜFTÜLÜK CADDE;cadde;763335
ERZİNCAN;ÇAYIRLI;BARBAROS;NİSA SOKAK;sokak;605046020
ERZİNCAN;ÇAYIRLI;BARBAROS;RECAİ ALPTEKİN SOKAK;sokak;764565
ERZİNCAN;ÇAYIRLI;BARBAROS;RIZABEY 2 SOKAK;sokak;763147
ERZİNCAN;ÇAYIRLI;BARBAROS;RIZABEY 3 SOKAK;sokak;749107
ERZİNCAN;ÇAYIRLI;BARBAROS;RIZABEY 4 SOKAK;sokak;827787540
ERZİNCAN;ÇAYIRLI;BARBAROS;RIZABEY 5 SOKAK;sokak;815327310
ERZİNCAN;ÇAYIRLI;BARBAROS;RIZABEY 6 SOKAK;sokak;481413861
ERZİNCAN;ÇAYIRLI;BARBAROS;RIZABEY 7 SOKAK;sokak;907950970
ERZİNCAN;ÇAYIRLI;BARBAROS;RÜZGAR SOKAK;sokak;301677790
ERZİNCAN;ÇAYIRLI;BARBAROS;SENGÜL 1 SOKAK;sokak;193941701
ERZİNCAN;ÇAYIRLI;BARBAROS;SENGÜL 2 SOKAK;sokak;316275730
ERZİNCAN;ÇAYIRLI;BARBAROS;SENGÜL SOKAK;sokak;763336
ERZİNCAN;ÇAYIRLI;BARBAROS;SIRRI EFE CADDE;cadde;765746
ERZİNCAN;ÇAYIRLI;BARBAROS;SİMGE SOKAK;sokak;722956030
ERZİNCAN;ÇAYIRLI;BARBAROS;SOYLU SOKAK;sokak;765624201
ERZİNCAN;ÇAYIRLI;BARBAROS;ŞEHİT ERDAL AĞGÜNDÜZ CADDE;cadde;764755
ERZİNCAN;ÇAYIRLI;BARBAROS;ŞELALE SOKAK;sokak;558727580
ERZİNCAN;ÇAYIRLI;BARBAROS;TOKİ SOKAK;sokak;875213
ERZİNCAN;ÇAYIRLI;BARBAROS;YUKARI SANAYİ CADDE;cadde;764779
ERZİNCAN;ÇAYIRLI;BARBAROS;ZÜMRÜT SOKAK;sokak;936257960
ERZİNCAN;ÇAYIRLI;BAŞKÖY - BOTAŞ;BOTAŞ KÜME EVLER;sokak;701833
ERZİNCAN;ÇAYIRLI;BAŞKÖY - BOTAŞ;ESENDORUK KÜME EVLER;sokak;920522241
ERZİNCAN;ÇAYIRLI;BAŞKÖY NA;BAŞKÖY KÜME EVLER;sokak;570100
ERZİNCAN;ÇAYIRLI;BOYBEYİ NA;BOYBEYİ KÜME EVLER;sokak;568050
ERZİNCAN;ÇAYIRLI;BOZAĞA NA;BOZAĞA KÜME EVLER;sokak;576025
ERZİNCAN;ÇAYIRLI;BÖLÜKOVA NA;BÖLÜKOVA KÜME EVLER;sokak;561493
