il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ERZURUM;AŞKALE;ABDALCIK;ABDALCIK KÜME EVLER;sokak;538301
ERZURUM;AŞKALE;AKÖREN;AKÖREN KÜME EVLER;sokak;464797
ERZURUM;AŞKALE;ALTINTAŞ;ALTINTAŞ KÜME EVLER;sokak;760963
ERZURUM;AŞKALE;ALTINTAŞ;ARDIÇLAYLA KÜME EVLER;sokak;161030200
ERZURUM;AŞKALE;ALTINTAŞ;DUMANLIOĞLU KÜME EVLER;sokak;750482
ERZURUM;AŞKALE;BAHÇELİEVLER;1 NOLU BAHÇELİ SOKAK;sokak;710165
ERZURUM;AŞKALE;BAHÇELİEVLER;1 NOLU ÇAY SOKAK;sokak;363825131
ERZURUM;AŞKALE;BAHÇELİEVLER;1.BEKİREFENDİ SOKAK;sokak;497238281
ERZURUM;AŞKALE;BAHÇELİEVLER;1.KARASU SOKAK;sokak;579982961
ERZURUM;AŞKALE;BAHÇELİEVLER;1.PAMUKANA SOKAK;sokak;598640900
ERZURUM;AŞKALE;BAHÇELİEVLER;1.SERDAR SOKAK;sokak;720786451
ERZURUM;AŞKALE;BAHÇELİEVLER;1.YEŞİLLİ SOKAK;sokak;423521530
ERZURUM;AŞKALE;BAHÇELİEVLER;2.BEKİREFENDİ SOKAK;sokak;654095260
ERZURUM;AŞKALE;BAHÇELİEVLER;2.KARASU SOKAK;sokak;536233280
ERZURUM;AŞKALE;BAHÇELİEVLER;3.KARASU SOKAK;sokak;331592860
ERZURUM;AŞKALE;BAHÇELİEVLER;46 EVLER 1 NOLU SOKAK;sokak;704398
ERZURUM;AŞKALE;BAHÇELİEVLER;46 EVLER 2 NOLU SOKAK;sokak;704399
ERZURUM;AŞKALE;BAHÇELİEVLER;46 EVLER 3 NOLU SOKAK;sokak;704400
ERZURUM;AŞKALE;BAHÇELİEVLER;46 EVLER 4 NOLU SOKAK;sokak;869702901
ERZURUM;AŞKALE;BAHÇELİEVLER;BAHÇELİ SOKAK;sokak;697242
ERZURUM;AŞKALE;BAHÇELİEVLER;BEKİR EFENDİ SOKAK;sokak;937751
ERZURUM;AŞKALE;BAHÇELİEVLER;ÇAY 1 SOKAK;sokak;289597320
ERZURUM;AŞKALE;BAHÇELİEVLER;ÇAY SOKAK;sokak;697237
ERZURUM;AŞKALE;BAHÇELİEVLER;ERZİNCAN CADDE;cadde;106557361
ERZURUM;AŞKALE;BAHÇELİEVLER;ERZURUM CADDE;cadde;697243
ERZURUM;AŞKALE;BAHÇELİEVLER;FETİH SOKAK;sokak;711041371
ERZURUM;AŞKALE;BAHÇELİEVLER;HAMAMÖNÜ 1 NOLU SOKAK;sokak;695936
ERZURUM;AŞKALE;BAHÇELİEVLER;HAMAMÖNÜ 2 NOLU SOKAK;sokak;782623341
ERZURUM;AŞKALE;BAHÇELİEVLER;HAMAMÖNÜ 3 NOLU SOKAK;sokak;473446350
ERZURUM;AŞKALE;BAHÇELİEVLER;HAMAMÖNÜ SOKAK;sokak;704401
ERZURUM;AŞKALE;BAHÇELİEVLER;MİTHAT BEY KÜME EVLER;sokak;697244
ERZURUM;AŞKALE;BAHÇELİEVLER;NENEHATUN SOKAK;sokak;695937
ERZURUM;AŞKALE;BAHÇELİEVLER;OVA SOKAK;sokak;530852960
ERZURUM;AŞKALE;BAHÇELİEVLER;PAMUKANA SOKAK;sokak;695935
ERZURUM;AŞKALE;BAHÇELİEVLER;SERDAR SOKAK;sokak;697238
ERZURUM;AŞKALE;BAHÇELİEVLER;TRABZON CADDE;cadde;322438000
ERZURUM;AŞKALE;BAHÇELİEVLER;YEŞİLLİ SOKAK;sokak;697241
ERZURUM;AŞKALE;BAHÇELİEVLER;YEŞİLLİ/2 SOKAK;sokak;363483241
ERZURUM;AŞKALE;BAHÇELİEVLER;YEŞİLLİ/3 SOKAK;sokak;327880690
ERZURUM;AŞKALE;BALLITAŞ;BALLITAŞ KÜME EVLER;sokak;574461
ERZURUM;AŞKALE;BOZBURUN;BOZBURUN KÜME EVLER;sokak;25931
ERZURUM;AŞKALE;BÜYÜKGEÇİT;BÜYÜKGEÇİT KÜME EVLER;sokak;88615
ERZURUM;AŞKALE;CAHİT AYBAR;ÇAĞLAYAN SOKAK;sokak;704405
ERZURUM;AŞKALE;CAHİT AYBAR;İSTANBUL CADDE;cadde;697245
ERZURUM;AŞKALE;CAHİT AYBAR;MEHMET AKİF ERSOY CADDE;cadde;695938
ERZURUM;AŞKALE;CAHİT AYBAR;ORBAY SOKAK;sokak;704404
ERZURUM;AŞKALE;CAHİT AYBAR;POSTAHANE CADDE;cadde;704406
ERZURUM;AŞKALE;CAHİT AYBAR;TUZLA CADDE;cadde;485068
ERZURUM;AŞKALE;ÇARŞI;1 NOLU BATTALOĞLU SOKAK;sokak;419942371
ERZURUM;AŞKALE;ÇARŞI;1 NOLU BAYRAMOĞLU SOKAK;sokak;662894481
ERZURUM;AŞKALE;ÇARŞI;1 NOLU HACIBEY SOKAK;sokak;784564150
