il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ESKİŞEHİR;ALPU;AĞAÇHİSAR;AĞAÇHİSAR KÜME EVLER;sokak;632776
ESKİŞEHİR;ALPU;AKTEPE;AKTEPE KÜME EVLER;sokak;638129
ESKİŞEHİR;ALPU;ALAPINAR;ALAPINAR KÜME EVLER;sokak;628931
ESKİŞEHİR;ALPU;ARIKAYA;ARIKAYA KÜME EVLER;sokak;627303
ESKİŞEHİR;ALPU;ARIKAYA;KARAKUŞ KÜME EVLER;sokak;627153
ESKİŞEHİR;ALPU;BAHÇECİK;BAHÇECİK KÜME EVLER;sokak;644414
ESKİŞEHİR;ALPU;BAŞÖREN;BAŞÖREN KÜME EVLER;sokak;621895
ESKİŞEHİR;ALPU;BAŞÖREN;SARIÇİÇEK KÜME EVLER;sokak;625523
ESKİŞEHİR;ALPU;BELKESE;BELKESE KÜME EVLER;sokak;632557
ESKİŞEHİR;ALPU;BOZAN;1 SOKAK;sokak;170142
ESKİŞEHİR;ALPU;BOZAN;2 SOKAK;sokak;170143
ESKİŞEHİR;ALPU;BOZAN;ANKARA DEMİRYOLU ALTI KÜME EVLER;sokak;908985
ESKİŞEHİR;ALPU;BOZAN;ARA SOKAK;sokak;170144
ESKİŞEHİR;ALPU;BOZAN;AYAZ SOKAK;sokak;170183
ESKİŞEHİR;ALPU;BOZAN;BAHAR SOKAK;sokak;417022
ESKİŞEHİR;ALPU;BOZAN;BUKET SOKAK;sokak;170145
ESKİŞEHİR;ALPU;BOZAN;BURMA SOKAK;sokak;170146
ESKİŞEHİR;ALPU;BOZAN;CAMİ_2 SOKAK;sokak;417023
ESKİŞEHİR;ALPU;BOZAN;CENGİZ SOKAK;sokak;408020
ESKİŞEHİR;ALPU;BOZAN;COŞAR SOKAK;sokak;170147
ESKİŞEHİR;ALPU;BOZAN;CUMHURİYET_1 MEYDAN;sokak;417024
ESKİŞEHİR;ALPU;BOZAN;ÇAM SOKAK;sokak;170179
ESKİŞEHİR;ALPU;BOZAN;ÇARDAKBAŞI_1 CADDE;cadde;170169
ESKİŞEHİR;ALPU;BOZAN;ÇATAL_3 SOKAK;sokak;408014
ESKİŞEHİR;ALPU;BOZAN;ÇAY SOKAK;sokak;170180
ESKİŞEHİR;ALPU;BOZAN;ÇENGEL SOKAK;sokak;170181
ESKİŞEHİR;ALPU;BOZAN;ÇEŞME_1 SOKAK;sokak;170170
ESKİŞEHİR;ALPU;BOZAN;DAR SOKAK;sokak;272966
ESKİŞEHİR;ALPU;BOZAN;DEĞİRMEN SOKAK;sokak;170149
ESKİŞEHİR;ALPU;BOZAN;DEPO SOKAK;sokak;667571
ESKİŞEHİR;ALPU;BOZAN;DERE_2 SOKAK;sokak;170184
ESKİŞEHİR;ALPU;BOZAN;DOĞAN SOKAK;sokak;170185
ESKİŞEHİR;ALPU;BOZAN;ENGİN SOKAK;sokak;408021
ESKİŞEHİR;ALPU;BOZAN;ESEN SOKAK;sokak;272967
ESKİŞEHİR;ALPU;BOZAN;ESER SOKAK;sokak;170186
ESKİŞEHİR;ALPU;BOZAN;FATİH_1 CADDE;cadde;170150
ESKİŞEHİR;ALPU;BOZAN;GÜL SOKAK;sokak;411201
ESKİŞEHİR;ALPU;BOZAN;GÜVERCİNLİK SOKAK;sokak;170151
ESKİŞEHİR;ALPU;BOZAN;HARMAN SOKAK;sokak;417025
ESKİŞEHİR;ALPU;BOZAN;IŞIR SOKAK;sokak;170152
ESKİŞEHİR;ALPU;BOZAN;KABİR SOKAK;sokak;170153
ESKİŞEHİR;ALPU;BOZAN;KALE SOKAK;sokak;417026
ESKİŞEHİR;ALPU;BOZAN;KAYA SOKAK;sokak;170154
ESKİŞEHİR;ALPU;BOZAN;KENAR SOKAK;sokak;408022
ESKİŞEHİR;ALPU;BOZAN;KISA SOKAK;sokak;170155
ESKİŞEHİR;ALPU;BOZAN;KÖPRÜ SOKAK;sokak;170156
ESKİŞEHİR;ALPU;BOZAN;KÖŞE SOKAK;sokak;417027
ESKİŞEHİR;ALPU;BOZAN;KURTULUŞ_3 CADDE;cadde;170188
ESKİŞEHİR;ALPU;BOZAN;KÜLTÜR CADDE;cadde;170157
ESKİŞEHİR;ALPU;BOZAN;LALE SOKAK;sokak;170158
ESKİŞEHİR;ALPU;BOZAN;MENDERES CADDE;cadde;170148
ESKİŞEHİR;ALPU;BOZAN;MEŞRUTİYET CADDE;cadde;170173
ESKİŞEHİR;ALPU;BOZAN;MEZARLIK(BOZAN) CADDE;cadde;408009
