il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
GAZİANTEP;ARABAN;AKBUDAK;BOTAŞ KÜME EVLER;sokak;451110
GAZİANTEP;ARABAN;AKBUDAK;CUMHURİYET KÜME EVLER;sokak;531486
GAZİANTEP;ARABAN;AKBUDAK;HÜRRİYET KÜME EVLER;sokak;529910
GAZİANTEP;ARABAN;AKBUDAK;KARŞIYAKA KÜME EVLER;sokak;539632
GAZİANTEP;ARABAN;AKBUDAK;PINAR KÜME EVLER;sokak;537122
GAZİANTEP;ARABAN;AKKOÇ;AKKOÇ KÜME EVLER;sokak;316027
GAZİANTEP;ARABAN;ALTINPINAR;ALTINPINAR KÜME EVLER;sokak;308814
GAZİANTEP;ARABAN;AŞAĞIKARAVAİZ;AŞAĞIKARAVAİZ KÜME EVLER;sokak;544307
GAZİANTEP;ARABAN;AŞAĞIKARAVAİZ;KÜÇÜKLÜ KÜME EVLER;sokak;904935110
GAZİANTEP;ARABAN;AŞAĞIYUFKALI;AŞAĞIYUFKALI KÜME EVLER;sokak;570189
GAZİANTEP;ARABAN;BAĞLICA;KÜMELER KÜME EVLER;sokak;177536
GAZİANTEP;ARABAN;BAŞPINAR;BAŞPINAR KÜME EVLER;sokak;554098
GAZİANTEP;ARABAN;BEYDİLİ;BEYDİLİ KÜME EVLER;sokak;606124
GAZİANTEP;ARABAN;BEYDİLİ;ÇAKALLI KÜME EVLER;sokak;619498
GAZİANTEP;ARABAN;ÇİFTEKOZ;ÇİFTEKOZ KÜME EVLER;sokak;486146
GAZİANTEP;ARABAN;DAĞDANCIK;DAĞDANCIK KÜME EVLER;sokak;498782
GAZİANTEP;ARABAN;DAĞDANCIK;GECEHÖYÜĞÜ KÜME EVLER;sokak;389015
GAZİANTEP;ARABAN;DOĞAN;ŞEHİT FATMA KORKMAZ KÜME EVLER;sokak;85270
GAZİANTEP;ARABAN;DUMLUPINAR;1 NOLU CADDE CADDE;cadde;834294
GAZİANTEP;ARABAN;DUMLUPINAR;20210 SOKAK;sokak;174417671
GAZİANTEP;ARABAN;DUMLUPINAR;27001 CADDE;cadde;475725240
GAZİANTEP;ARABAN;DUMLUPINAR;27200 SOKAK;sokak;403005921
GAZİANTEP;ARABAN;DUMLUPINAR;27201 SOKAK;sokak;873709121
GAZİANTEP;ARABAN;DUMLUPINAR;27202 SOKAK;sokak;826589491
GAZİANTEP;ARABAN;DUMLUPINAR;27203 SOKAK;sokak;842737621
GAZİANTEP;ARABAN;DUMLUPINAR;27204 SOKAK;sokak;586012461
GAZİANTEP;ARABAN;DUMLUPINAR;27205 SOKAK;sokak;973047781
GAZİANTEP;ARABAN;DUMLUPINAR;27206 SOKAK;sokak;542262531
GAZİANTEP;ARABAN;DUMLUPINAR;27207 SOKAK;sokak;720913171
GAZİANTEP;ARABAN;DUMLUPINAR;27208 SOKAK;sokak;198541320
GAZİANTEP;ARABAN;DUMLUPINAR;27211 SOKAK;sokak;903735721
GAZİANTEP;ARABAN;DUMLUPINAR;27212 SOKAK;sokak;133541051
GAZİANTEP;ARABAN;DUMLUPINAR;27213 SOKAK;sokak;833519731
GAZİANTEP;ARABAN;DUMLUPINAR;27214 SOKAK;sokak;122633801
GAZİANTEP;ARABAN;DUMLUPINAR;27299 CADDE;cadde;416832280
GAZİANTEP;ARABAN;DUMLUPINAR;AKBUDAK CADDE;cadde;177537
GAZİANTEP;ARABAN;DUMLUPINAR;BANKA SOKAK;sokak;416626
GAZİANTEP;ARABAN;DUMLUPINAR;BAŞAK SOKAK;sokak;416629
GAZİANTEP;ARABAN;DUMLUPINAR;ÇARDAK SOKAK;sokak;177546
GAZİANTEP;ARABAN;DUMLUPINAR;GAZİANTEP CADDE;cadde;177538
GAZİANTEP;ARABAN;DUMLUPINAR;GÜRBÜZ CADDE;cadde;177539
GAZİANTEP;ARABAN;DUMLUPINAR;GÜRSEL CADDE;cadde;177540
GAZİANTEP;ARABAN;DUMLUPINAR;HAZNE SOKAK;sokak;416627
GAZİANTEP;ARABAN;DUMLUPINAR;KARAPINAR CADDE;cadde;177541
GAZİANTEP;ARABAN;DUMLUPINAR;KOOPARATİF SOKAK;sokak;177542
GAZİANTEP;ARABAN;DUMLUPINAR;LOJMAN SOKAK;sokak;416628
GAZİANTEP;ARABAN;DUMLUPINAR;MEZBAHANE SOKAK;sokak;177543
GAZİANTEP;ARABAN;DUMLUPINAR;MUHTAR FEVZİ ÖZKAN CADDE;cadde;975057
GAZİANTEP;ARABAN;DUMLUPINAR;MURATPAŞA CADDE;cadde;58326620
GAZİANTEP;ARABAN;DUMLUPINAR;SANAYİ CADDE;cadde;177544
GAZİANTEP;ARABAN;DUMLUPINAR;TUZCULAR CADDE;cadde;177545
GAZİANTEP;ARABAN;ELİF;1 NOLU ÇIKMAZ SOKAK;sokak;177605
GAZİANTEP;ARABAN;ELİF;1 NOLU SOKAK;sokak;418455
GAZİANTEP;ARABAN;ELİF;2 NOLU KÜME EVLER;sokak;177623
GAZİANTEP;ARABAN;ELİF;3 NOLU KÜME EVLER;sokak;177624
GAZİANTEP;ARABAN;ELİF;4 NOLU (KARŞIYAKA) SOKAK;sokak;177625
GAZİANTEP;ARABAN;ELİF;4 NOLU SOKAK;sokak;418450
GAZİANTEP;ARABAN;ELİF;5 NOLU SOKAK;sokak;177606
GAZİANTEP;ARABAN;ELİF;6 NOLU SOKAK;sokak;418452
GAZİANTEP;ARABAN;ELİF;ALPASLAN SOKAK;sokak;177607
GAZİANTEP;ARABAN;ELİF;ALTINBAĞ ÇIKMAZI KÜME EVLER;sokak;177595
GAZİANTEP;ARABAN;ELİF;ATATÜRK (FEVZİ ÇAKMAK) CADDE;cadde;177608
GAZİANTEP;ARABAN;ELİF;ATATÜRK (İNÖNÜ)-1 CADDE;cadde;177618
GAZİANTEP;ARABAN;ELİF;ATATÜRK (KARŞIYAKA) CADDE;cadde;177626
GAZİANTEP;ARABAN;ELİF;ATATÜRK-1 KÜME EVLER;sokak;177596
GAZİANTEP;ARABAN;ELİF;BAĞCI SOKAK;sokak;177598
GAZİANTEP;ARABAN;ELİF;BAYRAKTAR SOKAK;sokak;177627
GAZİANTEP;ARABAN;ELİF;BAZO HOCA (KARŞIYAKA) CADDE;cadde;418456
GAZİANTEP;ARABAN;ELİF;BAZO HOCA KÜME EVLER;sokak;177597
GAZİANTEP;ARABAN;ELİF;CUMHURİYET (FEVZİ ÇAKMAK) CADDE;cadde;177609
GAZİANTEP;ARABAN;ELİF;CUMHURİYET (İNÖNÜ) CADDE;cadde;177619
GAZİANTEP;ARABAN;ELİF;CUMHURİYET-2 CADDE;cadde;177599
GAZİANTEP;ARABAN;ELİF;ÇELİK ÇIKMAZI SOKAK;sokak;177613
GAZİANTEP;ARABAN;ELİF;DEĞİRMEN-1 SOKAK;sokak;177611
GAZİANTEP;ARABAN;ELİF;DEMİRCİ SOKAK;sokak;177610
GAZİANTEP;ARABAN;ELİF;FIRAT KÜME EVLER;sokak;177620
GAZİANTEP;ARABAN;ELİF;FISTIKLI KÜME EVLER;sokak;177628
GAZİANTEP;ARABAN;ELİF;HIDIR ÇIKMAZI KÜME EVLER;sokak;177621
GAZİANTEP;ARABAN;ELİF;HÜRRİYET (İNÖNÜ) CADDE;cadde;177622
GAZİANTEP;ARABAN;ELİF;HÜRRİYET-1 CADDE;cadde;516956
GAZİANTEP;ARABAN;ELİF;KAPLAN CADDE;cadde;177614
GAZİANTEP;ARABAN;ELİF;KARAMANOĞLU SOKAK;sokak;177615
GAZİANTEP;ARABAN;ELİF;PERİ SOKAK;sokak;177600
GAZİANTEP;ARABAN;ELİF;SARIKAYA-1 SOKAK;sokak;177616
GAZİANTEP;ARABAN;ELİF;SARILAR SOKAK;sokak;418451
GAZİANTEP;ARABAN;ELİF;SERİN SOKAK;sokak;177629
GAZİANTEP;ARABAN;ELİF;SÖNMEZ SOKAK;sokak;177612
GAZİANTEP;ARABAN;ELİF;SULTAN SELİM CADDE;cadde;418453
GAZİANTEP;ARABAN;ELİF;ŞAHİNLER (İNÖNÜ) KÜME EVLER;sokak;418454
GAZİANTEP;ARABAN;ELİF;ŞAHİNLER-1 KÜME EVLER;sokak;177603
GAZİANTEP;ARABAN;ELİF;ŞEHİT MEHMET BAĞCI (İNÖNÜ) KÜME EVLER;sokak;177617
GAZİANTEP;ARABAN;ELİF;ŞEHİT MEHMET BAĞCI SOKAK;sokak;177604
GAZİANTEP;ARABAN;ELİF;TAŞDEMİR ÇIKMAZI KÜME EVLER;sokak;177601
GAZİANTEP;ARABAN;ELİF;YENİ KÜME EVLER;sokak;177602
GAZİANTEP;ARABAN;EMİRHAYDAR;EMİRHAYDAR KÜME EVLER;sokak;507125
GAZİANTEP;ARABAN;ERENBAĞ;ERENBAĞ KÜME EVLER;sokak;496014
GAZİANTEP;ARABAN;ESENTEPE;ESENTEPE KÜME EVLER;sokak;507154
GAZİANTEP;ARABAN;ESKİALTINTAŞ;ESKİALTINTAŞ KÜME EVLER;sokak;493763
GAZİANTEP;ARABAN;FAKILI;FAKILI KÜME EVLER;sokak;593679
GAZİANTEP;ARABAN;FAKILI;YENİYURT KÜME EVLER;sokak;604044
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;27801 SOKAK;sokak;964087861
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;BESNİ CADDE;cadde;177547
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;CUMHURİYET OKULU SOKAK;sokak;416630
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;ÇEVREYOLU CADDE;cadde;785914430
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;ERENLER SOKAK;sokak;177548
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;GÖL SOKAK;sokak;177549
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;GÜR SOKAK;sokak;177550
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;KARACAÖREN-1 CADDE;cadde;240164
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;KÖR SOKAK;sokak;416631
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;OZAN SOKAK;sokak;177551
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;SİNAN PAŞA CADDE;cadde;177552
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;TEPEBAŞI SOKAK;sokak;416632
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;YAYLA SOKAK;sokak;240165
GAZİANTEP;ARABAN;FEVZİ ÇAKMAK;YILMAZ SOKAK;sokak;177553
GAZİANTEP;ARABAN;FISTIKLIDAĞ;FISTIKLIDAĞ KÜME EVLER;sokak;505196
GAZİANTEP;ARABAN;FISTIKLIDAĞ;KEMERLİ KÜME EVLER;sokak;512901
GAZİANTEP;ARABAN;GELİNBUĞDAY;GELİNBUĞDAY KÜME EVLER;sokak;493684
GAZİANTEP;ARABAN;GÖKÇEPAYAM;GÖKÇEPAYAM KÜME EVLER;sokak;479986
GAZİANTEP;ARABAN;GÜLLÜCE;GÜLLÜCE KÜME EVLER;sokak;499282
GAZİANTEP;ARABAN;GÜMÜŞPINAR;GÜMÜŞPINAR KÜME EVLER;sokak;490106
GAZİANTEP;ARABAN;GÜZEY;GÜZEY KÜME EVLER;sokak;502379
GAZİANTEP;ARABAN;GÜZEY;YUKARI GÖZEY KÜME EVLER;sokak;588620
GAZİANTEP;ARABAN;HASANOĞLU;HASANOĞLU KÜME EVLER;sokak;728671
GAZİANTEP;ARABAN;HİSAR;HİSAR-1 KÜME EVLER;sokak;502868
GAZİANTEP;ARABAN;HİSAR;PAGİR KÜME EVLER;sokak;502001
GAZİANTEP;ARABAN;KALE;AKBUDAK CADDE;cadde;171868
GAZİANTEP;ARABAN;KALE;ATATÜRK SOKAK;sokak;171869
GAZİANTEP;ARABAN;KALE;BESNİ CADDE;cadde;416634
GAZİANTEP;ARABAN;KALE;ESENLER SOKAK;sokak;245444
GAZİANTEP;ARABAN;KALE;GAZİLER SOKAK;sokak;171870
GAZİANTEP;ARABAN;KALE;GÜL SOKAK;sokak;757097580
GAZİANTEP;ARABAN;KALE;HUZUR SOKAK;sokak;1059592
GAZİANTEP;ARABAN;KALE;İMAMLAR SOKAK;sokak;416633
GAZİANTEP;ARABAN;KALE;KALE SOKAK;sokak;171871
GAZİANTEP;ARABAN;KALE;KARALAR SOKAK;sokak;416635
