il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
GİRESUN;ALUCRA;AKÇİÇEK NA;AKÇİÇEK KÜME EVLER;sokak;261638
GİRESUN;ALUCRA;AKTEPE - ALİUŞAĞI;ALİUŞAĞI KÜME EVLER;sokak;660116
GİRESUN;ALUCRA;AKTEPE - BELANÇAYIR;BELANÇAYIR KÜME EVLER;sokak;163677
GİRESUN;ALUCRA;AKTEPE - HAPANBELE;HAPANBELE KÜME EVLER;sokak;656362
GİRESUN;ALUCRA;AKTEPE - KARAGÖZ;KARAGÖZ KÜME EVLER;sokak;79168
GİRESUN;ALUCRA;AKTEPE - KAYADİBİ;KAYADİBİ KÜME EVLER;sokak;658542
GİRESUN;ALUCRA;AKTEPE - KIŞLA;KIŞLA KÜME EVLER;sokak;658727
GİRESUN;ALUCRA;AKTEPE - KİLİSE PINARI;KİLİSE PINARI KÜME EVLER;sokak;659697
GİRESUN;ALUCRA;AKTEPE - SARAÇLI;SARAÇLI KÜME EVLER;sokak;666443
GİRESUN;ALUCRA;AKTEPE - SEFERLİ;SEFERLİ KÜME EVLER;sokak;658556
GİRESUN;ALUCRA;AKTEPE - SEYYİDHAN;SEYYİDHAN KÜME EVLER;sokak;658334
GİRESUN;ALUCRA;AKTEPE - ŞAHANLI;ŞAHANLI KÜME EVLER;sokak;660027
GİRESUN;ALUCRA;AKTEPE - YENİ;YENİ KÜME EVLER;sokak;666685
GİRESUN;ALUCRA;ARDA NA;ARDA KÜME EVLER;sokak;567966
GİRESUN;ALUCRA;ARDUÇ NA;ARDUÇ KÜME EVLER;sokak;560240
GİRESUN;ALUCRA;ARMUTLU NA;ARMUTLU KÜME EVLER;sokak;330229
GİRESUN;ALUCRA;AYDINYAYLA NA;AYDINYAYLA KÜME EVLER;sokak;94029
GİRESUN;ALUCRA;BABAPINAR;MAHALLE İÇİ KÜME EVLER;sokak;824699
GİRESUN;ALUCRA;BEREKETLİ NA;BEREKETLİ KÜME EVLER;sokak;684164
GİRESUN;ALUCRA;BEYLERCE NA;BEYLERCE KÜME EVLER;sokak;259112
GİRESUN;ALUCRA;BOYLUCA - BEKİRLİ;BEKİRLİ KÜME EVLER;sokak;223923
GİRESUN;ALUCRA;BOYLUCA - DEĞİRMİCE;DEĞİRMİCE KÜME EVLER;sokak;227815
GİRESUN;ALUCRA;BOYLUCA - EKİZLİ;EKİZLİ KÜME EVLER;sokak;432772
GİRESUN;ALUCRA;BOYLUCA - GEVEZELİ;GEVEZELİ KÜME EVLER;sokak;218479
GİRESUN;ALUCRA;BOYLUCA - KILIÇLAR;KILIÇLAR KÜME EVLER;sokak;618053
GİRESUN;ALUCRA;BOYLUCA - MÜSEEL;MÜSEEL KÜME EVLER;sokak;437584
GİRESUN;ALUCRA;BOYLUCA - ŞIHLI;ŞIHLI KÜME EVLER;sokak;230479
GİRESUN;ALUCRA;BOYLUCA - TEFİLLİ;TEFİLLİ KÜME EVLER;sokak;82511
GİRESUN;ALUCRA;BOYLUCA - TEPE;TEPE KÜME EVLER;sokak;223922
GİRESUN;ALUCRA;BOYLUCA - UNCUOĞLU;UNCUOĞLU KÜME EVLER;sokak;82520
GİRESUN;ALUCRA;CUMHURİYET;15 TEMMUZ SOKAK;sokak;563312180
GİRESUN;ALUCRA;CUMHURİYET;AHLAT SOKAK;sokak;522057051
GİRESUN;ALUCRA;CUMHURİYET;ALİ KÖYMEN SOKAK;sokak;545160420
GİRESUN;ALUCRA;CUMHURİYET;ARİF BAŞYURT SOKAK;sokak;191307981
GİRESUN;ALUCRA;CUMHURİYET;ARİF YÜKSEL SOKAK;sokak;522017461
GİRESUN;ALUCRA;CUMHURİYET;BİLGE KAĞAN SOKAK;sokak;113822491
GİRESUN;ALUCRA;CUMHURİYET;ÇAĞIRGAN SOKAK;sokak;383175580
GİRESUN;ALUCRA;CUMHURİYET;GİNDABOLLU MUSA HOCA SOKAK;sokak;147207261
GİRESUN;ALUCRA;CUMHURİYET;HACE İBRAHİM ATA SOKAK;sokak;481778360
GİRESUN;ALUCRA;CUMHURİYET;HÜRRİYET CADDE;cadde;129380560
GİRESUN;ALUCRA;CUMHURİYET;HÜRRİYET/2 SOKAK;sokak;993053851
GİRESUN;ALUCRA;CUMHURİYET;HÜRRİYET/5 SOKAK;sokak;171430090
GİRESUN;ALUCRA;CUMHURİYET;İSMAİL GASPIRALI SOKAK;sokak;780049421
GİRESUN;ALUCRA;CUMHURİYET;MAHALLE İÇİ KÜME EVLER;sokak;724324460
GİRESUN;ALUCRA;CUMHURİYET;MEHMET TEKOĞLU CADDE;cadde;940003530
GİRESUN;ALUCRA;CUMHURİYET;MENEKŞE SOKAK;sokak;302725530
GİRESUN;ALUCRA;CUMHURİYET;MUHİTTİN GÜLAL SOKAK;sokak;771872190
GİRESUN;ALUCRA;CUMHURİYET;OSMAN EKŞİ CADDE;cadde;795840330
GİRESUN;ALUCRA;CUMHURİYET;OZAN ARİF ŞİRİN CADDE;cadde;720016620
GİRESUN;ALUCRA;CUMHURİYET;PEKSİMET SOKAK;sokak;535114810
GİRESUN;ALUCRA;CUMHURİYET;SULTAN ALPARSLAN SOKAK;sokak;346047770
GİRESUN;ALUCRA;CUMHURİYET;SÜLEYMAN EKŞİ SOKAK;sokak;861155320
GİRESUN;ALUCRA;CUMHURİYET;ŞEHİT İLHAN YURT SOKAK;sokak;363070151
GİRESUN;ALUCRA;CUMHURİYET;TÜLÜ BABA SOKAK;sokak;372611120
GİRESUN;ALUCRA;CUMHURİYET;YAVUZ SULTAN SELİM CADDE;cadde;272822270
GİRESUN;ALUCRA;ÇAKRAK - BATU;BATU KÜME EVLER;sokak;259097
GİRESUN;ALUCRA;ÇAKRAK - KILIÇLI;KILIÇLI KÜME EVLER;sokak;259107
GİRESUN;ALUCRA;ÇAKRAK - MACARA;MACARA KÜME EVLER;sokak;270956
GİRESUN;ALUCRA;ÇAKRAK - MERKEZ;MERKEZ KÜME EVLER;sokak;259101
GİRESUN;ALUCRA;ÇAKRAK - TURNALI;TURNALI KÜME EVLER;sokak;272326
GİRESUN;ALUCRA;ÇAKRAK - YENİKÖY;YENİKÖY KÜME EVLER;sokak;696058
GİRESUN;ALUCRA;ÇALGAN NA;ÇALGAN KÜME EVLER;sokak;278532
GİRESUN;ALUCRA;ÇAMLIYAYLA - MERKEZ;MERKEZ KÜME EVLER;sokak;608539
