il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
GÜMÜŞHANE;KELKİT;AĞILKÖY NA;AĞIL KÜME EVLER;sokak;563838
GÜMÜŞHANE;KELKİT;AĞILKÖY NA;GÜMÜŞHANE ERZİNCAN BULVAR;sokak;365577000
GÜMÜŞHANE;KELKİT;AĞLIK NA;AĞLIK KÜME EVLER;sokak;396649
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;17 ŞUBAT BULVAR;sokak;1375279
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;AHMET AĞA SOKAK;sokak;675421
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;AHMET YESEVİ/2 SOKAK;sokak;808809090
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;AKASYA SOKAK;sokak;675424
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ALP SOKAK;sokak;452414291
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ALTAN1 SOKAK;sokak;493486751
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ARI SOKAK;sokak;100161
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ATLAS SOKAK;sokak;321139791
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;AYBÜKE CADDE;cadde;1512111
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;BAĞCILAR SOKAK;sokak;475686
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;BERAT SOKAK;sokak;697492321
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;BERAT2 SOKAK;sokak;251700931
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;BİLGEHAN SOKAK;sokak;675397
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;BİLLUR SOKAK;sokak;676551
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;CEYLİN GÜNEŞ SOKAK;sokak;715427321
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ÇAKIL SOKAK;sokak;271974
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ÇARDAK SOKAK;sokak;679679
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ÇİLEK SOKAK;sokak;100158
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;DALTABAN SOKAK;sokak;677244
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;DEFNE SOKAK;sokak;676713
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;DERMAN SOKAK;sokak;668722
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;DİVANE1 SOKAK;sokak;267365461
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;DURAN SOKAK;sokak;401549651
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ECE SOKAK;sokak;679010
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ENSAR1 SOKAK;sokak;804265211
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ENSAR2 SOKAK;sokak;301575721
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ESENLİK SOKAK;sokak;694154
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;GİZEM SOKAK;sokak;676555
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;GÜL ESEN SOKAK;sokak;677158
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;GÜROL1 SOKAK;sokak;777364031
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;HİSAR SOKAK;sokak;676553
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ILGIN SOKAK;sokak;398132741
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;İHLAS SOKAK;sokak;981029990
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;İKBAL SOKAK;sokak;679242
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KAĞAN SOKAK;sokak;1361329
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KANARYA SOKAK;sokak;678499
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KAYA SOKAK;sokak;391428
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KAZIM KARABEKİR CADDE;cadde;680379
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KEKLİK SOKAK;sokak;692749
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KELAM SOKAK;sokak;680241
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;KÜMBET SOKAK;sokak;680103
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;LALEZAR SOKAK;sokak;679154
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;MANOLYA SOKAK;sokak;688745
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;MELİSA SOKAK;sokak;527875531
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;MENZİL SOKAK;sokak;255799471
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;MİKAİL SOKAK;sokak;222538921
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;NECİP FAZIL CADDE;cadde;680259
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;NEZİH SOKAK;sokak;680649
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ONUR1 SOKAK;sokak;955384761
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;PAŞABEYOĞLU-2 SOKAK;sokak;659242761
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;PAŞABEYOĞLU1 SOKAK;sokak;641430271
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;PAŞABEYOĞLU3 SOKAK;sokak;664243421
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;PERİ SOKAK;sokak;681769
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;PLEVNE SOKAK;sokak;675422
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;POYRAZ SOKAK;sokak;668298
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;POYRAZ1 SOKAK;sokak;241870311
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;RAVZA SOKAK;sokak;400416671
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;RUVEYDA SOKAK;sokak;1400589
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;SARP SOKAK;sokak;271979
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;SEÇKİN SOKAK;sokak;680164
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;SEYRANGAH SOKAK;sokak;679467
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;SINIR SOKAK;sokak;90714
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ŞAFAK SOKAK;sokak;449165
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;ŞULE SOKAK;sokak;678182
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TANDIR SOKAK;sokak;272408
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TARÇIN4 SOKAK;sokak;177096011
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TEPE SOKAK;sokak;680367
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TILSIM SOKAK;sokak;446438981
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TİMUR SOKAK;sokak;678571
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TUNA SOKAK;sokak;676552
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TUNÇ SOKAK;sokak;684455
GÜMÜŞHANE;KELKİT;AHMET YESEVİ;TURGUT REİS CADDE;cadde;679754
