il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
HAKKARİ;ÇUKURCA;AKKAYA - AŞAĞI AKKAYA KÖYÜ;YUKARI AKKAYA KÜME EVLER;sokak;717015
HAKKARİ;ÇUKURCA;AKKAYA - SARİYER;SARIYER KÜME EVLER;sokak;817415
HAKKARİ;ÇUKURCA;AKKAYA - YUKARIAKKAYA;YUKARI AKKAYA KÜME EVLER;sokak;200370
HAKKARİ;ÇUKURCA;CEVİZLİ - KÖYÜN KENDİSİ;CEVIZLI KÜME EVLER;sokak;440567
HAKKARİ;ÇUKURCA;CUMHURİYET;AFET KONUTLARI BİRİNCİ SOKAK;sokak;494203181
HAKKARİ;ÇUKURCA;CUMHURİYET;AFET KONUTLARI İKİNCİ SOKAK;sokak;977237611
HAKKARİ;ÇUKURCA;CUMHURİYET;CEZAEVI CADDE;cadde;173940
HAKKARİ;ÇUKURCA;CUMHURİYET;CUMHURIYET CADDE;cadde;411327
HAKKARİ;ÇUKURCA;CUMHURİYET;EFKARLAR BİRİNCİ SOKAK;sokak;394855290
HAKKARİ;ÇUKURCA;CUMHURİYET;EFKARLAR CADDE;cadde;173941
HAKKARİ;ÇUKURCA;CUMHURİYET;EVLIYA BEY CADDE;cadde;254194
HAKKARİ;ÇUKURCA;CUMHURİYET;KÖSK CADDE;cadde;411326
HAKKARİ;ÇUKURCA;CUMHURİYET;MEZARLIK CADDE;cadde;143131831
HAKKARİ;ÇUKURCA;CUMHURİYET;SEHITALI CADDE;cadde;253739
HAKKARİ;ÇUKURCA;CUMHURİYET;SÜVARILER CADDE;cadde;685748
HAKKARİ;ÇUKURCA;ÇIĞLI NA;KÖYÜN KENDİSİ KÜME EVLER;sokak;630366
HAKKARİ;ÇUKURCA;EMİRŞABAN;22 EVLER CADDE;cadde;173942
HAKKARİ;ÇUKURCA;EMİRŞABAN;ADALET CADDE;cadde;411329
HAKKARİ;ÇUKURCA;EMİRŞABAN;BELBEL BİRİNCİ SOKAK;sokak;150520201
HAKKARİ;ÇUKURCA;EMİRŞABAN;BELBEL CADDE;cadde;623636
HAKKARİ;ÇUKURCA;EMİRŞABAN;BİLİNMEYEN22 SOKAK;sokak;333009711
HAKKARİ;ÇUKURCA;EMİRŞABAN;CUMHURIYET CADDE;cadde;411328
HAKKARİ;ÇUKURCA;EMİRŞABAN;GÖK CADDE;cadde;254195
HAKKARİ;ÇUKURCA;EMİRŞABAN;GÖK CADDESİ 1.SOKAK SOKAK;cadde;821762311
HAKKARİ;ÇUKURCA;EMİRŞABAN;GÖK İKİNCİ SOKAK;sokak;437198891
HAKKARİ;ÇUKURCA;EMİRŞABAN;HAKKARI CADDE;cadde;680401
HAKKARİ;ÇUKURCA;EMİRŞABAN;HASTAHANE SOKAK;sokak;300922091
HAKKARİ;ÇUKURCA;EMİRŞABAN;HESINKAN BİRİNCİ SOKAK;sokak;861443671
HAKKARİ;ÇUKURCA;EMİRŞABAN;HESINKAN CADDE;cadde;225818961
HAKKARİ;ÇUKURCA;EMİRŞABAN;HESİNKAN DÖRDÜNCÜ SOKAK;sokak;858876691
HAKKARİ;ÇUKURCA;EMİRŞABAN;HESİNKAN İKİNCİ SOKAK;sokak;675376
HAKKARİ;ÇUKURCA;EMİRŞABAN;HESİNKAN ÜÇÜNCÜ SOKAK;sokak;675518
HAKKARİ;ÇUKURCA;EMİRŞABAN;KAYMAKAM NIYAZI ERTEN CADDE;cadde;630667
HAKKARİ;ÇUKURCA;EMİRŞABAN;NARLI KÜME EVLER;sokak;752063751
HAKKARİ;ÇUKURCA;EMİRŞABAN;SİVRİ TEPE BİTİNCİ SOKAK;sokak;159934051
HAKKARİ;ÇUKURCA;EMİRŞABAN;SİVRİ TEPE CADDE;cadde;437905911
HAKKARİ;ÇUKURCA;EMİRŞABAN;SİVRİ TEPE İKİNCİ SOKAK;sokak;773640081
HAKKARİ;ÇUKURCA;EMİRŞABAN;YESIL TEPE CADDE;cadde;173948
HAKKARİ;ÇUKURCA;EMİRŞABAN;YEŞİLTEPE CADDE;cadde;675361
HAKKARİ;ÇUKURCA;GÜNDEŞ - ÇİMENLİ;ÇIMENLI BAĞLISI KÜME EVLER;sokak;627498250
HAKKARİ;ÇUKURCA;GÜNDEŞ - GUZELDERE;GÜZELDERE KÜME EVLER;sokak;758519
HAKKARİ;ÇUKURCA;GÜNDEŞ - KÖPRÜLÜ;KÖPRÜLÜ KÜME EVLER;sokak;752448
HAKKARİ;ÇUKURCA;GÜNDEŞ - ORMANLI;ORMANLI KÜME EVLER;sokak;159645
HAKKARİ;ÇUKURCA;GÜNDEŞ NA;KÖYÜN KENDISI KÜME EVLER;sokak;574215
HAKKARİ;ÇUKURCA;KAYALIK - ÇELTİK;ÇELTİK BAĞLISI KÜME EVLER;sokak;809180
HAKKARİ;ÇUKURCA;KAYALIK - KAYNAK;KAYNAK KÜME EVLER;sokak;809179
HAKKARİ;ÇUKURCA;KAYALIK - KAYNAK;MEŞELI BAĞLISI KÜME EVLER;sokak;136881301
HAKKARİ;ÇUKURCA;KAYALIK - MEŞELİ;MEŞELI BAĞLISI KÜME EVLER;sokak;812747
HAKKARİ;ÇUKURCA;KAYALIK NA;KÖYÜN KENDISI KÜME EVLER;sokak;798263
HAKKARİ;ÇUKURCA;KAZAN - KÖYÜN KENDİSİ;KAZAN KÜME EVLER;sokak;1009344
HAKKARİ;ÇUKURCA;NARLI NA;NARLI KÜME EVLER;sokak;626170
HAKKARİ;ÇUKURCA;ÜZÜMLÜ NA;ÜZÜMLÜ KÜME EVLER;sokak;619199
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;AKAR SOKAK;sokak;756037951
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;CUMHURIYET CADDE;cadde;840543
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;HAKKARI CADDE;cadde;840546
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;MOLLA HAYDAR CADDE;cadde;685279
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;SAMO CADDE;cadde;173947
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;SANAYİ SOKAK;sokak;902950071
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;TOKİ CADDE;cadde;250610861
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;VATAN CADDE;cadde;411330
HAKKARİ;ÇUKURCA;YEŞİL ÇEŞME;YENIYOL SOKAK;sokak;735777101
HAKKARİ;DERECİK;ANADAĞ - BEŞİKAĞAÇ;BESIKAGAÇ KÜME EVLER;sokak;625919
HAKKARİ;DERECİK;ANADAĞ - BÖLEK;BÖLEK KÜME EVLER;sokak;629324
HAKKARİ;DERECİK;ANADAĞ - GÖKÇETAŞ;GÖKÇETAS KÜME EVLER;sokak;628959
HAKKARİ;DERECİK;ANADAĞ - YEŞİLOVA;YESILOVA KÜME EVLER;sokak;388060
HAKKARİ;DERECİK;BALKAYA;AKDEMIR CADDE;cadde;1344637
HAKKARİ;DERECİK;BALKAYA;CAMI SOKAK;sokak;642050081
HAKKARİ;DERECİK;BALKAYA;DIZGE CADDE;cadde;1344667
HAKKARİ;DERECİK;BALKAYA;GAZİLER CADDE;cadde;173804860
HAKKARİ;DERECİK;BALKAYA;MEZARLIK CADDE;cadde;459951311
HAKKARİ;DERECİK;BALKAYA;ŞEHİT MAHMUT TEKİN SOKAK;sokak;530545731
HAKKARİ;DERECİK;BALKAYA;ŞEHİT MUZAFFER GÜLER CADDE;cadde;68790997
HAKKARİ;DERECİK;BALKAYA;UMURLU CADDE;cadde;1344639
HAKKARİ;DERECİK;BALKAYA;YAYLA CADDE;cadde;12401915
HAKKARİ;DERECİK;GELİŞEN - ARALIK;ARALIK KÜME EVLER;sokak;643188
HAKKARİ;DERECİK;GELİŞEN - ARALIK;SERHAT KALE KÜME EVLER;sokak;392699800
HAKKARİ;DERECİK;GELİŞEN - KARAKOÇ;KARAKOÇ KÜME EVLER;sokak;869839
HAKKARİ;DERECİK;GELİŞEN - KORYÜREK;KORYUREK KÜME EVLER;sokak;651419
HAKKARİ;DERECİK;GELİŞEN - KÜTÜKLÜ;KÜTÜKLÜ KÜME EVLER;sokak;646026
