il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
HATAY;ALTINÖZÜ;AKAMBER;AKAMBER KÜME EVLER;sokak;545315
HATAY;ALTINÖZÜ;AKDARI;AKDARI 11 SOKAK;sokak;213021870
HATAY;ALTINÖZÜ;AKDARI;AKDARI 12 SOKAK;sokak;213179610
HATAY;ALTINÖZÜ;AKDARI;AKDARI 13 SOKAK;sokak;113448430
HATAY;ALTINÖZÜ;AKDARI;AKDARI 2 SOKAK;sokak;982711250
HATAY;ALTINÖZÜ;AKDARI;AKDARI 25 SOKAK;sokak;188674400
HATAY;ALTINÖZÜ;AKDARI;AKDARI 7 SOKAK;sokak;130830760
HATAY;ALTINÖZÜ;AKDARI;AKDARI SOKAK;sokak;85923
HATAY;ALTINÖZÜ;AKDARI;BERDİYE MEVKİ SOKAK;sokak;86511
HATAY;ALTINÖZÜ;AKDARI;YUNUSHANI 35 SOKAK;sokak;965947751
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 14 SOKAK;sokak;711295890
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 15 SOKAK;sokak;643244110
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 20 SOKAK;sokak;563905290
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 21 SOKAK;sokak;159201190
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 24 SOKAK;sokak;538853310
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 25 SOKAK;sokak;440169960
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 26 SOKAK;sokak;306520770
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 27 SOKAK;sokak;521180310
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 30 SOKAK;sokak;429473660
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT 33 SOKAK;sokak;699841360
HATAY;ALTINÖZÜ;ALAKENT;ALAKENT SOKAK;sokak;213562
HATAY;ALTINÖZÜ;ALAKENT;KARŞIYAKA 122 SOKAK;sokak;378239781
HATAY;ALTINÖZÜ;ALTINKAYA;1.PAŞA ÇIKMAZI SOKAK;sokak;571074
HATAY;ALTINÖZÜ;ALTINKAYA;2.PAŞA ÇIKMAZI SOKAK;sokak;386113
HATAY;ALTINÖZÜ;ALTINKAYA;3.PAŞA ÇIKMAZI SOKAK;sokak;386152
HATAY;ALTINÖZÜ;ALTINKAYA;AÇIKGÖZLER ÇIKMAZI SOKAK;sokak;525822
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 1 SOKAK;sokak;913325850
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 10 SOKAK;sokak;195925260
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 12 SOKAK;sokak;101561070
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 13 SOKAK;sokak;876934870
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 14 SOKAK;sokak;536700630
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 15 SOKAK;sokak;372221140
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 16 SOKAK;sokak;784375480
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 17 SOKAK;sokak;112650300
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 18 SOKAK;sokak;406222920
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 3 SOKAK;sokak;833820850
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 4 SOKAK;sokak;519473070
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 5 SOKAK;sokak;884760070
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 6 SOKAK;sokak;150919030
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 7 SOKAK;sokak;573086940
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 8 SOKAK;sokak;769748490
HATAY;ALTINÖZÜ;ALTINKAYA;ALTINKAYA 9 SOKAK;sokak;282309770
HATAY;ALTINÖZÜ;ALTINKAYA;ATAYURDU 1 SOKAK;sokak;654941891
HATAY;ALTINÖZÜ;ALTINKAYA;AYVALIK SOKAK;sokak;574053
HATAY;ALTINÖZÜ;ALTINKAYA;BADEMLİ ÇIKMAZI SOKAK;sokak;524382
HATAY;ALTINÖZÜ;ALTINKAYA;BADEMLİK SOKAK;sokak;525828
HATAY;ALTINÖZÜ;ALTINKAYA;BAHÇELİ 1 SOKAK;sokak;582119
HATAY;ALTINÖZÜ;ALTINKAYA;BELEDİYE CADDE;cadde;73141
HATAY;ALTINÖZÜ;ALTINKAYA;BOZKELLE SOKAK;sokak;824822
HATAY;ALTINÖZÜ;ALTINKAYA;BÜLBÜL ÇIKMAZI SOKAK;sokak;545481
HATAY;ALTINÖZÜ;ALTINKAYA;CAMİ ÇIKMAZI SOKAK;sokak;593876
HATAY;ALTINÖZÜ;ALTINKAYA;CAMİ SOKAK;sokak;595974
HATAY;ALTINÖZÜ;ALTINKAYA;CENGİZHAN CADDE;cadde;139395
HATAY;ALTINÖZÜ;ALTINKAYA;ÇINAR SOKAK;sokak;525819
HATAY;ALTINÖZÜ;ALTINKAYA;ÇİRKİN ÇIKMAZI SOKAK;sokak;592914
HATAY;ALTINÖZÜ;ALTINKAYA;ELMALIK SOKAK;sokak;533650
HATAY;ALTINÖZÜ;ALTINKAYA;FATİH SULTAN MEHMET (PASLIKAYA) CADDE;cadde;73142
HATAY;ALTINÖZÜ;ALTINKAYA;FATİH SULTAN MEHMET CADDE;cadde;525712
HATAY;ALTINÖZÜ;ALTINKAYA;FATMAEBE ÇIKMAZI SOKAK;sokak;549034
HATAY;ALTINÖZÜ;ALTINKAYA;GÖKALP SOKAK;sokak;592917
HATAY;ALTINÖZÜ;ALTINKAYA;HACI AHMET ÇIKMAZI SOKAK;sokak;549488
HATAY;ALTINÖZÜ;ALTINKAYA;HACI ALİ SOKAK;sokak;522598
HATAY;ALTINÖZÜ;ALTINKAYA;HACI İLHAM ÇIKMAZI SOKAK;sokak;593873
HATAY;ALTINÖZÜ;ALTINKAYA;HÜSEYİNYURTSEVER ÇIKMAZI SOKAK;sokak;307432
