il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
IĞDIR;ARALIK;ADETLİ - HIDIRLI;HIDIRLI KÜME EVLER;sokak;604920
IĞDIR;ARALIK;ADETLİ NA;ADETLİ KÜME EVLER;sokak;603179
IĞDIR;ARALIK;ARAS;217 SOKAK;sokak;256602750
IĞDIR;ARALIK;ARAS;303 SOKAK;sokak;101142471
IĞDIR;ARALIK;ARAS;304 SOKAK;sokak;543924850
IĞDIR;ARALIK;ARAS;305 SOKAK;sokak;184127
IĞDIR;ARALIK;ARAS;306 SOKAK;sokak;249597771
IĞDIR;ARALIK;ARAS;307 SOKAK;sokak;687049721
IĞDIR;ARALIK;ARAS;318 SOKAK;sokak;569624751
IĞDIR;ARALIK;ARAS;319 SOKAK;sokak;459771621
IĞDIR;ARALIK;ARAS;330 SOKAK;sokak;531174461
IĞDIR;ARALIK;ARAS;331 SOKAK;sokak;508214530
IĞDIR;ARALIK;ARAS;332 SOKAK;sokak;473152471
IĞDIR;ARALIK;ARAS;341 SOKAK;sokak;922478730
IĞDIR;ARALIK;ARAS;342 SOKAK;sokak;316945080
IĞDIR;ARALIK;ARAS;343 SOKAK;sokak;699859430
IĞDIR;ARALIK;ARAS;ALPASLAN CADDE;cadde;372272
IĞDIR;ARALIK;ARAS;BAYAT SOKAK;sokak;184126
IĞDIR;ARALIK;ARAS;BÜLBÜL SOKAK;sokak;184130
IĞDIR;ARALIK;ARAS;FİKRET EKİNCİ SOKAK;sokak;412918
IĞDIR;ARALIK;ARAS;GÜNEŞ SOKAK;sokak;184128
IĞDIR;ARALIK;ARAS;İNCİ SOKAK;sokak;184129
IĞDIR;ARALIK;ARAS;İSTİKLAL SOKAK;sokak;849396
IĞDIR;ARALIK;ARAS;KANAL ÜSTÜ SOKAK;sokak;861104341
IĞDIR;ARALIK;ARAS;MEHMETEMİN RESULZADE CADDE;cadde;412920
IĞDIR;ARALIK;ARAS;NEHIR SOKAK;sokak;256470250
IĞDIR;ARALIK;ARAS;SELEKTÖR SOKAK;sokak;412919
IĞDIR;ARALIK;ARAS;SERHAT SOKAK;sokak;450454
IĞDIR;ARALIK;AŞAĞIARATAN NA;AŞAĞIARATAN KÜME EVLER;sokak;546979
IĞDIR;ARALIK;AŞAĞIÇAMURLU - ORTALAR;ORTALAR KÜME EVLER;sokak;598546
IĞDIR;ARALIK;AŞAĞIÇAMURLU NA;AŞAĞIÇAMURLU KÜME EVLER;sokak;465000
IĞDIR;ARALIK;AŞAĞIÇİFTLİKKÖY NA;AŞAĞIÇİFTLİK KÜME EVLER;sokak;543535
IĞDIR;ARALIK;AŞAĞITOPRAKLI NA;AŞAĞITOPRAKLI KÜME EVLER;sokak;508532
IĞDIR;ARALIK;BABACAN NA;BABACAN KÜME EVLER;sokak;267750
IĞDIR;ARALIK;EMİNCE - TİGEM;TİGEM KÜME EVLER;sokak;635622
IĞDIR;ARALIK;EMİNCE NA;EMİNCE KÜME EVLER;sokak;549718
IĞDIR;ARALIK;GÖDEKLİ NA;GÖDEKLİ KÜME EVLER;sokak;520166
IĞDIR;ARALIK;HACIAĞA NA;HACIAĞA KÜME EVLER;sokak;599328
IĞDIR;ARALIK;HASANHAN NA;HASANHAN KÜME EVLER;sokak;603102
IĞDIR;ARALIK;KARAHACILI - ESENKAYA;ESENKAYA KÜME EVLER;sokak;914294
IĞDIR;ARALIK;KARAHACILI NA;KARAHACILI KÜME EVLER;sokak;604169
IĞDIR;ARALIK;KARASU;136 SOKAK;sokak;905658211
IĞDIR;ARALIK;KARASU;217 SOKAK;sokak;256602751
IĞDIR;ARALIK;KARASU;406 SOKAK;sokak;137917440
