il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1001. SOKAK;sokak;1270579
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1009. SOKAK;sokak;1356909
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1013. SOKAK;sokak;1356917
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1015. SOKAK;sokak;635180470
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1016. SOKAK;sokak;1356923
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1020. SOKAK;sokak;1364691
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1021. SOKAK;sokak;1364713
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1023. SOKAK;sokak;1365633
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1024. SOKAK;sokak;1365659
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1025. SOKAK;sokak;1365661
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1026. SOKAK;sokak;1365663
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1027. SOKAK;sokak;482585600
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1028. SOKAK;sokak;940754051
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1029. SOKAK;sokak;860787
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1030. SOKAK;sokak;127855311
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1031. SOKAK;sokak;106650731
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1032. SOKAK;sokak;238228441
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1033. SOKAK;sokak;222783601
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1034. SOKAK;sokak;317647721
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1035. SOKAK;sokak;619343031
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1036. SOKAK;sokak;733590021
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1037. SOKAK;sokak;148274141
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1038. SOKAK;sokak;941753950
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1039. SOKAK;sokak;142800281
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1040. SOKAK;sokak;577872511
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1041. SOKAK;sokak;375785981
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1042. SOKAK;sokak;859147111
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1043. SOKAK;sokak;626371450
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;1044. SOKAK;sokak;1356921
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AFŞİN BEY CADDE;cadde;252294
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AKAR SOKAK;sokak;1356911
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AKSAKAL SOKAK;sokak;501644
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AKTAN SOKAK;sokak;860798
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AŞIK HACI YENER SOKAK;sokak;1356893
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AŞIK HÜSEYİN SOKAK;sokak;1356899
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AŞIK İSA BİNBOĞA SOKAK;sokak;1356905
KAHRAMANMARAŞ;AFŞİN;AFŞİNBEY;AŞIK KUL HAMİT KOCA SOKAK;sokak;1356895
