il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KARABÜK;EFLANİ;ABAKOLU - EKŞİOĞLU;EKŞİOĞLU KÜME EVLER;sokak;537381
KARABÜK;EFLANİ;ABAKOLU - KULOĞLU;KULOĞLU KÜME EVLER;sokak;541049
KARABÜK;EFLANİ;ABAKOLU - MERKEZ;MERKEZ KÜME EVLER;sokak;537588
KARABÜK;EFLANİ;ABAKOLU - ÖRENCİK;ÖRENCİK KÜME EVLER;sokak;542378
KARABÜK;EFLANİ;ADAY - ÇIRAKLI;ÇIRAKLI KÜME EVLER;sokak;656470
KARABÜK;EFLANİ;ADAY - MERKEZ;MERKEZ KÜME EVLER;sokak;653995
KARABÜK;EFLANİ;ADAY - SARIKAYAALTI;SARIKAYAALTI KÜME EVLER;sokak;657846
KARABÜK;EFLANİ;ADAY - ŞÜKÜRŞÜK;ŞÜKÜRŞÜK KÜME EVLER;sokak;656465
KARABÜK;EFLANİ;AFŞAR - ASLANLAR;ASLANLAR KÜME EVLER;sokak;552381
KARABÜK;EFLANİ;AFŞAR - BERBEROĞLU;BERBEROĞLU KÜME EVLER;sokak;358494
KARABÜK;EFLANİ;AFŞAR - BEZİKLER;BEZİKLER KÜME EVLER;sokak;563087
KARABÜK;EFLANİ;AFŞAR - KONAK;KONAK KÜME EVLER;sokak;550638
KARABÜK;EFLANİ;AKÇAKESE - AHMETCİ;AHMETCİ KÜME EVLER;sokak;501489
KARABÜK;EFLANİ;AKÇAKESE - BOSTANCI;BOSTANCI KÜME EVLER;sokak;499078
KARABÜK;EFLANİ;AKÇAKESE - DEREKÖY;DEREKÖY KÜME EVLER;sokak;501500
KARABÜK;EFLANİ;AKÇAKESE - MERKEZ;MERKEZ KÜME EVLER;sokak;498796
KARABÜK;EFLANİ;AKÖREN - KAYALAR;KAYALAR KÜME EVLER;sokak;545750
KARABÜK;EFLANİ;AKÖREN - MERKEZ;MERKEZ KÜME EVLER;sokak;547004
KARABÜK;EFLANİ;AKÖREN - NUMANOĞLU;NUMANOĞLU KÜME EVLER;sokak;545752
KARABÜK;EFLANİ;AKÖREN - VELİŞIHLAR;VELİŞIHLAR KÜME EVLER;sokak;545753
KARABÜK;EFLANİ;ALAÇAT - AŞAĞI;AŞAĞI KÜME EVLER;sokak;490103
KARABÜK;EFLANİ;ALAÇAT - KARAPINAR;KARAPINAR KÜME EVLER;sokak;492407
KARABÜK;EFLANİ;ALAÇAT - MERKEZ;MERKEZ KÜME EVLER;sokak;492381
KARABÜK;EFLANİ;ALPAGUT - HIDIRLI;HIDIRLI KÜME EVLER;sokak;550767
KARABÜK;EFLANİ;ALPAGUT - MERKEZ;MERKEZ KÜME EVLER;sokak;390475
KARABÜK;EFLANİ;BAĞLICA - ÇELEBİOĞLU;ÇELEBİOĞLU KÜME EVLER;sokak;307118
KARABÜK;EFLANİ;BAĞLICA - ÇELTEKLER;ÇELTEKLER KÜME EVLER;sokak;308884
KARABÜK;EFLANİ;BAĞLICA - ÇÖMLEKLER;ÇÖMLEKLER KÜME EVLER;sokak;544492
KARABÜK;EFLANİ;BAĞLICA - HESLEMOĞLU;HESLEMOĞLU KÜME EVLER;sokak;546919
KARABÜK;EFLANİ;BAĞLICA - KAHYAOĞLU;KÖYÜN KENDİSİ KÜME EVLER;sokak;850710
KARABÜK;EFLANİ;BAĞLICA - KENANLAR;KENANLAR KÜME EVLER;sokak;453636
KARABÜK;EFLANİ;BAĞLICA - MERKEZ;MERKEZ KÜME EVLER;sokak;325262
KARABÜK;EFLANİ;BAĞLICA - ORUÇLAR;ORUÇLAR KÜME EVLER;sokak;453632
KARABÜK;EFLANİ;BAĞLICA - RAHMANLAR;RAHMANLAR KÜME EVLER;sokak;319382
KARABÜK;EFLANİ;BAKIRCILAR - BİCCO;BİCCO KÜME EVLER;sokak;493868
KARABÜK;EFLANİ;BAKIRCILAR - KARABACAK;KARABACAK KÜME EVLER;sokak;497322
KARABÜK;EFLANİ;BAKIRCILAR - KAYKIOĞLU;KAYKIOĞLU KÜME EVLER;sokak;502368
KARABÜK;EFLANİ;BAKIRCILAR - MERKEZ;MERKEZ KÜME EVLER;sokak;494318
KARABÜK;EFLANİ;BAKIRCILAR - PONOOĞLU;PONOOĞLU KÜME EVLER;sokak;493870
KARABÜK;EFLANİ;BAKIRCILAR - SAĞIROĞLU;SAĞIROĞLU KÜME EVLER;sokak;499244
KARABÜK;EFLANİ;BAŞİĞDİR NA;KÖYÜN KENDİSİ KÜME EVLER;sokak;484606
KARABÜK;EFLANİ;BEDİL - GENCOĞLU;GENCOĞLU KÜME EVLER;sokak;514123
KARABÜK;EFLANİ;BEDİL - KARACAOĞLU;KARACAOĞLU KÜME EVLER;sokak;503467
KARABÜK;EFLANİ;BEDİL - KAYMAKCI;KAYMAKCI KÜME EVLER;sokak;502988
KARABÜK;EFLANİ;BEDİL - KÖLE;KÖLE KÜME EVLER;sokak;503545
KARABÜK;EFLANİ;BEDİL - MERKEZ;MERKEZ KÜME EVLER;sokak;504794
KARABÜK;EFLANİ;BEDİL - SAKALAR;SAKALAR KÜME EVLER;sokak;501650
KARABÜK;EFLANİ;BEDİL - YAZICIOĞLU;YAZICIOĞLU KÜME EVLER;sokak;509639
KARABÜK;EFLANİ;BOSTANCI - AVDAL;AVDAL KÜME EVLER;sokak;496445
KARABÜK;EFLANİ;BOSTANCI - CİLVER;CİLVER KÜME EVLER;sokak;500526
KARABÜK;EFLANİ;BOSTANCI - ÇİFTÇİLER;ÇİFTÇİLER KÜME EVLER;sokak;500521
KARABÜK;EFLANİ;BOSTANCI - KARAGÖZ;KARAGÖZ KÜME EVLER;sokak;492237
KARABÜK;EFLANİ;BOSTANCILAR - ALİFAKOĞLU;ALİFAKOĞLU KÜME EVLER;sokak;495684
KARABÜK;EFLANİ;BOSTANCILAR - BARAJ YANI;BARAJ YANI KÜME EVLER;sokak;504667
KARABÜK;EFLANİ;BOSTANCILAR - HALİLOĞLU;HALİLOĞLU KÜME EVLER;sokak;504665
KARABÜK;EFLANİ;BOSTANCILAR - İMAMOĞLU;İMAMOĞLU KÜME EVLER;sokak;506404
KARABÜK;EFLANİ;BOSTANCILAR - KIZILCALAR;KIZILCALAR KÜME EVLER;sokak;504663
KARABÜK;EFLANİ;BOSTANCILAR - KURTÇULAR;KURTÇULAR KÜME EVLER;sokak;503356
KARABÜK;EFLANİ;BOSTANCILAR - MERKEZ;MERKEZ KÜME EVLER;sokak;506417
KARABÜK;EFLANİ;BOSTANCILAR - SAĞIROĞLU;SAĞIROĞLU KÜME EVLER;sokak;394568
KARABÜK;EFLANİ;CANDAROĞULLARI;ADNAN MENDERES CADDE;cadde;443643
KARABÜK;EFLANİ;CANDAROĞULLARI;ATATÜRK CADDE;cadde;245051
KARABÜK;EFLANİ;CANDAROĞULLARI;BAHAR SOKAK;sokak;733326781
KARABÜK;EFLANİ;CANDAROĞULLARI;CAMİ SOKAK;sokak;90981
