il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KARAMAN;AYRANCI;AĞIZBOĞAZ NA;AĞIZBOĞAZ KÜME EVLER;sokak;499585
KARAMAN;AYRANCI;AĞIZBOĞAZ NA;AYRANCI EREĞLİ CADDE;cadde;82088378
KARAMAN;AYRANCI;AKPINAR - ANDIKARA;ANDIKARA KÜME EVLER;sokak;508358
KARAMAN;AYRANCI;AKPINAR - ANDIKARA;ÇATKÖY KÜME EVLER;sokak;12740502
KARAMAN;AYRANCI;AKPINAR NA;AKPINAR KÜME EVLER;sokak;491204
KARAMAN;AYRANCI;AMBAR NA;AMBAR KÜME EVLER;sokak;89316
KARAMAN;AYRANCI;BERENDİ - AKOLUK;AKOLUK KÜME EVLER;sokak;501891
KARAMAN;AYRANCI;BERENDİ - AKOLUK;BERENDİ KÜME EVLER;sokak;373945661
KARAMAN;AYRANCI;BERENDİ - AŞAĞI KIRAMANOĞLU;AŞAGI KIRAMANOĞLU KÜME EVLER;sokak;505269
KARAMAN;AYRANCI;BERENDİ - AŞAĞI KIRAMANOĞLU;KIRAMANOĞLU KÜME EVLER;sokak;74141870
KARAMAN;AYRANCI;BERENDİ - KEŞİR;KEŞİR KÜME EVLER;sokak;502129
KARAMAN;AYRANCI;BERENDİ - KIRAMANOĞLU;KIRAMAN KÜME EVLER;sokak;804307700
KARAMAN;AYRANCI;BERENDİ - KIRAMANOĞLU;KIRAMANOĞLU KÜME EVLER;sokak;502195
KARAMAN;AYRANCI;BERENDİ - SARIKAYA;SARIKAYA KÜME EVLER;sokak;77610947
KARAMAN;AYRANCI;BERENDİ NA;BERENDİ KÜME EVLER;sokak;505532
KARAMAN;AYRANCI;BERENDİ NA;KEŞİR KÜME EVLER;sokak;420365090
KARAMAN;AYRANCI;BÖĞECİK - SAVRAN;SAVRAN KÜME EVLER;sokak;86698
KARAMAN;AYRANCI;BÖĞECİK NA;BÖĞECİK KÜME EVLER;sokak;370610
KARAMAN;AYRANCI;BUĞDAYLI NA;BUĞDAYLI KÜME EVLER;sokak;492966
KARAMAN;AYRANCI;BUĞDAYLI NA;YARIKKUYU KÜME EVLER;sokak;261621800
KARAMAN;AYRANCI;BÜYÜKKORAŞ NA;BÜYÜKKORAŞ KÜME EVLER;sokak;478422
KARAMAN;AYRANCI;ÇATKÖY NA;ÇATKÖY KÜME EVLER;sokak;491240
KARAMAN;AYRANCI;DEDE;1002 SOKAK;sokak;1314163
KARAMAN;AYRANCI;DEDE;ARİF KAYALI SOKAK;sokak;998309
KARAMAN;AYRANCI;DEDE;ATATÜRK CADDE;cadde;246249
KARAMAN;AYRANCI;DEDE;AYRAN DEDE SOKAK;sokak;537996
KARAMAN;AYRANCI;DEDE;AYRANCI ERDEMLİ CADDE;cadde;1241145
KARAMAN;AYRANCI;DEDE;AYRANCI EREĞLİ CADDE;cadde;1241083
