il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KARS;AKYAKA;AKBULAK NA;AKBULAK KÜME EVLER;sokak;580277
KARS;AKYAKA;ASLANHANE NA;ASLAHANE KÜME EVLER;sokak;591375
KARS;AKYAKA;BOYUNTAŞ NA;BOYUNTAŞ KÜME EVLER;sokak;558501
KARS;AKYAKA;BÜYÜKDURDURAN NA;BÜYÜKDURDURAN KÜME EVLER;sokak;590467
KARS;AKYAKA;BÜYÜKPİRVELİ NA;BÜYÜKPİRVELİ KÜME EVLER;sokak;577420
KARS;AKYAKA;CAMUŞLU NA;CAMUŞLU KÜME EVLER;sokak;32520
KARS;AKYAKA;CEBECİ NA;CEBECİ KÜME EVLER;sokak;586312
KARS;AKYAKA;ÇETİNDURAK NA;ÇETİNDURAK KÜME EVLER;sokak;594856
KARS;AKYAKA;DEMİRKENT NA;DEMİRKENT KÜME EVLER;sokak;574532
KARS;AKYAKA;DURAKLI NA;DURAKLI KÜME EVLER;sokak;593362
KARS;AKYAKA;ESENYAYLA NA;ESENYAYLA KÖYÜN KENDİSİ KÜME EVLER;sokak;582329
KARS;AKYAKA;GEÇİTKÖY NA;GEÇİTKÖY KÜME EVLER;sokak;588573
KARS;AKYAKA;HACIPİRİ NA;HACIPİRİ KÜME EVLER;sokak;589187
KARS;AKYAKA;İBİŞKÖY NA;İBİŞKÖY KÜME EVLER;sokak;474534
KARS;AKYAKA;İNCEDERE NA;İNCEDERE KÜME EVLER;sokak;32523
KARS;AKYAKA;İSTASYON;1.DERE SOKAK;sokak;153557951
KARS;AKYAKA;İSTASYON;AHMET ARSLAN CADDE;cadde;253746
KARS;AKYAKA;İSTASYON;CUMHURİYET CADDE;cadde;246333
KARS;AKYAKA;İSTASYON;GEÇİT SOKAK;sokak;246334
KARS;AKYAKA;İSTASYON;IŞIKLAR SOKAK;sokak;246335
KARS;AKYAKA;İSTASYON;İSAMETTİN AKKURT CADDE;cadde;441750
KARS;AKYAKA;İSTASYON;KARAHAN SOKAK;sokak;246336
KARS;AKYAKA;İSTASYON;KAVAKLI SOKAK;sokak;496302210
KARS;AKYAKA;İSTASYON;LATİF AKÜZÜM SOKAK;sokak;253744
KARS;AKYAKA;İSTASYON;MEDET ALİBEYOĞLU CADDE;cadde;253741
KARS;AKYAKA;İSTASYON;MEHMET ERDAĞI SOKAK;sokak;359597
KARS;AKYAKA;İSTASYON;MUHAMMET TOPTAŞ SOKAK;sokak;246337
KARS;AKYAKA;İSTASYON;SUYOLU SOKAK;sokak;253742
KARS;AKYAKA;İSTASYON;TAŞDERE SOKAK;sokak;253743
KARS;AKYAKA;İSTASYON;YALI SOKAK;sokak;253745
KARS;AKYAKA;İSTASYON;YUSUF ZİYA AYRIM CADDE;cadde;359596
KARS;AKYAKA;KALKANKALE - AŞAĞI;KALKANKALE AŞAĞI KÖY BAĞLISI KÜME EVLER;sokak;32511
KARS;AKYAKA;KALKANKALE - YUKARI;KALKANKALE YUKARI KÖY BAĞLISI KÜME EVLER;sokak;367875
KARS;AKYAKA;KARAHAN NA;KARAHAN KÜME EVLER;sokak;471097
KARS;AKYAKA;KAYADÖVEN NA;KAYADÖVEN KÜME EVLER;sokak;582683
