il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KASTAMONU;ABANA;AKÇAM - AKÇAM(MACA);AKÇAM MACA KÜME EVLER;sokak;114689
KASTAMONU;ABANA;AKÇAM - ALİ KAHYA;ALİ KAHYA KÜME EVLER;sokak;486035
KASTAMONU;ABANA;AKÇAM - KUZGUN;KUZGUN KÜME EVLER;sokak;486033
KASTAMONU;ABANA;AKÇAM - MÜSELLİM;MÜSELLİM KÜME EVLER;sokak;114709
KASTAMONU;ABANA;AKÇAM - TARAKÇI;TARAKÇI KÜME EVLER;sokak;486032
KASTAMONU;ABANA;AKÇAM - TEPE;TEPE KÜME EVLER;sokak;115448
KASTAMONU;ABANA;AKÇAM - ZİRAATLIK;ZİRAATLIK KÜME EVLER;sokak;486031
KASTAMONU;ABANA;ALTIKULAÇ - ALTIKULAÇ (KADI);ALTIKULAÇ KADI KÜME EVLER;sokak;477678
KASTAMONU;ABANA;ALTIKULAÇ - ÇÖLMEK;ÇÖLMEK KÜME EVLER;sokak;477676
KASTAMONU;ABANA;ALTIKULAÇ - KERİM;KERİM KÜME EVLER;sokak;477680
KASTAMONU;ABANA;ALTIKULAÇ - KIŞLACIK;KIŞLACIK KÜME EVLER;sokak;477677
KASTAMONU;ABANA;ALTIKULAÇ - ORZA;ORZA KÜME EVLER;sokak;477545
KASTAMONU;ABANA;ALTIKULAÇ - PAŞA;PAŞA KÜME EVLER;sokak;474715
KASTAMONU;ABANA;BAĞLIK;1 SOKAK;sokak;530184
KASTAMONU;ABANA;BAĞLIK;1. 1. SOKAK;sokak;719659740
KASTAMONU;ABANA;BAĞLIK;1. CADDE;cadde;518518
KASTAMONU;ABANA;BAĞLIK;10 SOKAK;sokak;118181
KASTAMONU;ABANA;BAĞLIK;11 SOKAK;sokak;530351
KASTAMONU;ABANA;BAĞLIK;12 SOKAK;sokak;529121
KASTAMONU;ABANA;BAĞLIK;13 1. SOKAK;sokak;508568221
KASTAMONU;ABANA;BAĞLIK;13 SOKAK;sokak;529124
KASTAMONU;ABANA;BAĞLIK;14 SOKAK;sokak;541746
KASTAMONU;ABANA;BAĞLIK;15 SOKAK;sokak;530361
KASTAMONU;ABANA;BAĞLIK;16 SOKAK;sokak;535633
