il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KIRIKKALE;BAHŞILI;ATADÖNMEZ;1 KÜME EVLERİ KÜME EVLER;sokak;840575
KIRIKKALE;BAHŞILI;ATADÖNMEZ;101 SOKAK;sokak;541158
KIRIKKALE;BAHŞILI;ATADÖNMEZ;102 SOKAK;sokak;539930
KIRIKKALE;BAHŞILI;ATADÖNMEZ;103 SOKAK;sokak;539931
KIRIKKALE;BAHŞILI;ATADÖNMEZ;104 SOKAK;sokak;541159
KIRIKKALE;BAHŞILI;ATADÖNMEZ;105 SOKAK;sokak;529072
KIRIKKALE;BAHŞILI;ATADÖNMEZ;106 SOKAK;sokak;529491
KIRIKKALE;BAHŞILI;ATADÖNMEZ;107 SOKAK;sokak;529073
KIRIKKALE;BAHŞILI;ATADÖNMEZ;108 SOKAK;sokak;529074
KIRIKKALE;BAHŞILI;ATADÖNMEZ;109 SOKAK;sokak;533033
KIRIKKALE;BAHŞILI;ATADÖNMEZ;109/1 SOKAK;sokak;953791860
KIRIKKALE;BAHŞILI;ATADÖNMEZ;110 SOKAK;sokak;529075
KIRIKKALE;BAHŞILI;ATADÖNMEZ;110/1 SOKAK;sokak;279362280
KIRIKKALE;BAHŞILI;ATADÖNMEZ;111 SOKAK;sokak;533035
KIRIKKALE;BAHŞILI;ATADÖNMEZ;113 SOKAK;sokak;541161
KIRIKKALE;BAHŞILI;ATADÖNMEZ;114 SOKAK;sokak;539938
KIRIKKALE;BAHŞILI;ATADÖNMEZ;115 SOKAK;sokak;530406
KIRIKKALE;BAHŞILI;ATADÖNMEZ;116 SOKAK;sokak;541286
KIRIKKALE;BAHŞILI;ATADÖNMEZ;117 SOKAK;sokak;541288
KIRIKKALE;BAHŞILI;ATADÖNMEZ;118 SOKAK SOKAK;sokak;541289
KIRIKKALE;BAHŞILI;ATADÖNMEZ;119 SOKAK;sokak;538592
KIRIKKALE;BAHŞILI;ATADÖNMEZ;120 SOKAK;sokak;530407
KIRIKKALE;BAHŞILI;ATADÖNMEZ;121 SOKAK;sokak;536361
KIRIKKALE;BAHŞILI;ATADÖNMEZ;122 SOKAK;sokak;536362
