il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KIRKLARELİ;BABAESKİ;AĞAYERİ NA;AĞAYERİ KÜME EVLER;sokak;333966
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;BİSİKLETÇİ SOKAK;sokak;721439
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;BUKET SOKAK;sokak;451127
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;CAMİİ SOKAK;sokak;263951
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;ÇATAK SOKAK;sokak;263957
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;ÇATAK1 SOKAK;sokak;830675120
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;ÇAVDAR SOKAK;sokak;722289
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;ÇİĞDEM SOKAK;sokak;721870
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;DEMET SOKAK;sokak;263952
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;DEMİRYOLU CADDE;cadde;263953
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;ERGENE SOKAK;sokak;451128
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;FİDAN SOKAK;sokak;263954
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;GELİNCİK SOKAK;sokak;263955
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;İSİMSİZ16 SOKAK;sokak;316443391
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;KARANFİL SOKAK;sokak;451129
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;KARDELEN SOKAK;sokak;721436
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;KASAPLAR SOKAK;sokak;722290
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;MENEKŞE SOKAK;sokak;64704
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;SERA SOKAK;sokak;721438
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;SÜMBÜL SOKAK;sokak;64716
KIRKLARELİ;BABAESKİ;ALPULLU - GÜLBAHÇE;ZAMBAK SOKAK;sokak;263956
KIRKLARELİ;BABAESKİ;ALPULLU - ŞEKER;1. SOKAK;sokak;263968
