il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KIRŞEHİR;AKÇAKENT;AVANOĞLU - ÇÖKELEK;ÇÖKELEK KÜME EVLER;sokak;484580
KIRŞEHİR;AKÇAKENT;AVANOĞLU NA;AVANOĞLU KÜME EVLER;sokak;480303
KIRŞEHİR;AKÇAKENT;AYVALI NA;AYVALI KÜME EVLER;sokak;482244
KIRŞEHİR;AKÇAKENT;DEREFAKILI NA;DEREFAKILI KÜME EVLER;sokak;114958
KIRŞEHİR;AKÇAKENT;GÜLLÜHÜYÜK - HATUNKARA;HATUNKARA KÜME EVLER;sokak;488924
KIRŞEHİR;AKÇAKENT;GÜLLÜHÜYÜK NA;GÜLLÜHÜYÜK KÜME EVLER;sokak;480127
KIRŞEHİR;AKÇAKENT;HACIFAKILI NA;HACIFAKILI KÜME EVLER;sokak;475506
KIRŞEHİR;AKÇAKENT;HAMZABEY NA;HAMZABEY KÜME EVLER;sokak;479309
KIRŞEHİR;AKÇAKENT;HASANALİ NA;HASANALİ KÜME EVLER;sokak;483746
KIRŞEHİR;AKÇAKENT;KİLİMLİ NA;KİLİMLİ KÜME EVLER;sokak;473467
KIRŞEHİR;AKÇAKENT;KÖSEFAKILI NA;KÖSEFAKILI BUCAK MERKEZİ KÜME EVLER;sokak;114956
KIRŞEHİR;AKÇAKENT;KÜÇÜKABDİUŞAĞI NA;KÜÇÜKABDİUŞAĞI KÜME EVLER;sokak;485631
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;AHİ-1 SOKAK;sokak;261159
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;AHİ-2 SOKAK;sokak;441040
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;AHİ-3 SOKAK;sokak;261160
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;BAHÇELİ SOKAK;sokak;195527770
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;BAHÇELİ-1 SOKAK;sokak;261161
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;BAHÇELİ-2 SOKAK;sokak;441041
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;BATI SOKAK;sokak;202505281
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;CEVİZLİ SOKAK;sokak;165662751
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;KIRŞEHİR AKÇAKENT YOLU SOKAK;sokak;568722370
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;LALE SOKAK;sokak;261162
KIRŞEHİR;AKÇAKENT;MAHSENLİ - ALİEFENDİ;TEPEBAŞI SOKAK;sokak;241384551
KIRŞEHİR;AKÇAKENT;MAHSENLİ - KARŞIYAKA;AHİ-1 SOKAK;sokak;181102211
KIRŞEHİR;AKÇAKENT;MAHSENLİ - KARŞIYAKA;CEVİZLİ SOKAK;sokak;261163
KIRŞEHİR;AKÇAKENT;MAHSENLİ - KARŞIYAKA;ÇINARÇIK SOKAK;sokak;261165
KIRŞEHİR;AKÇAKENT;MAHSENLİ - KARŞIYAKA;GÜLTEPE SOKAK;sokak;261164
KIRŞEHİR;AKÇAKENT;MAHSENLİ - KARŞIYAKA;HARMANTEPE SOKAK;sokak;441042
KIRŞEHİR;AKÇAKENT;MAHSENLİ - TEPE;BATI SOKAK;sokak;261166
KIRŞEHİR;AKÇAKENT;MAHSENLİ - TEPE;ÇUBUKTARLA KÜME EVLER;sokak;194928001
KIRŞEHİR;AKÇAKENT;MAHSENLİ - TEPE;KUZEY SOKAK;sokak;261167
KIRŞEHİR;AKÇAKENT;MAHSENLİ - TEPE;TEPEBAŞI SOKAK;sokak;441043
KIRŞEHİR;AKÇAKENT;ÖDEMİŞLİ - DERE;DERE KÜME EVLER;sokak;371990
KIRŞEHİR;AKÇAKENT;ÖDEMİŞLİ NA;ÖDEMİŞLİ KÜME EVLER;sokak;481814
KIRŞEHİR;AKÇAKENT;ÖMERUŞAĞI NA;ÖMERUŞAĞI KÜME EVLER;sokak;479347
KIRŞEHİR;AKÇAKENT;POLATLI NA;POLATLI KÜME EVLER;sokak;474316
KIRŞEHİR;AKÇAKENT;SOLAKUŞAĞI NA;SOLAKUŞAĞI KÜME EVLER;sokak;485526
KIRŞEHİR;AKÇAKENT;ŞEHRİCEDİD;ATATÜRK CADDE;cadde;366973
KIRŞEHİR;AKÇAKENT;ŞEHRİCEDİD;ATATÜRK10 SOKAK;sokak;414095740
KIRŞEHİR;AKÇAKENT;ŞEHRİCEDİD;ATATÜRK11 SOKAK;sokak;201161580
KIRŞEHİR;AKÇAKENT;ŞEHRİCEDİD;ATATÜRK12 SOKAK;sokak;333250770
KIRŞEHİR;AKÇAKENT;ŞEHRİCEDİD;ATATÜRK4 SOKAK;sokak;212525310
