il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KOCAELİ;BAŞİSKELE;AKSIĞIN;AKSIĞIN MERKEZ MEVKİİ KÜME EVLER;sokak;367697
KOCAELİ;BAŞİSKELE;AKSIĞIN;HARMANSIRT MEVKİİ KÜME EVLER;sokak;707958
KOCAELİ;BAŞİSKELE;AKSIĞIN;KARAPINAR MEVKİİ KÜME EVLER;sokak;712266
KOCAELİ;BAŞİSKELE;AKSIĞIN;PARSIK MEVKİİ KÜME EVLER;sokak;478527
KOCAELİ;BAŞİSKELE;ALTINKENT;29 EKİM CADDE;cadde;307872
KOCAELİ;BAŞİSKELE;ALTINKENT;BAĞDAT CADDE;cadde;364719
KOCAELİ;BAŞİSKELE;ALTINKENT;CEMİYET SOKAK;sokak;554323
KOCAELİ;BAŞİSKELE;ALTINKENT;ÇAKIRLAR SOKAK;sokak;261635
KOCAELİ;BAŞİSKELE;ALTINKENT;DERELİ SOKAK;sokak;268809
KOCAELİ;BAŞİSKELE;ALTINKENT;DETAY SOKAK;sokak;543498
KOCAELİ;BAŞİSKELE;ALTINKENT;EFE SOKAK;sokak;552969
KOCAELİ;BAŞİSKELE;ALTINKENT;ERDEMLI SOKAK;sokak;554325
KOCAELİ;BAŞİSKELE;ALTINKENT;ESİNTİ SOKAK;sokak;271610
KOCAELİ;BAŞİSKELE;ALTINKENT;ESMERAY SOKAK;sokak;86157
KOCAELİ;BAŞİSKELE;ALTINKENT;FEVZİ ÇAKMAK CADDE;cadde;268830
KOCAELİ;BAŞİSKELE;ALTINKENT;GAZİ OSMAN PAŞA CADDE;cadde;269196
KOCAELİ;BAŞİSKELE;ALTINKENT;HAŞİM SOKAK;sokak;36846
KOCAELİ;BAŞİSKELE;ALTINKENT;IŞIL SOKAK;sokak;550009
KOCAELİ;BAŞİSKELE;ALTINKENT;İBNİ SİNA CADDE;cadde;542289
KOCAELİ;BAŞİSKELE;ALTINKENT;İSTIKLAL SOKAK;sokak;36845
KOCAELİ;BAŞİSKELE;ALTINKENT;KANAT SOKAK;sokak;547388
KOCAELİ;BAŞİSKELE;ALTINKENT;KOCATEPE CADDE;cadde;309004
KOCAELİ;BAŞİSKELE;ALTINKENT;KORAL SOKAK;sokak;195651591
KOCAELİ;BAŞİSKELE;ALTINKENT;MESUT SOKAK;sokak;316601
KOCAELİ;BAŞİSKELE;ALTINKENT;NADİDE SOKAK;sokak;545214
KOCAELİ;BAŞİSKELE;ALTINKENT;NECİP FAZIL CADDE;cadde;115156161
KOCAELİ;BAŞİSKELE;ALTINKENT;NEFER SOKAK;sokak;548357
KOCAELİ;BAŞİSKELE;ALTINKENT;ÖZKARAMAN SOKAK;sokak;264146
KOCAELİ;BAŞİSKELE;ALTINKENT;REİS SOKAK;sokak;36847
KOCAELİ;BAŞİSKELE;ALTINKENT;SARI SOKAK;sokak;260172
KOCAELİ;BAŞİSKELE;ALTINKENT;SEYRAN SOKAK;sokak;370914
KOCAELİ;BAŞİSKELE;ALTINKENT;SÜLEYMAN ÇELEBİ CADDE;cadde;269573
KOCAELİ;BAŞİSKELE;ALTINKENT;ŞAFAK SOKAK;sokak;260946
KOCAELİ;BAŞİSKELE;ALTINKENT;TAÇ SOKAK;sokak;545217
KOCAELİ;BAŞİSKELE;ALTINKENT;TANTAOĞLU CADDE;cadde;89753198
KOCAELİ;BAŞİSKELE;ALTINKENT;ULAŞ SOKAK;sokak;556718
KOCAELİ;BAŞİSKELE;ALTINKENT;ZİRVE SOKAK;sokak;933238
KOCAELİ;BAŞİSKELE;ATAKENT;17 AĞUSTOS CADDE;cadde;479443
KOCAELİ;BAŞİSKELE;ATAKENT;ARZU SOKAK;sokak;886218
KOCAELİ;BAŞİSKELE;ATAKENT;ATAYURT CADDE;cadde;480770
KOCAELİ;BAŞİSKELE;ATAKENT;AZRA SOKAK;sokak;486820
KOCAELİ;BAŞİSKELE;ATAKENT;BARANSEL SOKAK;sokak;886240
KOCAELİ;BAŞİSKELE;ATAKENT;BAYSAL SOKAK;sokak;886246
KOCAELİ;BAŞİSKELE;ATAKENT;BENAN SOKAK;sokak;886249
KOCAELİ;BAŞİSKELE;ATAKENT;CEPHE SOKAK;sokak;113254791
KOCAELİ;BAŞİSKELE;ATAKENT;CEVIZLIK CADDE;cadde;490358
KOCAELİ;BAŞİSKELE;ATAKENT;CİRİTOĞLU SOKAK;sokak;886244
KOCAELİ;BAŞİSKELE;ATAKENT;CUDİBEY MEKTEP SOKAK;sokak;886223
KOCAELİ;BAŞİSKELE;ATAKENT;ÇAVDAR SOKAK;sokak;886232
KOCAELİ;BAŞİSKELE;ATAKENT;D-130 KARAYOLU CADDE;cadde;493379
KOCAELİ;BAŞİSKELE;ATAKENT;DENİZCAN SOKAK;sokak;886233
KOCAELİ;BAŞİSKELE;ATAKENT;DESTİNA SOKAK;sokak;886242
KOCAELİ;BAŞİSKELE;ATAKENT;DİLRUBA SOKAK;sokak;886247
KOCAELİ;BAŞİSKELE;ATAKENT;ERKUT HOCA SOKAK;sokak;886224
KOCAELİ;BAŞİSKELE;ATAKENT;FERAY SOKAK;sokak;886241
KOCAELİ;BAŞİSKELE;ATAKENT;FERHAT SOKAK;sokak;489097
KOCAELİ;BAŞİSKELE;ATAKENT;FULDEN SOKAK;sokak;878578
KOCAELİ;BAŞİSKELE;ATAKENT;GAZANFER BİLGE CADDE;cadde;480494
KOCAELİ;BAŞİSKELE;ATAKENT;GECE SOKAK;sokak;995784451
KOCAELİ;BAŞİSKELE;ATAKENT;HALIDE EDIP ADIVAR SOKAK;sokak;873850
KOCAELİ;BAŞİSKELE;ATAKENT;HATUNCUK SOKAK;sokak;886256
KOCAELİ;BAŞİSKELE;ATAKENT;HAZAROĞLU SOKAK;sokak;886255
KOCAELİ;BAŞİSKELE;ATAKENT;IRAZ SOKAK;sokak;886243
KOCAELİ;BAŞİSKELE;ATAKENT;İZGİ SOKAK;sokak;886228
KOCAELİ;BAŞİSKELE;ATAKENT;JÜLİDE SOKAK;sokak;886231
KOCAELİ;BAŞİSKELE;ATAKENT;KOLEJ CADDE;cadde;823394
KOCAELİ;BAŞİSKELE;ATAKENT;KONAKÇI SOKAK;sokak;886250
KOCAELİ;BAŞİSKELE;ATAKENT;KÖSEOĞLU SOKAK;sokak;886257
KOCAELİ;BAŞİSKELE;ATAKENT;MELİKE SOKAK;sokak;886219
KOCAELİ;BAŞİSKELE;ATAKENT;MÜBERRA SOKAK;sokak;886235
KOCAELİ;BAŞİSKELE;ATAKENT;NARİFE HANIM SOKAK;sokak;886229
KOCAELİ;BAŞİSKELE;ATAKENT;OKTAR SOKAK;sokak;886238
KOCAELİ;BAŞİSKELE;ATAKENT;OYTUN SOKAK;sokak;886239
KOCAELİ;BAŞİSKELE;ATAKENT;RUMEYSA SOKAK;sokak;886245
KOCAELİ;BAŞİSKELE;ATAKENT;RÜZGARGÜLÜ SOKAK;sokak;886222
KOCAELİ;BAŞİSKELE;ATAKENT;SARAÇOĞLU CADDE;cadde;493115
KOCAELİ;BAŞİSKELE;ATAKENT;ŞADIRVAN SOKAK;sokak;886254
KOCAELİ;BAŞİSKELE;ATAKENT;ŞAMPİYON DEDE SOKAK;sokak;847608
KOCAELİ;BAŞİSKELE;ATAKENT;ŞAYAN SOKAK;sokak;886237
KOCAELİ;BAŞİSKELE;ATAKENT;ŞENTÜRK SOKAK;sokak;886236
KOCAELİ;BAŞİSKELE;ATAKENT;TÜRK SOKAK;sokak;886251
KOCAELİ;BAŞİSKELE;ATAKENT;VATAN CADDE;cadde;823374
KOCAELİ;BAŞİSKELE;ATAKENT;YAKIN SOKAK;sokak;912353
KOCAELİ;BAŞİSKELE;ATAKENT;YAVRUKUŞ SOKAK;sokak;881210
KOCAELİ;BAŞİSKELE;ATAKENT;ZÜBEYDE HANIM CADDE;cadde;495134
KOCAELİ;BAŞİSKELE;AYDINKENT;14.ADA SOKAK;sokak;765740
KOCAELİ;BAŞİSKELE;AYDINKENT;19.ADA SOKAK;sokak;765741
KOCAELİ;BAŞİSKELE;AYDINKENT;CANDAN SOKAK;sokak;362484
KOCAELİ;BAŞİSKELE;AYDINKENT;CİHAN SOKAK;sokak;772645
KOCAELİ;BAŞİSKELE;AYDINKENT;ÇUHA ÇİÇEĞİ SOKAK;sokak;772648
KOCAELİ;BAŞİSKELE;AYDINKENT;EŞREFBİTLİS CADDE;cadde;772643
KOCAELİ;BAŞİSKELE;AYDINKENT;GÜLTEKİN SOKAK;sokak;765739
