il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
KONYA;AHIRLI;AKKİSE;26612. SOKAK;sokak;1069278
KONYA;AHIRLI;AKKİSE;26616. SOKAK;sokak;1069286
KONYA;AHIRLI;AKKİSE;26617. SOKAK;sokak;1069288
KONYA;AHIRLI;AKKİSE;26619. SOKAK;sokak;1069292
KONYA;AHIRLI;AKKİSE;26620. SOKAK;sokak;1069294
KONYA;AHIRLI;AKKİSE;26621. SOKAK;sokak;1069296
KONYA;AHIRLI;AKKİSE;26622. SOKAK;sokak;1069298
KONYA;AHIRLI;AKKİSE;26623. SOKAK;sokak;1069300
KONYA;AHIRLI;AKKİSE;26624. SOKAK;sokak;1069302
KONYA;AHIRLI;AKKİSE;26625. SOKAK;sokak;1069304
KONYA;AHIRLI;AKKİSE;26626. SOKAK;sokak;1069306
KONYA;AHIRLI;AKKİSE;26627. SOKAK;sokak;1069308
KONYA;AHIRLI;AKKİSE;26628. SOKAK;sokak;1069310
KONYA;AHIRLI;AKKİSE;26641. SOKAK;sokak;1102269
KONYA;AHIRLI;AKKİSE;26642. SOKAK;sokak;1069340
KONYA;AHIRLI;AKKİSE;26643. SOKAK;sokak;1069342
KONYA;AHIRLI;AKKİSE;26644. SOKAK;sokak;1069344
KONYA;AHIRLI;AKKİSE;26645. SOKAK;sokak;1069346
KONYA;AHIRLI;AKKİSE;26672. SOKAK;sokak;1517663
KONYA;AHIRLI;AKKİSE;AKKİSE CADDE;cadde;1102309
KONYA;AHIRLI;ALİÇERÇİ;26800. SOKAK;sokak;1031729
KONYA;AHIRLI;ALİÇERÇİ;26801. SOKAK;sokak;1031731
KONYA;AHIRLI;ALİÇERÇİ;26802. SOKAK;sokak;1031733
KONYA;AHIRLI;ALİÇERÇİ;26803. SOKAK;sokak;1031735
KONYA;AHIRLI;ALİÇERÇİ;26804. SOKAK;sokak;1031737
KONYA;AHIRLI;ALİÇERÇİ;26805. SOKAK;sokak;1050663
KONYA;AHIRLI;ALİÇERÇİ;26806. SOKAK;sokak;1069398
KONYA;AHIRLI;ALİÇERÇİ;26807. SOKAK;sokak;1050667
KONYA;AHIRLI;ALİÇERÇİ;26808. SOKAK;sokak;802273581
KONYA;AHIRLI;ALİÇERÇİ;26950. SOKAK;sokak;1404411
KONYA;AHIRLI;ALİÇERÇİ;26952. SOKAK;sokak;1050671
KONYA;AHIRLI;ALİÇERÇİ;26954. SOKAK;sokak;1404415
KONYA;AHIRLI;ALİÇERÇİ;27050. SOKAK;sokak;1404409
KONYA;AHIRLI;ALİÇERÇİ;ALİÇERÇİ CADDE;cadde;1031727
KONYA;AHIRLI;ALİÇERÇİ;BOZKIR SEYDISEHIR CADDE;cadde;1069400
KONYA;AHIRLI;ALİÇERÇİ;DEMİRCİLER CADDE;cadde;1404413
