il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
MALATYA;AKÇADAĞ;AKSARAY;AKSARAY KÜME EVLER;sokak;535643
MALATYA;AKÇADAĞ;AKSARAY;HAVAALANI BULVAR;sokak;1498165
MALATYA;AKÇADAĞ;AKSÜT;AKSÜT KÜME EVLER;sokak;22738
MALATYA;AKÇADAĞ;AKSÜT;AKSÜT TOKİ SOKAK;sokak;518840701
MALATYA;AKÇADAĞ;AKTEPE;418 SOKAK;sokak;257677651
MALATYA;AKÇADAĞ;AKTEPE;420 SOKAK;sokak;818573770
MALATYA;AKÇADAĞ;AKTEPE;AKEVLER SOKAK;sokak;1141123
MALATYA;AKÇADAĞ;AKTEPE;AKPINAR KÜME EVLER;sokak;303988
MALATYA;AKÇADAĞ;AKTEPE;AKTEPE 1 SOKAK;sokak;555882481
MALATYA;AKÇADAĞ;AKTEPE;AKTEPE 2 SOKAK;sokak;917815591
MALATYA;AKÇADAĞ;AKTEPE;DEĞİRMENLER CADDE;cadde;303990
MALATYA;AKÇADAĞ;AKTEPE;DEĞİRMENLER2 SOKAK;sokak;779442541
MALATYA;AKÇADAĞ;AKTEPE;HECEK KÜME EVLER;sokak;303991
MALATYA;AKÇADAĞ;AKTEPE;ŞEHİT ALPER SOKAK;sokak;531023
MALATYA;AKÇADAĞ;AKTEPE;ŞEHİT ALPER1 SOKAK;sokak;641139131
MALATYA;AKÇADAĞ;AKTEPE;ŞEHİT POLİS CANDAŞ KAPLAN CADDE;cadde;636321520
MALATYA;AKÇADAĞ;ALİÇERİ;ALİÇERİ KÜME EVLER;sokak;552947
MALATYA;AKÇADAĞ;ALİÇERİ;ALİÇERİ TOKİ SOKAK;sokak;455215981
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU KÜME EVLER;sokak;498474
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU1 SOKAK;sokak;117060820
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU2 SOKAK;sokak;743586071
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU3 SOKAK;sokak;578773750
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU4 SOKAK;sokak;144093461
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU5 SOKAK;sokak;847963411
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU6 SOKAK;sokak;517658081
MALATYA;AKÇADAĞ;ALTUNLU;ALTUNLU7 SOKAK;sokak;685054111
MALATYA;AKÇADAĞ;ANCAR;ANCAR TOKİ 1. SOKAK;sokak;544023671
