il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
MANİSA;AHMETLİ;ALAHIDIR;410 SOKAK;sokak;1488185
MANİSA;AHMETLİ;ALAHIDIR;411 SOKAK;sokak;1488187
MANİSA;AHMETLİ;ALAHIDIR;412 SOKAK;sokak;1488189
MANİSA;AHMETLİ;ALAHIDIR;413 SOKAK;sokak;1488211
MANİSA;AHMETLİ;ALAHIDIR;414 SOKAK;sokak;1488213
MANİSA;AHMETLİ;ALAHIDIR;415 SOKAK;sokak;1488215
MANİSA;AHMETLİ;ALAHIDIR;416 SOKAK;sokak;1488217
MANİSA;AHMETLİ;ALAHIDIR;417 SOKAK;sokak;1488219
MANİSA;AHMETLİ;ALAHIDIR;418 SOKAK;sokak;1488221
MANİSA;AHMETLİ;ALAHIDIR;419 SOKAK;sokak;1488223
MANİSA;AHMETLİ;ALAHIDIR;420 SOKAK;sokak;1488225
MANİSA;AHMETLİ;ALAHIDIR;421 SOKAK;sokak;1488227
MANİSA;AHMETLİ;ALAHIDIR;422 SOKAK;sokak;1488229
MANİSA;AHMETLİ;ALAHIDIR;423 SOKAK;sokak;1488193
MANİSA;AHMETLİ;ALAHIDIR;424 SOKAK;sokak;1488195
MANİSA;AHMETLİ;ALAHIDIR;425 SOKAK;sokak;1488197
MANİSA;AHMETLİ;ALAHIDIR;426 SOKAK;sokak;1488199
MANİSA;AHMETLİ;ALAHIDIR;427 SOKAK;sokak;1488201
MANİSA;AHMETLİ;ALAHIDIR;428 SOKAK;sokak;1488203
MANİSA;AHMETLİ;ALAHIDIR;429 SOKAK;sokak;1488205
MANİSA;AHMETLİ;ALAHIDIR;430 SOKAK;sokak;1488207
MANİSA;AHMETLİ;ALAHIDIR;431 SOKAK;sokak;1488209
MANİSA;AHMETLİ;ALAHIDIR;432 SOKAK;sokak;1488251
MANİSA;AHMETLİ;ALAHIDIR;433 SOKAK;sokak;1488253
MANİSA;AHMETLİ;ALAHIDIR;434 SOKAK;sokak;1488255
MANİSA;AHMETLİ;ALAHIDIR;435 SOKAK;sokak;1488257
MANİSA;AHMETLİ;ALAHIDIR;436 SOKAK;sokak;1488259
MANİSA;AHMETLİ;ALAHIDIR;437 SOKAK;sokak;1488261
MANİSA;AHMETLİ;ALAHIDIR;438 SOKAK;sokak;1488239
MANİSA;AHMETLİ;ALAHIDIR;439 SOKAK;sokak;1488241
MANİSA;AHMETLİ;ALAHIDIR;440 SOKAK;sokak;1488237
MANİSA;AHMETLİ;ALAHIDIR;441 SOKAK;sokak;1488243
MANİSA;AHMETLİ;ALAHIDIR;442 SOKAK;sokak;1488235
MANİSA;AHMETLİ;ALAHIDIR;443 SOKAK;sokak;1488245
MANİSA;AHMETLİ;ALAHIDIR;444 SOKAK;sokak;1488263
MANİSA;AHMETLİ;ALAHIDIR;445 SOKAK;sokak;1488247
MANİSA;AHMETLİ;ALAHIDIR;ALAHIDIR. MEYDAN;sokak;492261
MANİSA;AHMETLİ;ALAHIDIR;BADEM ALAHIDIR BULVAR;sokak;1488307
MANİSA;AHMETLİ;ALAHIDIR;BAHÇECİK ALAHIDIR CADDE;cadde;301229980
MANİSA;AHMETLİ;ALAHIDIR;HALİLKAHYA ALAHIDIR CADDE;cadde;1488305
MANİSA;AHMETLİ;ALAHIDIR;KARACABEY CADDE;cadde;1488309
MANİSA;AHMETLİ;ALTIEYLÜL;AKASYA SOKAK;sokak;296315
MANİSA;AHMETLİ;ALTIEYLÜL;AKSU SOKAK;sokak;296316
MANİSA;AHMETLİ;ALTIEYLÜL;ANAFARTALAR CADDE;cadde;296294
MANİSA;AHMETLİ;ALTIEYLÜL;AŞIK VEYSEL SOKAK;sokak;296296
MANİSA;AHMETLİ;ALTIEYLÜL;ATATÜRK BULVAR;sokak;296295
MANİSA;AHMETLİ;ALTIEYLÜL;AY SOKAK;sokak;459518
MANİSA;AHMETLİ;ALTIEYLÜL;BAĞIMSIZLAR SOKAK;sokak;296298
MANİSA;AHMETLİ;ALTIEYLÜL;BARIŞ SOKAK;sokak;296297
MANİSA;AHMETLİ;ALTIEYLÜL;BELEDİYE CİVARI SOKAK;sokak;296299
MANİSA;AHMETLİ;ALTIEYLÜL;ÇAY SOKAK;sokak;296312
MANİSA;AHMETLİ;ALTIEYLÜL;ÇINAR SOKAK;sokak;459521
MANİSA;AHMETLİ;ALTIEYLÜL;ÇOBAN SOKAK;sokak;296317
MANİSA;AHMETLİ;ALTIEYLÜL;DAR SOKAK;sokak;296300
MANİSA;AHMETLİ;ALTIEYLÜL;DEDEOĞLU SOKAK;sokak;296301
MANİSA;AHMETLİ;ALTIEYLÜL;DEMİRCİLER CADDE;cadde;459519
MANİSA;AHMETLİ;ALTIEYLÜL;ESKİ PTT SOKAK;sokak;296302
MANİSA;AHMETLİ;ALTIEYLÜL;GÜL SOKAK;sokak;296303
MANİSA;AHMETLİ;ALTIEYLÜL;GÜNEŞ SOKAK;sokak;296304
MANİSA;AHMETLİ;ALTIEYLÜL;HÜKÜMET CADDE;cadde;296305
MANİSA;AHMETLİ;ALTIEYLÜL;İSTASYON CADDE;cadde;296313
MANİSA;AHMETLİ;ALTIEYLÜL;KARAKOL SOKAK;sokak;296306
MANİSA;AHMETLİ;ALTIEYLÜL;KIŞLA SOKAK;sokak;296307
MANİSA;AHMETLİ;ALTIEYLÜL;MEVLANA SOKAK;sokak;459520
MANİSA;AHMETLİ;ALTIEYLÜL;ORTA SOKAK;sokak;296308
MANİSA;AHMETLİ;ALTIEYLÜL;SARAY BOSNA MEYDAN;sokak;296309
MANİSA;AHMETLİ;ALTIEYLÜL;SARMAŞIK SOKAK;sokak;459522
MANİSA;AHMETLİ;ALTIEYLÜL;SPOR SOKAK;sokak;296310
MANİSA;AHMETLİ;ALTIEYLÜL;ŞEHİT HASAN YARIŞ SOKAK;sokak;296314
MANİSA;AHMETLİ;ALTIEYLÜL;UMUT SOKAK;sokak;296318
MANİSA;AHMETLİ;ALTIEYLÜL;YUNUS EMRE SOKAK;sokak;296311
MANİSA;AHMETLİ;ALTIEYLÜL;ZEYTİN SOKAK;sokak;296319
MANİSA;AHMETLİ;ATAKÖY;230 SOKAK;sokak;1487813
MANİSA;AHMETLİ;ATAKÖY;231 SOKAK;sokak;1487815
MANİSA;AHMETLİ;ATAKÖY;232 SOKAK;sokak;1487811
MANİSA;AHMETLİ;ATAKÖY;233 SOKAK;sokak;1487817
MANİSA;AHMETLİ;ATAKÖY;234 SOKAK;sokak;1487819
MANİSA;AHMETLİ;ATAKÖY;235 SOKAK;sokak;1487821
MANİSA;AHMETLİ;ATAKÖY;236 SOKAK;sokak;1487823
MANİSA;AHMETLİ;ATAKÖY;237 SOKAK;sokak;1487825
MANİSA;AHMETLİ;ATAKÖY;238 SOKAK;sokak;1487827
MANİSA;AHMETLİ;ATAKÖY;239 SOKAK;sokak;1487829
MANİSA;AHMETLİ;ATAKÖY;240 SOKAK;sokak;1487831
MANİSA;AHMETLİ;ATAKÖY;241 SOKAK;sokak;1487833
MANİSA;AHMETLİ;ATAKÖY;242 SOKAK;sokak;1487835
MANİSA;AHMETLİ;ATAKÖY;244 SOKAK;sokak;1487837
MANİSA;AHMETLİ;ATAKÖY;246 SOKAK;sokak;1487839
MANİSA;AHMETLİ;ATAKÖY;248 SOKAK;sokak;1487841
MANİSA;AHMETLİ;ATAKÖY;ATAKÖY AHMETLİ CADDE;cadde;1487843
MANİSA;AHMETLİ;ATAKÖY;ATAKÖY SEYDİKÖY YOLU CADDE;cadde;1487847
MANİSA;AHMETLİ;ATAKÖY;ATAKÖY. KÜME EVLER;sokak;30777
MANİSA;AHMETLİ;BAHÇECİK;398 SOKAK;sokak;1488177
MANİSA;AHMETLİ;BAHÇECİK;400 SOKAK;sokak;1488175
MANİSA;AHMETLİ;BAHÇECİK;402 SOKAK;sokak;1488179
MANİSA;AHMETLİ;BAHÇECİK;404 SOKAK;sokak;1488181
MANİSA;AHMETLİ;BAHÇECİK;BAHÇECİK ALAHIDIR CADDE;cadde;1488191
MANİSA;AHMETLİ;BAHÇECİK;BAHÇECİK. SOKAK;sokak;480838
MANİSA;AHMETLİ;BAHÇECİK;KOLAYLI CADDE;cadde;466930
