il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
MARDİN;ARTUKLU;13 MART;10. SOKAK;sokak;535480200
MARDİN;ARTUKLU;13 MART;11. SOKAK;sokak;384907
MARDİN;ARTUKLU;13 MART;12. SOKAK;sokak;384931
MARDİN;ARTUKLU;13 MART;13 MART CADDE;cadde;666093
MARDİN;ARTUKLU;13 MART;14. SOKAK;sokak;384905
MARDİN;ARTUKLU;13 MART;15 TEMMUZ ŞEHITLER CADDE;cadde;163656
MARDİN;ARTUKLU;13 MART;16. SOKAK;sokak;336764201
MARDİN;ARTUKLU;13 MART;18. SOKAK;sokak;714811
MARDİN;ARTUKLU;13 MART;19. SOKAK;sokak;424824970
MARDİN;ARTUKLU;13 MART;2. SOKAK;sokak;942308691
MARDİN;ARTUKLU;13 MART;20. SOKAK;sokak;93966
MARDİN;ARTUKLU;13 MART;2003. SOKAK;sokak;945672940
MARDİN;ARTUKLU;13 MART;21. SOKAK;sokak;731874780
MARDİN;ARTUKLU;13 MART;23. SOKAK;sokak;93962
MARDİN;ARTUKLU;13 MART;24. SOKAK;sokak;384927
MARDİN;ARTUKLU;13 MART;25. SOKAK;sokak;93965
MARDİN;ARTUKLU;13 MART;26. SOKAK;sokak;277817231
MARDİN;ARTUKLU;13 MART;287. SOKAK;sokak;162394
MARDİN;ARTUKLU;13 MART;3. SOKAK;sokak;641213791
MARDİN;ARTUKLU;13 MART;30. SOKAK;sokak;435691510
MARDİN;ARTUKLU;13 MART;33 . SOKAK;sokak;384909
MARDİN;ARTUKLU;13 MART;35. SOKAK;sokak;384908
MARDİN;ARTUKLU;13 MART;37. SOKAK;sokak;384933
MARDİN;ARTUKLU;13 MART;38. SOKAK;sokak;670569
MARDİN;ARTUKLU;13 MART;39 . SOKAK;sokak;670568
MARDİN;ARTUKLU;13 MART;4. SOKAK;sokak;384935
MARDİN;ARTUKLU;13 MART;40. SOKAK;sokak;671456
MARDİN;ARTUKLU;13 MART;41. SOKAK;sokak;669988
MARDİN;ARTUKLU;13 MART;42. CADDE;cadde;666082
MARDİN;ARTUKLU;13 MART;43. SOKAK;sokak;862292
MARDİN;ARTUKLU;13 MART;44. SOKAK;sokak;835421
MARDİN;ARTUKLU;13 MART;45. SOKAK;sokak;835427
MARDİN;ARTUKLU;13 MART;46. CADDE;cadde;835406
MARDİN;ARTUKLU;13 MART;46. CADDE 1. SOKAK;cadde;835407
MARDİN;ARTUKLU;13 MART;46. CADDE 11. SOKAK;cadde;999896
MARDİN;ARTUKLU;13 MART;46. CADDE 16. SOKAK;cadde;408995100
MARDİN;ARTUKLU;13 MART;46. CADDE 17. SOKAK;cadde;494101291
MARDİN;ARTUKLU;13 MART;46. CADDE 18. SOKAK;cadde;502235511
MARDİN;ARTUKLU;13 MART;46. CADDE 19. SOKAK;cadde;549344501
MARDİN;ARTUKLU;13 MART;46. CADDE 2. SOKAK;cadde;835408
MARDİN;ARTUKLU;13 MART;46.CADDE 10. SOKAK;cadde;845135
MARDİN;ARTUKLU;13 MART;46.CADDE 12. SOKAK;cadde;1000191
MARDİN;ARTUKLU;13 MART;46.CADDE 13. SOKAK;cadde;844083
MARDİN;ARTUKLU;13 MART;46.CADDE 14. SOKAK;cadde;847323
MARDİN;ARTUKLU;13 MART;46.CADDE 15. SOKAK;cadde;1003981
MARDİN;ARTUKLU;13 MART;46.CADDE 3. SOKAK;cadde;835409
MARDİN;ARTUKLU;13 MART;46.CADDE 4. SOKAK;cadde;835410
MARDİN;ARTUKLU;13 MART;46.CADDE 5. SOKAK;cadde;835411
MARDİN;ARTUKLU;13 MART;46.CADDE 6. SOKAK;cadde;835413
MARDİN;ARTUKLU;13 MART;46.CADDE 7. SOKAK;cadde;835414
MARDİN;ARTUKLU;13 MART;46.CADDE 8. SOKAK;cadde;892536
MARDİN;ARTUKLU;13 MART;46.CADDE 9. SOKAK;cadde;935939
MARDİN;ARTUKLU;13 MART;47. SOKAK;sokak;844257
MARDİN;ARTUKLU;13 MART;48. SOKAK;sokak;851769
MARDİN;ARTUKLU;13 MART;49. SOKAK;sokak;856359
MARDİN;ARTUKLU;13 MART;5. SOKAK;sokak;90487
MARDİN;ARTUKLU;13 MART;50. SOKAK;sokak;860783
MARDİN;ARTUKLU;13 MART;51. SOKAK;sokak;863301
MARDİN;ARTUKLU;13 MART;52. SOKAK;sokak;892065
MARDİN;ARTUKLU;13 MART;53. SOKAK;sokak;892080
MARDİN;ARTUKLU;13 MART;54. SOKAK;sokak;935878
MARDİN;ARTUKLU;13 MART;55. SOKAK;sokak;988118
MARDİN;ARTUKLU;13 MART;56. SOKAK;sokak;768658490
MARDİN;ARTUKLU;13 MART;57. CADDE;cadde;148664790
MARDİN;ARTUKLU;13 MART;57.CADDE 10. SOKAK;cadde;1000935
MARDİN;ARTUKLU;13 MART;57.CADDE 3. SOKAK;cadde;610971840
MARDİN;ARTUKLU;13 MART;57.CADDE 4. SOKAK;cadde;396545040
MARDİN;ARTUKLU;13 MART;57.CADDE 8. SOKAK;cadde;536769461
