il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
MUĞLA;BODRUM;AKÇAALAN;7702 SOKAK;sokak;575195
MUĞLA;BODRUM;AKÇAALAN;7703 SOKAK;sokak;314858
MUĞLA;BODRUM;AKÇAALAN;7704 SOKAK;sokak;72906
MUĞLA;BODRUM;AKÇAALAN;7705 SOKAK;sokak;575197
MUĞLA;BODRUM;AKÇAALAN;7706 SOKAK;sokak;72909
MUĞLA;BODRUM;AKÇAALAN;7707 SOKAK;sokak;576050
MUĞLA;BODRUM;AKÇAALAN;7708 SOKAK;sokak;561193
MUĞLA;BODRUM;AKÇAALAN;7709 SOKAK;sokak;569750
MUĞLA;BODRUM;AKÇAALAN;7710 SOKAK;sokak;570445
MUĞLA;BODRUM;AKÇAALAN;7711 SOKAK;sokak;574659
MUĞLA;BODRUM;AKÇAALAN;7712 SOKAK;sokak;565748
MUĞLA;BODRUM;AKÇAALAN;7713 SOKAK;sokak;565747
MUĞLA;BODRUM;AKÇAALAN;7714 SOKAK;sokak;564396
MUĞLA;BODRUM;AKÇAALAN;7715 SOKAK;sokak;573213
MUĞLA;BODRUM;AKÇAALAN;7716 SOKAK;sokak;573214
MUĞLA;BODRUM;AKÇAALAN;7717 SOKAK;sokak;566246
MUĞLA;BODRUM;AKÇAALAN;7718 SOKAK;sokak;1102186
MUĞLA;BODRUM;AKÇAALAN;7719 SOKAK;sokak;1103140
MUĞLA;BODRUM;AKÇAALAN;7720 SOKAK;sokak;561480
MUĞLA;BODRUM;AKÇAALAN;7721 SOKAK;sokak;295879
MUĞLA;BODRUM;AKÇAALAN;7725 SOKAK;sokak;561514
MUĞLA;BODRUM;AKÇAALAN;7726 SOKAK;sokak;570462
MUĞLA;BODRUM;AKÇAALAN;7727 SOKAK;sokak;576880
MUĞLA;BODRUM;AKÇAALAN;7728 SOKAK;sokak;1102188
MUĞLA;BODRUM;AKÇAALAN;7729 SOKAK;sokak;571292
MUĞLA;BODRUM;AKÇAALAN;7730 SOKAK;sokak;571290
MUĞLA;BODRUM;AKÇAALAN;7731 SOKAK;sokak;718700
MUĞLA;BODRUM;AKÇAALAN;7732 SOKAK;sokak;573215
MUĞLA;BODRUM;AKÇAALAN;7733 SOKAK;sokak;581924
MUĞLA;BODRUM;AKÇAALAN;7734 SOKAK;sokak;719017
MUĞLA;BODRUM;AKÇAALAN;7735 SOKAK;sokak;577172
MUĞLA;BODRUM;AKÇAALAN;7737 SOKAK;sokak;581779
MUĞLA;BODRUM;AKÇAALAN;7738 SOKAK;sokak;581781
MUĞLA;BODRUM;AKÇAALAN;7739 SOKAK;sokak;578266
MUĞLA;BODRUM;AKÇAALAN;7740 SOKAK;sokak;719018
MUĞLA;BODRUM;AKÇAALAN;7741 SOKAK;sokak;579659
MUĞLA;BODRUM;AKÇAALAN;7742 SOKAK;sokak;579667
MUĞLA;BODRUM;AKÇAALAN;7743 SOKAK;sokak;579669
MUĞLA;BODRUM;AKÇAALAN;7744 SOKAK;sokak;581931
MUĞLA;BODRUM;AKÇAALAN;7745 SOKAK;sokak;577110
MUĞLA;BODRUM;AKÇAALAN;7746 SOKAK;sokak;572971
MUĞLA;BODRUM;AKÇAALAN;7747 SOKAK;sokak;579671
MUĞLA;BODRUM;AKÇAALAN;7748 SOKAK;sokak;572349
MUĞLA;BODRUM;AKÇAALAN;7750 SOKAK;sokak;572347
MUĞLA;BODRUM;AKÇAALAN;7752 SOKAK;sokak;583627
MUĞLA;BODRUM;AKÇAALAN;7755 SOKAK;sokak;583305
MUĞLA;BODRUM;AKÇAALAN;7756 SOKAK;sokak;348037
MUĞLA;BODRUM;AKÇAALAN;7757 SOKAK;sokak;348036
MUĞLA;BODRUM;AKÇAALAN;7758 SOKAK;sokak;348034
MUĞLA;BODRUM;AKÇAALAN;7759 SOKAK;sokak;348041
MUĞLA;BODRUM;AKÇAALAN;7760 SOKAK;sokak;583309
MUĞLA;BODRUM;AKÇAALAN;7761 SOKAK;sokak;578057
MUĞLA;BODRUM;AKÇAALAN;7762 SOKAK;sokak;579613
MUĞLA;BODRUM;AKÇAALAN;7763 SOKAK;sokak;571521
MUĞLA;BODRUM;AKÇAALAN;7764 SOKAK;sokak;578710
MUĞLA;BODRUM;AKÇAALAN;7765 SOKAK;sokak;571533
MUĞLA;BODRUM;AKÇAALAN;7766 SOKAK;sokak;571534
