il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
MUŞ;BULANIK;ADIVAR - KÖYÜN KENDİSİ;1 KÜME KÜME EVLER;sokak;668963
MUŞ;BULANIK;ADIVAR - KÖYÜN KENDİSİ;2 KUME EVLERI KÜME EVLER;sokak;668964
MUŞ;BULANIK;ADIVAR - KÖYÜN KENDİSİ;3 KUME EVLERI KÜME EVLER;sokak;668965
MUŞ;BULANIK;ADIVAR - KÖYÜN KENDİSİ;4 KUME EVLERI KÜME EVLER;sokak;667604
MUŞ;BULANIK;ADIVAR - KÖYÜN KENDİSİ;5 KUME EVLERI KÜME EVLER;sokak;668966
MUŞ;BULANIK;ADIVAR - KÖYÜN KENDİSİ;6 KUME EVLERI KÜME EVLER;sokak;668967
MUŞ;BULANIK;AKÇAARMUT - KÖYÜN KENDİSİ;1 KÜME EVLER;sokak;654944
MUŞ;BULANIK;AKÇAARMUT - KÖYÜN KENDİSİ;2KUMEEVLERI KÜME EVLER;sokak;673353
MUŞ;BULANIK;AKÇAARMUT - TEPECİK;TEPECİK KÜME EVLER;sokak;669490
MUŞ;BULANIK;AKÇAKAYNAK NA;AKÇAKAYNAK KÜME EVLER;sokak;448066
MUŞ;BULANIK;ALTINOLUK - DERE;DERE KÜME EVLER;sokak;670524
MUŞ;BULANIK;ALTINOLUK - HORBIZAN;HORBIZAN KÜME EVLER;sokak;670063
MUŞ;BULANIK;ALTINOLUK NA;ALTINOLUK KÜME EVLER;sokak;669747
MUŞ;BULANIK;ARAKONAK - İBRAHİM KUŞHAN MEZRASI;İBRAHİM KUŞHAN KÜME EVLER;sokak;136704
MUŞ;BULANIK;ARAKONAK - YEŞİL YAYLA MEZRASI;YEŞİL YAYLA KÜME EVLER;sokak;716678
MUŞ;BULANIK;ARAKONAK NA;ARAKONAK KÜME EVLER;sokak;474696
MUŞ;BULANIK;AŞAĞIBÜKLÜ - YUKARIBÜKLÜ;YUKARIBÜKLÜ KÜME EVLER;sokak;671837
MUŞ;BULANIK;AŞAĞIBÜKLÜ NA;AŞAĞIBÜKLÜ KÜME EVLER;sokak;671601
MUŞ;BULANIK;BAHÇELİEVLER;7. CADDE;cadde;1348451
MUŞ;BULANIK;BAHÇELİEVLER;701 SOKAK;sokak;601758
MUŞ;BULANIK;BAHÇELİEVLER;702 SOKAK;sokak;1348407
MUŞ;BULANIK;BAHÇELİEVLER;703 SOKAK;sokak;598672
MUŞ;BULANIK;BAHÇELİEVLER;704 SOKAK;sokak;127271
MUŞ;BULANIK;BAHÇELİEVLER;705 SOKAK;sokak;598522
MUŞ;BULANIK;BAHÇELİEVLER;706 SOKAK;sokak;674917951
MUŞ;BULANIK;BAHÇELİEVLER;707 SOKAK;sokak;604639
MUŞ;BULANIK;BAHÇELİEVLER;708 SOKAK;sokak;604641
MUŞ;BULANIK;BAHÇELİEVLER;709 SOKAK;sokak;604178
MUŞ;BULANIK;BAHÇELİEVLER;710 SOKAK;sokak;598269
MUŞ;BULANIK;BAHÇELİEVLER;711 SOKAK;sokak;258296491
MUŞ;BULANIK;BAHÇELİEVLER;712 SOKAK;sokak;600223
MUŞ;BULANIK;BAHÇELİEVLER;713 SOKAK;sokak;1347985
MUŞ;BULANIK;BAHÇELİEVLER;714 SOKAK;sokak;604644
MUŞ;BULANIK;BAHÇELİEVLER;715 SOKAK;sokak;604645
MUŞ;BULANIK;BAHÇELİEVLER;716 SOKAK;sokak;600224
MUŞ;BULANIK;BAHÇELİEVLER;717 SOKAK;sokak;598537
MUŞ;BULANIK;BAHÇELİEVLER;718 SOKAK;sokak;604179
MUŞ;BULANIK;BAHÇELİEVLER;719 SOKAK;sokak;1348453
MUŞ;BULANIK;BAHÇELİEVLER;720 SOKAK;sokak;682648111
MUŞ;BULANIK;BAHÇELİEVLER;721 SOKAK;sokak;604181
MUŞ;BULANIK;BAHÇELİEVLER;722 SOKAK;sokak;270341641
MUŞ;BULANIK;BAHÇELİEVLER;723 SOKAK;sokak;600225
MUŞ;BULANIK;BAHÇELİEVLER;725 SOKAK;sokak;604183
MUŞ;BULANIK;BAHÇELİEVLER;726 SOKAK;sokak;551805251
MUŞ;BULANIK;BAHÇELİEVLER;727 SOKAK;sokak;1348449
MUŞ;BULANIK;BAHÇELİEVLER;728 SOKAK;sokak;1348445
MUŞ;BULANIK;BAHÇELİEVLER;729 SOKAK;sokak;508278071
MUŞ;BULANIK;BAHÇELİEVLER;730 SOKAK;sokak;1395873
MUŞ;BULANIK;BAHÇELİEVLER;731 SOKAK;sokak;407977631
MUŞ;BULANIK;BAHÇELİEVLER;732 SOKAK;sokak;1395933
MUŞ;BULANIK;BAHÇELİEVLER;733 SOKAK;sokak;1395875
MUŞ;BULANIK;BAHÇELİEVLER;734 SOKAK;sokak;598271
MUŞ;BULANIK;BAHÇELİEVLER;735 SOKAK;sokak;663035381
MUŞ;BULANIK;BAHÇELİEVLER;736 SOKAK;sokak;592725
MUŞ;BULANIK;BAHÇELİEVLER;737 SOKAK;sokak;920217321
MUŞ;BULANIK;BAHÇELİEVLER;738 SOKAK;sokak;591892
MUŞ;BULANIK;BAHÇELİEVLER;739 SOKAK;sokak;361896111
MUŞ;BULANIK;BAHÇELİEVLER;740 SOKAK;sokak;591896
MUŞ;BULANIK;BAHÇELİEVLER;741 SOKAK;sokak;1395935
MUŞ;BULANIK;BAHÇELİEVLER;742 SOKAK;sokak;591900
MUŞ;BULANIK;BAHÇELİEVLER;743 SOKAK;sokak;1395937
MUŞ;BULANIK;BAHÇELİEVLER;744 SOKAK;sokak;159505201
MUŞ;BULANIK;BAHÇELİEVLER;745 SOKAK;sokak;968137041
MUŞ;BULANIK;BAHÇELİEVLER;746 SOKAK;sokak;743747601
MUŞ;BULANIK;BAHÇELİEVLER;746/1 SOKAK;sokak;310298791
MUŞ;BULANIK;BAHÇELİEVLER;747 SOKAK;sokak;810271121
MUŞ;BULANIK;BAHÇELİEVLER;748 SOKAK;sokak;841418601
MUŞ;BULANIK;BAHÇELİEVLER;749 SOKAK;sokak;417943630
MUŞ;BULANIK;BAHÇELİEVLER;750 SOKAK;sokak;821447911
MUŞ;BULANIK;BAHÇELİEVLER;751 SOKAK;sokak;795194431
MUŞ;BULANIK;BAHÇELİEVLER;752 SOKAK;sokak;210296650
MUŞ;BULANIK;BAHÇELİEVLER;753 SOKAK;sokak;122332011
MUŞ;BULANIK;BAHÇELİEVLER;754 SOKAK;sokak;569609171
MUŞ;BULANIK;BAHÇELİEVLER;755 SOKAK;sokak;463764481
MUŞ;BULANIK;BAHÇELİEVLER;757 SOKAK;sokak;126084851
MUŞ;BULANIK;BAHÇELİEVLER;758 SOKAK;sokak;608667461
MUŞ;BULANIK;BAHÇELİEVLER;759 SOKAK;sokak;999567161
MUŞ;BULANIK;BAHÇELİEVLER;760 SOKAK;sokak;969648381
MUŞ;BULANIK;BAHÇELİEVLER;761 SOKAK;sokak;139475281
MUŞ;BULANIK;BAHÇELİEVLER;762 SOKAK;sokak;746599701
MUŞ;BULANIK;BAHÇELİEVLER;763 SOKAK;sokak;817871031
MUŞ;BULANIK;BAHÇELİEVLER;764 SOKAK;sokak;469251371
MUŞ;BULANIK;BAHÇELİEVLER;765 SOKAK;sokak;916840271
MUŞ;BULANIK;BAHÇELİEVLER;766 SOKAK;sokak;304016321
MUŞ;BULANIK;BAHÇELİEVLER;767 SOKAK;sokak;812151211
MUŞ;BULANIK;BAHÇELİEVLER;768 SOKAK;sokak;594094581
MUŞ;BULANIK;BAHÇELİEVLER;769 SOKAK;sokak;674687771
MUŞ;BULANIK;BAHÇELİEVLER;77. CADDE;cadde;1348441
MUŞ;BULANIK;BAHÇELİEVLER;770 SOKAK;sokak;146170881
MUŞ;BULANIK;BAHÇELİEVLER;771 SOKAK;sokak;997243531
MUŞ;BULANIK;BAHÇELİEVLER;772 SOKAK;sokak;905144491
MUŞ;BULANIK;BAHÇELİEVLER;773 SOKAK;sokak;341786081
MUŞ;BULANIK;BAHÇELİEVLER;774 SOKAK;sokak;757359361
MUŞ;BULANIK;BAHÇELİEVLER;775 SOKAK;sokak;609726351
MUŞ;BULANIK;BAHÇELİEVLER;776 SOKAK;sokak;404224951
MUŞ;BULANIK;BAHÇELİEVLER;777 SOKAK;sokak;845923021
MUŞ;BULANIK;BAHÇELİEVLER;778 SOKAK;sokak;691707021
MUŞ;BULANIK;BAHÇELİEVLER;779 SOKAK;sokak;899020841
MUŞ;BULANIK;BAHÇELİEVLER;780 SOKAK;sokak;183530451
MUŞ;BULANIK;BAHÇELİEVLER;781 SOKAK;sokak;233649381
MUŞ;BULANIK;BAHÇELİEVLER;782 SOKAK;sokak;426502261
MUŞ;BULANIK;BAHÇELİEVLER;783 SOKAK;sokak;244710391
MUŞ;BULANIK;BAHÇELİEVLER;784 SOKAK;sokak;741682461
MUŞ;BULANIK;BAHÇELİEVLER;785 SOKAK;sokak;487103211
MUŞ;BULANIK;BAHÇELİEVLER;786 SOKAK;sokak;370874261
MUŞ;BULANIK;BAHÇELİEVLER;787 SOKAK;sokak;353058120
MUŞ;BULANIK;BAHÇELİEVLER;788 SOKAK;sokak;810965961
MUŞ;BULANIK;BAHÇELİEVLER;789 SOKAK;sokak;468100990
MUŞ;BULANIK;BAHÇELİEVLER;790 SOKAK;sokak;551833700
MUŞ;BULANIK;BAHÇELİEVLER;791 SOKAK;sokak;498008570
MUŞ;BULANIK;BAHÇELİEVLER;792 SOKAK;sokak;113001670
MUŞ;BULANIK;BAHÇELİEVLER;793 SOKAK;sokak;229980090
