il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
NEVŞEHİR;ACIGÖL;AĞILLI - 1 KÜME;1 KÜME KÜME EVLER;sokak;473471
NEVŞEHİR;ACIGÖL;AĞILLI - 1 KÜME;2 KÜME KÜME EVLER;sokak;930076720
NEVŞEHİR;ACIGÖL;AĞILLI - 1 KÜME;3 KÜME KÜME EVLER;sokak;177338170
NEVŞEHİR;ACIGÖL;AĞILLI - 2 KÜME;1 KÜME KÜME EVLER;sokak;107992521
NEVŞEHİR;ACIGÖL;AĞILLI - 2 KÜME;2 KÜME KÜME EVLER;sokak;472663
NEVŞEHİR;ACIGÖL;AĞILLI - 3 KÜME;2 KÜME KÜME EVLER;sokak;416888881
NEVŞEHİR;ACIGÖL;AĞILLI - 3 KÜME;3 KÜME KÜME EVLER;sokak;485905
NEVŞEHİR;ACIGÖL;AĞILLI - 3 KÜME;4 KÜME KÜME EVLER;sokak;210409850
NEVŞEHİR;ACIGÖL;AĞILLI - 4 KÜME;2 KÜME KÜME EVLER;sokak;189805650
NEVŞEHİR;ACIGÖL;AĞILLI - 4 KÜME;4 KÜME KÜME EVLER;sokak;466017
NEVŞEHİR;ACIGÖL;BAĞLICA NA;BAĞLICA KÜME EVLER;sokak;481916
NEVŞEHİR;ACIGÖL;BAHÇELİ;2 KÜME EVLER;sokak;905323000
NEVŞEHİR;ACIGÖL;BAHÇELİ;ACIGÖL NEVŞEHİR KÜME EVLER;sokak;945003450
NEVŞEHİR;ACIGÖL;BAHÇELİ;ALKAN SOKAK;sokak;784966921
NEVŞEHİR;ACIGÖL;BAHÇELİ;AVŞAR SOKAK;sokak;305916
NEVŞEHİR;ACIGÖL;BAHÇELİ;BAĞLAR SOKAK;sokak;117246
NEVŞEHİR;ACIGÖL;BAHÇELİ;BERBER SOKAK;sokak;630022080
NEVŞEHİR;ACIGÖL;BAHÇELİ;BEREKET SOKAK;sokak;979630
NEVŞEHİR;ACIGÖL;BAHÇELİ;BEYAZIT SOKAK;sokak;23320
NEVŞEHİR;ACIGÖL;BAHÇELİ;CİHANI-ALEM SOKAK;sokak;465592
NEVŞEHİR;ACIGÖL;BAHÇELİ;DEĞİRMEN SOKAK;sokak;305918
NEVŞEHİR;ACIGÖL;BAHÇELİ;DERE SOKAK;sokak;114696
NEVŞEHİR;ACIGÖL;BAHÇELİ;DIKICI SOKAK;sokak;736004391
NEVŞEHİR;ACIGÖL;BAHÇELİ;DOĞA SOKAK;sokak;203282410
NEVŞEHİR;ACIGÖL;BAHÇELİ;ESMA SOKAK;sokak;305906
NEVŞEHİR;ACIGÖL;BAHÇELİ;ESNAF SOKAK;sokak;114681
NEVŞEHİR;ACIGÖL;BAHÇELİ;GAZİOSMANPAŞA SOKAK;sokak;979634
NEVŞEHİR;ACIGÖL;BAHÇELİ;GÜLDEREN SOKAK;sokak;482588420
NEVŞEHİR;ACIGÖL;BAHÇELİ;GÜLER SOKAK;sokak;691961941
NEVŞEHİR;ACIGÖL;BAHÇELİ;HALE SOKAK;sokak;349770741
NEVŞEHİR;ACIGÖL;BAHÇELİ;HARMAN SOKAK;sokak;951446710
NEVŞEHİR;ACIGÖL;BAHÇELİ;HİSAR SOKAK;sokak;305907
NEVŞEHİR;ACIGÖL;BAHÇELİ;KALAYCI CADDE;cadde;305908
NEVŞEHİR;ACIGÖL;BAHÇELİ;KANUNİ SOKAK;sokak;465588
NEVŞEHİR;ACIGÖL;BAHÇELİ;KARDELEN SOKAK;sokak;542869270
NEVŞEHİR;ACIGÖL;BAHÇELİ;KAZAN SOKAK;sokak;117249
NEVŞEHİR;ACIGÖL;BAHÇELİ;KELEBEK SOKAK;sokak;633469771
NEVŞEHİR;ACIGÖL;BAHÇELİ;KILIÇ SOKAK;sokak;114691
NEVŞEHİR;ACIGÖL;BAHÇELİ;KİBAR SOKAK;sokak;117244
NEVŞEHİR;ACIGÖL;BAHÇELİ;KOPARAN SOKAK;sokak;979628
NEVŞEHİR;ACIGÖL;BAHÇELİ;KOSOVA SOKAK;sokak;305909
NEVŞEHİR;ACIGÖL;BAHÇELİ;KÖPRÜBAŞI SOKAK;sokak;813807
NEVŞEHİR;ACIGÖL;BAHÇELİ;MANOLYA SOKAK;sokak;305910
