il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
NİĞDE;ALTUNHİSAR;AKÇAÖREN - CUMHURİYET;ANKARA SOKAK;sokak;649901530
NİĞDE;ALTUNHİSAR;AKÇAÖREN - CUMHURİYET;CUMHURİYET KÜME EVLER;sokak;473864
NİĞDE;ALTUNHİSAR;AKÇAÖREN - CUMHURİYET;SUNA SOKAK;sokak;665388510
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;ALTINDAŞ SOKAK;sokak;483712
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;BAŞAK SOKAK;sokak;474201
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;BAŞAK/1 SOKAK;sokak;128873451
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;BEŞİNCİ SOKAK;sokak;474195
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;BİRİNCİ SOKAK;sokak;473867
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;ÇİĞDEM SOKAK;sokak;479315
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;DÖRDÜNCÜ SOKAK;sokak;474199
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;FİLİZ SOKAK;sokak;474196
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;İSTİKLAL SOKAK;sokak;474202
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;KARANFİL SOKAK;sokak;474198
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;LALE SOKAK;sokak;473868
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;MENEVŞE SOKAK;sokak;474194
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;SERHAT SOKAK;sokak;483711
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;SÜMBÜL SOKAK;sokak;474197
NİĞDE;ALTUNHİSAR;AKÇAÖREN - İSTİKLAL;YAYLA SOKAK;sokak;474193
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;ANKARA SOKAK;sokak;483720
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;ANKARA/1 SOKAK;sokak;624046450
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;BİRİNCİ SOKAK;sokak;478964
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;HACI YUSUF SOKAK;sokak;478965
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;İKİNCİ SOKAK;sokak;478966
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;KARANFİL SOKAK;sokak;509069241
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;OKUL SOKAK;sokak;482434
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;ŞAFAK/1 SOKAK;sokak;907037600
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;ÜCÜNCÜ SOKAK;sokak;478967
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ŞAFAK;YATAY SOKAK;sokak;478963
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ZAFER;ANKARA SOKAK;sokak;475061
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ZAFER;BAŞAK SOKAK;sokak;957218900
NİĞDE;ALTUNHİSAR;AKÇAÖREN - ZAFER;BAŞAK/1 SOKAK;sokak;128873450
