il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ORDU;AKKUŞ;AKPINAR;AHMETLİ KÜME EVLER;sokak;568539
ORDU;AKKUŞ;AKPINAR;AKPINAR ATATÜRK CADDE;cadde;625134
ORDU;AKKUŞ;AKPINAR;AKPINAR AVLUGERİŞ KÜME EVLER;sokak;565187
ORDU;AKKUŞ;AKPINAR;AKPINAR BOĞMALIK KÜME EVLER;sokak;565119
ORDU;AKKUŞ;AKPINAR;AKPINAR CAMİ CADDE;cadde;624699
ORDU;AKKUŞ;AKPINAR;AKPINAR KONAK CADDE;cadde;625135
ORDU;AKKUŞ;AKPINAR;AKPINAR SAĞLIK SOKAK;sokak;623418
ORDU;AKKUŞ;AKPINAR;ARMUTÇALAĞI KÜME EVLER;sokak;319556
ORDU;AKKUŞ;AKPINAR;ATMACABEKİ KÜME EVLER;sokak;577923
ORDU;AKKUŞ;AKPINAR;BÜYÜKDÜZ KÜME EVLER;sokak;147700
ORDU;AKKUŞ;AKPINAR;CUMHURİYET MEYDAN;sokak;622986
ORDU;AKKUŞ;AKPINAR;ÇATMAPINAR KÜME EVLER;sokak;572263
ORDU;AKKUŞ;AKPINAR;ÇAYBAŞI CADDE;cadde;625053
ORDU;AKKUŞ;AKPINAR;ÇELİKDÜZÜ KÜME EVLER;sokak;90086
ORDU;AKKUŞ;AKPINAR;DÜZMEŞE KÜME EVLER;sokak;306267
ORDU;AKKUŞ;AKPINAR;ELİCEK KÜME EVLER;sokak;306270
ORDU;AKKUŞ;AKPINAR;EMİNLİ KÜME EVLER;sokak;306271
ORDU;AKKUŞ;AKPINAR;EROĞLU CADDE;cadde;620395
ORDU;AKKUŞ;AKPINAR;FINDIKLIDÜZ KÜME EVLER;sokak;41889
ORDU;AKKUŞ;AKPINAR;GÖÇLER KÜME EVLER;sokak;577406
ORDU;AKKUŞ;AKPINAR;GÜLTEPE KÜME EVLER;sokak;575508
ORDU;AKKUŞ;AKPINAR;HAMZALI KÜME EVLER;sokak;306272
ORDU;AKKUŞ;AKPINAR;HARAMİDİBİ KÜME EVLER;sokak;306268
ORDU;AKKUŞ;AKPINAR;KARABALTAUŞAĞI KÜME EVLER;sokak;625137
ORDU;AKKUŞ;AKPINAR;KARLITEPE KÜME EVLER;sokak;572934
ORDU;AKKUŞ;AKPINAR;KESİMLİ KÜME EVLER;sokak;577329
ORDU;AKKUŞ;AKPINAR;KIZILÇUKUR KÜME EVLER;sokak;613375
ORDU;AKKUŞ;AKPINAR;KİRAZLIBACAK KÜME EVLER;sokak;577399
ORDU;AKKUŞ;AKPINAR;KÖSEĞEL KÜME EVLER;sokak;565578
ORDU;AKKUŞ;AKPINAR;MEHTERUŞAĞI KÜME EVLER;sokak;322733
ORDU;AKKUŞ;AKPINAR;ORTAKÖY KÜME EVLER;sokak;306273
ORDU;AKKUŞ;AKPINAR;ÖĞRETMEN MUSTAFA ÇAM CADDE;cadde;624622
ORDU;AKKUŞ;AKPINAR;ÖMER BEY CADDE;cadde;614948
ORDU;AKKUŞ;AKPINAR;ÖRMECE KÜME EVLER;sokak;565573
ORDU;AKKUŞ;AKPINAR;SARPDERE CADDE;cadde;620469
ORDU;AKKUŞ;AKPINAR;ŞİRİNEVLER KÜME EVLER;sokak;569181
ORDU;AKKUŞ;AKPINAR;TAHMAZLI KÜME EVLER;sokak;306269
ORDU;AKKUŞ;AKPINAR;TAŞAĞIL KÜME EVLER;sokak;577383
ORDU;AKKUŞ;AKPINAR;TÖNGELYANI KÜME EVLER;sokak;319544
ORDU;AKKUŞ;AKPINAR;UĞURLAR ÇUKURU KÜME EVLER;sokak;573175
ORDU;AKKUŞ;AKPINAR;YENİKÖY EMİNUŞAĞI KÜME EVLER;sokak;398726
ORDU;AKKUŞ;AKPINAR;YENİKÖY GÖKMENKIRIĞI KÜME EVLER;sokak;718721
ORDU;AKKUŞ;AKPINAR;YENİKÖY GÜCÜKDÜZÜ KÜME EVLER;sokak;712977
ORDU;AKKUŞ;AKPINAR;YENİKÖY KARAAĞAÇ TEPESİ KÜME EVLER;sokak;475537
ORDU;AKKUŞ;AKPINAR;YENİKÖY KELUŞAĞI KÜME EVLER;sokak;477714
ORDU;AKKUŞ;AKPINAR;YENİKÖY MİNATLI KÜME EVLER;sokak;398728
ORDU;AKKUŞ;ALAN;AŞUŞAĞI SOKAK;sokak;719992
ORDU;AKKUŞ;ALAN;BÖĞÜR SOKAK;sokak;482357
ORDU;AKKUŞ;ALAN;BÜYÜKALAN SOKAK;sokak;136712
ORDU;AKKUŞ;ALAN;ÇAMLIGERİŞ SOKAK;sokak;714367
ORDU;AKKUŞ;ALAN;ÇEREZLER SOKAK;sokak;714369
ORDU;AKKUŞ;ALAN;HANYANI SOKAK;sokak;719984
ORDU;AKKUŞ;ALAN;HÜVELLES SOKAK;sokak;713749
ORDU;AKKUŞ;ALAN;KEVGÜR SOKAK;sokak;478125
ORDU;AKKUŞ;ALAN;YANIK SAMANLIK SOKAK;sokak;719981
ORDU;AKKUŞ;ALAN;YIKILGAN SOKAK;sokak;719982
ORDU;AKKUŞ;AMBARGÜRGEN;ALİ KAHYA SOKAK;sokak;644527
ORDU;AKKUŞ;AMBARGÜRGEN;AMBARGÜRGEN EMİRLİ SOKAK;sokak;640890
ORDU;AKKUŞ;AMBARGÜRGEN;BAYRAMLAR SOKAK;sokak;642357
ORDU;AKKUŞ;AMBARGÜRGEN;ÇONUŞAĞI SOKAK;sokak;1492679
