il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
OSMANİYE;BAHÇE;ARICAKLI - İBİŞLER;İBİŞLER KÜME EVLER;sokak;348746
OSMANİYE;BAHÇE;ARICAKLI - MERKEZ;ARICAKLI KÜME EVLER;sokak;552634
OSMANİYE;BAHÇE;ARIKLIKAŞ - BUĞDAYCIK;BUĞDAYCIK KÜME EVLER;sokak;586766
OSMANİYE;BAHÇE;ARIKLIKAŞ - MERCANLAR;MERCANLI KÜME EVLER;sokak;586586
OSMANİYE;BAHÇE;ARIKLIKAŞ - MERKEZ;MERKEZ KÜME EVLER;sokak;596550
OSMANİYE;BAHÇE;ARIKLIKAŞ - MERKEZ;OSMANİYE GAZİANTEP OTOYOLU BULVAR;sokak;345603421
OSMANİYE;BAHÇE;ARIKLIKAŞ - MERKEZ;TAŞOLUK KÜME EVLER;sokak;820627040
OSMANİYE;BAHÇE;ARIKLIKAŞ - TAŞOLUK;OSMANİYE GAZİANTEP OTOYOLU BULVAR;sokak;381385091
OSMANİYE;BAHÇE;ARIKLIKAŞ - TAŞOLUK;TAŞOLUK KÜME EVLER;sokak;587561
OSMANİYE;BAHÇE;ASLANLI;1.NOLU SOKAK;sokak;300982
OSMANİYE;BAHÇE;ASLANLI;10 NOLU SOKAK;sokak;333397550
OSMANİYE;BAHÇE;ASLANLI;11 NOLU SOKAK;sokak;300983
OSMANİYE;BAHÇE;ASLANLI;14 NOLU SOKAK;sokak;471954581
OSMANİYE;BAHÇE;ASLANLI;15 NOLU SOKAK;sokak;300985
OSMANİYE;BAHÇE;ASLANLI;16 NOLU SOKAK;sokak;276109551
OSMANİYE;BAHÇE;ASLANLI;17 NOLU SOKAK;sokak;300986
OSMANİYE;BAHÇE;ASLANLI;18 NOLU SOKAK;sokak;249877110
OSMANİYE;BAHÇE;ASLANLI;19 NOLU SOKAK;sokak;346033241
OSMANİYE;BAHÇE;ASLANLI;2 NOLU SOKAK;sokak;689874370
OSMANİYE;BAHÇE;ASLANLI;3 NOLU SOKAK;sokak;300987
OSMANİYE;BAHÇE;ASLANLI;4.NOLU SOKAK;sokak;547789
OSMANİYE;BAHÇE;ASLANLI;5 NOLU SOKAK;sokak;300990
OSMANİYE;BAHÇE;ASLANLI;6.NOLU SOKAK;sokak;85660
OSMANİYE;BAHÇE;ASLANLI;7 NOLU SOKAK;sokak;459799
OSMANİYE;BAHÇE;ASLANLI;8 NOLU SOKAK;sokak;82845
OSMANİYE;BAHÇE;ASLANLI;9 NOLU SOKAK;sokak;300991
OSMANİYE;BAHÇE;ASLANLI;ÇIKMAZ SOKAK;sokak;552961
OSMANİYE;BAHÇE;ASLANLI;D 400 KARAYOLU SOKAK;sokak;300993
OSMANİYE;BAHÇE;ASLANLI;OSMANİYE GAZİANTEP OTOYOLU BULVAR;sokak;648827311
OSMANİYE;BAHÇE;ASLANLI;ŞEHİT P.ER HÜSEYİN ÇELİK CADDE;cadde;300992
OSMANİYE;BAHÇE;ASLANLI;ŞEHİT P.ER YAKUP YİĞİT CADDE;cadde;300984
OSMANİYE;BAHÇE;AŞAĞI KARADERE - KÖLELER;KÖLELER KÜME EVLER;sokak;478778
OSMANİYE;BAHÇE;AŞAĞI KARADERE - KÖLELER;KÖYBAŞI KÜME EVLER;sokak;363075690
OSMANİYE;BAHÇE;AŞAĞI KARADERE - KÖYBAŞI;ALTUNLAR KÜMESİ KÜME EVLER;sokak;476036001
OSMANİYE;BAHÇE;AŞAĞI KARADERE - KÖYBAŞI;KÖLELER KÜME EVLER;sokak;342326370
OSMANİYE;BAHÇE;AŞAĞI KARADERE - KÖYBAŞI;KÖYBAŞI KÜME EVLER;sokak;550197
OSMANİYE;BAHÇE;AŞAĞI KARADERE - KÖYÜN KENDİSİ;AŞAĞIKARADERE KÜME EVLER;sokak;559118
OSMANİYE;BAHÇE;AŞAĞIARICAKLI - AYRAN KÜMESİ;ARICAKLI KÜME EVLER;sokak;927776220
OSMANİYE;BAHÇE;AŞAĞIARICAKLI - AYRAN KÜMESİ;AYRAN KÜMESİ KÜME EVLER;sokak;562301
OSMANİYE;BAHÇE;AŞAĞIARICAKLI - AYRAN KÜMESİ;KIZLAÇ KÜME EVLER;sokak;720728611
OSMANİYE;BAHÇE;AŞAĞIARICAKLI - AYRAN KÜMESİ;OSMANİYE GAZİANTEP OTOYOLU BULVAR;sokak;416078470
OSMANİYE;BAHÇE;AŞAĞIARICAKLI - SOĞUKPINAR;ARICAKLI KÜME EVLER;sokak;826397250
