il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
RİZE;ARDEŞEN;AKDERE - AKPINAR;AKPINAR KÜME EVLER;sokak;536130
RİZE;ARDEŞEN;AKDERE - MERKEZ;MERKEZ KÜME EVLER;sokak;542805
RİZE;ARDEŞEN;AKDERE - YÜKSEK;YÜKSEK KÜME EVLER;sokak;451660
RİZE;ARDEŞEN;AKKAYA - CAMİ VE ÇEVRE;CAMİ ÇEVRE KÜME EVLER;sokak;84864
RİZE;ARDEŞEN;AKKAYA - DÜZ;DÜZ KÜME EVLER;sokak;84879
RİZE;ARDEŞEN;AKKAYA - ORTA;ORTA KÜME EVLER;sokak;392217
RİZE;ARDEŞEN;AKKAYA - SIRT;SIRT KÜME EVLER;sokak;557830
RİZE;ARDEŞEN;AKKAYA - YUKARI;YUKARI KÜME EVLER;sokak;557836
RİZE;ARDEŞEN;ARICILAR NA;ARICILAR KÜME EVLER;sokak;935964
RİZE;ARDEŞEN;ARMAĞAN - AŞIKLAR;AŞKLAR KÜME EVLER;sokak;581258
RİZE;ARDEŞEN;ARMAĞAN - DUATEPE-ALTINTEPE;DUATEPE ALTINTEPE KÜME EVLER;sokak;588746
RİZE;ARDEŞEN;ARMAĞAN - KOÇOĞLU;KOÇOĞLU KÜME EVLER;sokak;576367
RİZE;ARDEŞEN;ARMAĞAN - MERKEZ;MERKEZ KÜME EVLER;sokak;583191
RİZE;ARDEŞEN;ARMAĞAN - ORTAMAHALLE;ORTAMAHALLE KÜME EVLER;sokak;574016
RİZE;ARDEŞEN;ARMAĞAN - TAŞ KAPI;TAŞKAPI KÜME EVLER;sokak;558156
RİZE;ARDEŞEN;ARMAĞAN - YEŞİLYURT;ORTA KÜME EVLER;sokak;324463951
RİZE;ARDEŞEN;ARMAĞAN - YEŞİLYURT;YEŞİLYURT KÜME EVLER;sokak;581253
RİZE;ARDEŞEN;AŞAĞIDURAK - ÇİRİHİNCİ;ÇİRİHİNCİ KÜME EVLER;sokak;550389
RİZE;ARDEŞEN;AŞAĞIDURAK - DÜZ;DÜZ KÜME EVLER;sokak;555629
RİZE;ARDEŞEN;AŞAĞIDURAK - MERKEZ;MERKEZ KÜME EVLER;sokak;553995
RİZE;ARDEŞEN;AŞAĞIDURAK - SIRT;SIRT KÜME EVLER;sokak;553950
RİZE;ARDEŞEN;BAHAR;ARDEŞEN KARADENİZ SAHİL YOLU CADDE;cadde;251422090
RİZE;ARDEŞEN;BAHAR;BAHAR KÜME EVLER;sokak;302096
RİZE;ARDEŞEN;BAHAR;YAYLA KÜME EVLER;sokak;495031390
RİZE;ARDEŞEN;BARIŞ;ARDEŞEN KARADENİZ SAHİL YOLU CADDE;cadde;301631411
RİZE;ARDEŞEN;BARIŞ;ATATÜRK CADDE;cadde;937775
RİZE;ARDEŞEN;BARIŞ;BAHAR KÜME EVLER;sokak;249984371
RİZE;ARDEŞEN;BARIŞ;BARIŞ KÜME EVLER;sokak;302430
RİZE;ARDEŞEN;BARIŞ;KÜME 2 KÜME EVLER;sokak;773051
RİZE;ARDEŞEN;BARIŞ;KÜME 3 KÜME EVLER;sokak;431629
RİZE;ARDEŞEN;BARIŞ;NEBİOĞLU KÜME EVLER;sokak;875863
RİZE;ARDEŞEN;BARIŞ;YAKAMOZ SOKAK;sokak;857687
RİZE;ARDEŞEN;BAŞ;BAŞ KÜME EVLER;sokak;671203
RİZE;ARDEŞEN;BAŞ;BAŞPINAR 1 SOKAK;sokak;847932980
RİZE;ARDEŞEN;BAŞ;CAMİ KÜME EVLER;sokak;411062381
RİZE;ARDEŞEN;BAŞ;DUATEPE ALTINTEPE KÜME EVLER;sokak;499681260
RİZE;ARDEŞEN;BAYIRCIK - CAMİ;CAMİ KÜME EVLER;sokak;537353
RİZE;ARDEŞEN;BAYIRCIK - DERE;DERE KÜME EVLER;sokak;541960
RİZE;ARDEŞEN;BAYIRCIK - DOBİRA;DOBİRA KÜME EVLER;sokak;542360
RİZE;ARDEŞEN;BAYIRCIK - TRAMBONA;TRAMBONA KÜME EVLER;sokak;548628
RİZE;ARDEŞEN;BEYAZKAYA - DÜZ;DÜZ KÜME EVLER;sokak;500703
RİZE;ARDEŞEN;BEYAZKAYA - YUKARI CAMİ;YUKARI CAMİ KÜME EVLER;sokak;537972
RİZE;ARDEŞEN;CAMİ;CAMİ KÜME EVLER;sokak;672057
RİZE;ARDEŞEN;CUMHURİYET;19 MAYIS SOKAK;sokak;452755
RİZE;ARDEŞEN;CUMHURİYET;ANKARA SOKAK;sokak;666034570
RİZE;ARDEŞEN;CUMHURİYET;ATATÜRK CADDE;cadde;854014
RİZE;ARDEŞEN;CUMHURİYET;AV.SERPİL NAVDAR SOKAK;sokak;302511
RİZE;ARDEŞEN;CUMHURİYET;BALKAN SOKAK;sokak;791966630
RİZE;ARDEŞEN;CUMHURİYET;BEYOĞLU CADDE;cadde;302513
RİZE;ARDEŞEN;CUMHURİYET;CİHANGİR SOKAK;sokak;302493
RİZE;ARDEŞEN;CUMHURİYET;CUMHURİYET CADDE;cadde;302516
RİZE;ARDEŞEN;CUMHURİYET;DOLANA SOKAK;sokak;452759
RİZE;ARDEŞEN;CUMHURİYET;DR. SADIK AHMET SOKAK;sokak;244175
RİZE;ARDEŞEN;CUMHURİYET;DR.AVNİ KABAOĞLU SOKAK;sokak;358934
RİZE;ARDEŞEN;CUMHURİYET;DUMLUPINAR SOKAK;sokak;828009
RİZE;ARDEŞEN;CUMHURİYET;ERGÜNLER CADDE;cadde;994068450
RİZE;ARDEŞEN;CUMHURİYET;FETİH SOKAK;sokak;182273
RİZE;ARDEŞEN;CUMHURİYET;FURKAN SOKAK;sokak;452753
RİZE;ARDEŞEN;CUMHURİYET;HAL CADDE;cadde;359022
RİZE;ARDEŞEN;CUMHURİYET;HAMİT EFENDİ CADDE;cadde;901841691
RİZE;ARDEŞEN;CUMHURİYET;İNÖNÜ CADDE;cadde;854018
RİZE;ARDEŞEN;CUMHURİYET;KAĞITHANE SADABAT CADDE;cadde;452746
RİZE;ARDEŞEN;CUMHURİYET;MALAZGİRT SOKAK;sokak;480067790
RİZE;ARDEŞEN;CUMHURİYET;MERKEZ MAHALLE GİRİŞ CADDE;cadde;745214930
RİZE;ARDEŞEN;CUMHURİYET;MERVE SOKAK;sokak;302474
RİZE;ARDEŞEN;CUMHURİYET;NENEHATUN 1 SOKAK;sokak;539078380
RİZE;ARDEŞEN;CUMHURİYET;NENEHATUN SOKAK;sokak;302477
RİZE;ARDEŞEN;CUMHURİYET;NİZAM SOKAK;sokak;302478
RİZE;ARDEŞEN;CUMHURİYET;SULTAN ALPARSLAN CADDE;cadde;302480
RİZE;ARDEŞEN;CUMHURİYET;ŞEHİT EKREM OKUTAN CADDE;cadde;854015
RİZE;ARDEŞEN;CUMHURİYET;ŞEHİT HİLMİ BOZDİ SOKAK;sokak;452751
RİZE;ARDEŞEN;CUMHURİYET;TUNA SOKAK;sokak;302482
RİZE;ARDEŞEN;CUMHURİYET;ULUDAĞ SOKAK;sokak;315608810
RİZE;ARDEŞEN;CUMHURİYET;YUNUS EMRE SOKAK;sokak;552359
RİZE;ARDEŞEN;ÇIRAKLAR - AÇIKMEŞE;AÇIKMEŞE KÜME EVLER;sokak;551002
RİZE;ARDEŞEN;ÇIRAKLAR - ÇIRAKLAR;ÇIRAKLAR KÜME EVLER;sokak;553415
RİZE;ARDEŞEN;ÇIRAKLAR - DENİZLİ;DENİZLİ KÜME EVLER;sokak;378082
RİZE;ARDEŞEN;ÇİFTEKAVAK;ARDEŞEN KARADENİZ SAHİL YOLU CADDE;cadde;266936140
RİZE;ARDEŞEN;ÇİFTEKAVAK;ATATÜRK CADDE;cadde;642400
RİZE;ARDEŞEN;ÇİFTEKAVAK;ÇİFTEKAVAK KÜME EVLER;sokak;302434
RİZE;ARDEŞEN;ÇİFTEKAVAK;KARADENİZ SAHİL YOLU/1 CADDE;cadde;806134170
RİZE;ARDEŞEN;ÇİFTEKAVAK;ÖĞRETMEN RASİM AYAN CADDE;cadde;272349391
RİZE;ARDEŞEN;DENİZ;ABDÜLHAMİT SOKAK;sokak;302435
RİZE;ARDEŞEN;DENİZ;ARDEŞEN KARADENİZ SAHİL YOLU CADDE;cadde;549381210
RİZE;ARDEŞEN;DENİZ;ATATÜRK CADDE;cadde;302436
RİZE;ARDEŞEN;DENİZ;AZERBAYCAN CADDE;cadde;302437
RİZE;ARDEŞEN;DENİZ;BAĞDAT CADDE;cadde;302438
RİZE;ARDEŞEN;DENİZ;BOSNA 1 SOKAK;sokak;301456760
RİZE;ARDEŞEN;DENİZ;BOSNA CADDE;cadde;667610320
RİZE;ARDEŞEN;DENİZ;ÇEÇENİSTAN CADDE;cadde;302451
RİZE;ARDEŞEN;DENİZ;DENİZ CADDE;cadde;672144
RİZE;ARDEŞEN;DENİZ;DOSTLAR CADDE;cadde;302442
