il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1497 KÜME EVLER;sokak;755934
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1498 KÜME EVLER KÜME EVLER;sokak;756342
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1501 KÜME EVLER KÜME EVLER;sokak;758122
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1502 KÜME EVLER KÜME EVLER;sokak;760811
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1506 KÜME EVLER KÜME EVLER;sokak;760899
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1507 KÜME EVLER;sokak;752746
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1508 KÜME EVLER KÜME EVLER;sokak;756975
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1509 KÜME EVLER KÜME EVLER;sokak;748545
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1510 KÜME EVLER KÜME EVLER;sokak;748643
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1511 KÜME EVLER KÜME EVLER;sokak;750240
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1512 KÜME EVLER KÜME EVLER;sokak;756855
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1514 KÜME EVLER;sokak;189260
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1515 KÜME EVLER KÜME EVLER;sokak;760898
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1516 KÜME EVLER KÜME EVLER;sokak;760900
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1518 KÜME EVLER;sokak;750207
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1519 KÜME EVLER;sokak;759606
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1520 KÜME EVLER KÜME EVLER;sokak;749496
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1521 KÜME EVLER KÜME EVLER;sokak;879482
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1522 KÜMEEVLER KÜME EVLER;sokak;749717
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1523 KÜME EVLER KÜME EVLER;sokak;748828
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1524 KÜME EVLER KÜME EVLER;sokak;294832
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1525 KÜME EVLER KÜME EVLER;sokak;750628
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1526 KÜME EVLER KÜME EVLER;sokak;138280
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1527 KÜME EVLER KÜME EVLER;sokak;751677
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1528 KÜME EVLER KÜME EVLER;sokak;753739
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1534 KÜME EVLER;sokak;759962
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1535 KÜMEEVLER KÜME EVLER;sokak;754391
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1536 KÜME EVLER KÜME EVLER;sokak;750210
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1537 KÜME EVLER KÜME EVLER;sokak;753737
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1538 KÜME EVLER KÜME EVLER;sokak;448193
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1539 KÜME EVLER KÜME EVLER;sokak;294834
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1540 KÜME EVLER KÜME EVLER;sokak;750208
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1541 KÜME EVLER KÜME EVLER;sokak;750638
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1542 KÜME EVLER KÜME EVLER;sokak;751045
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1543 KÜME EVLER KÜME EVLER;sokak;760179
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1545 KÜME EVLER;sokak;750212
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1546 KÜME EVLER;sokak;750209
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1548 KÜME EVLER;sokak;138273
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1549 KÜME EVLER KÜME EVLER;sokak;279818
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1550 KÜME EVLER KÜME EVLER;sokak;751440
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1551 KÜME EVLER;sokak;751918
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1552 KÜME EVLER;sokak;789235390
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1552/1 KÜME EVLER;sokak;750643
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1553 KÜME EVLER KÜME EVLER;sokak;750649
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1554 KÜME EVLER KÜME EVLER;sokak;462282
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1555 KÜME EVLER;sokak;753741
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1556 KÜME EVLER KÜME EVLER;sokak;749931
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1557 KÜME EVLER KÜME EVLER;sokak;750035
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1558 KÜMEEVLER KÜME EVLER;sokak;752747
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1559 KÜME EVLER KÜME EVLER;sokak;756853
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1565 KÜME EVLER KÜME EVLER;sokak;445907
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1566 KÜME EVLER KÜME EVLER;sokak;751463
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1567 KÜME EVLER KÜME EVLER;sokak;751454
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1568 KÜME EVLER KÜME EVLER;sokak;445903
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1569 KÜME EVLER KÜME EVLER;sokak;138291
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1570 KÜME EVLER KÜME EVLER;sokak;758473
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1571 KÜME EVLER KÜME EVLER;sokak;757132
SAKARYA;ADAPAZARI;15 TEMMUZ CAMİLİ;1572 KÜME EVLER KÜME EVLER;sokak;749801
