il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
SAMSUN;19 MAYIS;AYDINPINAR;KARACAGEYİK SOKAK;sokak;32485
SAMSUN;19 MAYIS;AYDINPINAR;KUMGELİK 1. SOKAK;sokak;26073
SAMSUN;19 MAYIS;AYDINPINAR;KUMGELİK 2. SOKAK;sokak;26074
SAMSUN;19 MAYIS;AYDINPINAR;MERKEZ SOKAK;sokak;26075
SAMSUN;19 MAYIS;BAHÇELİEVLER;23 NİSAN CADDE;cadde;389093
SAMSUN;19 MAYIS;BAHÇELİEVLER;401. SOKAK;sokak;997743740
SAMSUN;19 MAYIS;BAHÇELİEVLER;402. SOKAK;sokak;972380670
SAMSUN;19 MAYIS;BAHÇELİEVLER;403. SOKAK;sokak;555107050
SAMSUN;19 MAYIS;BAHÇELİEVLER;404. SOKAK;sokak;497349160
SAMSUN;19 MAYIS;BAHÇELİEVLER;405. SOKAK;sokak;826009820
SAMSUN;19 MAYIS;BAHÇELİEVLER;406. SOKAK;sokak;929136490
SAMSUN;19 MAYIS;BAHÇELİEVLER;407. SOKAK;sokak;268195650
SAMSUN;19 MAYIS;BAHÇELİEVLER;408. SOKAK;sokak;647025580
SAMSUN;19 MAYIS;BAHÇELİEVLER;409. SOKAK;sokak;601809320
SAMSUN;19 MAYIS;BAHÇELİEVLER;410. SOKAK;sokak;574612200
SAMSUN;19 MAYIS;BAHÇELİEVLER;411. SOKAK;sokak;151784780
SAMSUN;19 MAYIS;BAHÇELİEVLER;412. SOKAK;sokak;755519520
SAMSUN;19 MAYIS;BAHÇELİEVLER;426. SOKAK;sokak;975206391
SAMSUN;19 MAYIS;BAHÇELİEVLER;431. SOKAK;sokak;279550380
SAMSUN;19 MAYIS;BAHÇELİEVLER;ATATÜRK BULVARI BULVAR;sokak;79440
SAMSUN;19 MAYIS;BAHÇELİEVLER;BAHÇELİEVLER YAVUZ_3 SOKAK;sokak;79445
SAMSUN;19 MAYIS;BAHÇELİEVLER;BEKTAŞLAR CADDE;cadde;79441
