il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
ŞANLIURFA;AKÇAKALE;ACIKUYU;ACIKUYU KÜME EVLER;sokak;352393
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;400 SOKAK;sokak;1146086
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;401 SOKAK;sokak;1146088
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;402 SOKAK;sokak;1146090
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;403 SOKAK;sokak;1146092
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;404 SOKAK;sokak;1146094
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;405 SOKAK;sokak;1146096
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;406 SOKAK;sokak;1146098
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;407 SOKAK;sokak;1146100
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;408 SOKAK;sokak;1146104
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;409 SOKAK;sokak;1146106
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;410 SOKAK;sokak;1146108
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;411 SOKAK;sokak;1146110
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;412 SOKAK;sokak;1146112
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;413 SOKAK;sokak;1146114
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;414 SOKAK;sokak;1146116
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;416 SOKAK;sokak;1146120
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;417 SOKAK;sokak;1146122
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;418 SOKAK;sokak;1146124
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;419 SOKAK;sokak;1283805
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;451 SOKAK;sokak;745934011
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;452 SOKAK;sokak;649629540
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;453 SOKAK;sokak;658747031
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;454 SOKAK;sokak;686923001
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;460 SOKAK;sokak;539384111
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;461 SOKAK;sokak;726188121
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;462 SOKAK;sokak;111190471
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;464 SOKAK;sokak;563699601
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;465 SOKAK;sokak;464841191
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;466 SOKAK;sokak;351602821
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;467 SOKAK;sokak;732358141
ŞANLIURFA;AKÇAKALE;ADNAN MENDERES;468 SOKAK;sokak;867803271
