il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
SİİRT;BAYKAN;ADAKALE - TOPRAKLI;TOPRAKLI KÜME EVLER;sokak;576894
SİİRT;BAYKAN;ADAKALE - TOPTEPE;TOPTEPE KÜME EVLER;sokak;81821
SİİRT;BAYKAN;ADAKALE NA;ADAKALE KÜME EVLER;sokak;569592
SİİRT;BAYKAN;ARDIÇDALI NA;ARDIÇDALI KÜME EVLER;sokak;94369
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;101 SOKAK;sokak;1067485
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;102 SOKAK;sokak;1068392
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;103 SOKAK;sokak;1068394
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;104 SOKAK;sokak;1068396
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;105 SOKAK;sokak;1068428
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;106 SOKAK;sokak;1068434
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;107 SOKAK;sokak;1070641
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;108 SOKAK;sokak;1077256
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;111 SOKAK;sokak;1070639
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;112 SOKAK;sokak;1070637
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;113 SOKAK;sokak;1070635
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;113/1 SOKAK;sokak;722736911
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;114 SOKAK;sokak;1070633
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;201 SOKAK;sokak;1067547
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;202 SOKAK;sokak;1067545
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;203 SOKAK;sokak;1067543
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;204 SOKAK;sokak;1067549
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;205 SOKAK;sokak;1067551
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;206 SOKAK;sokak;1067553
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;207 SOKAK;sokak;1067557
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;208 SOKAK;sokak;1067555
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;209 SOKAK;sokak;1073522
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;210 SOKAK;sokak;1067487
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;211 SOKAK;sokak;1067505
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;212 SOKAK;sokak;1067541
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;213 SOKAK;sokak;1074526
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;301 SOKAK;sokak;1073524
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;302 SOKAK;sokak;1073526
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;303 SOKAK;sokak;1073528
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;305 SOKAK;sokak;1077264
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;307 SOKAK;sokak;1073530
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;308 SOKAK;sokak;1073542
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;309 SOKAK;sokak;1073532
SİİRT;BAYKAN;ATABAĞI - ATABAĞI;309_1 SOKAK;sokak;141770340
