il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
SİNOP;AYANCIK;ABDÜLKADİRKÖY - KADİR;KADİR KÜME EVLER;sokak;487790
SİNOP;AYANCIK;ABDÜLKADİRKÖY - KIRAN;KIRAN KÜME EVLER;sokak;499854
SİNOP;AYANCIK;ABDÜLKADİRKÖY - YUNUS;YUNUS KÜME EVLER;sokak;499481
SİNOP;AYANCIK;AĞAÇLI - HARZANA;HARZANA KÜME EVLER;sokak;490542
SİNOP;AYANCIK;AĞAÇLI - MERKEZ;MERKEZ KÜME EVLER;sokak;490556
SİNOP;AYANCIK;AĞAÇLI - ŞERBETÇİ;ŞERBETÇİ KÜME EVLER;sokak;487807
SİNOP;AYANCIK;AKÇAKESE - GEMRE;GEMRE KÜME EVLER;sokak;358605
SİNOP;AYANCIK;AKÇAKESE - MERKEZ;MERKEZ KÜME EVLER;sokak;492836
SİNOP;AYANCIK;AKÇAKESE - PİR;PİR KÜME EVLER;sokak;490087
SİNOP;AYANCIK;AKÖREN - BÖRKÜCEK;BÖRKÜCEK KÜME EVLER;sokak;498049
SİNOP;AYANCIK;AKÖREN - DALIP;DALIP KÜME EVLER;sokak;487926
SİNOP;AYANCIK;AKÖREN - DOGALAŞA;DOGALAŞA KÜME EVLER;sokak;496268
SİNOP;AYANCIK;AKÖREN - KOVANLIK;KOVANLIK KÜME EVLER;sokak;487893
SİNOP;AYANCIK;AKÖREN - MERKEZ;AKÖREN KÜME EVLER;sokak;496647
SİNOP;AYANCIK;ALİKÖY - MERKEZ;MERKEZ KÜME EVLER;sokak;494420
SİNOP;AYANCIK;ARMUTLUYAZI - AŞAĞI;AŞAĞI KÜME EVLER;sokak;493640
SİNOP;AYANCIK;ARMUTLUYAZI - MERKEZ;MERKEZ KÜME EVLER;sokak;495732
SİNOP;AYANCIK;ARMUTLUYAZI - ŞABANOĞLU;ŞABANOĞLU KÜME EVLER;sokak;498961
SİNOP;AYANCIK;ARMUTLUYAZI - URGANGERİŞ;URGANGERİŞ KÜME EVLER;sokak;486850
SİNOP;AYANCIK;ARMUTLUYAZI - YUKARI;YUKARI KÜME EVLER;sokak;493184
SİNOP;AYANCIK;AŞAĞIKÖY - MERKEZ;MERKEZ KÜME EVLER;sokak;496629
SİNOP;AYANCIK;AŞAĞIKÖY - YUKARI;YUKARI KÜME EVLER;sokak;72260
SİNOP;AYANCIK;AVDULLU - MERKEZ;MERKEZ KÜME EVLER;sokak;486963
SİNOP;AYANCIK;AVDULLU - SAĞ;SAĞ KÜME EVLER;sokak;494400
SİNOP;AYANCIK;AVDULLU - TAŞMAN;TAŞMAN KÜME EVLER;sokak;499823
SİNOP;AYANCIK;AYGÖRDÜ - BERİGÜNEY;BERİGÜNEY KÜME EVLER;sokak;496690
SİNOP;AYANCIK;AYGÖRDÜ - DOĞACI;DOĞACI KÜME EVLER;sokak;349650
SİNOP;AYANCIK;AYGÖRDÜ - MERKEZ;MERKEZ KÜME EVLER;sokak;496249
SİNOP;AYANCIK;AYGÖRDÜ - ÖTEGÜNEY;ÖTEGÜNEY KÜME EVLER;sokak;496626
SİNOP;AYANCIK;BABAÇAY - AYIP;HATLI KÜME EVLER;sokak;499496
SİNOP;AYANCIK;BABAÇAY - FIRINCIK;FIRINCIK KÜME EVLER;sokak;488697
SİNOP;AYANCIK;BABAÇAY - HATLI;AYIP KÜME EVLER;sokak;491454
SİNOP;AYANCIK;BABAÇAY - KESECİK;KESECİK KÜME EVLER;sokak;488679
SİNOP;AYANCIK;BABAÇAY - KIRINDI;KIRINDI KÜME EVLER;sokak;491507
SİNOP;AYANCIK;BABAÇAY - KİBAROĞLU;KİBAROĞLU KÜME EVLER;sokak;491449
SİNOP;AYANCIK;BABAÇAY - MAKAS;MAKAS KÜME EVLER;sokak;491886
SİNOP;AYANCIK;BABAÇAY - SARNIÇ;SARNIÇ KÜME EVLER;sokak;488675
SİNOP;AYANCIK;BABAKÖY - BÜYÜKDÜZ;BÜYÜKDÜZ KÜME EVLER;sokak;487270
SİNOP;AYANCIK;BABAKÖY - GELECEK;GELECEK KÜME EVLER;sokak;497626
SİNOP;AYANCIK;BABAKÖY - KIZILCAELMA;KIZILCAELMA KÜME EVLER;sokak;499475
SİNOP;AYANCIK;BABAKÖY - MERKEZ;MERKEZ KÜME EVLER;sokak;498578
SİNOP;AYANCIK;BAHÇELİ - DEVRENT;DEVRENT KÜME EVLER;sokak;489623
SİNOP;AYANCIK;BAHÇELİ - MERKEZ;MERKEZ KÜME EVLER;sokak;487761
SİNOP;AYANCIK;BAKIRLI - AKSU;AKSU KÜME EVLER;sokak;486987
SİNOP;AYANCIK;BAKIRLI - BALCA;BALCA KÜME EVLER;sokak;487000
SİNOP;AYANCIK;BAKIRLI - DUGARSÖKÜ;DUGARSÖKÜ KÜME EVLER;sokak;490151
SİNOP;AYANCIK;BAKIRLI - ELEMİN;ELEMİN KÜME EVLER;sokak;486996
SİNOP;AYANCIK;BAKIRLI - HACIOĞLU;HACIOĞLU KÜME EVLER;sokak;486985
SİNOP;AYANCIK;BAKIRLI - İNALTI ORMAN;İNALTI ORMAN KÜME EVLER;sokak;494426
SİNOP;AYANCIK;BAKIRLI - KÖYYERİ;KÖYYERİ KÜME EVLER;sokak;494431
SİNOP;AYANCIK;BAKIRLI - MERKEZ;MERKEZ KÜME EVLER;sokak;493248
SİNOP;AYANCIK;BAKIRLI - SEKİCEK;SEKİCEK KÜME EVLER;sokak;497552
SİNOP;AYANCIK;BAKIRLI - SÜNGÜR;SÜNGÜR KÜME EVLER;sokak;487434
SİNOP;AYANCIK;BAKIRLIZAVİYE - CİVREYİL;CİVREYİL KÜME EVLER;sokak;90906
SİNOP;AYANCIK;BAKIRLIZAVİYE - ÇAMCUĞAZ;ÇAMCUĞAZ KÜME EVLER;sokak;36071
SİNOP;AYANCIK;BAKIRLIZAVİYE - KUZDAĞI;KUZDAĞI KÜME EVLER;sokak;72321
SİNOP;AYANCIK;BAKIRLIZAVİYE - MERKEZ;MERKEZ KÜME EVLER;sokak;488158
SİNOP;AYANCIK;BAKIRLIZAVİYE - YUKARI KUZDAĞI;YUKARI KUZDAĞI KÜME EVLER;sokak;72280
SİNOP;AYANCIK;BELPINAR - DERE;DERE KÜME EVLER;sokak;353025
SİNOP;AYANCIK;BELPINAR - GÜNEY;GÜNEY KÜME EVLER;sokak;353071
SİNOP;AYANCIK;BELPINAR - HASANÇE;HASANÇE KÜME EVLER;sokak;492906
SİNOP;AYANCIK;BELPINAR - MADEN;MADEN KÜME EVLER;sokak;354326
SİNOP;AYANCIK;BELPINAR - SERÇEBACAK;SERÇEBACAK KÜME EVLER;sokak;353049
SİNOP;AYANCIK;BEŞİKTAŞ;10 NOLU SOKAK;sokak;98437296
SİNOP;AYANCIK;BEŞİKTAŞ;11 NOLU SOKAK;sokak;346541290
SİNOP;AYANCIK;BEŞİKTAŞ;12 NOLU SOKAK;sokak;590402380
SİNOP;AYANCIK;BEŞİKTAŞ;1918 NOLU SOKAK;sokak;766645310
SİNOP;AYANCIK;BEŞİKTAŞ;1919 NOLU SOKAK;sokak;486729350
SİNOP;AYANCIK;BEŞİKTAŞ;1920 NOLU SOKAK;sokak;127036091
SİNOP;AYANCIK;BEŞİKTAŞ;1923 NOLU SOKAK;sokak;561474731
SİNOP;AYANCIK;BEŞİKTAŞ;1938 NOLU SOKAK;sokak;917423120
SİNOP;AYANCIK;BEŞİKTAŞ;9NOLU SOKAK;sokak;631930981
SİNOP;AYANCIK;BEŞİKTAŞ;ALİ ÇAYLI CADDE;cadde;926467
SİNOP;AYANCIK;BEŞİKTAŞ;BİLYEDİN SOKAK;sokak;926450
SİNOP;AYANCIK;BEŞİKTAŞ;CEMRE SOKAK;sokak;1273077
SİNOP;AYANCIK;BEŞİKTAŞ;ÇAM SOKAK;sokak;357468
SİNOP;AYANCIK;BEŞİKTAŞ;DEFNE CADDE;cadde;343148
SİNOP;AYANCIK;BEŞİKTAŞ;DERYA GÜLÜ SOKAK;sokak;1273075
SİNOP;AYANCIK;BEŞİKTAŞ;DESTAN SOKAK;sokak;926452
SİNOP;AYANCIK;BEŞİKTAŞ;DEVRAN SOKAK;sokak;926453
SİNOP;AYANCIK;BEŞİKTAŞ;DİREN SOKAK;sokak;1332787
SİNOP;AYANCIK;BEŞİKTAŞ;DİYAR SOKAK;sokak;1273093
SİNOP;AYANCIK;BEŞİKTAŞ;DOLUNAY SOKAK;sokak;869131000
SİNOP;AYANCIK;BEŞİKTAŞ;GÜMÜŞ SOKAK;sokak;1273095
SİNOP;AYANCIK;BEŞİKTAŞ;HALİT KALAFAT SOKAK;sokak;926430
SİNOP;AYANCIK;BEŞİKTAŞ;HURMA SOKAK;sokak;926435
SİNOP;AYANCIK;BEŞİKTAŞ;İMALATÇILAR SOKAK;sokak;892769
SİNOP;AYANCIK;BEŞİKTAŞ;İSTİKLAL SOKAK;sokak;1273081
SİNOP;AYANCIK;BEŞİKTAŞ;KADİR BOZKURT CADDE;cadde;992082
SİNOP;AYANCIK;BEŞİKTAŞ;KARANFİL SOKAK;sokak;926466
SİNOP;AYANCIK;BEŞİKTAŞ;KARTAL SOKAK;sokak;357467
SİNOP;AYANCIK;BEŞİKTAŞ;KAVALECİ SOKAK;sokak;1084655
SİNOP;AYANCIK;BEŞİKTAŞ;KAYIN SOKAK;sokak;357465
