il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
SİVAS;AKINCILAR;ABDURRAHMAN NA;ABDURRAHMAN KÜME EVLER;sokak;88576
SİVAS;AKINCILAR;ALTINTEPE;100 SOKAK;sokak;20639894
SİVAS;AKINCILAR;ALTINTEPE;11 SOKAK;sokak;20478673
SİVAS;AKINCILAR;ALTINTEPE;111 SOKAK;sokak;41894403
SİVAS;AKINCILAR;ALTINTEPE;113 SOKAK;sokak;70054614
SİVAS;AKINCILAR;ALTINTEPE;115 SOKAK;sokak;81532673
SİVAS;AKINCILAR;ALTINTEPE;116 SOKAK;sokak;128992741
SİVAS;AKINCILAR;ALTINTEPE;33 SOKAK;sokak;196405490
SİVAS;AKINCILAR;ALTINTEPE;44 SOKAK;sokak;483940760
SİVAS;AKINCILAR;ALTINTEPE;55 SOKAK;sokak;83983874
SİVAS;AKINCILAR;ALTINTEPE;66 SOKAK;sokak;94679743
SİVAS;AKINCILAR;ALTINTEPE;77 SOKAK;sokak;839977670
SİVAS;AKINCILAR;ALTINTEPE;88 SOKAK;sokak;16276396
SİVAS;AKINCILAR;ALTINTEPE;99 SOKAK;sokak;70098694
SİVAS;AKINCILAR;ALTINTEPE;ATATÜRK CADDE;cadde;91270074
SİVAS;AKINCILAR;ALTINTEPE;ŞENBAĞLAR YOLU CADDE;cadde;337038
SİVAS;AKINCILAR;ALTINTEPE;TOKAT ERZİNCAN BULVAR;sokak;307857600
SİVAS;AKINCILAR;AŞAĞIYENİKÖY - HAREMUŞAĞI;HAREMUŞAĞI KÜME EVLER;sokak;607035
SİVAS;AKINCILAR;AŞAĞIYENİKÖY NA;AŞAĞIYENİKÖY KÜME EVLER;sokak;607943
SİVAS;AKINCILAR;AVŞAR NA;AVŞAR KÜME EVLER;sokak;615452
SİVAS;AKINCILAR;BALÇIK - ÇÖRENGEÇ;ÇÖRENGEÇ KÜME EVLER;sokak;606573
SİVAS;AKINCILAR;BALÇIK NA;BALÇIK KÜME EVLER;sokak;607951
SİVAS;AKINCILAR;BALLIDERE - BULAK;BULAK KÜME EVLER;sokak;632830
SİVAS;AKINCILAR;BALLIDERE - TIRÇİK;TIRÇİK KÜME EVLER;sokak;629410
SİVAS;AKINCILAR;BALLIDERE NA;BALLIDERE KÜME EVLER;sokak;629425
SİVAS;AKINCILAR;CUMHURİYET;201 SOKAK;sokak;296583250
SİVAS;AKINCILAR;CUMHURİYET;202 SOKAK;sokak;295207070
SİVAS;AKINCILAR;CUMHURİYET;203 SOKAK;sokak;953406000
SİVAS;AKINCILAR;CUMHURİYET;204 SOKAK;sokak;311598580
SİVAS;AKINCILAR;CUMHURİYET;205 SOKAK;sokak;681418450
SİVAS;AKINCILAR;CUMHURİYET;206 SOKAK;sokak;961239140
SİVAS;AKINCILAR;CUMHURİYET;207 SOKAK;sokak;384915020
SİVAS;AKINCILAR;CUMHURİYET;208 SOKAK;sokak;440853710
SİVAS;AKINCILAR;CUMHURİYET;209 SOKAK;sokak;492985990
SİVAS;AKINCILAR;CUMHURİYET;210 SOKAK;sokak;303019560
SİVAS;AKINCILAR;CUMHURİYET;211 SOKAK;sokak;380922270
SİVAS;AKINCILAR;CUMHURİYET;212 SOKAK;sokak;241098370
SİVAS;AKINCILAR;CUMHURİYET;213 SOKAK;sokak;651248360
SİVAS;AKINCILAR;CUMHURİYET;214 SOKAK;sokak;917776311
SİVAS;AKINCILAR;CUMHURİYET;215 SOKAK;sokak;250371931
SİVAS;AKINCILAR;CUMHURİYET;216 SOKAK;sokak;469477501
SİVAS;AKINCILAR;CUMHURİYET;217 SOKAK;sokak;628846891
SİVAS;AKINCILAR;CUMHURİYET;218 SOKAK;sokak;186143391
SİVAS;AKINCILAR;CUMHURİYET;219 SOKAK;sokak;912195431
SİVAS;AKINCILAR;CUMHURİYET;220 SOKAK;sokak;503448371
SİVAS;AKINCILAR;CUMHURİYET;221 SOKAK;sokak;301595601
SİVAS;AKINCILAR;CUMHURİYET;CUMHURİYET CADDE;cadde;337039
SİVAS;AKINCILAR;CUMHURİYET;DUMAN SOKAK;sokak;470814
SİVAS;AKINCILAR;CUMHURİYET;FİKRET TEKİN- CADDE;cadde;337040
SİVAS;AKINCILAR;CUMHURİYET;GÖKMEN ÇİÇEK CADDE;cadde;1108811
SİVAS;AKINCILAR;CUMHURİYET;GÜMÜŞHANE SOKAK;sokak;612645
SİVAS;AKINCILAR;CUMHURİYET;HAL MEYDANI MEYDAN;sokak;676123
SİVAS;AKINCILAR;CUMHURİYET;HASPINAR SOKAK;sokak;337041
SİVAS;AKINCILAR;CUMHURİYET;HOCA AHMET YESEVİ CADDE;cadde;470815
SİVAS;AKINCILAR;CUMHURİYET;İKİZYURT YOLU SOKAK;sokak;961037830
SİVAS;AKINCILAR;CUMHURİYET;KAHRAMANLAR SOKAK;sokak;862881
SİVAS;AKINCILAR;CUMHURİYET;KANAL YOLU SOKAK;sokak;248285270
SİVAS;AKINCILAR;CUMHURİYET;MEYDAN SOKAK;sokak;337042
SİVAS;AKINCILAR;CUMHURİYET;ŞAHİNLER SOKAK;sokak;337044
SİVAS;AKINCILAR;CUMHURİYET;ŞEHİT ASTSUBAYKIDEMLİ BAŞÇAVUŞ ÖMER HALİSDEMİR CADDE;cadde;205194430
SİVAS;AKINCILAR;CUMHURİYET;TOKAT ERZİNCAN BULVAR;sokak;543956940
SİVAS;AKINCILAR;CUMHURİYET;YAKUT SOKAK;sokak;337043
SİVAS;AKINCILAR;CUMHURİYET;YEŞİLYURT SOKAK;sokak;617343
SİVAS;AKINCILAR;ÇİÇEKLİ NA;ÇİÇEKLİ KÜME EVLER;sokak;611168
SİVAS;AKINCILAR;DERECİK NA;DERECİK KÜME EVLER;sokak;599193
SİVAS;AKINCILAR;DOĞANTEPE NA;DOĞANTEPE KÜME EVLER;sokak;321572
SİVAS;AKINCILAR;DÜNDAR NA;DÜNDAR KÜME EVLER;sokak;605799
SİVAS;AKINCILAR;EKENEK NA;EKENEK KÜME EVLER;sokak;607015
SİVAS;AKINCILAR;ELİBÜYÜK NA;ELİBÜYÜK KÜME EVLER;sokak;614191
SİVAS;AKINCILAR;ESKİBAĞ NA;ESKİBAĞ KÜME EVLER;sokak;572086
SİVAS;AKINCILAR;GEYİKPINAR NA;GEYİKPINAR KÜME EVLER;sokak;608189
SİVAS;AKINCILAR;GÖLLÜCE NA;GÖLLÜCE KÜME EVLER;sokak;617737
SİVAS;AKINCILAR;GÖNEN;302 SOKAK;sokak;560147150
SİVAS;AKINCILAR;GÖNEN;304 SOKAK;sokak;962229140
SİVAS;AKINCILAR;GÖNEN;305 SOKAK;sokak;274282180
SİVAS;AKINCILAR;GÖNEN;306 SOKAK;sokak;970263220
SİVAS;AKINCILAR;GÖNEN;307 SOKAK;sokak;203989210
SİVAS;AKINCILAR;GÖNEN;308 SOKAK;sokak;621853760
SİVAS;AKINCILAR;GÖNEN;309 SOKAK;sokak;995307270
SİVAS;AKINCILAR;GÖNEN;310 SOKAK;sokak;102912500
SİVAS;AKINCILAR;GÖNEN;311 SOKAK;sokak;701727390
SİVAS;AKINCILAR;GÖNEN;312 SOKAK;sokak;1414637
SİVAS;AKINCILAR;GÖNEN;313 SOKAK;sokak;1414639
SİVAS;AKINCILAR;GÖNEN;314 SOKAK;sokak;1478435
SİVAS;AKINCILAR;GÖNEN;315 SOKAK;sokak;1505055
SİVAS;AKINCILAR;GÖNEN;316 SOKAK;sokak;1494697
SİVAS;AKINCILAR;GÖNEN;317 SOKAK;sokak;171129391
SİVAS;AKINCILAR;GÖNEN;318 SOKAK;sokak;269989631
SİVAS;AKINCILAR;GÖNEN;319 SOKAK;sokak;793553351
SİVAS;AKINCILAR;GÖNEN;320 SOKAK;sokak;467979241
SİVAS;AKINCILAR;GÖNEN;321 SOKAK;sokak;276707931
SİVAS;AKINCILAR;GÖNEN;322 SOKAK;sokak;740357421
SİVAS;AKINCILAR;GÖNEN;323 SOKAK;sokak;512032711
SİVAS;AKINCILAR;GÖNEN;324 SOKAK;sokak;617429791
SİVAS;AKINCILAR;GÖNEN;325 SOKAK;sokak;966051591
SİVAS;AKINCILAR;GÖNEN;326 SOKAK;sokak;285678321
SİVAS;AKINCILAR;GÖNEN;327 SOKAK;sokak;993253831
SİVAS;AKINCILAR;GÖNEN;ARSLANLAR KÜME EVLER;sokak;470816
SİVAS;AKINCILAR;GÖNEN;BİNALİ YILDIRIM CADDE;cadde;1108805
SİVAS;AKINCILAR;GÖNEN;COŞKUN SOKAK;sokak;337046
SİVAS;AKINCILAR;GÖNEN;FİKRET TEKİN CADDE;cadde;337047
SİVAS;AKINCILAR;GÖNEN;KELEŞ SOKAK;sokak;449844
SİVAS;AKINCILAR;GÖNEN;KIRAÇ KÖY KÜME EVLER;sokak;337048
SİVAS;AKINCILAR;GÖNEN;KİRAZ SOKAK;sokak;470818
SİVAS;AKINCILAR;GÖNEN;KUZU KÜME EVLER;sokak;337049
SİVAS;AKINCILAR;GÖNEN;MENEKŞE SOKAK;sokak;337050
SİVAS;AKINCILAR;GÖNEN;PAPATYA SOKAK;sokak;337051
SİVAS;AKINCILAR;GÖNEN;ŞEHİT JANDARMA UZMAN ÇAVUŞ ONUR ALKAN CADDE;cadde;337045
SİVAS;AKINCILAR;GÖNEN;TOKAT ERZİNCAN BULVAR;sokak;130083130
SİVAS;AKINCILAR;İKİZYURT;AZİZ KÜME EVLER;sokak;88614
SİVAS;AKINCILAR;İKİZYURT;İKİZYURT KÜME EVLER;sokak;616812
SİVAS;AKINCILAR;KAVAKKÖY NA;KAVAK KÜME EVLER;sokak;127244
SİVAS;AKINCILAR;KAYI NA;KAYI KÜME EVLER;sokak;598391
SİVAS;AKINCILAR;KILIÇ NA;KILIÇ KÜME EVLER;sokak;611996
SİVAS;AKINCILAR;ONARI NA;ONARI KÜME EVLER;sokak;607000
SİVAS;AKINCILAR;ORTAKÖY NA;ORTAKÖY KÜME EVLER;sokak;627749
SİVAS;AKINCILAR;SAPANLI NA;SAPANLI KÜME EVLER;sokak;622324
SİVAS;AKINCILAR;SEVİNDİK NA;SEVİNDİK KÜME EVLER;sokak;609248
SİVAS;AKINCILAR;SIYRINDI NA;SIYRINDI KÜME EVLER;sokak;626401
SİVAS;AKINCILAR;ŞENBAĞLAR NA;ŞENBAĞLAR KÜME EVLER;sokak;619549
SİVAS;AKINCILAR;UĞRUNCA NA;UĞRUNCA KÜME EVLER;sokak;628046
SİVAS;AKINCILAR;ÜZENGİ NA;ÜZENGİ KÜME EVLER;sokak;626711
SİVAS;AKINCILAR;YAĞLIÇAYIR NA;YAĞLIÇAYIR KÜME EVLER;sokak;596581
SİVAS;AKINCILAR;YAYLA;401 SOKAK;sokak;185736260
SİVAS;AKINCILAR;YAYLA;402 SOKAK;sokak;988908170
SİVAS;AKINCILAR;YAYLA;403 SOKAK;sokak;874780380
SİVAS;AKINCILAR;YAYLA;404 SOKAK;sokak;505710580
SİVAS;AKINCILAR;YAYLA;405 SOKAK;sokak;1515427
SİVAS;AKINCILAR;YAYLA;406 SOKAK;sokak;1515429
