il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
TRABZON;AKÇAABAT;ACISU;1 NOLU CADDE;cadde;325867451
TRABZON;AKÇAABAT;ACISU;6 NOLU CADDE;cadde;297797170
TRABZON;AKÇAABAT;ACISU;ACISU ÇAMLIK KÜME EVLER;sokak;865604
TRABZON;AKÇAABAT;ACISU;ACISU DÜZ KÜME EVLER;sokak;877859
TRABZON;AKÇAABAT;ACISU;ACISU GÜNEY KÜME EVLER;sokak;574249
TRABZON;AKÇAABAT;ACISU;ACISU KIRAN KÜME EVLER;sokak;570843
TRABZON;AKÇAABAT;ACISU;ACISU RAŞİ KÜME EVLER;sokak;573537
TRABZON;AKÇAABAT;ACISU;BALIKLI MALOZ KÜME EVLER;sokak;454067
TRABZON;AKÇAABAT;ACISU;BALIKLI OBA KÜME EVLER;sokak;319565
TRABZON;AKÇAABAT;ACISU;BALLI YAYLA 1 KÜME EVLER;sokak;177430060
TRABZON;AKÇAABAT;ACISU;ÇİTLİ KÜME EVLER;sokak;1251949
TRABZON;AKÇAABAT;ACISU;DEYORON KÜME EVLER;sokak;567275
TRABZON;AKÇAABAT;ACISU;KÖSELİ KÜME EVLER;sokak;574686
TRABZON;AKÇAABAT;ACISU;KUMSAL KÜME EVLER;sokak;573165
TRABZON;AKÇAABAT;ACISU;KURUÇAM KURUÇAM KÜME EVLER;sokak;1262193
TRABZON;AKÇAABAT;ACISU;NEPSİLOZ ŞAHİNLİ 2 KÜME EVLER;sokak;118885000
TRABZON;AKÇAABAT;ACISU;NESİ KÜME EVLER;sokak;576959
TRABZON;AKÇAABAT;ACISU;ORTA KIRAN KÜME EVLER;sokak;1251951
TRABZON;AKÇAABAT;ACISU;SİSİRNA YAYLASI- KÜME EVLER;sokak;1258585
TRABZON;AKÇAABAT;ACISU;SORİYA KÜME EVLER;sokak;352291
TRABZON;AKÇAABAT;ACISU;YAYLACIK KÜME EVLER;sokak;564723
TRABZON;AKÇAABAT;ADACIK;2685 NOLU SOKAK;sokak;543979220
TRABZON;AKÇAABAT;ADACIK;2902 NOLU SOKAK;sokak;715252650
TRABZON;AKÇAABAT;ADACIK;2904 NOLU SOKAK;sokak;641830560
TRABZON;AKÇAABAT;ADACIK;2905 NOLU SOKAK;sokak;309921430
