il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
TUNCELİ;ÇEMİŞGEZEK;AKÇAPINAR - HASTEK;HASTEK KÜME EVLER;sokak;491502
TUNCELİ;ÇEMİŞGEZEK;AKÇAPINAR - KOYUNARDI;KOYUNARDI KÜME EVLER;sokak;375664
TUNCELİ;ÇEMİŞGEZEK;AKÇAPINAR NA;AKÇAPINAR KÜME EVLER;sokak;487888
TUNCELİ;ÇEMİŞGEZEK;AKÇAPINAR NA;HASTEK KÜME EVLER;sokak;759356841
TUNCELİ;ÇEMİŞGEZEK;AKÇAYUNT - AKÇAYUNT;AKÇAYUNT KÜME EVLER;sokak;531409
TUNCELİ;ÇEMİŞGEZEK;ALAKUŞ NA;ALAKUŞ KÜME EVLER;sokak;514291
TUNCELİ;ÇEMİŞGEZEK;ANIL - ARDİGE;ARDİGE KÜME EVLER;sokak;516712
TUNCELİ;ÇEMİŞGEZEK;ANIL - KIZIL EVLER;KIZIL EVLER KÜME EVLER;sokak;514784
TUNCELİ;ÇEMİŞGEZEK;ANIL NA;ANIL KÜME EVLER;sokak;521941
TUNCELİ;ÇEMİŞGEZEK;ARPADEREN - DORUK;DORUK KÜME EVLER;sokak;510203
TUNCELİ;ÇEMİŞGEZEK;ARPADEREN NA;ARPADEREN KÜME EVLER;sokak;513472
TUNCELİ;ÇEMİŞGEZEK;AŞAĞIBUDAK NA;AŞAĞIBUDAK KÜME EVLER;sokak;514347
TUNCELİ;ÇEMİŞGEZEK;AŞAĞIDEMİRBÜK NA;AŞAĞIDEMİRBÜK KÜME EVLER;sokak;516078
TUNCELİ;ÇEMİŞGEZEK;BAĞSUYU NA;BAĞSUYU KÜME EVLER;sokak;522442
TUNCELİ;ÇEMİŞGEZEK;BOZAĞAÇ NA;BOZAĞAÇ KÜME EVLER;sokak;599651
TUNCELİ;ÇEMİŞGEZEK;BÜYÜKÖRENCE - AŞAĞI SAVUK;AŞAĞI SAVUK KÜME EVLER;sokak;520890
TUNCELİ;ÇEMİŞGEZEK;BÜYÜKÖRENCE - YUKARI SAVUK;YUKARI SAVUK KÜME EVLER;sokak;94495
TUNCELİ;ÇEMİŞGEZEK;BÜYÜKÖRENCE NA;BÜYÜKÖRENCE KÜME EVLER;sokak;527357
TUNCELİ;ÇEMİŞGEZEK;CEBE - MÜŞTAK;MÜŞTAK KÜME EVLER;sokak;531750
