il;ilce;mahalle;cadde_sokak;tip;uavt_kodu
UŞAK;BANAZ;31 AĞUSTOS;1. ATLI SOKAK;sokak;1143662
UŞAK;BANAZ;31 AĞUSTOS;1.AKASYA SOKAK;sokak;1193913
UŞAK;BANAZ;31 AĞUSTOS;1.AKŞAM SOKAK;sokak;409924220
UŞAK;BANAZ;31 AĞUSTOS;1.BAŞAK SOKAK;sokak;1355923
UŞAK;BANAZ;31 AĞUSTOS;1.ÇAKIROĞLU SOKAK;sokak;37570595
UŞAK;BANAZ;31 AĞUSTOS;1.ÇİĞDEM SOKAK;sokak;13189873
UŞAK;BANAZ;31 AĞUSTOS;1.ÇÖREKOTU SOKAK;sokak;73744104
UŞAK;BANAZ;31 AĞUSTOS;1.DENİZ SOKAK;sokak;1355931
UŞAK;BANAZ;31 AĞUSTOS;1.DERYA SOKAK;sokak;38978862
UŞAK;BANAZ;31 AĞUSTOS;1.DİLBER SOKAK;sokak;1193429
UŞAK;BANAZ;31 AĞUSTOS;1.EBRU SOKAK;sokak;41732322
UŞAK;BANAZ;31 AĞUSTOS;1.FULYA SOKAK;sokak;51051399
UŞAK;BANAZ;31 AĞUSTOS;1.GÜRLEK SOKAK;sokak;11264504
UŞAK;BANAZ;31 AĞUSTOS;1.HARMAN SOKAK;sokak;1355935
UŞAK;BANAZ;31 AĞUSTOS;1.HİSAR SOKAK;sokak;76384460
UŞAK;BANAZ;31 AĞUSTOS;1.İBİKLİ SOKAK;sokak;88318308
UŞAK;BANAZ;31 AĞUSTOS;1.KAKTÜS SOKAK;sokak;26178624
UŞAK;BANAZ;31 AĞUSTOS;1.KARACA AHMET SOKAK;sokak;34724393
UŞAK;BANAZ;31 AĞUSTOS;1.KARACA SOKAK;sokak;42582056
UŞAK;BANAZ;31 AĞUSTOS;1.KELEBEK SOKAK;sokak;1355941
UŞAK;BANAZ;31 AĞUSTOS;1.KENT SOKAK;sokak;42424929
UŞAK;BANAZ;31 AĞUSTOS;1.KIR SOKAK;sokak;1193915
UŞAK;BANAZ;31 AĞUSTOS;1.KORU SOKAK;sokak;45836970
UŞAK;BANAZ;31 AĞUSTOS;1.KRAL SOKAK;sokak;1193669
UŞAK;BANAZ;31 AĞUSTOS;1.LALE SOKAK;sokak;54996798
UŞAK;BANAZ;31 AĞUSTOS;1.LALEZAR SOKAK;sokak;392994740
UŞAK;BANAZ;31 AĞUSTOS;1.MESİR SOKAK;sokak;36712529
UŞAK;BANAZ;31 AĞUSTOS;1.ORMAN SOKAK;sokak;1193917
UŞAK;BANAZ;31 AĞUSTOS;1.ÖZER SOKAK;sokak;35289693
UŞAK;BANAZ;31 AĞUSTOS;1.PETEK SOKAK;sokak;1356039
UŞAK;BANAZ;31 AĞUSTOS;1.RÜZGAR SOKAK;sokak;74863309
UŞAK;BANAZ;31 AĞUSTOS;1.SAYAR SOKAK;sokak;42592576
UŞAK;BANAZ;31 AĞUSTOS;1.ŞEHİT MAHMUT DOLU SOKAK;sokak;10024289
UŞAK;BANAZ;31 AĞUSTOS;1.ŞHT.BEKİR KURT 1 SOKAK;sokak;66844598
UŞAK;BANAZ;31 AĞUSTOS;1.ŞHT.BEKİR KURT SOKAK;sokak;10732287
UŞAK;BANAZ;31 AĞUSTOS;1.ŞİMŞEK SOKAK;sokak;89237622
UŞAK;BANAZ;31 AĞUSTOS;1.ŞİRİN SOKAK;sokak;1193919
UŞAK;BANAZ;31 AĞUSTOS;1.YANAR SOKAK;sokak;25620485
UŞAK;BANAZ;31 AĞUSTOS;1.YAYLA SOKAK;sokak;41864323
UŞAK;BANAZ;31 AĞUSTOS;1.YEŞİLSU SOKAK;sokak;1356049
UŞAK;BANAZ;31 AĞUSTOS;1.YEŞİLYURT SOKAK;sokak;1193951
UŞAK;BANAZ;31 AĞUSTOS;2. ATLI SOKAK;sokak;1143670
UŞAK;BANAZ;31 AĞUSTOS;2.AKASYA SOKAK;sokak;1193671
UŞAK;BANAZ;31 AĞUSTOS;2.AKŞAM SOKAK;sokak;610340130
UŞAK;BANAZ;31 AĞUSTOS;2.BAŞAK SOKAK;sokak;1193921
UŞAK;BANAZ;31 AĞUSTOS;2.DENİZ SOKAK;sokak;1355933
UŞAK;BANAZ;31 AĞUSTOS;2.DERYA SOKAK;sokak;33070905
UŞAK;BANAZ;31 AĞUSTOS;2.DİLBER SOKAK;sokak;1356043
UŞAK;BANAZ;31 AĞUSTOS;2.HARMAN SOKAK;sokak;1355937
UŞAK;BANAZ;31 AĞUSTOS;2.KARACA SOKAK;sokak;19546803
UŞAK;BANAZ;31 AĞUSTOS;2.KELEBEK SOKAK;sokak;1356031
UŞAK;BANAZ;31 AĞUSTOS;2.KIR SOKAK;sokak;1356047
UŞAK;BANAZ;31 AĞUSTOS;2.KRAL SOKAK;sokak;1173825
UŞAK;BANAZ;31 AĞUSTOS;2.ORMAN SOKAK;sokak;1193923
UŞAK;BANAZ;31 AĞUSTOS;2.PETEK SOKAK;sokak;1193673
UŞAK;BANAZ;31 AĞUSTOS;2.SAYAR SOKAK;sokak;76721141
